UPTIMENANO,Mx,My,Mz
68920903215408,7.2831745,-2.097536,1.317913
68920923071665,7.2831745,-2.097536,1.317913
68920942918704,7.2831745,-2.2475357,1.317913
68920962774576,7.2831745,-2.097536,1.317913
68920982630577,7.2831745,-1.9475346,1.7679138
68921002486576,7.2831745,-1.9475346,1.7679138
68921022342576,6.9831734,-1.9475346,1.7679138
68921042198449,6.683174,-1.9475346,1.7679138
68921062062250,6.683174,-1.9475346,1.7679138
68921081918378,5.7831745,-1.9475346,1.4679146
68921101774507,6.8331738,-1.9475346,1.4679146
68921121630634,6.8331738,-1.9475346,1.4679146
68921141483432,6.8331738,-2.2475357,1.4679146
68921161339433,6.8331738,-2.2475357,1.317913
68921181195560,6.8331738,-2.2475357,1.1679153
68921201051560,6.8331738,-2.2475357,0.8679161
68921220907561,6.8331738,-2.547535,0.8679161
68921240761902,6.8331738,-2.547535,0.7179146
68921260617902,6.8331738,-2.547535,0.7179146
68921280473903,6.8331738,-2.547535,0.7179146
68921300329774,6.8331738,-2.547535,0.7179146
68921320185774,6.9831734,-2.547535,0.7179146
68921340041775,6.9831734,-2.547535,0.7179146
68921359894239,6.9831734,-2.547535,0.7179146
68921379750111,6.9831734,-2.547535,0.7179146
68921399606112,6.9831734,-2.547535,0.7179146
68921419461983,6.8331738,-2.547535,0.7179146
68921439319586,6.9831734,-2.2475357,0.7179146
68921459175459,6.9831734,-2.097536,0.7179146
68921479031330,6.9831734,-1.9475346,0.56791306
68921498887202,6.8331738,-1.9475346,0.56791306
68921518743075,6.8331738,-1.797535,0.56791306
68921538600517,6.8331738,-1.797535,0.26791382
68921558459339,6.8331738,-1.797535,0.26791382
68921578315340,6.8331738,-1.797535,0.26791382
68921598171339,6.8331738,-1.797535,0.26791382
68921618027211,6.5331745,-1.9475346,0.26791382
68921637883212,6.5331745,-2.097536,0.26791382
68921657737596,6.383175,-2.097536,0.11791611
68921677593468,6.383175,-2.097536,0.11791611
68921697449469,6.383175,-2.547535,0.11791611
68921717305468,6.383175,-2.547535,0.11791611
68921737164936,6.383175,-2.547535,-0.03208542
68921757020937,6.383175,-2.547535,-0.03208542
68921776876936,6.383175,-2.6975346,-0.93208694
68921796732936,6.383175,-2.6975346,-1.3820839
68921816588937,6.383175,-2.847536,-0.93208694
68921836444808,6.2331734,-2.847536,-0.93208694
68921856302844,6.2331734,-2.847536,-0.93208694
68921876158845,6.2331734,-2.847536,-0.93208694
68921896014844,6.2331734,-2.847536,-0.93208694
68921915870972,6.2331734,-2.847536,-0.93208694
68921935726973,6.2331734,-2.847536,-0.93208694
68921955587241,5.933174,-2.847536,-0.93208694
68921975443369,5.933174,-2.847536,-0.93208694
68921995299498,5.933174,-2.847536,-0.93208694
68922015155625,5.933174,-2.847536,-0.93208694
68922035016356,5.633175,-2.847536,-1.682087
68922054872613,5.633175,-2.847536,-1.682087
68922074728996,5.633175,-2.847536,-1.682087
68922094585252,5.633175,-2.6975346,-1.682087
68922114441509,5.633175,-2.6975346,-1.5320854
68922134297764,5.633175,-1.797535,-1.3820839
68922154153508,5.7831745,-0.7475357,-0.93208694
68922174009765,5.7831745,-1.3475361,-0.48208618
68922193866148,6.8331738,-1.3475361,0.11791611
68922213722404,6.8331738,-1.3475361,0.11791611
68922233578789,6.683174,-1.3475361,0.11791611
68922253440761,6.5331745,-1.3475361,0.11791611
68922273297273,6.5331745,-1.3475361,-0.03208542
68922293153658,6.383175,-1.3475361,-0.03208542
68922313010169,5.7831745,-1.3475361,-0.03208542
68922332862079,4.7331734,-1.3475361,-0.03208542
68922352718464,4.7331734,-1.3475361,-0.7820854
68922372574719,4.433174,-1.3475361,-1.0820847
68922392431103,4.433174,-1.3475361,-1.3820839
68922412287360,4.5831738,-1.3475361,-1.5320854
68922432143615,4.433174,-1.047535,-3.0320854
68922451998079,4.133175,-1.047535,-3.7820854
68922471854336,3.9831734,-0.7475357,-4.682087
68922491710719,3.383175,-0.44753647,-4.982086
68922511566975,1.883173,-0.29753494,-3.932087
68922531423232,0.23317337,0.7524643,-3.7820854
68922551273093,-0.81682587,2.1024666,-3.7820854
68922571129221,-5.4668274,1.5024643,-3.7820854
68922590985350,-6.366825,1.0524635,-3.7820854
68922610841477,-8.316826,0.6024666,-3.7820854
68922630697477,-8.616825,0.45246506,-3.932087
68922650553606,-9.966827,-0.29753494,-3.932087
68922670408002,-13.266827,-1.6475353,-3.932087
68922690264130,-14.466827,-3.597536,-3.932087
68922710120259,-17.316826,-8.547535,-3.3320847
68922729976386,-17.016827,-9.597536,-1.9820862
68922749831947,-16.266827,-11.247536,-1.0820847
68922769688075,-15.816826,-10.947536,-0.93208694
68922789544075,-15.516827,-11.247536,-0.48208618
68922809400203,-15.066826,-11.847536,-0.33208466
68922829256331,-14.016827,-11.547535,-0.33208466
68922849107429,-11.766827,-11.547535,0.26791382
68922868963557,-11.016827,-11.547535,-0.03208542
68922888819557,-11.016827,-10.947536,-0.03208542
68922908675557,-11.166828,-10.197536,-0.03208542
68922928531557,-11.166828,-9.147535,-0.48208618
68922948382120,-11.166828,-7.347536,-0.7820854
68922968237992,-11.466827,-4.797535,-1.3820839
68922988093864,-11.616825,-4.1975346,-1.9820862
68923007949736,-12.816826,-2.6975346,-3.3320847
68923027805608,-12.966827,-2.9975357,-3.182087
68923047666283,-12.516827,-2.9975357,-3.0320854
68923067522155,-12.066826,-3.1475353,-3.0320854
68923087378155,-11.916828,-3.297535,-3.0320854
68923107234155,-11.916828,-3.297535,-3.0320854
68923127090027,-11.766827,-3.297535,-3.0320854
68923146932007,-11.016827,-3.597536,-3.0320854
68923166787623,-10.116825,-4.047535,-3.0320854
68923186643367,-8.766827,-4.347536,-3.0320854
68923206498983,-8.466827,-5.6975346,-3.0320854
68923226354727,-8.466827,-6.4475346,-3.0320854
68923246210343,-8.166828,-6.597536,-2.7320862
68923266069994,-8.166828,-6.597536,-2.132084
68923285925738,-8.166828,-6.4475346,-2.132084
68923305781354,-8.166828,-6.4475346,0.26791382
68923325636970,-8.166828,-6.4475346,-1.0820847
68923345492714,-8.166828,-6.4475346,-1.3820839
68923365337864,-8.166828,-6.4475346,-1.3820839
68923385193352,-7.866825,-6.4475346,-1.3820839
68923405048840,-7.566826,-6.4475346,-1.5320854
68923424904328,-7.416828,-6.8975353,-1.682087
68923444759816,-6.5168266,-7.9475346,-2.132084
68923464619796,-5.616825,-8.397535,-3.0320854
68923484475284,-5.616825,-8.997536,-2.5820847
68923504330772,-4.7168255,-9.597536,-2.5820847
68923524186388,-4.116827,-10.647535,-2.5820847
68923544041876,-3.5168266,-9.597536,-2.5820847
68923563905175,-3.8168259,-9.597536,-2.5820847
68923583760791,-3.8168259,-9.747536,-2.5820847
68923603616535,-3.8168259,-9.747536,-2.5820847
68923623472151,-3.366827,-10.047535,-2.5820847
68923643327895,-3.2168255,-10.047535,-2.432087
68923663179927,-2.3168259,-10.197536,-2.432087
68923683035543,-1.4168262,-10.347536,-2.432087
68923702891159,-0.81682587,-10.347536,-2.432087
68923722746775,0.83317375,-10.347536,-2.132084
68923742602391,1.4331741,-10.347536,-1.9820862
68923762457294,1.2831745,-10.347536,-1.9820862
68923782312782,1.4331741,-10.347536,-1.9820862
68923802168398,1.4331741,-10.347536,-1.5320854
68923822023886,1.4331741,-10.347536,-1.682087
68923841879502,2.0331745,-10.347536,-1.3820839
68923861739263,2.0331745,-10.347536,-1.3820839
68923881595007,2.0331745,-10.347536,-1.3820839
68923901450751,2.0331745,-10.347536,-1.3820839
68923921306367,2.0331745,-10.347536,-1.3820839
68923941162111,2.1831741,-10.347536,-1.3820839
68923961023633,1.883173,-10.347536,-1.5320854
68923980879505,2.4831734,-10.347536,-1.682087
68924000735249,2.3331738,-10.347536,-2.132084
68924020591121,2.3331738,-10.347536,-1.9820862
68924040446865,2.3331738,-10.347536,-2.432087
68924060307845,2.3331738,-10.347536,-2.432087
68924080163845,2.3331738,-10.347536,-3.182087
68924100019717,2.0331745,-10.347536,-3.632084
68924119875717,2.0331745,-10.347536,-3.632084
68924139731589,2.0331745,-10.347536,-3.632084
68924159587090,2.0331745,-10.347536,-3.632084
68924179442962,2.0331745,-10.347536,-3.632084
68924199298962,2.0331745,-10.347536,-3.632084
68924219154834,2.0331745,-10.347536,-3.632084
68924239010834,2.1831741,-10.347536,-2.7320862
68924258874846,2.0331745,-10.347536,-0.93208694
68924278730974,2.0331745,-10.347536,-1.682087
68924298586974,2.0331745,-10.347536,-1.9820862
68924318443102,2.0331745,-10.347536,-1.9820862
68924338299230,2.0331745,-10.497536,-1.9820862
68924358157673,2.0331745,-10.497536,-1.9820862
68924378013801,2.1831741,-10.497536,-1.9820862
68924397870057,2.1831741,-10.497536,-1.9820862
68924417726185,2.1831741,-10.497536,-2.132084
68924437582313,2.1831741,-10.497536,-2.132084
68924457440397,2.1831741,-10.497536,-2.432087
68924477296653,2.1831741,-10.497536,-3.0320854
68924497152781,2.1831741,-10.497536,-2.7320862
68924517009037,2.1831741,-10.347536,-2.7320862
68924536865293,2.0331745,-10.347536,-2.7320862
68924556731307,2.0331745,-10.347536,-2.5820847
68924576587691,2.0331745,-10.347536,-2.5820847
68924596444075,2.0331745,-10.347536,-2.5820847
68924616300587,2.0331745,-10.347536,-2.5820847
68924636156971,2.0331745,-10.347536,-2.5820847
68924656016488,2.0331745,-10.347536,-2.5820847
68924675873128,2.0331745,-10.347536,-2.5820847
68924695729640,2.0331745,-10.347536,-2.5820847
68924715586280,2.0331745,-10.347536,-2.5820847
68924735442792,2.4831734,-10.347536,-2.5820847
68924755291973,2.1831741,-10.347536,-2.5820847
68924775148357,2.1831741,-10.197536,-2.5820847
68924795004741,2.633175,-9.747536,-2.5820847
68924814861125,2.4831734,-9.747536,-2.5820847
68924834717509,2.4831734,-9.747536,-2.5820847
68924854579372,2.4831734,-9.747536,-2.5820847
68924874435884,2.4831734,-10.047535,-2.5820847
68924894292524,2.4831734,-10.047535,-2.7320862
68924914149036,2.4831734,-9.597536,-2.7320862
68924934005676,2.4831734,-9.747536,-2.7320862
68924953850028,1.4331741,-9.747536,-2.7320862
68924973706284,1.883173,-9.747536,-2.7320862
68924993562540,1.5831738,-9.747536,-2.7320862
68925013418796,1.2831745,-9.747536,-2.5820847
68925033275052,1.4331741,-9.747536,-1.9820862
68925053132917,1.4331741,-9.597536,-2.432087
68925072989301,1.4331741,-10.047535,-1.9820862
68925092845557,1.4331741,-10.047535,-1.682087
68925112701941,1.5831738,-10.047535,-1.9820862
68925132558197,1.5831738,-10.047535,-1.9820862
68925152411527,1.5831738,-10.047535,-1.9820862
68925172267783,1.5831738,-10.047535,-1.9820862
68925192124167,1.5831738,-10.047535,-1.682087
68925211980423,2.0331745,-10.047535,-1.682087
68925231836807,2.1831741,-10.047535,-1.682087
68925251682963,2.1831741,-10.047535,-1.682087
68925271538963,2.1831741,-10.047535,-1.682087
68925291395091,2.1831741,-10.047535,-1.682087
68925311251091,2.1831741,-10.047535,-1.9820862
68925331107220,2.1831741,-10.047535,-1.9820862
68925350958491,2.1831741,-10.047535,-2.432087
68925370814361,2.1831741,-10.047535,-2.432087
68925390670361,2.1831741,-10.047535,-2.432087
68925410526361,2.0331745,-9.747536,-2.432087
68925430382233,2.0331745,-10.197536,-2.432087
68925450235684,1.883173,-10.197536,-2.432087
68925470091428,1.5831738,-10.047535,-2.432087
68925489947300,1.5831738,-9.747536,-2.432087
68925509803172,1.4331741,-9.597536,-2.5820847
68925529658916,1.4331741,-9.747536,-2.432087
68925549517817,1.4331741,-9.747536,-2.132084
68925569373689,1.4331741,-9.747536,-2.132084
68925589226894,1.5831738,-9.747536,-2.132084
68925609082766,1.5831738,-9.747536,-2.432087
68925628938638,2.0331745,-9.747536,-2.432087
68925648794639,2.0331745,-10.047535,-2.432087
68925668650512,2.0331745,-9.747536,-2.432087
68925688506382,2.0331745,-9.747536,-2.432087
68925708362254,2.0331745,-9.747536,-2.432087
68925728218126,2.0331745,-9.747536,-2.432087
68925748071060,2.0331745,-9.747536,-2.432087
68925767926932,2.0331745,-9.747536,-2.432087
68944551317731,3.5331745,2.4024658,-2.132084
68944571173348,3.383175,2.4024658,-2.132084
68944591028837,3.383175,2.4024658,-2.132084
68944610884454,3.383175,2.2524643,-2.132084
68944630740071,3.383175,2.1024666,-2.132084
68944650589592,3.5331745,2.1024666,-2.132084
68944670444953,3.5331745,1.8024635,-3.632084
68944690300442,3.5331745,1.6524658,-3.7820854
68944710155931,3.5331745,1.6524658,-4.8320847
68944730011420,3.5331745,1.3524666,-4.682087
68944749866333,3.5331745,1.202465,-4.682087
68944769721694,3.5331745,0.7524643,-4.982086
68944789577183,3.5331745,0.6024666,-5.5820847
68944809432544,3.5331745,0.30246353,-5.5820847
68944829288033,3.5331745,-0.5975342,-5.5820847
68944849143381,3.5331745,-0.5975342,-5.5820847
68944869001582,3.5331745,-0.44753647,-5.5820847
68944888857071,3.383175,-0.5975342,-5.882084
68944908712560,2.4831734,-0.8975353,-6.482086
68944928568049,1.133173,-1.047535,-6.632084
68944948410140,2.0331745,-1.3475361,-8.132084
68944968265245,1.5831738,-1.4975357,-7.232086
68944988120350,1.4331741,-1.797535,-7.232086
68945007975455,1.4331741,-2.6975346,-7.5320854
68945027830560,1.2831745,-4.047535,-7.8320847
68945047686091,1.133173,-4.047535,-8.132084
68945067541324,0.9831734,-4.047535,-8.132084
68945087396429,0.83317375,-4.1975346,-8.282085
68945107251534,0.83317375,-4.1975346,-8.582085
68945127106639,0.5331745,-4.1975346,-9.932087
68945146961859,0.08317375,-4.1975346,-9.782085
68945166809784,-0.21682549,-4.1975346,-9.782085
68945186664761,-0.366827,-4.347536,-10.382084
68945206519738,-0.9668255,-4.6475353,-10.832085
68945226374715,-1.2668266,-4.9475346,-11.132084
68945246226534,-1.2668266,-5.097536,-11.132084
68945266081511,-2.9168262,-5.3975353,-11.432087
68945285936488,-2.4668255,-7.1975346,-11.432087
68945305791465,-2.4668255,-7.1975346,-11.432087
68945325646314,-2.4668255,-7.047535,-13.232086
68945345502857,-2.4668255,-7.047535,-13.232086
68945365357834,-2.4668255,-7.047535,-13.232086
68945385212811,-2.4668255,-7.047535,-13.232086
68945405067788,-2.4668255,-7.047535,-13.832085
68945424922765,-2.4668255,-7.047535,-13.832085
68945444777730,-2.4668255,-7.047535,-13.832085
68945464627825,-2.4668255,-7.047535,-13.982086
68945484482546,-1.866827,-7.347536,-13.982086
68945504337395,-1.866827,-7.6475353,-13.982086
68945524192244,-1.866827,-8.397535,-14.282085
68945544053451,-1.866827,-8.397535,-14.282085
68945563908300,-1.866827,-8.547535,-14.282085
68945583763277,-1.866827,-8.997536,-14.282085
68945603618254,-1.866827,-8.997536,-14.282085
68945623473103,-1.866827,-8.997536,-14.282085
68945643328080,-1.866827,-8.997536,-14.282085
68945663187759,-1.866827,-8.997536,-14.282085
68945683042864,-1.7168255,-8.997536,-14.282085
68945702897841,-1.7168255,-8.997536,-14.282085
68945722752946,-1.2668266,-8.997536,-14.282085
68945742608038,-1.2668266,-8.997536,-14.282085
68945762463699,-0.9668255,-8.997536,-14.282085
68945782318804,-0.9668255,-8.997536,-14.282085
68945802173781,0.23317337,-9.297535,-14.282085
68945822028886,1.5831738,-9.447536,-14.282085
68945841886661,1.4331741,-9.597536,-14.282085
68945861741766,2.0331745,-10.347536,-14.282085
68945881596871,2.0331745,-10.347536,-14.282085
68945901451976,2.3331738,-10.497536,-14.282085
68945921307209,2.3331738,-10.497536,-14.282085
68945941162314,2.3331738,-10.797535,-14.282085
68945961015663,2.9331741,-10.797535,-14.282085
68945980870640,3.2331734,-10.947536,-13.832085
68946000725617,3.6831741,-10.947536,-13.832085
68946020580722,4.2831745,-10.947536,-13.382088
68946040435685,5.4831734,-10.947536,-13.682087
68946060292246,5.3331738,-10.947536,-13.232086
68946080147351,5.3331738,-10.947536,-12.782085
68946100002456,5.4831734,-10.947536,-12.782085
68946119857433,5.7831745,-10.947536,-12.182087
68946139718542,5.933174,-10.947536,-12.032085
68946159573775,5.933174,-11.547535,-10.832085
68946179429008,6.383175,-11.847536,-10.982086
68946199284241,6.8331738,-12.897535,-10.982086
68946219139474,7.883175,-12.897535,-10.982086
68946238994835,8.933174,-12.597536,-10.982086
68946258851770,10.133175,-12.597536,-10.982086
68946278707003,9.5331745,-12.597536,-10.532085
68946298562236,9.983173,-12.597536,-10.532085
68946318417597,10.583174,-12.597536,-10.532085
68946338272816,10.733174,-12.597536,-10.382084
68946358132537,10.733174,-12.447536,-9.932087
68946377987898,10.883174,-12.297535,-9.182087
68946397843259,11.333175,-11.847536,-8.882084
68946417698748,11.7831745,-12.297535,-8.882084
68946437554109,12.383174,-12.297535,-8.582085
68946457409470,12.383174,-12.297535,-7.8320847
68946477267781,12.683174,-12.297535,-7.0820847
68946497123270,12.833175,-12.297535,-5.432087
68946516978887,13.133174,-12.447536,-6.0320854
68946536834376,14.333175,-12.747536,-6.0320854
68946556691183,14.333175,-11.997536,-5.882084
68946576546672,14.333175,-11.847536,-5.882084
68946596402161,14.333175,-11.847536,-5.882084
68946616257778,14.333175,-11.847536,-5.5820847
68946636113253,14.633175,-11.847536,-5.432087
68946655965340,14.633175,-11.847536,-5.432087
68946675820829,14.933174,-11.847536,-4.382084
68946695676318,15.083175,-11.547535,-3.182087
68946715531807,15.383175,-11.547535,-3.3320847
68946735387424,16.433174,-11.547535,-3.632084
68946755242913,18.533175,-11.397535,-3.632084
68946775093520,18.383175,-11.247536,-3.3320847
68946794948881,17.933174,-10.797535,-3.3320847
68946814804370,18.383175,-10.647535,-3.3320847
68946834659731,18.383175,-10.347536,-3.3320847
68946854508722,18.533175,-10.047535,-3.182087
68946874363955,18.533175,-8.997536,-2.7320862
68946894219188,18.533175,-8.097536,-1.682087
68946914074421,18.533175,-8.247536,-1.5320854
68946933929641,18.833176,-8.697536,0.11791611
68946953776602,18.833176,-8.697536,-0.03208542
68946973631707,19.433174,-8.697536,-0.03208542
68946993486684,19.583176,-8.697536,0.11791611
68947013341789,19.583176,-8.697536,0.26791382
68947033196894,19.583176,-8.697536,0.26791382
68947053051871,19.883175,-8.697536,0.26791382
68947072902984,19.733175,-8.697536,0.26791382
68947092757833,20.033175,-8.247536,0.26791382
68947112612810,20.033175,-7.6475353,0.7179146
68947132467659,20.033175,-7.9475346,0.7179146
68947152323502,20.633175,-7.1975346,0.8679161
68947172178479,20.633175,-6.597536,0.8679161
68947192033456,20.633175,-6.297535,0.8679161
68947211888433,20.633175,-6.1475353,0.8679161
68947231743397,21.083176,-6.297535,0.8679161
68947251598374,21.683174,-5.9975357,0.8679161
68947271455427,22.283175,-5.847536,0.8679161
68947291310404,23.183174,-5.2475357,0.8679161
68947311165381,23.783175,-4.9475346,0.8679161
68947331020358,24.083176,-4.6475353,0.8679161
68947350875335,24.083176,-4.347536,0.8679161
68947370730994,23.933174,-3.7475357,0.8679161
68947390585971,24.383175,-4.1975346,0.8679161
68947410440948,24.833176,-4.1975346,0.8679161
68947430295925,24.983175,-4.1975346,0.8679161
68947450154218,25.133175,-4.1975346,0.7179146
68947470009323,25.283175,-4.1975346,0.7179146
68947489864300,26.033175,-4.1975346,0.7179146
68947509719405,26.783175,-4.1975346,0.56791306
68947529574369,27.383175,-4.1975346,0.56791306
68947549429474,28.433174,-5.3975353,-1.0820847
68947569291339,28.283175,-5.6975346,-1.682087
68947589146444,28.583176,-5.847536,-2.132084
68947609001677,28.433174,-5.2475357,-2.7320862
68947628856782,28.433174,-5.9975357,-3.182087
68947648712015,28.433174,-6.297535,-2.7320862
68947668565370,28.583176,-6.1475353,-3.182087
68947688420475,28.583176,-6.1475353,-3.0320854
68947708275580,28.583176,-6.297535,-3.3320847
68947728130685,28.583176,-6.4475346,-3.3320847
68947747984426,28.583176,-6.597536,-3.7820854
68947767839403,28.583176,-7.047535,-3.932087
68947787694508,28.583176,-7.6475353,-4.232086
68947807549613,28.583176,-7.6475353,-4.8320847
68947827404704,28.583176,-8.247536,-4.682087
68947847259809,28.583176,-8.247536,-4.8320847
68947867114506,28.583176,-9.147535,-4.8320847
68947886969611,28.283175,-9.747536,-5.432087
68947906824716,27.833176,-10.197536,-5.5820847
68947926679821,27.833176,-10.497536,-5.882084
68947946534926,27.383175,-10.947536,-5.882084
68947966392929,26.933174,-11.697536,-6.3320847
68947986248162,27.083176,-11.547535,-6.482086
68948006103395,27.083176,-11.547535,-7.0820847
68948025958500,27.083176,-11.697536,-7.232086
68948045813733,27.083176,-11.847536,-7.232086
68948065668838,27.083176,-11.997536,-7.0820847
68948085520645,27.083176,-12.297535,-7.5320854
68948105375750,27.083176,-12.447536,-8.732086
68948125230840,26.783175,-12.747536,-9.482086
68948145085945,26.483175,-13.497536,-9.782085
68948164942118,26.183174,-15.297535,-9.782085
68948184797351,25.283175,-15.297535,-9.932087
68948204652584,25.883175,-15.297535,-10.082085
68948224507817,25.283175,-15.297535,-9.782085
68948244363050,25.133175,-15.897535,-9.782085
68948264225993,24.833176,-16.047535,-9.782085
68948284081354,24.833176,-16.947536,-9.782085
68948303936587,24.833176,-16.947536,-9.482086
68948323791948,24.683174,-16.947536,-9.332085
68948343647309,24.233175,-17.097536,-8.282085
68948363502670,24.233175,-17.097536,-7.232086
68948383356543,24.083176,-17.097536,-7.8320847
68948403211904,24.083176,-17.097536,-7.8320847
68948423067252,24.083176,-17.097536,-7.8320847
68948442922613,23.933174,-17.097536,-7.682087
68948462783832,23.633175,-16.947536,-7.5320854
68948482639321,23.183174,-16.947536,-7.5320854
68948502494810,22.733175,-16.647535,-7.0820847
68948522350171,21.683174,-16.797535,-6.632084
68948542205660,22.583176,-16.797535,-5.882084
68948562059711,22.583176,-16.797535,-6.632084
68948581915072,22.583176,-16.797535,-6.3320847
68948601770433,22.283175,-16.797535,-5.5820847
68948621625794,21.833176,-16.797535,-4.982086
68948641481155,21.683174,-16.797535,-4.982086
68948661336516,21.533175,-16.797535,-4.8320847
68948681192749,21.383175,-16.347536,-4.682087
