UPTIMENANO,Ax,Ay,Az
69132960207643,-0.2417054,-0.20053783,-0.6222544
69132980207643,0.02167169,-0.7919994,-0.9880621
69133000207644,-0.052624162,-0.67326605,-0.5118919
69133020207643,-0.1105097,-0.15857787,0.29282945
69133040214505,-0.035445366,0.062133476,0.6666996
69133060214506,-0.021157429,-0.020209424,0.3848396
69133080214505,-0.014699463,-0.5292875,-0.37376526
69133100214505,0.41704217,-0.7398507,-0.5725096
69133120214506,1.0682102,-0.25386035,0.11858123
69133140214505,1.1705542,0.23340291,0.4431751
69133160214505,0.6999504,0.7212248,0.55155754
69133180214506,0.5823912,0.07423066,0.6694855
69133200214505,0.35326296,-0.690188,-0.48865128
69133220214505,-0.539959,0.53002346,-0.6438075
69133240214506,-1.0118465,1.0052125,1.2875073
69133260214505,-0.88649446,0.6174312,2.0441136
69133280214505,0.09042474,-0.43684116,0.70048434
69133300214506,1.575689,-2.8103993,-1.1364839
69133320214505,1.6850752,-2.0762894,-1.1452794
69133340214505,0.68031883,0.111047156,0.17099364
69133360214505,-5.429781E-4,0.3513082,0.8299139
69133380214506,-0.27168766,0.53060067,0.919143
69133400214505,-0.52912307,0.635619,0.34811595
69133420214505,-1.1460861,0.24062923,-0.6382573
69133440214506,-1.6834917,-0.3221611,-1.3679242
69133460214505,-1.8742276,-0.17154284,-1.3019923
69133480214505,-1.3965198,0.20435575,-0.7932204
69133500214506,-0.5518425,-0.3519606,-0.5425593
69133520214505,-0.69938713,-0.44394553,-0.45632592
69133540214505,-1.5487779,0.6353391,-0.033684608
69133560214506,-1.405028,0.8013,0.7343588
69133580214505,-0.41170156,1.425785,1.1912712
69133600214505,1.0358162,0.4698007,0.11990099
69133620214506,0.71400666,-1.3385743,-1.246646
69133640214505,-0.5081633,-1.0046244,-0.49542993
69133660214505,-6.7320114E-5,0.12880787,0.41011515
69133680214506,1.9455271,0.43474498,1.0014857
69133700214505,2.3688846,-0.3618606,0.70715415
69133720214505,0.23348084,-0.6486776,-0.46162248
69133740214506,-0.7179324,-0.359988,-0.41496402
69133760214505,-0.37978604,-0.092290044,-0.017157963
69133780214505,-0.35826984,-0.23208839,-0.031575087
69133800214506,-6.35763E-4,-0.3093479,0.3577163
69133820214505,0.3737976,-0.22354351,0.98717016
69133840214505,0.18954799,-0.023604203,0.9736113
69133860214506,0.36335513,0.17605972,0.51251805
69133880214505,0.19416037,-0.31138948,-0.18825534
69133900214505,-0.27717742,-0.34395748,0.1527587
69133920214506,-0.8286244,0.017342247,0.16617061
69133940214505,-0.84920055,0.10389088,-0.42335483
69133960214505,-0.005354461,0.22712228,-0.8306566
69133980214506,0.47106367,1.1400152,-0.6495019
69134000214505,0.20269072,1.0846907,-0.038945455
69134020214505,0.25373968,0.7183242,0.6522884
69134040214506,0.35217613,0.39495683,0.98480725
69134060214505,-0.640497,-0.048489306,-0.35009807
69134080214505,-2.4992695,-0.43273517,-3.440555
69134100214506,-1.9337615,-1.3723885,-4.783933
69134120214505,-1.1062899,-0.86590505,-4.400884
69134140214505,-0.9399842,-0.03268596,-4.097698
