UPTIMENANO,P
69140925486839,1013.12335
69141024754238,1013.1352
69141125456315,1013.1538
69141224021640,1013.17084
69141323533239,1013.19293
69141423960573,1013.2116
69141522678522,1013.222
69141622129073,1013.2373
69141721793298,1013.2524
69141821335423,1013.26776
69141920602822,1013.2829
69142020144947,1013.3015
69142120297572,1013.32196
69142219839697,1013.3407
69142319351298,1013.3453
69142418862897,1013.3623
69142518374498,1013.3739999999999
69142617916623,1013.3944
69142717580848,1013.41156
69142817061923,1013.45746
69142916604048,1013.47784
69143016115649,1013.4892
69143115688298,1013.5062
69143215260949,1013.5266
69143314833598,1013.55005
69143414467299,1013.5671
69143514009424,1013.5876
69143613490499,1013.6062
69143713032624,1013.6317
69143812544223,1013.6488
69143912055824,1013.6636
69144011597949,1013.67163
69144111079024,1013.6835
69144210773773,1013.7005
69144311017974,1013.7243699999999
69144409858008,1013.7448
69144509339083,1013.76465
69144610804284,1013.7868
69144708514907,1013.79865
69144808270708,1013.8208599999999
69144914894639,1013.8394
69145007477058,1013.8514
69145107049709,1013.8647
69145206866558,1013.87823
69145306225533,1013.8918
69145405737132,1013.9085
69145504943483,1013.9236
69145604943484,1013.9456
69145704607709,1013.96094
69145804149834,1013.97784
69145903661433,1013.9967
69146003142508,1014.0060000000001
69146102684633,1014.0281
69146202165708,1014.05023
69146301768883,1014.0622
69146401036284,1014.07855
69146500792083,1014.09906
69146600792084,1014.1225
69146700273159,1014.13605
69146799906858,1014.1547
69146899479509,1014.1735
69146999021634,1014.1922599999999
69147098624809,1014.2143
69147198258510,1014.23456
69147297709059,1014.2459
69147397312221,1014.2612
69147497068022,1014.27454
69147596549097,1014.28925
69147696121748,1014.2961
69147797312225,1014.30786
69147895297574,1014.32605
69147994870223,1014.35
69148095511250,1014.3738
69148194015525,1014.39764
69148297831154,1014.4248
69148393069251,1014.4449
69148492733476,1014.4719
69148592367177,1014.49225
69148691756676,1014.5145
69148791420901,1014.5349
69148891115652,1014.55865
69148990566201,1014.57196
69149090108326,1014.58844
69149189650451,1014.6037
69149289223102,1014.6151
69149388856801,1014.6271
69149488246302,1014.64575
69149587544227,1014.6627
69149687849478,1014.6848
69149787269503,1014.7052
69149886781102,1014.7189
69149986262177,1014.7423
69150085804302,1014.7575
69150185285377,1014.78296
69150284796976,1014.8045699999999
69150384430658,1014.82886
69150483972783,1014.8624
69150583606482,1014.87714
69150683118083,1014.8887
69150782690732,1014.9057
69150882141283,1014.92786
69150981622358,1014.9426
69151081133959,1014.9562400000001
69151181195010,1014.97327
69151282629687,1014.9937
69151380340310,1015.00854
69151479882435,1015.02386
69151580584512,1015.046
69151678905635,1015.05945
69151778508810,1015.0748
69151878447761,1015.0879
69151977623586,1015.1049
69152077135187,1015.1164
69152176280486,1015.1368
69152276188911,1015.1519
69152375761560,1015.1723
69152475120535,1015.1928
69152574845810,1015.21155
69152674479511,1015.2264
69152774021636,1015.24506
69152873685861,1015.26044
69152973105886,1015.2774
69153072556435,1015.29785
69153172037510,1015.311
69153271701735,1015.3227
69153371365945,1015.33636
69153470908070,1015.35645
69153570419671,1015.3713
69153669961796,1015.3934300000001
69153769503921,1015.4054
69153869015522,1015.4238
69153968466071,1015.439
69154068069246,1015.4489
69154167702945,1015.4655
69154267214546,1015.4996
69154366817721,1015.51825
69154467977674,1015.5314300000001
69154565871447,1015.5501
69154665352522,1015.55865
69154766024073,1015.5705
69154864650446,1015.5897
69154964223097,1015.60974
69155064223098,1015.6352
69155163337873,1015.6504
69155262818948,1015.67926
69155362238973,1015.7009
69155461994774,1015.7269
69155561536899,1015.74176
69155661109550,1015.7616
69155760956925,1015.7821
69155860651674,1015.7955
69155960041175,1015.8159
69156059613824,1015.8397
69156159155949,1015.8619
69156258667548,1015.8801
69156358392807,1015.904
69156457873882,1015.921
69156557416007,1015.9379
69156656927608,1015.94934
69156756500257,1015.9663
69156855981332,1015.97766
69156955431881,1015.9913300000001
69157055065582,1016.0155
69157154577181,1016.0343
69157254058256,1016.04016
69157353753005,1016.0537
69157453203556,1016.06854
69157552776205,1016.0833
69157652409906,1016.10547
69157751952031,1016.12585
69157851555206,1016.1497
69157953814059,1016.1650400000001
69158050547882,1016.1854
69158150212107,1016.217
69158251494158,1016.2426
69158349296357,1016.2579
69158448869006,1016.26953
69158549632133,1016.28656
69158648105882,1016.3053
69158747678531,1016.3168
69158847403806,1016.33514
69158946762781,1016.3559
69159046365956,1016.3692
69159145938607,1016.3861699999999
69159245602832,1016.3942
69159345205994,1016.41296
69159444748119,1016.42285
69159544229194,1016.4381
69159643710269,1016.4534
69159743343970,1016.4773
69159842855569,1016.4993
69159942306120,1016.51624
69160041878769,1016.5316
69160141878770,1016.5451
69160241390371,1016.56714
69160341024072,1016.5826
69160440779871,1016.5905
69160540383046,1016.6076
69160640016747,1016.6174
69160739650446,1016.6343400000001
69160839162047,1016.6515
69160938795746,1016.66815
69161038459971,1016.68695
69161139558872,1016.70215
69161237696845,1016.7154
69161337391596,1016.73413
69161437971573,1016.7511
69161536658996,1016.7681
69161636201121,1016.7796599999999
69161735804296,1016.8005
69161835285371,1016.8174
69161934888546,1016.83234
69162034491721,1016.8663300000001
69162134155946,1016.88715
69162233881221,1016.9054
69162333667532,1016.9237
69162433057033,1016.9372599999999
69162532690732,1016.9576
69162632293907,1016.9763
69162731958132,1016.9878
69162831652881,1016.9979
69162931164482,1017.0082
69163030828707,1017.0179400000001
69163130401358,1017.0353
69163230004533,1017.0438
69163329607708,1017.0523
