UPTIMENANO,Ax,Ay,Az
69233977344877,-0.2868376,0.39656898,9.545475
69233997200621,-0.17374443,0.6235234,9.804452
69234017056366,-0.101720184,0.5208823,9.791332
69234036915437,-0.07976899,0.32996964,9.610165
69234056771309,-0.19558723,0.2132058,9.513603
69234076627054,-0.34590533,0.032705177,9.64251
69234096482797,-0.22977184,-0.059209038,9.862405
69234116343497,-0.16904514,0.07096975,10.020976
69234136199370,-0.30145383,0.12695205,10.096645
69234156055241,-0.06600132,0.29434213,10.017746
69234175911241,0.1375294,0.59263104,9.916655
69234195767114,0.09389213,0.5329475,10.135022
69234215622985,-0.30379546,0.22621983,10.35084
69234235484289,-0.476583,0.14766517,10.169636
69234255340290,-0.42265952,0.47355175,9.486827
69234275196289,0.05555195,0.016812263,9.8765545
69234295052289,0.49404028,-0.06766836,10.640088
69234314908290,0.35581985,0.56356955,11.319312
69234334770712,0.032202292,1.5832077,10.743436
69234354626840,0.01220925,1.4269955,9.516225
69234374482969,0.22724034,0.07381609,9.114324
69234394339096,-0.08728494,-0.08673958,10.124898
69234414205197,0.049081434,0.19525933,10.97433
69234434061582,0.23009624,1.0252804,10.405197
69234453917837,-0.6144977,1.3088293,8.382327
69234473774221,-0.87361825,0.72447574,8.374086
69234493630478,-1.4911585,-0.82703197,8.703077
69234513486861,-0.34508005,-0.017829467,9.185002
69234533355922,0.32428303,0.9614089,9.934511
69234553212563,0.17533983,1.0109814,9.791647
69234573069202,0.055094894,0.9332025,9.441149
69234592925842,0.29342273,0.7288017,9.681274
69234612782483,0.14111128,0.4968769,9.75695
69234632640792,-0.42486984,0.32571498,9.483382
69234652497432,-0.6473469,0.6543821,9.07284
69234672354201,-0.3265666,1.2531205,8.968291
69234692210968,-0.38028404,0.33346364,9.203069
69234712067608,-0.5495166,-0.27849293,9.544377
69234731924377,-0.9658697,-0.12587939,9.707147
69234751785097,0.5590258,0.4505455,9.5860815
69234771641993,0.28018454,-0.097169854,10.79496
69234791498762,0.6837687,0.84267926,10.735544
69234811355529,1.2547188,0.7568457,10.715911
69234831213144,2.2206244,-0.049187984,11.097528
69234851070041,-0.21372032,-0.84289336,10.822523
69234870926936,-0.836513,-0.4426677,9.858429
69234890783704,-1.3547099,-0.080138646,8.620319
69234910640601,-3.4838262,-0.431739,8.305309
69234930475626,-0.48795682,-0.3265218,10.035601
69234950332138,1.5259495,0.5428518,10.887012
69234970188523,0.51767254,0.7195711,9.835184
69234990044906,0.112421095,-0.39716473,9.888613
69235009901418,-0.026476128,-0.35569808,9.643147
69235029757803,-1.3372406,0.116351105,8.822997
69235049618209,-0.33609733,0.45825672,8.634584
69235069474721,-0.67995673,-0.3421466,8.810957
69235089331234,-0.69719374,-0.80128676,9.65555
69235109187873,-1.0107864,-0.28843695,10.175014
69235129043629,-0.3583495,0.15355618,10.523945
69235148900270,-0.092169866,-0.50552654,10.177765
69235168756781,0.0038575202,-1.4106802,9.426503
69235188613421,-1.0524172,-0.77001905,10.134462
69235208469934,-1.0009016,-0.6643923,11.226017
69235228324300,0.02831837,-0.5236588,11.553795
69235248180812,0.8505218,0.39485127,11.4741125
69235268037325,-0.52983326,-0.08819606,9.653734
69235287893836,-0.06862742,1.0916544,8.068874
69235307750348,0.034377534,1.9227887,9.038432
69235327606989,-0.07068209,-0.11895438,10.1436405
69235347452451,-0.5576784,-1.0006783,10.136178
69235367308835,0.055460613,-0.056796137,10.264534
69235387165220,-0.51378816,0.36712548,9.095568
69235407021475,-0.78352785,0.7691871,8.320632
69235426876907,-0.13672768,0.10388965,9.633882
69235446733164,0.114713974,-0.579869,9.60781
69235466589419,0.60231125,0.2679319,9.488001
69235486445547,0.6556341,0.093806304,10.0841255
69235506301804,0.1983551,-0.10056184,10.377346
69235526154438,0.95928067,0.89782923,11.422012
69235546010438,0.6808921,1.0542656,10.712871
69235565866567,-0.22092928,-0.19842847,9.64214
69235585722694,-0.8674542,-1.1123393,8.814053
69235605578694,-0.88854456,-1.8480754,9.822847
69235625434823,-0.492535,-1.2408767,10.460449
69235645291566,0.561902,-0.12950833,9.913208
69235665147566,0.44743174,0.8949955,8.127319
69235685003695,0.6388461,1.3049785,7.02849
69235704859694,1.0601727,1.8276267,4.6872277
69235724720847,-1.4555204,-0.8401205,4.2135434
69235744576976,-0.86199975,-0.06529809,5.788428
69235764432975,0.24143207,-0.12041243,6.572238
69235784289103,0.96468,-0.5791259,7.6644964
69235804145232,1.5816367,-1.4998502,8.55736
69235824001231,2.082206,-1.0853708,9.631595
69235843861826,2.5688136,-0.14429908,10.025066
69235863717955,2.3235302,-0.54206336,10.048279
69235883574082,1.6367755,-1.2867677,10.883819
69235903430210,1.56771,-1.2420548,12.104785
69235923286467,1.8969,-0.9419257,13.7105465
69235943147385,2.1144273,0.43525586,15.05617
69235963003513,1.9225533,1.0293748,15.278237
69235982859770,1.2498827,0.7567951,13.937731
69236002716025,0.61630744,-0.5631452,10.2678795
69236022577986,-6.2241197,-8.0891075,-7.864815
69236042434371,-14.933123,-8.12771,-6.67283
69236062290754,12.055091,1.9935666,11.838498
69236082147138,11.762761,1.805106,15.10938
69236102003523,3.758164,-0.45738313,4.7817736
69236121859906,5.0951004,4.7000613,4.3874483
69236141720855,0.96843386,3.9048944,9.693647
69236161577368,0.23141247,2.3179133,8.209023
69236181434007,-3.2955112,3.4911087,7.374683
69236201290519,-1.2108791,5.780555,11.396902
69236221147160,0.07078396,5.8849373,13.2378645
69236241005439,3.0880065,3.7431145,13.568767
69236260862079,4.9379807,-0.32536268,17.808971
69236280718720,3.4709485,1.0737687,16.9512
69236300575359,1.8882868,1.1855786,10.5106125
69236320431999,2.0165112,0.71432567,12.886844
69236340242110,-1.3715562,-0.89462084,16.818811
69236360097982,-0.27098083,-2.4728012,17.508741
69236379953854,5.7311964,-2.4160628,17.18645
69236399809598,5.222012,-4.6039457,12.730837
69236419665470,3.3804526,-7.0103464,12.24281
69236439533697,0.4330781,-6.9621816,12.307263
69236459389825,-1.9253111,-5.474949,10.107997
69236479245953,-2.9818518,-4.2882915,9.663589
69236499102081,-5.2705774,-4.865944,8.430168
69236518958209,-3.0476604,-5.712308,6.750981
69236538814337,-1.4624218,-6.43616,5.673771
69236558665723,-0.80399543,-5.559797,4.9801407
69236578521595,-0.0668307,-5.5660477,4.396374
69236598377467,1.9966564,-4.2178082,5.768843
69236618233339,1.6473438,-4.4828076,6.421096
69236638089083,-0.05713767,-3.433611,6.7639875
69236657957706,0.38618213,-1.5575761,8.330783
69236677813834,2.3290226,-0.048773997,8.709536
69236697669834,4.0081854,0.03493104,9.30768
69236717525962,3.757549,2.5049217,11.538922
69236737382090,2.235604,1.3414493,15.632865
69236757232462,0.16066526,5.438468,17.413664
69236777088462,-1.4978111,7.2698617,12.549151
69236796944462,0.9380091,3.0056581,9.867361
69236816800334,1.1890138,3.5445967,10.876419
69236836656334,-0.19985573,2.0431154,11.675097
69236856516308,-0.10640248,-1.118721,11.610757
69236876372308,-0.12966709,-2.2740798,10.785674
69236896228308,-0.7592548,-5.0306697,8.032408
69236916084308,0.70983875,-3.7665176,11.633327
69236935940308,0.6904909,1.7712555,7.348788
69236955777041,-1.7141459,2.8094478,2.7951922
69236975632529,-0.7152209,-1.7764722,5.122409
69236995488017,-0.2410879,-3.2631607,5.606501
69237015343633,0.46180123,-2.6240473,5.0294743
69237035199121,0.8717277,-1.187828,5.482701
69237055065952,0.29069358,-0.09305169,7.270665
69237074921696,0.6624151,0.7295446,8.418019
