UPTIMENANO,Gx,Gy,Gz
69233937633389,0.14185975,0.06256326,0.14914666
69233947561326,0.1061734,0.031137962,0.13742875
69233957489135,0.049181752,-0.043430552,0.15340771
69233967417069,0.006571175,-0.12598854,0.17098458
69233977344878,-0.013668849,-0.17499071,0.16778879
69233987272687,-0.016332012,-0.1712623,0.15287508
69233997200621,-0.0024835728,-0.1334454,0.13476558
69234007128430,0.017223818,-0.08763903,0.114525564
69234017056367,0.03267015,-0.06633374,0.09375291
69234026987629,0.035333313,-0.06526848,0.08150237
69234036915438,0.0268112,-0.06580111,0.06925183
69234046843375,0.010832232,-0.06580111,0.047946535
69234056771309,-0.013136217,-0.072725326,0.036761258
69234066699118,-0.039235197,-0.08976956,0.037293892
69234076627055,-0.05894259,-0.10521589,0.041022316
69234086554989,-0.060007855,-0.09243272,0.0655234
69234096482798,-0.045626786,-0.06526848,0.10067713
69234106410735,-0.023256231,-0.049822137,0.1150582
69234116343497,7.1222044E-4,-0.03810423,0.12091716
69234126271434,0.017223818,-0.04556108,0.12624347
69234136199371,0.022017509,-0.09296535,0.12997189
69234146127305,0.024148038,-0.14676121,0.13689612
69234156055242,0.028409095,-0.1680665,0.13529822
69234165983307,0.035865948,-0.1616749,0.11931926
69234175911241,0.048116487,-0.16114227,0.09801397
69234185839178,0.065693356,-0.18883915,0.08469816
69234195767115,0.09179234,-0.21973182,0.064990774
69234205695049,0.11895658,-0.23837395,0.03196757
69234215622986,0.14079449,-0.2772561,-0.02555671
69234225551051,0.16050188,-0.3369109,-0.077222034
69234235484289,0.16050188,-0.43757838,-0.12888737
69234245412354,0.108303934,-0.6618166,-0.20984747
69234255340291,0.018821716,-0.88126105,-0.2801549
69234265268353,-0.070660494,-0.9414485,-0.26577386
69234275196290,-0.02804992,-0.97873276,-0.18215059
69234285124355,0.096586026,-0.9297306,-0.10438628
69234295052289,0.10990183,-0.96009064,-0.08893994
69234304980354,0.0779439,-1.1768719,-0.092135735
69234314908291,0.15677346,-1.2615604,-0.11290839
69234324842648,0.3160305,-1.2557014,-0.19440113
69234334770713,0.38953373,-1.4879291,-0.33661392
69234344698778,0.38740322,-1.896458,-0.47456568
69234354626840,0.3639674,-2.530823,-0.5326226
69234364554905,0.27341992,-3.2972808,-0.54061204
69234374482970,0.21429774,-3.7356372,-0.42716143
69234384411032,0.25637567,-3.9060795,-0.26257807
69234394339097,0.32401997,-3.5492158,-0.19067271
69234404267162,0.32721576,-2.151589,-0.23701172
69234414205197,0.5594434,-0.76408195,-0.17256321
69234424133390,0.87582695,-0.23358026,-0.077222034
69234434061583,0.94613445,-0.5078859,-0.10225575
69234443989645,0.8140416,-0.9180127,-0.18481375
69234453917838,0.678753,-1.1278697,-0.24287066
69234463846031,0.5567803,-1.1917856,-0.2796223
69234473774221,0.46623278,-1.2748762,-0.29506862
69234483702286,0.3836748,-1.4469165,-0.24233803
69234493630479,0.2830073,-1.5284091,-0.110245235
69234503558669,0.19245982,-1.2487773,0.018651765
69234513486862,0.17861138,-0.87753266,0.09108975
69234523414927,0.23293987,-0.9643517,0.10919925
69234533355922,0.23720093,-0.70389456,0.047413904
69234543284243,0.25264725,-0.19682863,-0.00638195
69234553212564,0.23080933,-0.28151715,-0.019165123
69234563140882,0.17488295,-0.36780357,-0.08254836
69234573069203,0.14079449,-0.4391763,-0.17256321
69234582997524,0.12907659,-0.61973864,-0.25299066
69234592925842,0.15144713,-0.7065577,-0.30518863
69234602854163,0.19139455,-0.6932419,-0.31424338
69234612782484,0.23080933,-0.67246926,-0.29240546
69234622712344,0.27395254,-0.6309239,-0.24020751
69234632640793,0.31230208,-0.5430396,-0.14380106
69234642569114,0.25903884,-0.57233435,-0.10704944
69234652497432,0.07474811,-0.7805936,-0.19493376
69234662425881,-0.12552162,-0.8551621,-0.28601387
69234672354202,-0.25921232,-0.67619765,-0.31903708
69234682282520,-0.34283558,-0.50735325,-0.32436338
69234692210969,-0.4094146,-0.67886084,-0.32915708
69234702139290,-0.43071988,-1.0399854,-0.3275592
69234712067898,-0.35934716,-1.2748762,-0.29560125
69234721996347,-0.24270071,-1.3691521,-0.21890222
69234731924668,-0.17985012,-1.34039,-0.033013564
69234741856777,-0.24802704,-1.2146888,0.03516336
69234751785098,-0.35189033,-1.0905855,-0.04473147
69234761713547,-0.35561875,-0.9877875,-0.1097126
69234771641993,-0.2767892,-0.8935116,-0.10438628
69234781570314,-0.23471123,-0.7086882,-0.10065785
69234791498763,-0.2767892,-0.37419516,-0.15179056
69234801427081,-0.32898712,0.032203224,-0.20824957
69234811355530,-0.36573875,0.39971948,-0.27429596
69234821283851,-0.36307558,0.69373244,-0.52037203
69234831213144,-0.2608102,0.9589833,-0.7430123
69234841141593,-0.0972921,1.0734993,-0.757926
69234851070042,0.028941728,0.9515264,-0.7339575
69234860998488,0.10244498,0.64473027,-0.6865533
69234870926937,0.15197977,0.3672289,-0.62423533
69234880855258,0.17008926,0.24365821,-0.5491342
69234890783704,0.14452292,0.23939715,-0.4319551
69234900712153,0.108303934,0.32355306,-0.23008749
69234910640602,0.086466014,0.49186486,0.027706513
69234920547434,0.09072707,0.6564482,0.17844144
69234930475627,0.1509145,0.54246485,0.0836329
69234940403820,0.29951888,0.29585618,-0.05591675
69234950332138,0.41137168,0.21276554,-0.1789548
69234960260331,0.35970634,0.1887971,-0.39200768
69234970188524,0.32082418,0.20104764,-0.48362043
69234980116714,0.34426,0.20690659,-0.44580355
69234990044907,0.34798843,0.19465604,-0.46923935
69234999973100,0.37462005,0.20956975,-0.54274255
69235009901418,0.39166427,0.3011825,-0.5496668
69235019829611,0.30271468,0.46043953,-0.47403306
69235029757804,0.117358685,0.61277235,-0.39786664
69235039689889,-0.087704726,0.7906715,-0.38987717
69235049618210,-0.32366082,0.9456675,-0.3541908
69235059546403,-0.54576844,1.0228992,-0.25778437
69235069474721,-0.6570886,1.047933,-0.1672369
69235079403042,-0.6885139,0.9344822,-0.10864734
69235089331235,-0.65495807,0.64259976,-0.10065785
69235099259553,-0.55748636,0.4183616,-0.07881993
69235109187874,-0.44829676,0.43114477,-0.05165569
69235119116067,-0.37319562,0.41729635,-0.13368106
69235129043629,-0.29489866,0.28733408,-0.23221803
69235138971950,-0.23151544,0.2974541,-0.21144536
69235148900271,-0.227787,0.48547328,-0.1608453
69235158828461,-0.27785444,0.8716316,-0.027154608
69235168756782,-0.49037468,1.3755018,0.26685837
69235178685103,-0.660817,1.7904222,0.4953576
69235188613421,-0.68798125,1.8990792,0.5060103
