UPTIMENANO,Ax,Ay,Az
69233920261465,0.019284246,0.24960977,0.5980478
69233940261466,0.15902743,0.08491733,-0.019645756
69233960261465,0.0665359,0.1191533,-0.48003265
69233980261465,0.30980504,0.30519035,-0.27380297
69234000261466,0.47158462,0.30979717,-0.023931151
69234020261465,0.36607176,0.20903187,-0.053236432
69234040261465,0.21691974,0.15708904,-0.23744985
69234060261466,-0.0039033156,0.19762504,-0.3382516
69234080261465,-0.23193437,0.20500003,-0.216497
69234100261465,-0.2376412,0.13515328,0.022271454
69234120261466,-0.17396773,0.23349027,0.15323347
69234140261465,-0.19842514,0.33185875,0.16954768
69234160261465,0.12843534,0.30544913,0.12894061
69234180261466,0.44582933,0.2743075,0.14178766
69234200261465,0.25459734,0.339999,0.3301306
69234220261465,-0.03917623,0.47633618,0.38681653
69234240261466,-0.021515457,0.4865124,0.06927013
69234260261465,0.07492604,0.26513052,-0.29606727
69234280261465,-0.24621388,-0.076680236,0.2802552
69234300261466,-0.17870967,-0.11017787,1.0798159
69234320261465,0.3166904,0.3341709,1.3447698
69234340261465,1.0481864,0.39937675,0.55161726
69234360261466,0.32025287,-0.086625226,-0.36266485
69234380261465,-1.0965236,-0.3795647,-0.2241898
69234400261465,-1.0087788,0.111707136,0.70041484
69234420261466,-0.1726678,0.10352899,1.0753772
69234440261465,0.36725047,-0.033769924,-0.06664939
69234460261465,0.19930497,0.25939155,-1.6703176
69234480261466,-0.9505313,0.34796464,-1.3364238
69234500261465,-1.6780586,0.24940595,-0.70335233
69234520261465,-0.21490839,0.069869146,-0.37448052
69234540261466,0.64503586,0.21065913,-0.19297013
69234560261465,0.5525366,0.22506057,-0.42555553
69234580261465,0.54475284,0.12181665,-0.5592264
69234600261466,0.42713663,-0.01088347,-0.25611424
69234620261465,0.03468463,0.09041272,-0.22277492
69234640261465,-0.27828202,0.33911914,-0.601354
69234660261466,-0.12702262,0.45540303,-1.0555668
69234680261465,-0.035469674,0.3812283,-1.0246315
69234700261755,-0.55205494,0.25879836,-0.43324396
69234720261756,-0.9702118,0.43625027,-0.009028191
69234740261755,-0.5667589,0.351416,-0.09308695
69234760261755,0.2758933,-0.003826291,0.23279697
69234780261756,0.6066661,0.30541587,0.7257573
69234800261755,1.3126738,0.18658906,0.34613913
69234820261755,1.9372307,-0.60250723,0.5398013
69234840261756,1.344385,-0.62295854,0.98424727
69234860261755,-0.11858937,0.13887167,0.70033634
69234880261755,-0.9211853,0.3145463,-0.32671395
69234900261756,-2.160752,0.9282851,-0.9895282
69234920261755,-1.717297,0.89140654,-0.38139609
69234940261755,0.7889477,-0.07692493,0.46446028
69234960261756,1.4350767,-0.22464877,0.13648447
69234980261755,0.43646201,-0.22448872,-0.01605427
69235000261755,-0.16208759,-0.3377626,0.18024391
69235020261756,-0.45817032,0.13730043,-0.57651347
69235040261755,-0.32635263,0.22667322,-1.26094
69235060261755,-0.39500266,-0.031401705,-1.112399
69235080261755,-0.65931886,0.13571444,-0.44768903
69235100261756,-0.55714655,0.6151753,0.061176524
69235120261755,-0.16147196,0.7933241,0.3281571
69235140261755,0.004411757,0.2867906,0.46461037
69235160261756,-0.4501931,-0.53054994,0.3149963
69235180261755,-0.77621436,-0.09938541,0.30635083
69235200261755,-0.43844053,0.82145137,0.8676767
69235220261756,0.25051284,0.7348379,1.4492836
69235240261755,0.81836945,0.37360635,1.5596211
69235260261755,-0.19817491,0.08208162,0.6253887
69235280261756,-0.44186386,-0.107845604,-1.0924197
69235300261755,0.5900323,0.52804595,-1.6298178
69235320261755,0.49438244,0.44979417,-0.39960206
69235340261756,-0.26667097,0.017206466,0.4418924
69235360261755,-0.057259068,0.034350842,0.46877596
69235380261755,-0.08675871,0.17557946,-0.39232302
69235400261756,-0.35940975,0.30399013,-1.4044205
69235420261755,-0.2583111,0.1682366,-0.6934494
69235440261755,-0.46712783,-0.38634637,0.05439154
69235460261756,-0.0138542475,-0.4077561,-0.1266285
69235480261755,0.51769644,-0.1669623,0.05597816
69235500261755,0.2854123,0.14415102,0.4083203
69235520261756,1.0874461,0.766581,0.86086386
69235540261755,1.4112865,0.84256124,0.52778095
69235560261755,0.26758277,0.17061818,0.015085971
69235580261756,-0.99379665,-0.49954537,-0.39300224
69235600261755,-1.302909,-0.6995851,0.3137376
69235620261755,-0.8967616,-0.29972818,0.8704213
69235640261756,-0.16093165,-0.08406173,0.3506654
69235660261755,0.24120751,0.049984246,-1.413952
69235680261755,0.4969551,0.07112815,-2.8682542
69235700261756,0.5055516,-0.08090538,-5.049933
69235720261755,-2.2724836,-0.91849136,-5.0614405
69235740261755,-2.1446326,-0.12879018,-4.0763535
69235760261756,-0.7110099,0.07213107,-3.4078882
69235780261755,0.47505453,-0.47404918,-2.4802475
69235800261755,1.4762435,-1.0093958,-1.602283
69235820261756,2.1395366,-0.6704782,-0.67170906
69235840261755,2.6040223,-0.29432863,-0.2004367
69235860261755,2.5714257,-0.14432554,-0.068639606
69235880261756,1.9632647,-0.6043936,0.7339626
69235900261755,1.5302566,-1.3426096,1.8486564
69235920261755,2.0490248,-1.1896673,3.420781
69235940261756,2.452483,-0.98974025,4.8407993
69235960261755,2.4166503,-1.0359851,5.240797
69235980261755,1.6906861,-0.85508406,4.151556
69236000261756,0.31917843,-1.1382073,0.64938945
69236020261755,-9.590694,-0.5549264,-15.464361
69236040261755,-17.932384,3.3627264,-15.10351
69236060261756,8.416436,-0.2368175,-0.77195597
69236080261755,11.822333,-2.3223655,2.4349387
69236100261755,2.0435867,1.6698003,-3.9532256
69236120261756,2.8032377,6.646442,-2.9657383
69236140261755,1.3136523,3.367265,1.5672177
69236160261755,-1.7552782,2.3905287,1.6042485
69236180261756,-0.4219649,3.517319,0.6334517
69236200261755,3.8302689,1.9138771,-1.1788752
69236220261755,4.793505,-1.1622834,-0.8295461
69236240261756,4.547076,-2.6166227,-1.3664947
69236260261755,8.501854,-3.9171267,-1.6561698
69236280261755,7.832025,-3.4916532,-0.54446614
69236300261756,1.5833197,-1.7194852,-1.1135402
69236320261755,3.3006563,0.70075953,-1.7939515
69236340261755,7.2379375,0.3496247,2.086494
69236360261755,8.440063,0.0032543025,1.3913683
69236380261755,9.001483,0.3135437,-4.1520076
69236400261755,6.268856,-3.3868685,-4.003971
69236420261755,6.8583283,-5.0708976,-1.8696973
69236440261755,6.280982,-4.286902,1.0314233
69236460261755,3.2593794,-3.9527507,2.9508305
69236480261755,1.857628,-3.03993,3.8396754
69236500261755,0.65700984,-3.7662082,5.9891768
69236520261755,-0.058819152,-5.395408,4.0904613
69236540261755,-0.6491987,-6.3702707,2.7956715
69236560261755,-2.0143523,-5.848934,2.1033175
69236580261755,-2.7036028,-5.89897,1.3769395
69236600261755,-1.9706843,-4.859832,-0.57809126
69236620261755,-1.7097273,-4.7439117,0.20000742
69236640261755,-1.9819944,-3.3608081,0.80281305
69236660261755,-0.90666854,-1.7385492,-0.5226684
69236680261755,-0.39809734,-0.9409141,-2.9632213
69236700261755,0.6498929,-0.7037758,-4.2865205
69236720262582,2.522771,1.9661874,-3.9087985
