UPTIMENANO,Ax,Ay,Az
69331032758796,-3.1542408,3.1566358,7.070098
69331052615053,-3.05844,3.3266823,9.026829
69331072471436,-2.3471193,3.4248781,11.151212
69331092327820,-1.4801221,3.1398706,10.5620365
69331112184205,-1.0011182,3.0225148,9.05557
69331132040626,-1.1807446,3.180586,8.322693
69331151897010,-1.7603394,3.4871485,9.11784
69331171753395,-1.8968556,2.9099488,9.841136
69331191610269,-2.090852,2.8620484,9.08431
69331211466653,-1.3028907,3.7362306,9.374106
69331231323038,-0.27303225,3.408113,9.7621
69331251176989,-0.16765137,3.2332766,9.086704
69331271033245,-0.4167334,3.7410207,8.772957
69331290889630,-0.10777588,3.786526,9.340576
69331310746013,0.45744875,3.420088,10.097403
69331330604780,0.39517823,3.4248781,10.497371
69331350461165,0.9364527,3.0249097,10.36804
69331370317548,0.08861572,3.671565,9.050779
69331390173932,-1.0178833,4.27032,8.844808
69331410030317,-1.0514137,3.9278321,9.273516
69331429886596,-0.8047266,4.026028,8.0999565
69331449742980,-0.5748047,4.734954,6.6413894
69331469599365,-0.46463382,4.3709106,8.787327
69331489455748,-0.4766089,3.6907253,9.750125
69331509312132,0.87418216,4.277505,8.389753
69331529168389,1.6262183,4.5960426,8.813672
69331549030319,1.0178833,4.2176294,8.772957
69331568886831,1.22625,4.5457473,7.2329593
69331588743216,2.2225783,4.9433208,6.847361
69331608599727,1.8130299,4.9433208,7.690408
69331628456467,1.2478052,4.253555,8.840017
69331648312980,1.4465919,4.0571632,8.454419
69331668169363,2.0405567,4.8187795,6.8808913
69331688025875,2.2177882,4.893025,7.0054326
69331707882388,1.7555494,4.24158,8.626861
69331727738899,1.6262183,3.786526,10.188414
69331747594478,1.7627344,3.9350173,9.316627
69331767450863,1.3819263,4.2224197,8.078402
69331787307374,1.2621753,4.5864625,8.4376545
69331807163886,1.4034815,3.410508,9.798025
69331827020271,1.4825171,2.6153615,11.02667
69331846880220,0.65384036,3.8392165,9.896221
69331866736732,1.2382251,4.90979,8.933423
69331886593373,1.6046631,4.6726832,8.399334
69331906449884,1.5447876,4.761299,7.589817
69331926300278,1.2837305,3.427273,9.503438
69331946156663,0.48618898,3.9206471,9.426797
69331966013046,1.4705421,4.064348,7.9826
69331985869430,1.8010547,4.3086405,8.794512
69332005725815,0.5939649,4.6918435,9.419612
69332025582326,0.46463382,4.5074267,8.028106
69332045434624,1.1927198,4.663103,7.8365045
69332065290881,0.8334668,4.3373804,7.94428
69332085147264,0.41912845,4.028423,8.253238
69332105003520,0.27542725,3.666775,9.16095
69332124859905,0.059875492,3.7697608,9.642349
69332144723573,0.1101709,2.8812087,9.287886
69332164580085,0.67539555,2.318379,8.878338
69332184436598,0.69216067,3.3434474,9.436378
69332204292981,0.8981324,2.9722195,10.312955
69332224151549,0.81909674,3.3793726,10.157278
69332244008062,1.3962965,3.7577858,9.604029
69332263864573,1.2957057,3.6811452,9.778865
69332283721213,0.59156984,3.283572,10.044712
69332303577726,0.06227051,2.9219239,9.635164
69332323434237,-0.76161623,2.1746778,9.3309965
69332343295258,-0.4263135,2.9674294,10.308165
69332363151899,1.829795,3.178191,10.791959
69332383008538,3.896697,3.4799635,9.683064
69332402865178,3.657195,3.3530276,9.244776
69332422721819,1.9567311,3.2500417,9.829161
69332442576544,1.4082716,2.8668385,10.121353
69332462433184,2.4980054,3.551814,6.2605815
69332482289825,3.537444,3.2572267,2.9003687
69332502146336,1.829795,3.2332766,4.272715
69332522010461,0.9364527,3.3578174,5.120552
69332541867102,0.5604346,3.1614258,5.633086
69332561723869,0.19878663,3.173401,6.09293
69332581580637,0.11496094,2.9674294,6.3228517
69332601437406,0.8310718,2.189048,6.0450296
69332621294173,1.9016455,1.7268091,6.464158
69332641149472,2.2680836,1.1400293,7.719148
69332661006241,2.1818628,0.34009278,8.801697
69332680862880,2.0022364,0.24908204,10.6817875
69332700719648,1.0226734,0.06945557,11.8074465
69332720576417,0.4526587,-0.6442603,11.316468
69332740430465,0.5412744,-1.2310401,11.508069
69332760287105,0.77359134,-1.336421,13.088782
69332780143874,0.92926764,-0.9651929,14.607224
69332800000513,-0.15088624,-1.0753639,14.425203
69332819857281,-1.6453785,-1.0226734,12.353511
69332839713922,-2.0166066,-1.0729688,9.453142
69332859566642,-0.37362307,-2.5866213,1.4968873
69332879423154,-1.719624,-2.6201515,-0.48379397
69332899279795,-0.8669971,-1.5687379,5.601951
69332919136306,4.6607084,-2.2177882,4.8571
69332938981816,6.559959,-2.2824538,8.133487
69332958838201,6.799461,-1.8992506,7.0509377
69332978694584,9.498648,-5.3073635,6.7659307
69332998550968,9.663904,-6.6485744,10.4494705
69333018407352,3.8655617,-3.8056862,9.77647
69333038263608,0.96040285,-1.9255958,7.441326
69333058116024,1.7387843,0.21315674,3.175796
69333077972280,6.832991,0.5245093,3.1973512
69333097828536,11.474539,-0.6682105,4.27032
69333117684920,13.677958,-2.8524685,3.5087037
69333137541176,12.861256,-1.1280543,-2.8836036
69333157391544,13.122313,0.48139894,-5.278623
69333177247800,14.410833,-1.4609619,3.6811452
69333197103928,7.089258,4.550537,6.0833497
69333216960752,11.235037,8.217313,-0.8885523
69333236816880,14.276712,10.487791,0.043110352
69333256667521,15.23951,8.825647,0.9627979
69333276523521,17.790205,5.3001785,-2.4165747
69333296379649,19.847528,2.9913795,-4.785249
69333316235777,19.696642,3.6140847,-3.6188745
69333336091777,13.491145,4.646338,1.8968556
69333355943878,10.032737,5.0606766,3.8368216
69333375799878,9.400452,5.1468973,6.2941117
69333395655878,9.83874,1.5328126,4.2056546
69333415511878,10.059082,0.31853762,-0.25147706
69333435367750,8.804092,1.1783496,1.9734962
69333455227345,8.087981,0.22273682,3.7003052
69333475083345,5.122947,-0.6610254,2.203418
69333494939345,4.617598,-1.089734,2.43813
69333514795473,5.8175025,-1.2070899,1.3555812
69333534651473,5.5253105,-1.1472144,-1.1711646
69333554513062,6.3899126,-4.373306,0.6825806
69333574369190,7.793394,-4.047583,1.3124708
69333594225190,7.9802055,-3.0033545,1.0801538
69333614081318,10.765614,-2.0980372,0.5556446
69333633937318,10.736873,-0.50534916,1.2813355
69333653785132,9.323812,2.43813,0.7041358
69333673641004,13.201348,5.0846267,0.43589357
69333693496876,16.278948,7.685618,0.49337405
69333713352620,16.355589,8.753797,0.46942386
69333733208492,13.745018,3.7074904,-1.456172
69333753077743,10.380015,5.113367,-2.567461
69333772933743,5.839058,8.281978,-0.15328126
69333792789871,8.823253,0.72569096,3.9422023
69333812645999,4.663103,-3.3242872,3.8008962
69333832501999,4.8163843,-2.7279274,2.5387208
69333852361095,9.297466,-2.299219,1.1687696
69333872217223,7.311995,-1.6741188,0.7951465
69333892073351,7.4652762,-0.30416748,0.5676197
69333911929479,15.033538,1.4202466,-0.30416748
69333931785607,9.371712,2.1722827,-1.8202149
69333951645782,6.4282327,4.5002418,-1.0346485
69333971502038,5.5612354,6.7898808,-0.85741705
69333991358294,6.9024467,9.924961,0.8047266
69334011214550,13.476775,10.492581,2.0357666
69334031070806,8.904683,9.788445,2.6081765
69334050936656,6.1480155,8.040081,2.1076174
69334070793040,6.2773466,7.424561,1.456172
69334090649424,5.589976,7.5323367,1.3867164
69334110505936,4.998406,7.9610453,1.2573853
69334130362320,4.84752,8.258028,0.6730005
69334150225395,4.361331,8.753797,0.7759864
69334170082035,4.3421707,9.158555,1.2310401
69334189938675,3.2548318,9.0076685,1.8106349
69334209795315,2.9961696,9.041199,1.456172
69334229652083,2.198628,6.241421,2.2656887
69334249513416,1.2933106,5.997129,-1.7699195
69334269370184,4.1888895,19.423609,-2.7087672
69334289227080,1.949546,19.785257,5.47741
69334309083848,1.0609937,9.091495,0.12933107
69334328940616,2.6776319,7.7071733,0.5221143
69334348796197,2.1650977,7.6353226,0.76401126
69334368653093,1.698069,8.389753,0.5221143
69334388509989,2.6177564,10.851834,0.24189699
69334408366757,1.7866846,10.138118,0.6682105
69334428223653,1.6022681,7.8269243,0.4382886
69334448081171,2.7279274,7.470066,1.0777588
69334467938195,4.5649076,8.789722,0.34488282
69334487795091,4.25595,8.995694,-1.7339942
69334507651987,2.4022048,9.273516,-1.1687696
69334527509011,1.3292359,9.79084,0.9651929
69334547367217,1.21188,9.82437,1.3220508
69334567224241,1.8345851,9.175321,1.3052857
69334587081137,3.04886,8.54543,1.0106983
69334606938033,4.0787187,9.505833,0.5676197
69334626795057,3.7122805,9.841136,1.2621753
69334646653708,1.0418335,9.611214,-3.8440065
69334666510732,-1.3100758,9.410032,-5.6714063
69334686367756,0.48139894,9.050779,-1.4920973
69334706224652,2.8883936,8.669971,1.096919
69334726081676,2.4069948,9.16095,-0.6610254
69334745938430,1.4920973,8.037686,-1.343606
69334765795454,0.48139894,7.9897857,-2.0405567
69334785652350,-4.176914,11.726016,-4.28948
69334805509374,-12.885205,14.214441,-4.7157936
69334825366270,-5.9564137,10.291399,-0.16286133
69334845217314,-1.3603711,8.466394,1.2789404
69334865074082,-4.038003,8.353828,0.8765772
69334884930978,-2.42376,9.201666,1.9279908
69334904787746,-1.5447876,10.008787,0.16046631
69334924644514,-0.89573735,9.982442,-2.198628
69334944488049,-0.1101709,9.848321,-2.1315675
69334964344561,-0.050295413,9.687855,-1.0346485
69334984201073,-0.47181886,9.7740755,0.2203418
69335004057585,-0.852627,9.831555,0.49576905
69335023914225,-1.0011182,9.601634,-0.5221143
69335043763520,-0.9532178,9.498648,-1.343606
69335063619904,-0.91250247,9.520203,-1.1687696
69335083476288,-0.9412427,9.570498,-0.61552006
69335103332672,-0.9196875,9.592053,-0.57959473
69335123189056,-0.9053174,9.644744,-0.7951465
69335143045751,-1.1663746,9.635164,-0.92208254
69335162902263,-1.5040723,9.596844,-1.0585986
69335182758647,-1.7555494,9.580078,-1.0346485
69335202615031,-1.8561403,9.584868,-0.88376224
69335222472107,-1.7651294,9.642349,-0.78556645
69335242323182,-1.4753321,9.639954,-0.79035646
69335262179438,-1.1903248,9.64714,-0.90052736
69335282035566,-1.0083033,9.575289,-1.0130934
69335301891822,-0.99393314,9.536968,-1.1520045
69335321747950,-1.22146,9.613608,-1.1208692
69335341590967,-1.5328126,9.663904,-0.9364527
69335361446967,-1.7315992,9.632769,-0.79035646
69335381302967,-1.6717237,9.601634,-0.82388675
69335401158967,-1.4920973,9.596844,-0.88376224
69335421014967,-1.4058765,9.642349,-0.8382569
69335440869900,-1.3962965,9.627979,-0.78556645
69335460725900,-1.3483961,9.572893,-0.8143067
69335480581772,-1.2933106,9.671089,-0.93405765
69335500437644,-1.3004956,9.687855,-1.0633887
69335520293516,-1.3268409,9.606423,-1.094524
69335540153795,-1.3651612,9.5633135,-1.0562036
69335560009667,-1.3771362,9.565708,-0.97956306
69335579865667,-1.2981006,9.577683,-0.9867481
69335599721539,-1.2478052,9.623189,-0.98435307
69335619577539,-1.2669654,9.620794,-0.90771246
69335639433411,-1.3220508,9.584868,-0.974773
69335659296092,-1.4441968,9.599238,-1.1999048
69335679152093,-1.6022681,9.651929,-1.2549903
69335699008219,-1.6549586,9.649534,-1.2022998
69335718864348,-1.6142433,9.5633135,-1.1088941
69335738720349,-1.5160475,9.560919,-1.096919
69335758571882,-1.2358302,9.656719,-1.1639795
69335778427879,-0.90052736,9.70941,-1.0777588
69335798283751,-0.7089258,9.649534,-0.8262818
69335818139751,-0.73527104,9.663904,-0.6011499
69335837995751,-1.0106983,9.73815,-0.53169435
69335857864513,-1.2981006,9.690249,-0.62749517
69335877720770,-1.4154567,9.577683,-0.7424561
69335897576899,-1.4274317,9.623189,-0.7711963
69335917433156,-1.4202466,9.6758795,-0.90771246
69335937289413,-1.3651612,9.606423,-1.0011182
69335957148766,-1.2789404,9.534574,-1.0394385
69335977005017,-1.1807446,9.515413,-1.089734
69335996861273,-1.1735597,9.613608,-1.1567944
69336016717401,-1.3148658,9.666299,-0.977168
69336036573657,-1.3675562,9.613608,-0.7376661
69336056436294,-1.3100758,9.580078,-0.6322852
69336076292678,-1.2478052,9.608819,-0.81191164
69336096149062,-1.2549903,9.673484,-0.9580079
69336116005318,-1.3220508,9.7142,-0.847837
69336135861702,-1.4202466,9.637559,-0.8310718
69336155722150,-1.4370118,9.5561285,-0.9963282
69336175578534,-1.4250367,9.5633135,-1.101709
69336195435046,-1.4130616,9.553733,-1.0346485
69336215291559,-1.3747413,9.568104,-0.8909473
69336235148070,-1.2813355,9.642349,-0.847837
69336255014078,-1.2310401,9.656719,-0.7759864
69336274870718,-1.2717555,9.6686945,-0.7424561
69336294727486,-1.3388159,9.6686945,-0.82388675
69336314584254,-1.3915064,9.673484,-0.96040285
69336334440894,-1.4298267,9.659114,-0.8981324
69336354309913,-1.3986914,9.623189,-0.7783814
69336374166938,-1.3268409,9.580078,-0.84544194
69336394024091,-1.3292359,9.592053,-1.0106983
69336413881113,-1.334026,9.608819,-1.0154883
69336433738138,-1.3052857,9.589659,-0.86939216
69336453591693,-1.2933106,9.589659,-0.8909473
69336473448846,-1.3076807,9.623189,-0.9484278
69336493305871,-1.2597803,9.606423,-0.8981324
69336513163024,-1.22146,9.611214,-0.8286768
