UPTIMENANO,P
69583214076988,1013.50977
69583313384425,1013.5096
69583413292850,1013.51465
69583511949749,1013.5142
69583611369773,1013.5159
69583710515072,1013.5205
69583809874047,1013.5205
69583909110921,1013.517
69584008530945,1013.5205
69584107645719,1013.5167
69584207126794,1013.52216
69584306363668,1013.52716
69584405508967,1013.52515
69584504684791,1013.52295
69584604226916,1013.52856
69584703250115,1013.5194
69584802609089,1013.519
69584906485768,1013.52313
69585001571238,1013.53156
69585100777587,1013.54
69585199739736,1013.5485
69585298793460,1013.55194
69585397765073,1013.54974
69585496666172,1013.55597
69585595628321,1013.56116
69585694346270,1013.5696
69585793308419,1013.5646
69585892331618,1013.56793
69585990683266,1013.5561
69586090072766,1013.5352
69586189492790,1013.54535
69586288454939,1013.55725
69586387661288,1013.5624
69586486745537,1013.5691
69586585768736,1013.5636
69586684791935,1013.5773
69586783662509,1013.5958
69586882410983,1013.5806
69586981251032,1013.5844
69587080030031,1013.5822
69587178717454,1013.5838
69587277526978,1013.5891
69587376282978,1013.5891
69587475031452,1013.59393
69587573963076,1013.59576
69587673169425,1013.6095
69587772314724,1013.61456
69587871826323,1013.62305
69587971734748,1013.62476
69588070820517,1013.6299
69588170271068,1013.63837
69588269599517,1013.6401
69588372072046,1013.6541
69588468744817,1013.6592
69588568225892,1013.6609
69588667829067,1013.65875
69588767340668,1013.6728
69588866760693,1013.68134
69588966119668,1013.6914
69589065631267,1013.71576
69589165081818,1013.72925
69589264654467,1013.739
69589363921868,1013.7548
69589463341893,1013.7683
69589562822968,1013.78534
69589662273519,1013.79895
69589761357768,1013.8159
69589861052519,1013.83295
69589960960944,1013.85504
69590060442019,1013.8669
69590159831518,1013.8816
69590259190493,1013.89746
69590358671568,1013.90765
69590457908443,1013.91785
69590557389518,1013.92975
69590656931643,1013.9399
69590756412718,1013.95685
69590855863267,1013.97894
69590955283292,1014.0028
69591054672776,1014.018
69591154031751,1014.0368
69591253543350,1014.05206
69591352932851,1014.0673
69591452413926,1014.09406
69591552047627,1014.1161
69591651498176,1014.1382
69591750918201,1014.1619
69591850307700,1014.1789
69591949697199,1014.1993
69592054214904,1014.21625
69592148873025,1014.24347
69592248384624,1014.26385
69592348048849,1014.2825
69592447529924,1014.3012
69592547072049,1014.31946
69592646644698,1014.3432
69592746156299,1014.3653
69592845728948,1014.3874
69592945271073,1014.3992
69593044813198,1014.41266
69593144385849,1014.4279
69593243927974,1014.445
69593343439573,1014.45685
69593442890124,1014.47723
69593542462773,1014.4942
69593642096474,1014.50433
69593741669123,1014.52313
69593841241774,1014.535
69593941058625,1014.55194
69594040326012,1014.5706
69594139868137,1014.5854
69594241272288,1014.60583
69594338982911,1014.6262
69594438250310,1014.6398
69594540753363,1014.65485
69594638006112,1014.6769
69594737700861,1014.6921
69594838097688,1014.70544
69594936663011,1014.7242
69595036235662,1014.739
69595135899887,1014.7504
69595235472536,1014.76904
69595335045187,1014.7958
69595434831512,1014.8128
69595534221013,1014.828
69595638647142,1014.84344
69595733305263,1014.8535
69595833274738,1014.87054
69595933488413,1014.8909
69596032633712,1014.91077
69596132267413,1014.9239
69596231870588,1014.9423
69596331443237,1014.9577
69596430832736,1014.9746
69596530435911,1014.98944
69596629947512,1014.99756
69596729520161,1015.0095
69596829062286,1015.02655
69596928482311,1015.0452
69597028085475,1015.06195
69597128299150,1015.0802
