UPTIMENANO,Mx,My,Mz
69603768566689,-11.962809,-9.190116999999999,0.40523148
69603788430668,-11.662809,-9.190116999999999,0.40523148
69603808284735,-11.062811,-9.190116999999999,0.5552292
69603828138688,-10.762808,-9.190116999999999,0.5552292
69603847992769,-9.862810000000001,-9.190116999999999,0.5552292
69603867849770,-8.962809,-9.190116999999999,1.0052299999999998
69603887703851,-8.812809,-9.190116999999999,1.0052299999999998
69603907557932,-9.412809,-8.590116499999999,1.0052299999999998
69603927412013,-9.412809,-8.290117,1.0052299999999998
69603947265966,-9.412809,-6.190117,1.0052299999999998
69603967128995,-9.412809,-6.7901172999999995,0.7052307
69603986983332,-9.412809,-6.940117,0.7052307
69604006837541,-9.412809,-6.940117,0.40523148
69604026691750,-9.412809,-6.940117,-0.044769287000000005
69604046545959,-9.412809,-6.940117,-0.64476776
69604066400168,-9.412809,-6.940117,-1.6947708
69604086257619,-8.812809,-6.940117,-0.7947693
69604106111943,-8.662809,-6.940117,-0.7947693
69604125966152,-6.862808,-6.940117,-1.2447700000000002
69604145820489,-7.312809,-6.940117,-1.5447693
69604165675918,-6.862808,-6.940117,-1.5447693
69604185530255,-6.562809,-6.940117,-1.5447693
69604205384720,-6.4128094,-6.940117,-1.5447693
69604225239057,-6.562809,-6.940117,-1.5447693
69604245093394,-6.562809,-6.940117,-1.5447693
69604264954299,-6.562809,-6.7901172999999995,-1.6947708
69604284808764,-6.562809,-6.7901172999999995,-2.2947693
69604304663229,-6.562809,-6.7901172999999995,-2.2947693
69604324517822,-6.562809,-6.7901172999999995,-2.2947693
69604344372287,-6.562809,-6.7901172999999995,-2.2947693
69604364226752,-6.562809,-6.7901172999999995,-2.2947693
69604384085483,-6.562809,-6.7901172999999995,-2.4447707999999997
69604403940191,-6.4128094,-6.490118,-2.74477
69604423794784,-6.262809799999999,-6.3401165,-2.74477
69604443649505,-5.812809,-6.3401165,-2.74477
69604463510480,-4.762809799999999,-5.8901176,-2.74477
69604483365329,-4.1628093999999995,-5.8901176,-2.74477
69604503220306,-4.312809,-5.440117,-2.74477
69604523075155,-4.1628093999999995,-5.440117,-2.74477
69604542930004,-4.1628093999999995,-4.8401165,-2.74477
69604562784853,-4.4628086,-4.240118,-2.74477
69604582639684,-4.4628086,-3.940117,-2.74477
69604602494533,-4.312809,-3.7901172999999995,-2.74477
69604622349382,-4.312809,-3.190117,-2.74477
69604642204359,-4.312809,-3.490118,-2.74477
69604662059208,-4.312809,-3.6401176,-2.4447707999999997
69604681916331,-4.312809,-3.490118,-2.4447707999999997
69604701771294,-4.1628093999999995,-3.0401173,-2.4447707999999997
69604721626143,-3.8628082000000004,-3.0401173,-2.2947693
69604741481120,-4.012809799999999,-2.8901176,-2.2947693
69604761337675,-4.012809799999999,-2.7401161,-2.1447678
69604781192524,-3.5628089999999997,-2.7401161,-2.1447678
69604801047501,-3.5628089999999997,-2.5901183999999997,-2.1447678
69604820902478,-3.5628089999999997,-1.9901161,-2.1447678
69604840757455,-3.5628089999999997,-1.5401154,-1.8447685
69604860612432,-3.5628089999999997,-0.9401169,-1.6947708
69604880469055,-3.5628089999999997,-0.49011612,-2.1447678
69604900324160,-3.5628089999999997,-0.49011612,-2.1447678
69604920179137,-3.5628089999999997,-0.34011840000000004,-2.1447678
69604940034242,-3.5628089999999997,-0.34011840000000004,-2.2947693
69604959889219,-3.5628089999999997,-0.34011840000000004,-2.2947693
69604979736370,-3.5628089999999997,0.25988388,-2.2947693
69604999591205,-3.4128093999999995,0.40988159999999996,-2.4447707999999997
69605019446182,-2.3628082000000004,0.5598831,-2.4447707999999997
69605039301159,-2.2128086,1.1598816,-2.4447707999999997
69605059141392,-2.812809,1.6098823999999998,-2.4447707999999997
69605078995985,-3.1128082000000004,1.6098823999999998,-2.4447707999999997
69605098850578,-3.1128082000000004,1.7598839,-2.4447707999999997
69605118705171,-3.1128082000000004,1.7598839,-2.4447707999999997
69605138559764,-3.1128082000000004,1.7598839,-2.4447707999999997
69605158414357,-3.1128082000000004,1.7598839,-2.74477
69605178260416,-3.1128082000000004,1.7598839,-2.74477
69605198114753,-3.1128082000000004,1.7598839,-3.1947707999999997
69605217969090,-3.1128082000000004,1.7598839,-3.4947699999999995
69605237823427,-2.9628086,1.9098816000000003,-4.694771
69605257677764,-1.1628094,1.9098816000000003,-4.5447693
69605277531127,-2.2128086,2.3598824,-4.5447693
69605297385452,-2.3628082000000004,2.5098839,-4.5447693
69605317239661,-2.3628082000000004,2.809883,-4.5447693
69605337093870,-2.2128086,4.759884,-4.5447693
69605356948207,-2.2128086,4.309883,-4.5447693
69605376802416,-2.2128086,3.8598824,-4.694771
69605396657101,-2.2128086,3.8598824,-4.694771
69605416511310,-2.2128086,3.8598824,-4.694771
69605436365647,-2.062809,3.8598824,-4.99477
69605456219984,-1.4628086,3.8598824,-5.1447678
69605476069811,-1.4628086,3.7098845999999996,-5.74477
69605495923892,-1.4628086,3.4098816,-6.3447685
69605515778101,-1.4628086,3.4098816,-7.0947685
69605535632310,-1.1628094,3.4098816,-7.0947685
69605555486391,-1.1628094,3.2598839,-6.6447678
