UPTIMENANO,P
351417969996678,1013.75964
351418069477752,1013.7562
351418168897777,1013.754
351418268287276,1013.7574
351418367402050,1013.7591
351418467066275,1013.7591
351418566425249,1013.75684
351418665753699,1013.75854
351418765173723,1013.7657
351418864421225,1013.771
351418963536000,1013.776
351419062742349,1013.7778
351419162040273,1013.77936
351419261490822,1013.781
351419360422446,1013.7843
351419459781421,1013.7897
351419558987770,1013.7946
351419658468844,1013.8031
351419757858344,1013.81323
351419857156268,1013.81506
351419957186793,1013.80945
351420056148942,1013.81445
351420155233191,1013.8229
351420254866891,1013.8229
351420354134290,1013.8173
351420453554315,1013.8156
351420552913289,1013.8104
351420652241738,1013.81396
351420751570188,1013.8138
351420850786927,1013.8173
351420950176426,1013.82587
351421049321725,1013.8343
351421148650175,1013.8516
351421247917574,1013.8516
351421347184973,1013.84827
351421446452372,1013.8382
351421545902922,1013.8467
351421645353471,1013.8619
351421744590346,1013.8686
351421844010370,1013.8788
351421943674595,1013.88885
351422043125144,1013.90625
351422142850419,1013.9096
351422242575694,1013.92316
351422342392543,1013.9454
351422444712446,1013.9504
351422541843093,1013.96735
351422641690468,1013.9775
351422742819895,1013.99316
351422839959550,1014.01404
351422939562725,1014.031
351423040600576,1014.0445
351423138372248,1014.0564
351423237700698,1014.07684
351423338891174,1014.1047
351423436571272,1014.1239
351423536174446,1014.1392
351423636723897,1014.15436
351423735045020,1014.17145
351423834403994,1014.1867
351423935563946,1014.20575
351424032908268,1014.2227
351424132389342,1014.2358
351424232511442,1014.2604
351424331656743,1014.27216
351424431320968,1014.28357
351424531046243,1014.30096
351424630710468,1014.3248
351424730374693,1014.34
351424830130490,1014.36035
351424928394825,1014.39124
351425028120100,1014.4172
351425127387499,1014.42847
351425227082249,1014.4544
351425326777000,1014.46625
351425426563325,1014.4849
351425526288600,1014.5017
351425625983351,1014.51874
351425725708626,1014.5358
351425824243421,1014.56287
351425923785546,1014.57465
351426023083470,1014.58484
351426122778220,1014.5971
351426222534021,1014.61414
351426322320346,1014.6367
351426421984571,1014.6553
351426521740372,1014.6792
351426623113999,1014.6893
351426721160398,1014.70795
351426819725717,1014.7249
351426919668752,1014.74
351427019241401,1014.7603
351427119027726,1014.7794
351427219302451,1014.7913
351427318386700,1014.8003
351427418081451,1014.81
351427517745676,1014.8256
351427617562527,1014.8446
351427717257276,1014.86835
351427816738349,1014.88184
351427915547873,1014.9006
351428014845797,1014.9091
351428114357396,1014.9278
351428214113197,1014.94684
351428313838472,1014.96045
351428413472171,1014.9756
351428513075346,1014.9943
351428612831147,1015.0117
351428712434322,1015.0235
351428811213318,1015.0371
351428910394165,1015.0509
351429010058390,1015.0732
351429109356314,1015.09393
351429209051064,1015.1074
351429308135313,1015.1211
351429407646913,1015.1346
351429508043738,1015.1531
351429607402712,1015.1873
351429707127987,1015.20984
351429806364861,1015.2284
351429905754361,1015.2453
351430005327010,1015.25555
351430104685985,1015.26904
351430203922859,1015.2882
351430303617609,1015.3
351430404197584,1015.31067
351430503007109,1015.32983
351430602793434,1015.3422
351430704594411,1015.3535
351430801145081,1015.3704
351430900595924,1015.39124
351431003098976,1015.4117
351431100138048,1015.4273
351431199802273,1015.4392
351431300382248,1015.451
351431399313873,1015.4646
351431498978098,1015.4787
351431598917049,1015.49225
351431698367598,1015.50757
351431797085545,1015.5193
351431897299220,1015.5364
351431995956119,1015.55334
351432095498244,1015.57074
351432196780295,1015.5829
351432294551968,1015.5985
351432394002517,1015.6136
351432493697267,1015.6395
351432593269916,1015.6581
351432692567841,1015.6808
351432791896290,1015.7033
351432891438414,1015.71875
351432991319807,1015.7322
351433092052408,1015.749
351433191289282,1015.77325
351433291380857,1015.7921
351433391136657,1015.80597
351433490434581,1015.84155
351433590526156,1015.8569
351433689579881,1015.8771
351433788816755,1015.8962
351433890190381,1015.9097
351433987748379,1015.927
351434087198928,1015.94257
351434188572555,1015.9542
351434286435802,1015.97644
351434386130553,1015.99207
351434485825304,1016.0079
351434585550579,1016.018
351434685275854,1016.0386
351434784909551,1016.05707
351434883444349,1016.0724
351434983593333,1016.09644
351435083410182,1016.1139
351435182830207,1016.12573
351435282616532,1016.14453
351435382219707,1016.167
351435481944982,1016.18054
351435581609207,1016.19794
351435681212382,1016.2135
351435780174529,1016.2271
351435879380878,1016.2409
351435979136678,1016.2456
351436079441928,1016.26117
351436178984053,1016.282
351436278373552,1016.3012
351436378037777,1016.31647
351436477732528,1016.3369
351436577366227,1016.3471
351436677060978,1016.3674
351436775748400,1016.3863
351436875504199,1016.4071
351436975352530,1016.41583
351437077641908,1016.43164
351437174711505,1016.4468
351437274467304,1016.4828
351437375535681,1016.49304
351437473948380,1016.5151
351437573643131,1016.5359
351437673521030,1016.5584
351437772513702,1016.5773
351437871720052,1016.5821
351437971109551,1016.5993
351438070865351,1016.6184
351438170315900,1016.6357
351438269980125,1016.6627
351438369644350,1016.6868
351438469430675,1016.7024
351438569186476,1016.71606
351438668911751,1016.72943
351438768362300,1016.7453
351438867416022,1016.76953
351438967171822,1016.79144
351439067267068,1016.81683
351439166748143,1016.8321
351439266564994,1016.8542
351439366259743,1016.86774
351439465893444,1016.8812
351439565618719,1016.9004
351439667022870,1016.9139
351439765282943,1016.92914
351439863665115,1016.94824
351439963573540,1016.967
351440062291488,1016.98456
351440161497837,1017.00006
351440263085139,1017.0171
351440360765237,1017.0358
351440459910536,1017.046
351440561192587,1017.0684
351440659880011,1017.086
