UPTIMENANO,Ax,Ay,Az
351417876915447,0.1385068,-0.20491195,-0.17651078
351417896915447,0.29621845,-0.021289194,-0.5025498
351417916915447,0.13753997,0.40686628,-0.2619978
351417936915447,-0.08632164,-0.053164013,0.07463776
351417956915447,-0.12482423,-0.182872,0.5207696
351417976915447,-0.22894453,-0.22630396,0.6839867
351417996915447,-0.13867,0.05131741,0.2743388
351418016915447,0.17382099,-0.05435291,-0.20574974
351418036915447,0.39846668,-0.3668061,0.09126034
351418056915447,-0.26655173,0.020751169,0.95404816
351418076915447,-1.1612396,0.40038663,1.1333867
351418096915447,-0.9968601,-0.018775921,-0.428249
351418116915447,-0.16387531,-0.97425056,-0.8839084
351418136915447,-0.17582273,-1.7516993,0.46507344
351418156915447,-1.0353397,-2.5466542,1.3787766
351418176915447,-0.4606963,-0.33923808,1.6375464
351418196915447,-0.42104793,0.27000058,0.6276023
351418216915447,-0.9284565,0.4107756,-0.39000708
351418236915447,0.231202,1.2767972,-1.6082379
351418256915447,1.800794,1.6737107,-1.7540573
351418276915447,1.659569,1.1302278,-0.9820733
351418296915447,0.10962943,0.6321409,-0.3189415
351418316915447,-0.5846471,-0.3954473,0.17685628
351418336915447,-0.11549851,-0.49542746,-0.16547976
351418356915447,0.18849269,0.0450587,-0.5694069
351418376915447,-0.04418776,-0.13752571,-0.14641495
351418396915447,-0.5417222,-0.6204485,0.62954015
351418416915447,-0.80881166,-1.0269382,0.81643564
351418436915447,-0.3199628,-1.0027877,-0.36436453
351418456915447,0.31922746,-0.3172483,-1.128071
351418476915447,0.60890234,1.4953088,-0.46354625
351418496915447,0.15025967,0.7269018,-0.3084254
351418516915447,-0.33050922,-0.12632754,-0.02040854
351418536915447,-0.62287337,-0.4308341,0.3035002
351418556915447,-0.015674785,-0.5162727,-0.5440056
351418576915447,0.7159252,0.075708635,-1.3034729
351418596915447,2.534858E-4,0.63063776,-0.3100571
351418616915447,-0.80153614,0.6162387,1.0508921
351418636915447,-0.13190278,-0.08985827,0.57136154
351418656915447,0.45284137,-0.1575862,-1.0120704
351418676915448,-0.30256063,-0.22921968,-0.78507096
351418696915447,-0.57572734,-0.46541774,0.30203354
351418716915447,0.01457929,-1.2456249,0.3435038
351418736915448,-0.32667378,-1.1951786,0.6736503
351418756926075,-1.3684858,0.14755137,1.237754
351418776926075,-1.2404897,1.1052389,0.5972942
351418796926076,0.7843337,0.2562293,-0.58443284
351418816926075,1.423628,-0.5197399,-0.38977054
351418836926075,-0.22875613,-0.3534875,0.5655766
351418856926076,-2.0247297,0.24383298,1.1882768
351418876926075,-1.8331786,0.15930326,1.227339
351418896926075,-0.50781244,-0.37874517,-0.3546298
351418916926076,0.2500383,-0.60369176,-1.6985778
351418936926075,0.10284386,-0.67126817,-0.30122453
351418956926075,-0.6398606,-1.0470512,0.73985887
351418976926076,-0.7790453,-1.0233761,-0.28536198
351418996926075,-0.25534663,-1.3492359,-1.1493161
351419016926075,1.0585037,-1.0612099,-1.1890522
351419036926076,3.6217299,-0.95329404,-1.906064
351419056926075,2.7768037,-0.65534824,-3.9734247
351419076926075,-0.14881589,-0.9333707,-4.6984587
351419096926076,-0.24907176,-2.179673,-3.517942
351419116926075,0.18141784,-1.7232208,-2.536221
351419136926075,-0.030002961,-1.4236739,-2.8928435
351419156926076,-0.08734245,-2.6615925,-3.9138896
351419176926075,-0.04129462,-3.4618452,-4.317808
351419196926075,-1.0393612,-3.0977294,-2.9292789
351419216926076,-2.0896409,-2.34873,-0.48794845
351419236926075,-4.431916,-2.0737681,2.290495
351419256926075,-4.086465,-0.16342868,4.6148696
351419276926076,-0.28413975,3.2673912,3.1823087
351419296926075,3.9720201,5.0051956,-5.481768
351419316926075,-1.3122731,0.2573055,-4.71938
351419336926076,-3.2474468,0.061788652,-2.0710354
351419356926075,-2.6103113,0.11727726,-1.8011374
351419376926075,-4.637237,-3.0340648,3.8601358
351419396926076,-5.260756,-3.1979558,8.134601
351419416926075,-1.7621893,-0.231639,5.541061
351419436926075,1.1515672,1.0773007,-0.8495324
351419456926076,0.66641665,-0.6014406,-5.723891
351419476926075,-0.03210001,-3.2447426,-5.4011087
351419496926075,-0.034491513,-2.8414001,-3.3512976
351419516926076,-0.44409478,-1.4965835,-2.8695693
351419536926075,-1.2605193,-1.1390485,-0.48776597
351419556926075,-2.3138957,1.6164932,-0.23884659
351419576926076,-3.210746,1.998781,-2.845529
351419596926075,-3.8562791,3.18541,-1.7793119
351419616926075,-2.695971,7.417414,1.3901241
351419636926076,-1.9522896,8.776455,4.8005166
351419656926075,0.9655526,8.54109,6.9137783
351419676926075,3.086949,6.98272,7.1326437
351419696926076,2.728828,6.483841,9.179463
351419716926075,6.0172772,3.7959297,9.591203
351419736926075,6.55496,1.2483208,8.577489
351419756926076,4.0123067,1.9954367,8.299961
351419776926075,5.27255,-7.333251,6.1526136
351419796926075,1.7223285,-12.526966,4.611929
351419816926076,1.9659148,-8.856492,3.6264822
351419836926075,3.036045,-1.6021823,2.8265224
351419856926075,2.0798287,4.2449346,0.2383994
351419876926076,1.9111326,5.5179796,-1.2964994
351419896926075,1.7677699,7.3641744,0.2730224
351419916926075,-1.2294422,10.494467,-5.2623096
351419936926076,1.7529304,6.1080856,-9.489354
351419956926075,1.3870757,2.6322036,-11.626978
351419976926075,2.7377996,-3.6802928,-12.490498
351419996926075,5.34811,-6.8772616,-11.070368
351420016926076,4.4280076,-1.995917,-5.0799417
351420036926075,2.874976,6.3584585,0.1041815
351420056926075,0.124055244,3.6460073,-0.8466829
351420076926076,-1.4148697,2.9164457,4.850306
351420096926075,-2.7889109,0.9544072,6.8346252
351420116926075,-1.435792,5.387136,4.829432
351420136926076,1.9143178,1.1361113,6.9815855
351420156926075,2.0508976,-4.685445,10.989458
351420176926075,1.9648637,-4.1893687,8.1986265
351420196926076,1.7623643,-6.308659,1.326336
351420216926075,0.43060288,-5.6147466,-0.89995587
351420236926075,-2.9892612,-0.62821066,-1.4888489
351420256926076,1.573531,-1.1558791,-1.7578425
