UPTIMENANO,Gx,Gy,Gz
351417894943978,0.018502839,0.15480325,-0.04389836
351417904870635,-0.023575108,0.0072641224,-0.02578886
351417914797164,-0.0432825,-0.19939719,-0.0028856753
351417924723818,-0.020379314,-0.27716148,-0.005548836
351417934650475,0.005187032,-0.23987724,-0.012473055
351417944577004,0.014774411,-0.23082249,-0.005016204
351417954514471,0.046732347,-0.28302044,0.0013753825
351417964441256,0.11757243,-0.35705632,-0.022060435
351417974367913,0.20758729,-0.4358859,-0.06573628
351417984294695,0.2928084,-0.52803123,-0.088106826
351417994221352,0.3466043,-0.6079261,-0.087041564
351418004148137,0.3519306,-0.6595914,-0.071062595
351418014074919,0.3087874,-0.7464104,-0.0726605
351418024001576,0.25499153,-0.89128643,-0.12432582
351418033928361,0.22356625,-1.0100634,-0.21061225
351418043858098,0.21397887,-1.1560047,-0.29530075
351418053784883,0.2459368,-1.3317733,-0.33950922
351418063711668,0.35086533,-1.4303102,-0.34643346
351418073638450,0.5532656,-1.4558766,-0.33471555
351418083565235,0.74448055,-1.1442868,-0.24203755
351418093492020,0.7679164,-0.5791639,-0.009277263
351418103418802,0.5697772,-0.10032759,0.25970203
351418113345587,0.27842736,0.18250012,0.42694855
351418123272372,0.09307135,0.3241803,0.44559067
351418133201295,0.05951552,0.3444203,0.249582
351418143128080,0.1649767,0.1324327,-0.21593857
351418153054865,0.43395597,-0.2723678,-0.7597561
351418162981647,0.7370237,-0.6718419,-0.97227633
351418172908432,0.9303692,-1.2028763,-0.9962448
351418182835217,1.042222,-1.7568139,-1.0010386
351418192761999,1.1556727,-2.180789,-1.0100932
351418202688912,1.3101361,-2.4929116,-0.9520363
351418212615697,1.4305109,-2.6633537,-0.8050298
351418222542479,1.4741868,-2.6798654,-0.6287285
351418232469264,1.3958899,-2.3815913,-0.44763356
351418242396049,1.1732496,-1.8633403,-0.27506074
351418252325780,0.88669336,-1.5112704,-0.18983959
351418262252565,0.60280037,-1.316327,-0.15628377
351418272179478,0.36790958,-1.1719837,-0.10089
351418282106260,0.18361883,-1.110731,-0.016734112
351418292033173,0.09786504,-1.2161921,0.04611649
351418301960086,0.14047562,-1.3141965,0.06582388
351418311886868,0.24167575,-1.0915562,0.042920694
351418321813781,0.31837478,-0.67290723,0.002440647
351418331740566,0.3007979,-0.5999366,-0.015136217
351418341667134,0.22889256,-0.45399538,-0.028984653
351418351594047,0.13088824,-0.15359081,-0.011940423
351418361520832,0.032351274,0.08449579,0.030670157
351418371447742,-0.043815132,0.20646857,0.050377548
351418381374527,-0.0763057,0.22298017,0.033865947
351418391301440,-0.046478294,0.16172746,-0.005548836
351418401228222,0.039808128,0.06372313,-0.07692155
351418411155135,0.18947779,3.3990355E-4,-0.2031554
351418421081920,0.33595163,0.0051335935,-0.27665862
351418431008830,0.40838963,0.07171262,-0.33205238
351418440935615,0.38708434,0.21072963,-0.4577536
351418450862528,0.30612424,0.4349678,-0.6180759
351418460804926,0.20758729,0.6677281,-0.5834548
351418470731967,0.083483964,0.74016607,-0.26440808
351418480659008,-0.042217236,0.5723869,0.04398596
351418490586046,-0.11465522,0.30820134,0.113760784
351418500513087,-0.13489524,0.21871911,0.0908576
351418510440128,-0.13968892,0.16652116,0.115891315
351418520367166,-0.10506784,0.0072641224,0.14678398
351418530294207,-0.025705637,-0.06996755,0.16223031
351418540221248,0.050993405,0.053603128,0.10364077
351418550143745,0.06643973,0.2533402,0.004038544
351418560070786,-0.057130937,0.46213204,0.04611649
351418569997827,-0.309066,0.5271132,0.14252292
351418579924865,-0.58443683,0.36306244,0.28846416
351418589851778,-0.7713908,0.15693377,0.46210226
351418599778819,-0.75807494,0.07544105,0.51962656
351418609705857,-0.5412936,-0.015106431,0.55105186
351418619632770,-0.24195431,-0.26118252,0.5228223
351418629559811,0.008915457,-0.5221723,0.3917948
351418639489610,0.10319136,-0.74321467,0.27887678
351418649416523,0.077625014,-0.9083307,0.23892935
351418659343564,0.0067849285,-1.0952846,0.22295038
351418669270602,-0.10293731,-1.22791,0.25863677
351418679197643,-0.09761099,-1.2087352,0.37475058
351418689124684,-0.011324568,-1.0292382,0.42002434
351418699051722,-0.06884885,-0.752802,0.3268137
351418708978763,-0.119448915,-0.5056607,0.16116504
351418718905804,-0.18975636,-0.074228615,-0.032180447
351418728832714,-0.28722808,0.41685832,-0.25588596
