UPTIMENANO,Ax,Ay,Az
351417876915447,0.23616384,0.010253748,-0.19092037
351417896915447,0.104590744,0.018555734,-0.57399607
351417916915447,-0.35880357,0.050261207,-0.34904748
351417936915447,0.03231874,-0.047309507,0.1120979
351417956915447,0.12998773,0.11139739,0.53936815
351417976915447,0.14882414,0.092473395,0.73536855
351417996915447,-0.08674751,0.01882682,0.29873905
351418016915447,0.09254212,0.041354805,-0.25539508
351418036915447,0.43816775,0.32349616,-0.07078204
351418056915447,-0.06514882,0.24572682,0.95763355
351418076915447,-0.591372,-0.34286684,1.5251473
351418096915447,-0.20012364,-1.0571249,0.1411291
351418116915447,0.8800887,-0.78250146,-0.60864466
351418136915447,1.7035018,-0.24029745,0.59665483
351418156915447,2.3485541,-0.62236416,1.8855649
351418176915447,0.33816737,0.447421,1.6414442
351418196915447,-0.29783773,0.058825538,0.74289864
351418216915447,-0.5907109,-0.88523513,0.22426154
351418236915447,-1.448222,-0.5939278,-1.349073
351418256915447,-1.7168853,0.58477277,-2.414794
351418276915447,-1.1799052,0.81605566,-1.7140386
351418296915447,-0.6778443,-0.027370574,-0.2304831
351418316915447,0.40447652,-0.39157668,0.46101564
351418336915447,0.44248834,-0.27791122,-0.11463544
351418356915447,-0.16719645,-0.21913084,-0.534613
351418376915447,0.100279234,-0.15020747,-0.09841238
351418396915447,0.7333145,-0.09953672,0.7260044
351418416915447,1.1667539,-0.23858587,0.9783187
351418436915447,0.8943191,-0.6343093,-0.19638097
351418456915447,0.09080072,-0.56040543,-1.0736843
351418476915447,-1.5297501,0.360813,-0.5926752
351418496915447,-0.76342934,0.010331906,-0.2513156
351418516915447,0.10923863,-0.27431735,0.19603162
351418536915447,0.45529023,-0.3193522,0.5970147
351418556915447,0.41303638,-0.44584844,-0.43971062
351418576915447,-0.26977798,-0.32032222,-1.4289631
351418596915447,-0.67374617,-0.12058726,-0.15926148
351418616915447,-0.43355685,0.13567965,1.3857145
351418636915447,0.19335186,0.2496753,0.5021993
351418656915447,-0.0615044,-0.3221311,-1.0708098
351418676915448,0.04164019,-0.7626659,-0.4207465
351418696915447,0.5113529,-0.32790738,0.5198989
351418716915447,1.2917635,-0.009729474,0.032268666
351418736915448,1.3148688,-0.05305714,0.5072256
351418756926075,0.06358442,-0.23245488,1.8353423
351418776926075,-0.99771255,-0.27477616,1.430453
351418796926076,-0.34347045,0.24732901,-0.918287
351418816926075,0.5087633,0.61939836,-1.3439764
351418836926075,0.48466203,0.12860139,0.49570557
351418856926076,-0.030065909,-0.5635096,2.2918417
351418876926075,0.10782512,-0.38282856,2.1757982
351418896926075,0.27348548,-0.67079026,0.048268564
351418916926076,-0.008570387,-1.1543052,-1.4069953
351418936926075,0.5148994,-0.2913061,-0.44936997
351418956926075,1.3290358,-0.1189432,0.5221542
351418976926076,0.93883336,-0.9242445,0.0023058425
351418996926075,0.8624422,-1.2102855,-0.998984
351419016926075,0.47076005,-0.22962792,-1.8401355
351419036926076,-0.23102057,1.0694228,-4.0573072
351419056926075,-0.9601102,-0.8699597,-4.716946
351419076926075,-0.31655914,-3.2239792,-3.5319386
351419096926076,1.1802266,-2.5043993,-3.0860944
351419116926075,0.9164309,-1.3441684,-2.6054146
351419136926075,0.65910375,-1.3983859,-2.829557
351419156926076,1.5615134,-1.7622659,-4.1068645
351419176926075,2.1670287,-1.4642055,-4.8774624
351419196926075,2.1574154,-0.8173826,-3.7328691
351419216926076,2.825895,-1.0054975,-1.0604308
351419236926075,4.7017665,-2.0863767,1.6520258
351419256926075,3.940945,-2.342084,4.123895
351419276926076,-1.2966541,-1.4214694,4.145091
351419296926075,-7.7896543,-0.55557144,-3.1450498
351419316926075,-1.308695,-1.2375749,-4.562515
351419336926076,0.97664213,-2.6206057,-2.649059
351419356926075,0.23342314,-2.1714206,-2.3026123
351419376926075,6.1785707,-2.7247963,-0.10448969
351419396926076,8.842712,-4.102287,3.0086372
351419416926075,4.3566546,-2.3835835,3.0332181
351419436926075,-1.6201782,0.12517038,0.7534885
351419456926076,-4.484602,1.6067574,-3.2977943
351419476926075,-2.9998,2.1292858,-5.115535
351419496926075,-2.0873299,1.0869817,-3.7104537
351419516926076,-1.9957947,0.122945085,-2.5832343
351419536926075,0.15777323,-0.30085096,-1.7346042
351419556926075,0.82366836,-2.3139439,-1.4111872
351419576926076,-1.2438083,-3.7881327,-2.550304
351419596926075,0.22461951,-4.165756,-3.2832446
351419616926075,4.906971,-5.4285283,-3.2667174
351419636926076,8.547989,-4.9374847,-2.5368605
351419656926075,10.498759,-3.0944116,-1.3724142
351419676926075,10.19116,-0.9331272,-2.1051743
351419696926076,11.3288355,0.87515575,-2.154256
351419716926075,11.846376,1.5059093,-0.05907306
351419736926075,10.724915,1.6588582,0.5687643
351419756926076,8.991843,2.5641956,-1.2415164
351419776926075,6.884911,3.5290954,7.7184515
351419796926075,3.5003183,6.394985,11.314288
351419816926076,3.2182136,4.209516,8.208332
351419836926075,3.7594461,0.17311636,2.368625
351419856926075,1.933475,-3.9632325,-1.719434
351419876926076,0.77101004,-5.3254423,-2.6127846
351419896926075,2.5561106,-6.4262238,-3.0984766
351419916926075,-2.5749228,-9.850319,-5.9731255
351419936926076,-7.035119,-8.946813,-0.9438996
351419956926075,-10.066387,-6.4816914,0.8334192
351419976926075,-11.861773,-2.1122005,5.6470857
351419996926075,-10.818786,0.1042613,9.021918
351420016926076,-4.3038626,-1.8482168,5.239999
351420036926075,2.029826,-6.6509485,-0.5924654
351420056926075,0.06386715,-3.397924,-1.5734257
351420076926076,5.146943,-0.5240981,-2.6957905
351420096926075,6.361622,2.414647,-3.016662
351420116926075,6.2098374,-2.3315668,-3.2261207
351420136926076,7.100053,0.67387223,1.6831621
351420156926075,8.457176,7.592423,4.21415
351420176926075,6.06559,6.402233,3.2937794
351420196926076,-1.0959456,5.714386,3.2877002
351420216926075,-2.7965243,4.813505,1.2370716
351420236926075,-1.8616309,0.6191217,-2.7745304
351420256926076,-1.8439555,0.42508897,1.8224143
351420276926075,-5.436618,0.09409365,-0.010195859
351420296926075,-13.071461,-1.6169022,-1.3331381
351420316926076,-9.428927,-3.0377917,1.2672802
351420336926075,-1.8639688,-5.3516755,4.445476
351420356926075,0.62318367,-11.2788105,3.5535269
351420376926075,-1.9646451,-12.8851185,0.39042237
351420396926075,-4.8613925,-7.526451,1.1769172
351420416926075,-0.6077641,-2.4232543,-1.0619118
351420436926075,0.86575365,5.4429336,-4.991113
351420456926075,-1.5287832,7.823197,-6.3080897
351420476926075,-0.23707166,10.856994,-5.9582596
351420496926075,5.444523,8.267987,-3.3042123
351420516926075,6.7290435,7.126704,-1.4690669
351420536926075,1.0492319,6.7318335,0.3328085
351420556926075,0.2803486,7.394729,4.1743965
351420576926075,0.7853209,-5.3457346,5.9105296
351420596926075,0.8920114,-7.4739347,-7.709324
351420616926075,-1.2904251,-8.150069,-2.745712
351420636926075,-11.709836,-2.3329434,6.8862047
351420656926075,-8.81909,-7.5856247,2.9417107
351420676926075,-0.8987538,-8.236684,-0.48691702
351420696926075,-3.1375425,-3.5071318,0.08052156
351420716926075,-3.0821502,-4.168603,-3.540864
351420736926075,-0.5851456,-5.8134074,-1.7625247
351420756926075,-0.7472886,-4.289078,-1.7826251
351420776926075,-1.5013773,-1.7243044,-3.4130352
351420796936465,-0.3789181,-0.8847265,-2.6561139
351420816936465,-1.0935313,-1.7528801,-1.4717975
351420836936465,-1.588557,3.050259,-0.8784997
351420856936465,-0.14352997,9.046153,-0.32144386
351420876936465,-0.9010918,6.611727,-0.71603805
351420896936465,0.14242299,4.7260003,0.0131559195
351420916936465,-0.87211686,3.0258675,-0.16315496
351420936936465,0.78146183,2.3806129,-0.7367319
351420956936465,2.6481562,2.8170135,-0.3577407
351420976936465,3.8185532,3.6419065,0.1745298
351420996936465,2.626171,5.2285304,0.445696
351421016936465,1.374847,8.0008955,0.53669345
351421036936465,0.65982515,9.211728,-0.32498407
351421056936465,-0.5093352,7.9143558,-2.6676617
351421076936465,-3.4577212,6.2944083,-2.6174357
351421096936465,-3.9908438,-2.077204,-0.6236111
351421116936465,-0.40916085,-6.6068277,-0.039974146
351421136936465,2.5218651,-5.154424,-0.76357573
351421156936465,2.086124,-6.1050773,-3.153564
351421176936465,-0.37196225,-8.470597,-3.0397184
351421196936465,-0.85584223,-9.652699,-2.055386
351421216936465,-1.3536845,-7.3358097,-0.22434619
351421236936465,-1.0763392,-3.061612,-0.5315603
351421256936465,0.61799735,-0.97713363,-0.11015198
351421276936465,2.6263871,-0.95247114,0.42143708
351421296936465,1.7252889,-0.114391945,-0.391627
351421316936465,0.024835045,0.2524567,-0.28390646
351421336936465,-0.51304924,-1.5939065,-0.16993685
351421356936465,-0.48568362,-4.706172,-1.1805133
351421376936465,-0.71413064,-5.857026,-2.021138
351421396936465,-1.8964962,-5.03256,-0.9785661
351421416936466,-2.9007466,-5.073056,-1.2729787
351421436936465,-2.2842982,-5.383338,-1.0237223
351421456936465,0.019778522,-4.568106,0.45625633
351421476936466,1.4672711,-0.67401725,-0.84797037
351421496936465,1.0959148,0.71826255,-1.2718369
351421516936465,0.7195201,0.28860375,-2.4161417
351421536936466,0.61973417,-0.6110786,-2.4392016
351421556936465,-0.35604256,1.0596038,-0.7234717
351421576936465,0.66596717,6.1388903,0.79913485
351421596936466,2.297344,6.7271295,1.4544643
351421616936465,1.2824153,2.0370982,-0.24099559
351421636936465,1.2242234,0.44998765,-1.5582561
351421656936466,2.0852318,1.3262844,-0.45041925
351421676936465,2.3189986,4.0875936,0.0760792
351421696936465,0.79591525,3.2577102,-1.4520153
351421716936466,-2.1469893,-0.091524415,-0.74947256
351421736936465,0.5368451,2.7189322,0.6967876
351421756936465,6.052419,6.2173696,0.4897759
351421776936466,8.157079,4.108354,1.2674605
351421796936465,0.21551779,0.34712124,-0.117209405
351421816936465,-7.5554953,-2.5382268,-4.055563
351421836936466,-3.324388,-4.4951468,-1.231786
351421856936465,-1.2228057,-7.2549734,0.1464197
351421876936466,-3.316478,-8.084513,-2.1025443
351421896936467,-1.8679984,-6.4969606,-0.9949789
351421916936465,-0.50443375,-4.650817,-0.3859195
351421936936465,-0.7743574,-3.6471617,-1.0248297
351421956936466,-0.07524522,-3.4484775,-1.1557213
351421976936465,0.43896645,-2.5636425,-1.0631156
351421996936465,0.09481948,-1.6162769,-0.6410772
351422016936466,-0.9227145,-1.8703014,-0.7431151
351422036936465,-1.1472768,-1.3962023,-0.22876641
351422056936465,0.5788489,-0.43345854,0.47246906
351422076936466,0.0969576,0.84172523,0.80470586
351422096936467,-0.42144763,1.3482721,0.91918635
351422116936468,1.3937302,0.9525949,0.67733806
351422136936469,2.9566417,0.5617204,-0.17616469
351422156936470,1.7660412,-2.7017972,-0.5672752
351422176936471,2.1551385,-3.2852733,-1.2419823
351422196936472,1.5041082,-0.9677201,-1.0532404
351422216936473,-0.5429438,-0.3310161,0.4563233
351422236936474,-0.20436113,-0.20111857,0.45494917
351422256936475,-0.037652366,0.8974598,-0.4811903
351422276936476,1.1195896,0.7280049,0.77193004
351422296936477,3.7901921,1.3708893,-0.59042877
351422316936478,5.687589,5.7180977,0.06364217
351422336936479,4.4946556,8.40039,1.5908546
351422356936465,0.35654888,5.7954435,-0.9069355
351422376936466,-2.5344894,0.099719204,-1.3026006
351422396936467,-2.5451703,-2.630996,-0.05107028
351422416936468,-2.4740775,-5.1368265,1.2135749
351422436936469,-1.8954133,-8.418133,3.1917043
351422456936470,-0.72959185,-8.348677,3.1073453
351422476936471,0.21085788,-7.530074,2.7099645
351422496936472,3.9529943,-2.3903956,2.1935747
351422516936473,9.218363,5.1105704,1.4665965
351422536936474,2.5595152,0.21121158,-4.011707
351422556936475,-2.6840913,0.016311394,-11.475297
351422576936476,-1.2035118,3.050365,-7.2127
351422596936477,-0.43605742,2.0964792,-1.9358631
351422616936478,-0.66884327,0.30187532,-0.07298469
351422636936479,-1.1985949,0.25142723,0.29532677
351422656936465,-1.3207037,-0.0043008807,1.3851196
351422676936466,-1.5425283,0.11108302,3.5640094
351422696936467,-1.3462375,0.3979196,4.0741296
351422716936468,0.45961282,0.08780392,1.662758
351422736936469,1.329093,-0.17173943,-0.84920347
351422756936470,1.7510426,-0.10978702,-1.8156021
351422776936465,2.1698833,0.014129809,-1.6463985
351422796945474,1.5222672,0.047607377,-0.6347122
351422816945475,0.66088164,0.072577894,0.40934455
351422836945474,0.51319015,-0.09672171,0.9182239
351422856945474,0.77995455,-0.06283611,0.7273902
351422876945475,0.7898478,0.04977467,0.17697388
351422896945474,0.45157546,0.0013085435,-0.26476493
351422916945474,-0.035246287,-0.040653106,-0.3219325
351422936945475,-0.4334211,-0.13889413,-0.0778046
351422956945474,-0.49005866,-0.3959053,0.12693955
351422976945474,0.033791646,-0.12679064,0.012419192
351422996945475,0.6098177,0.1655085,-0.049968053
351423016945476,0.44406754,-0.12128633,0.040851124
351423036945477,0.08965091,-0.1051544,0.13464457
351423056945474,0.048352618,-0.104528114,0.50143933
351423076945474,0.073265746,0.5363709,0.46463174
351423096945474,0.58116543,0.2891675,0.077454485
351423116945474,0.47428742,0.17179069,0.011912985
351423136945474,0.33809948,0.06039279,0.10678474
351423156945474,0.21374065,0.028439365,0.15306382
351423176945474,0.22280711,9.062259E-4,0.17176546
