UPTIMENANO,P
351501706445942,1013.7683
351501804339715,1013.7688
351501903576590,1013.76886
351502003488463,1013.7715
351502101931687,1013.7772
351502201260136,1013.7726
351502302420087,1013.7679
351502399978085,1013.7645
351502499489684,1013.7704
351502600344385,1013.7691
351502698451833,1013.7642
351502797749758,1013.7667
351502898329733,1013.75995
351502996559282,1013.7708
351503095887731,1013.7746
351503196162456,1013.782
351503294575155,1013.7914
351503393873079,1013.793
351503493812029,1013.79645
351503592560503,1013.797
351503691766852,1013.80255
351503791736327,1013.81
351503890454275,1013.8068
351503989691150,1013.8106
351504089452024,1013.80927
351504188200498,1013.805
351504287528947,1013.80164
351504387315272,1013.812
351504486124796,1013.8086
351504585544820,1013.8096
351504684934320,1013.8131
351504784018569,1013.82196
351504883316493,1013.8242
351504983499643,1013.82764
351505081851292,1013.8248
351505181210266,1013.83905
351505280447140,1013.85956
351505379928215,1013.8601
351505479287189,1013.8675
351505579317714,1013.87787
351505679042989,1013.89215
351505778615639,1013.90247
351505878432488,1013.912
351505978859839,1013.9222
351506077975436,1013.93115
351506177364935,1013.96405
351506277090210,1013.98145
351506376388134,1013.9993
351506476113409,1014.018
351506575716584,1014.0236
351506676754435,1014.0327
351506775106084,1014.0446
351506873793507,1014.06415
351506975747109,1014.07935
351507073244056,1014.097
351507172664081,1014.1126
351507272816706,1014.1245
351507371900955,1014.1366
351507471595706,1014.15405
351507571137831,1014.1681
351507671015732,1014.1889
351507770099978,1014.20605
351507870130503,1014.2166
351507969336852,1014.23584
351508068970552,1014.2479
351508168327893,1014.27576
351508268053168,1014.2914
351508367747919,1014.3087
351508467442668,1014.3244
351508567106893,1014.33484
351508666893218,1014.35046
351508766038517,1014.36786
351508865031190,1014.394
351508964542789,1014.41656
351509064115439,1014.4318
351509163291263,1014.44904
351509262528137,1014.4646
351509362131312,1014.4769
351509461887113,1014.4979
351509561520812,1014.51855
351509661185037,1014.5345
351509760544012,1014.5589
351509859384059,1014.57184
351509959109334,1014.5968
351510059200909,1014.6331
351510158646379,1014.65216
351510258341128,1014.6713
351510358005353,1014.68665
351510459348454,1014.7019
351510557486427,1014.7155
351510657242228,1014.73285
351510759378981,1014.75543
351510855563351,1014.7656
351510954952850,1014.7811
351511056295951,1014.79645
351511155380200,1014.81726
351511254983375,1014.8292
351511354983375,1014.8495
351511454525500,1014.872
351511554281301,1014.8929
351511653915002,1014.9082
351511752999251,1014.9205
351511852236122,1014.9376
351511951564572,1014.9495
351512052205597,1014.9703
351512151930776,1014.98175
