UPTIMENANO,Mx,My,Mz
351501621016056,-28.382458,-5.7117844,-19.074986
351501640870777,-28.382458,-5.861782,-19.074986
351501660734907,-28.98246,-5.861782,-19.074986
351501680589755,-30.932457,-5.861782,-19.074986
351501700444604,-31.382458,-5.861782,-18.924988
351501720299451,-32.132458,-5.861782,-18.474987
351501740165063,-33.48246,-5.861782,-17.874989
351501760020168,-33.632458,-5.861782,-16.224987
351501779875271,-34.23246,-5.861782,-15.774986
351501799730375,-33.48246,-5.861782,-15.474987
351501819585480,-33.78246,-5.861782,-14.724987
351501839440583,-33.632458,-5.861782,-14.5749855
351501859300100,-33.632458,-5.861782,-13.524986
351501879155205,-33.632458,-5.861782,-12.924988
351501899010436,-34.23246,-6.0117836,-12.924988
351501918865668,-34.23246,-6.4617844,-12.924988
351501938720901,-34.23246,-7.9617844,-12.474987
351501958582087,-34.23246,-8.711784,-12.474987
351501978440896,-34.53246,-8.261784,-12.474987
351501998296129,-35.58246,-8.861784,-12.474987
351502018151360,-35.58246,-8.861784,-12.474987
351502038017295,-35.58246,-8.861784,-12.474987
351502057872912,-35.58246,-9.011784,-12.3249855
351502077728399,-35.58246,-9.011784,-11.124985
351502097584015,-35.882458,-9.011784,-10.524986
351502117439504,-36.03246,-9.011784,-9.3249855
351502137295119,-36.48246,-9.011784,-9.024986
351502157156769,-36.48246,-9.011784,-8.424988
351502177012514,-36.48246,-9.011784,-5.724987
351502196868257,-36.48246,-8.861784,-7.224987
351502216724001,-36.78246,-8.711784,-6.7749863
351502236579746,-36.78246,-9.011784,-6.924988
351502256438566,-36.632458,-8.711784,-6.7749863
351502276294310,-36.632458,-8.711784,-6.7749863
351502296150183,-36.78246,-8.711784,-6.7749863
351502316006054,-37.382458,-8.711784,-6.7749863
351502335861926,-37.382458,-8.561785,-6.7749863
351502355717799,-37.382458,-8.561785,-6.6249847
351502375572658,-37.382458,-8.561785,-6.6249847
351502395428658,-37.382458,-8.561785,-6.3249855
351502415284531,-37.53246,-8.561785,-6.0249863
351502435140530,-37.53246,-8.561785,-4.674988
351502455007696,-37.53246,-8.561785,-3.7749863
351502474863953,-37.53246,-8.561785,-1.5249863
