UPTIMENANO,Ax,Ay,Az
351501660734907,-1.2022998,3.05844,7.589817
351501680589755,-1.4298267,3.1231055,8.624466
351501700444604,-0.5891748,2.7758276,9.510623
351501720299451,1.7651294,2.687212,9.529783
351501740165063,2.6417067,3.0249097,9.335787
351501760020168,2.7231374,2.6560767,9.532178
351501779875271,2.5698562,2.792593,10.205178
351501799730375,2.565066,2.926714,9.877061
351501819585480,2.4788454,2.9578493,9.486672
351501839440583,2.8764186,3.1566358,9.711804
351501859300100,2.7422974,3.180586,8.986114
351501879155205,1.4992822,3.1853762,8.672366
351501899010436,1.6405884,3.4488282,9.017249
351501918865668,2.435735,3.6859353,9.740545
351501938720901,2.323169,3.544629,9.182506
351501958582087,2.4141798,3.9685476,8.50711
351501978437447,2.692002,3.8727467,8.710687
351501998292680,2.5387208,3.3434474,7.8341093
351502018151360,0.8262818,3.8104763,8.760982
351502038017295,1.9279908,3.4799635,9.239985
351502057872912,3.5661843,3.776946,7.913145
351502077728399,3.891907,4.416416,6.969507
351502097584015,3.532654,3.6236646,8.339458
351502117439504,3.0368848,3.2213013,9.374106
351502137295119,4.006868,3.295547,9.101074
351502157156769,4.3493557,3.9206471,7.2640944
351502177012514,3.9877076,4.624783,7.1323686
351502196868257,4.145779,3.547024,7.831714
351502216724001,4.277505,4.1864944,6.191126
351502236579746,5.5516553,3.908672,7.0245924
351502256438566,5.017566,3.1542408,8.090376
351502276294310,3.295547,5.503755,7.812554
351502296150183,3.2596216,5.1708474,8.557405
351502316006054,4.6678934,4.25595,6.8593364
351502335861926,5.695357,4.399651,5.760022
351502355717799,5.7312818,3.3626075,7.9802055
351502375572658,5.575606,1.949546,10.324929
351502395428658,5.6594315,3.5063088,7.3096
351502415284531,4.703819,5.5708156,5.6522465
351502435140530,5.4199295,4.87147,8.52627
351502455007696,6.943162,3.9733377,8.928633
351502474863953,6.1504107,3.276387,7.999366
351502494720208,5.3025737,3.0608351,7.429351
351502514576592,5.4247193,3.1255007,7.9083548
351502534432849,5.1828227,3.6811452,7.9538603
351502554288208,5.8342676,4.006868,6.3803325
351502574144464,6.0330544,3.8895118,7.814949
351502594000849,5.4055595,4.0595584,6.945557
351502613857232,4.9385304,4.998406,3.5925295
351502633713488,4.6678934,4.785249,-0.79035646
351502653569873,4.521797,2.7063723,-0.119750984
351502673426341,4.8571,1.9998415,-0.4526587
351502693282725,6.246211,1.1711646,-0.043110352
351502713139110,9.201666,0.5364844,0.82388675
351502732995493,11.000325,0.18681154,2.7015822
351502752856116,10.427916,-0.9699829,4.687053
351502772712629,9.048384,-0.92208254,5.4438796
351502792569268,9.422008,0.62031007,4.670288
351502812425908,9.68067,1.1951149,3.8368216
351502832282421,9.505833,1.5663428,4.2104445
351502852117747,4.8906302,1.0154883,2.7566676
351502871973491,-9.005274,-0.732876,8.634046
