UPTIMENANO,Ax,Ay,Az
351501616978875,0.699,-0.26865518,-0.011903572
351501636978876,-0.12051242,-0.15515332,-0.6546661
351501656978875,-0.9550561,-0.19715445,-1.4854776
351501676978875,-1.5068916,-0.14647934,-0.81264234
351501696978876,-1.1786686,-0.36952856,0.098724075
351501716978875,0.54340625,-0.46359536,0.28192434
351501736978875,1.3625343,-0.16850455,0.14632036
351501756978876,1.3339074,-0.42146048,0.31227735
351501776978875,0.9591164,-0.37871066,0.9652245
351501796978875,0.7245199,-0.2900019,0.8367017
351501816978876,0.5083191,-0.32527393,0.5107081
351501836978875,0.7459469,-0.24883229,0.7167777
351501856978875,0.60053515,-0.3245971,0.16873474
351501876978875,-0.5450216,-0.4241472,-0.14709657
351501896978876,-0.54688925,-0.24742053,0.15106869
351501916978875,0.19424976,-0.046294533,0.8560703
351501936978875,0.18158151,-0.21421929,0.43832743
351501956978876,0.18233581,0.10403838,-0.18770763
351501976982324,0.33248356,-0.009880339,0.0026622242
351501996982324,0.09919,-0.57453257,-0.741732
351502016982325,-1.5969634,-0.20401786,0.1097056
351502036982324,-0.8345367,-0.50592965,0.68111324
351502056982324,0.5804271,-0.28056678,-0.4732595
351502076982325,0.7447082,0.32498756,-1.349595
351502096982324,0.25179395,-0.4150324,0.0016137393
351502116982324,-0.36280727,-0.8406149,1.1064843
351502136982325,0.42752597,-0.8187875,0.9475731
351502156982324,0.59808683,-0.26099142,-0.7622035
351502176982324,0.12726463,0.40150452,-0.83210784
351502196982324,0.23132052,-0.7157211,-0.092200175
351502216982324,0.32156593,-0.12115648,-1.6634475
351502236982324,1.4176774,-0.37080193,-0.76320523
351502256982324,0.7974474,-1.0111129,0.28107128
351502276982324,-1.0373914,1.2942591,0.106355414
351502296982324,-1.2171371,0.9778446,0.84844685
351502316982324,0.06923181,0.12123513,-0.77107114
351502336982324,0.9968528,0.2289059,-1.675453
351502356982324,0.96904427,-0.7966016,0.57789344
351502376982324,0.74022555,-2.0328941,2.6289082
351502396982324,0.59580594,-0.4823547,-0.1724673
351502416982324,-0.43355867,1.3668648,-1.311091
351502436982324,0.23389424,0.69043446,1.4222069
351502456982324,1.4652445,-0.19585589,1.7502313
351502476982324,0.63378894,-0.9055787,0.9079029
351502496982324,-0.13514253,-1.1356823,0.49983478
351502516982324,-0.19309027,-1.0167242,1.0422764
351502536982324,-0.51795,-0.52141535,1.0663023
351502556982324,-0.07327511,-0.32832184,0.07145521
351502576982324,-0.032500464,-0.51040107,1.2965077
351502596982324,-0.66908246,-0.37499997,0.18264358
351502616982324,-1.2989662,0.29335028,-3.0948226
351502636982324,-1.9053814,-0.15297571,-6.3504887
351502656982324,-2.4148235,-1.7080318,-5.545505
351502676982324,-2.3981855,-1.9683471,-5.4061246
351502696982324,-1.1080374,-2.1960654,-4.690632
351502716982324,1.3492798,-2.1426394,-3.5139909
351502736982324,2.6469145,-2.1676471,-1.7777145
351502756982324,1.9437445,-2.7293046,-0.23908366
351502776982324,0.9709294,-2.1051152,0.050059214
351502796982324,1.3582023,-0.5730883,-0.85063714
351502816982324,1.5996242,0.09949271,-1.5655766
351502836982324,0.49833798,0.3851667,-1.8292898
351502856982324,-6.3194437,-0.28987846,-1.674796
351502876982324,-12.0682335,-1.1277457,3.486766
351502896982324,2.9540427,-0.30417266,4.472131
351502916982324,4.946828,1.0197093,-1.2821993
351502936982324,3.00651,0.43912363,-5.923362
351502956982324,5.896882,-2.5887132,-7.579313
351502976982324,3.0757477,-5.037808,-4.6847873
351502996982324,0.91373163,-4.317435,1.3299012
351503016982324,3.0617993,-1.3238542,4.5045314
351503036982324,3.8688715,-0.07738996,7.639697
351503056982324,2.6894066,0.7016757,10.7294035
351503076982324,1.3200244,-1.0740774,5.0575576
351503096982324,-6.7234135,-2.3543282,-2.4604287
351503116982324,-14.008697,-0.36309603,-9.30333
351503136982324,-5.553003,-0.937914,-8.14431
351503156982324,9.58872,-0.65796006,2.0255172
351503176982324,2.4290352,2.8592417,-0.39003363
351503196982324,-3.532974,3.4825287,-0.7906047
351503216982324,-1.755097,1.4485724,0.26582104
351503236982325,-0.5442223,1.4173303,-2.6214526
351503256982324,-1.5091645,1.1858381,-3.813369
351503276982324,-0.36115125,-0.8127083,-4.765427
351503296982325,-0.72788495,-1.0872952,-4.382635
351503316982324,-1.9631553,1.2092597,-2.550887
351503336982324,0.4676898,1.8920816,-2.0139306
351503356982325,2.0887895,0.35393083,-2.77868
351503376982324,2.593372,-1.447805,-2.8096423
351503396982324,2.695691,-2.222256,-1.9527215
351503416982325,2.7354436,0.073272854,-1.3053875
351503436982324,3.822221,2.4456544,1.0389429
351503456982324,5.409499,2.2783296,1.7999415
351503476982325,7.099258,0.48841524,0.68264574
351503496982324,9.475953,-1.2556897,-0.44725424
351503516982324,8.431365,-2.5438008,0.04959199
351503536982325,2.8308854,-2.4357126,3.4128697
351503556982324,1.2902163,-1.6157643,3.8648071
351503576982324,3.1229582,-2.316163,3.9618652
351503596982325,2.1729906,-2.8400898,4.7194724
351503616982324,-0.101107076,-3.5027535,1.7411617
351503636982324,-1.1447374,-3.6632118,-1.7589253
351503656982325,-2.3539777,-3.4333844,-2.071831
351503676982324,-3.5112863,-3.7967978,-1.058084
351503696982324,-3.3286386,-3.2593057,-1.0325756
351503716982325,-3.0982292,-3.4200068,-0.37258598
351503736982324,-2.6809375,-4.208229,0.6918012
351503756982324,-2.1621153,-4.6497974,0.96312636
351503776982325,-0.4251325,-4.729011,-0.06730349
351503796982324,-0.5812561,-4.135136,-1.5272834
351503816982324,-0.7957884,-2.6397498,-1.4475576
351503836982325,3.4617977,-1.5181409,0.27348974
351503856982324,6.431034,-0.14264448,1.3004422
351503876982324,3.8292449,1.9275627,-1.6219594
351503896982325,0.15645744,3.9675524,-2.484849
351503916982324,-1.7857424,4.4531817,0.91278094
351503936982324,-0.52025205,4.951998,1.6205246
351503956982325,4.0449295,6.4910083,-2.0358262
351503976982324,4.69906,6.2552056,-2.8924809
351503996987399,0.2579284,4.5210285,-0.13671283
351504016987400,0.057950944,1.6952395,1.3894471
351504036987399,2.9838443,1.7002664,0.07296808
351504056987399,-2.5189846,3.109891,-3.151062
351504076987400,-5.2427697,-2.3316844,-3.170049
351504096987399,-8.37111,-6.808298,-1.2578245
351504116987399,-8.891871,-7.9410896,-1.2221712
351504136987400,-5.6718464,-6.387655,-2.7174904
351504156987399,-3.336173,-4.0745,-1.64651
351504176987399,-2.2166293,-2.5962896,-0.71670455
351504196987400,-1.5201776,-0.66808176,-2.0159817
351504216987399,-0.7331576,1.1155878,-1.6426569
351504236987399,0.8405793,0.7325729,1.8404282
351504256987400,3.963853,-0.37961465,3.243395
351504276987399,5.598813,0.56939334,1.7017032
351504296987399,3.566448,-0.10100748,0.34300867
351504316987400,-0.5239557,-1.2239391,0.4388446
351504336987399,-1.8649856,-1.0058634,-0.07257798
351504356987399,-1.6437619,-0.4436499,-1.3045696
351504376987400,-1.2680687,-0.87892324,-1.7722746
351504396987399,-1.7911139,-1.226922,-0.8958887
351504416987399,-0.4468702,-1.0399202,-0.65186274
351504436987400,1.1294593,-0.41758594,-0.69013673
351504456987399,1.1082966,0.5647382,-0.44127133
351504476987399,1.6386096,1.3394034,0.010136329
351504496987400,0.8568702,1.4208226,0.91596085
351504516987399,0.5156313,1.3895488,0.8108271
351504536987399,-0.10426961,1.1620711,0.6470574
351504556987400,-0.25193307,0.2802612,-0.0031151706
351504576987399,0.12244206,-0.7244647,-0.35974586
351504596987399,0.81609887,-1.6213939,0.08176381
351504616987399,0.36982635,-2.6850865,0.5616365
351504636987400,-2.282361,-2.445537,-0.38812095
351504656987399,-1.3803585,-1.5116435,-1.2364984
351504676987399,0.055138633,-0.37228712,-1.4253296
351504696987400,0.7498596,-0.6404995,-0.32456642
351504716987399,0.26100087,-0.48913324,0.53531814
351504736987399,-0.9010793,-1.744169,-0.059279244
351504756987400,-0.18482585,-2.1487205,-1.0266869
351504776987399,0.20024036,-1.490237,-0.5745454
351504796987399,0.098873734,-2.0123932,0.3235483
351504816987400,-0.6652306,-1.1184405,-0.065417215
351504836987399,-1.0396736,1.6052212,-1.2367588
351504856987399,3.4020584,-1.4817704,0.3490734
351504876987400,5.068898,3.9966702,2.4211726
351504896987399,0.9909645,11.441016,1.4180545
351504916987399,-3.6398365,3.1576242,-0.9008024
351504936987399,-0.81667334,-0.7568121,1.0888836
351504956987399,-1.4347742,0.77881056,-1.6726489
351504976987399,-1.4350688,-0.47915262,0.69285995
351504996987399,-1.483038,-5.3469143,1.8563503
351505016987399,-1.4413463,-6.6520696,0.7516567
351505036987399,-0.38785282,-4.700865,1.7013966
351505056987399,3.1602204,0.25300774,0.42794046
351505076987399,4.594738,2.1586668,0.5313875
351505096987399,3.5828094,0.32109013,1.4995499
351505116987399,2.0114121,-2.8879814,1.8721412
351505136987399,1.1328715,-5.466005,1.8862652
351505156987399,2.1200445,-4.668466,1.4501605
351505176987399,1.9457834,-1.4399474,-2.629534
351505196987399,0.57338417,0.25819963,-7.233834
351505216987399,0.76658416,0.84113693,-4.940428
351505236987399,-1.4986607,2.1897063,-1.8760237
351505256987399,-6.53045,1.5022132,-0.06301419
351505276987399,-7.597952,0.089634664,1.0397624
351505296987399,-2.5188026,-1.5857872,2.2042143
351505316987399,-0.47356555,-1.3226465,2.2754638
351505336987399,-0.529102,-0.06585319,1.9081645
351505356987399,0.41061226,0.047701105,1.2405847
351505376987399,1.0180918,-0.43761015,0.58678305
351505396987399,1.0824748,-0.48104143,0.32507107
351505416987399,1.1885787,-0.6442304,-0.0045298515
351505436987399,1.1961973,-0.64852935,-0.73122406
351505456987399,1.3988037,-0.75815654,-0.7463824
351505476987399,1.281283,-0.6914017,-0.03379896
351505496987399,1.0139811,-0.30991247,0.6636424
351505516987399,0.7185584,-0.24221079,1.1376729
351505536987400,0.1978826,-0.2096103,1.1527823
351505556987401,-0.25120032,-0.26473892,0.720124
351505576987402,-0.308524,-0.61215156,0.28251383
351505596987403,-0.0772788,-0.7094303,0.0171239
351505616987404,0.31809253,-0.5306518,-0.046762016
351505636987399,0.9630991,-0.29661652,-0.026836071
351505656987399,0.6608726,-0.34279698,0.20722249
351505676987399,0.15690632,-0.58281034,0.6229379
351505696987399,0.083243385,-0.6285089,0.58729863
351505716987399,0.65334904,-0.5958923,0.3572795
351505736987399,0.9831511,-0.512386,0.33523458
351505756987399,0.8771161,-0.44632408,0.4118271
351505776987399,0.6800802,-0.452553,0.36860186
351505796987399,0.6173787,-0.52868074,0.22711425
351505816987399,0.55704194,-0.4764855,0.23760082
351505836987399,0.45525765,-0.25538313,0.3859727
351505856987400,0.4096817,-0.12491414,0.5527886
351505876987401,0.3869066,-0.23140454,0.5926975
351505896987402,0.2580533,-0.3621559,0.51166517
351505916987403,0.10870758,-0.42676967,0.37645307
351505936987404,0.069265544,-0.45070735,0.19282854
351505956987399,-0.041428916,-0.40351233,0.07249747
351505976987400,-0.22559279,-0.40277192,0.108035706
351505996987399,-0.15501718,-0.4967326,0.12889875
351506016988222,0.09617598,-0.51161104,0.090103574
351506036988223,0.23775315,-0.4374661,0.07164388
351506056988222,0.21155925,-0.40587088,0.08171883
351506076988222,0.14099039,-0.4022787,0.09179016
351506096988223,0.1473881,-0.37941995,0.107775785
351506116988222,0.19278698,-0.35582826,0.14007267
351506136988222,0.23219228,-0.34224388,0.20983331
351506156988223,0.19534574,-0.29219428,0.3031599
351506176988222,0.15109347,-0.21401879,0.36621884
351506196988223,0.2652932,-0.22087343,0.33025664
351506216988224,0.3883156,-0.28648853,0.2480452
351506236988225,0.34861103,-0.27390927,0.2096564
351506256988222,0.2788733,-0.20909734,0.15989117
351506276988223,0.25394663,-0.17296053,0.14216472
351506296988222,0.24348347,-0.15174763,0.19774833
351506316988222,0.2003589,-0.12809227,0.22363958
351506336988223,0.19279326,-0.1803201,0.16614991
351506356988222,0.24348056,-0.253937,0.11965482
351506376988222,0.20589775,-0.24031863,0.20032702
351506396988223,0.1570579,-0.23365277,0.25494933
351506416988224,0.17384602,-0.22583702,0.20435452
351506436988225,0.2281946,-0.13643634,0.16570355
351506456988226,0.31290042,-0.074055,0.19824985
351506476988227,0.32676378,-0.06537521,0.30970114
351506496988228,0.2868332,-0.025370622,0.36239058
351506516988229,0.30231097,-0.024477363,0.28894204
351506536988230,0.3312201,-0.10015389,0.22240277
351506556988231,0.30967975,-0.124007516,0.19272451
351506576988232,0.27689815,-0.048290923,0.16749397
351506596988233,0.274495,-0.015007844,0.17272334
351506616988234,0.26656133,-0.046654113,0.2027527
351506636988235,0.22558285,-0.040371954,0.17294878
351506656988236,0.17884886,-0.016017603,0.11216131
351506676988222,0.1712012,-0.039639123,0.09850144
351506696988223,0.18816471,-0.061278503,0.16079731
351506716988224,0.21843058,-0.07232758,0.21971586
351506736988225,0.2537297,-0.027783887,0.23315446
351506756988226,0.25167558,0.055695917,0.24400736
351506776988222,0.2379078,0.0678965,0.25385678
351506796988222,0.23127304,0.024198912,0.25954032
351506816988223,0.20121649,0.0142131215,0.2679308
351506836988222,0.1791147,0.04404969,0.2442222
351506856988222,0.13280356,0.06288664,0.22699253
351506876988223,0.12290131,0.076568834,0.21209897
351506896988222,0.2018219,0.11408563,0.21103083
351506916988222,0.24787836,0.14143616,0.2310542
351506936988223,0.21001151,0.13995707,0.24390706
351506956988222,0.1718779,0.10905535,0.23364574
351506976988222,0.1826932,0.07375702,0.26099625
351506996988223,0.20957883,0.055515684,0.27206638
351507016988222,0.19736524,0.020752914,0.2022926
351507036988222,0.17242527,-0.05393795,0.088496216
351507056988223,0.16279766,-0.051774625,0.065202534
351507076988222,0.18231288,-2.201238E-4,0.09565619
351507096988222,0.1959861,0.041275363,0.14920779
351507116988223,0.17027704,0.07048233,0.23167709
351507136988222,0.15197879,0.09966127,0.2618151
351507156988222,0.167618,0.12737235,0.260748
351507176988223,0.22367054,0.12687156,0.2931577
351507196988222,0.25171348,0.10970914,0.27802622
351507216988222,0.23306094,0.091991216,0.25375217
351507236988223,0.23384233,0.0687147,0.23296657
351507256988224,0.23978217,0.09671647,0.23269968
351507276988225,0.19780722,0.08988142,0.25163925
351507296988226,0.20867987,0.054462068,0.21460794
351507316988227,0.25736594,0.036287643,0.18177965
351507336988228,0.27259204,0.015065428,0.16549382
351507356988229,0.2609933,0.022603326,0.12892394
351507376988230,0.21191843,0.08336409,0.15976965
351507396988231,0.19708288,0.09304488,0.19503284
351507416988232,0.20481645,0.08709321,0.21277097
351507436988233,0.20182492,0.07556265,0.18358144
351507456988234,0.2001883,0.080915436,0.17024033
351507476988235,0.22756954,0.1035221,0.20127456
351507496988236,0.2478992,0.10520244,0.21434815
351507516988222,0.2649023,0.0351293,0.20695794
351507536988223,0.23194952,0.05504466,0.17234127
351507556988224,0.20742425,0.05619866,0.12122832
351507576988225,0.23659328,0.067662746,0.1138246
351507596988226,0.1968889,0.0796652,0.19389227
351507616988227,0.17779,0.035715118,0.1633921
351507636988228,0.20420328,0.050998118,0.13783698
351507656988229,0.19378234,0.06306271,0.1955688
351507676988230,0.17547952,0.04662737,0.20096517
351507696988231,0.17869443,0.058780532,0.1959146
351507716988232,0.17916214,0.08732563,0.19059476
351507736988222,0.1708464,0.089032985,0.21877299
351507756988222,0.21368538,0.06327614,0.25731736
351507776988222,0.21433888,0.07618728,0.2656439
351507796988222,0.2140672,0.056962434,0.17124219
351507816988222,0.19745559,0.052043527,0.12567222
351507836988222,0.14424297,0.100856386,0.17248003
351507856988222,0.14221674,0.11994116,0.20422877
351507876988222,0.15226501,0.10050122,0.20324753
351507896988222,0.13641407,0.08088899,0.19585513
351507916988223,0.13110867,0.059516896,0.17866695
351507936988224,0.16507432,0.023152769,0.15643114
351507956988225,0.18952248,0.036081262,0.19054814
351507976988222,0.16818276,0.056666072,0.21866903
351507996988222,0.16576298,0.04902474,0.19700749
351508016988222,0.16344891,0.040353835,0.21876934
351508036986589,0.17581779,0.04394491,0.22254191
351508056986589,0.18220824,0.06728833,0.16635548
351508076986589,0.16476461,0.058559813,0.16456378
