UPTIMENANO,Ax,Ay,Az
351586423611441,-0.6084486,-0.6694586,9.547763
351586443467313,-0.25479144,-1.0505296,9.601782
351586463323185,-0.34488884,-1.1666484,10.33893
351586483192753,-0.5118781,-1.16608,10.702176
351586503048881,-0.5320093,-1.0798537,10.35778
351586522905137,-0.57793546,-0.983141,10.124876
351586542761265,-0.79967415,-0.85664445,9.762595
351586562617393,-0.41632453,-1.0032158,9.611905
351586582473862,0.109705985,-1.1587244,9.984617
351586602330118,-0.04219783,-1.3331373,10.396489
351586622186374,-0.26500592,-1.2323588,9.85121
351586642042502,-0.42372218,-0.9829777,9.64004
351586661898758,-0.42439008,-1.1728691,9.856727
351586681755532,-0.112276934,-1.3209621,9.678885
351586701611660,-0.5871172,-2.2601078,9.760931
351586721467916,-0.5180828,-1.381728,10.523684
351586741324044,-0.12380171,-0.49175885,9.720424
351586761180172,0.42755017,-0.49710748,8.316673
351586781038683,0.9802132,-0.7331624,7.9647775
351586800894939,0.1686504,-0.38628414,9.241784
351586820751195,-1.0725937,0.49691927,10.575978
351586840607451,-1.3392571,-0.63835007,11.119564
351586860463707,-0.7383687,-2.3425407,11.161443
351586880317166,0.5069427,-2.650406,9.204426
351586900173422,-0.21498181,-1.41538,10.191943
351586920029550,0.5192894,-0.38580033,9.452871
351586939885806,0.3260748,-0.49097696,8.085883
351586959741934,0.24662286,-2.398958,10.175968
351586979594532,0.33372724,-2.9398172,10.027095
351586999450660,0.40442565,-0.10691964,7.651179
351587019306916,-0.43917048,-1.2456083,9.977872
351587039163044,-1.1238335,0.5029386,11.401245
351587059019172,-1.7813475,1.0480181,10.674506
351587078872606,-0.6438709,-0.32536137,8.686242
351587098728734,-0.0827099,0.1838134,9.361593
351587118584990,-0.70142156,-0.36550015,10.508405
351587138441118,-1.1047271,-0.98399293,10.242781
351587158297246,0.30684304,-1.7693845,9.155022
351587178146090,2.5952032,-2.4639919,7.789467
351587198002090,3.4432724,-2.2383265,6.731598
351587217857962,4.8726473,-3.650018,6.531028
351587237713962,2.4124458,-4.4693956,7.703838
351587257569962,-5.932995,-0.9099468,5.2860217
351587277417727,0.6937875,-0.06245848,3.8291128
351587297273471,1.9787405,-1.7356108,7.027274
351587317129215,-2.7093978,-1.6367155,10.486147
351587336984959,-1.8565195,-1.1141578,11.6225815
351587356840831,0.77073383,-2.1428776,8.46273
351587376692777,1.1401768,-3.731126,5.3629055
351587396548521,0.13428998,-5.685877,4.110233
351587416404137,-2.2246675,-6.1361036,7.2801228
351587436259881,-3.2438407,-4.0543704,12.1166935
351587456115625,-2.3620646,-2.4110606,12.151478
351587475974787,-2.4415524,-3.002993,11.061706
351587495830531,-2.9054859,-3.5562174,11.989652
351587515686403,-2.6987402,-2.0546336,14.633529
351587535542147,-2.060551,2.0018773,15.1864195
351587555397891,-4.4419384,18.74067,-0.41371906
351587575254945,1.446704,-3.5658953,4.9898105
351587595110689,-1.2266185,-8.575605,14.431964
351587614966433,-1.0379463,-0.12774207,11.587038
351587634822305,3.8793929,-0.14269039,11.805494
351587654678049,4.941755,-3.202314,5.433966
351587674537017,0.15185712,-5.4294953,-0.9095575
351587694392761,-0.8640785,-6.1246305,2.0525758
351587714248633,1.7610537,-2.7758455,7.69267
351587734104377,2.2521973,-4.7320757,6.788006
351587753960121,1.4925771,-3.519371,8.22097
351587773817186,0.5039734,-8.685814,6.2797203
351587793672930,0.16245532,-5.7926683,10.980111
351587813528802,-1.8829848,-6.7845807,14.355362
351587833384546,-0.68565696,-3.1740239,15.325929
351587853240290,0.52601707,-2.1229095,14.308019
351587873100672,-1.6600966,-3.6081,12.555092
