UPTIMENANO,Ax,Ay,Az
351586396974334,-0.723248,-0.8936155,0.3345665
351586416974334,-0.6812378,-0.71917975,-0.05543803
351586436974334,-0.3411448,-0.8774791,-0.21710812
351586456974334,-0.29447773,-1.0506577,0.30563602
351586476974334,-0.46734047,-1.0827956,0.79033077
351586496974334,-0.59145206,-1.0490243,0.6589089
351586516974334,-0.6231197,-0.9816527,0.38740745
351586536974334,-0.77684873,-0.8561036,0.061863635
351586556974334,-0.57046664,-0.8978549,-0.14870985
351586576974334,-0.111056365,-0.9955809,0.08642402
351586596974334,-0.11232261,-1.1258165,0.4966934
351586616974334,-0.29681927,-1.1303133,0.20101309
351586636974334,-0.45055375,-0.96589035,-0.1067398
351586656974334,-0.48727557,-1.0657253,-1.3004539E-4
351586676974334,-0.25080976,-1.2100363,-0.07720007
351586696974334,-0.58979416,-1.8880693,-0.04105993
351586716974334,-0.7527988,-1.3556486,0.5646662
351586736974334,-0.5128863,-0.3977145,0.095339365
351586756974334,0.043019075,-0.2244883,-1.1797689
351586776974334,0.6578971,-0.4457947,-1.7376028
351586796974334,0.17653115,-0.15106235,-0.7987496
351586816974334,-0.95885617,0.72680664,0.48992437
351586836974334,-1.475762,-0.058740884,1.1920348
351586856974334,-1.0605936,-1.8402195,1.3552475
351586876974334,0.29651558,-2.539165,-0.2618873
351586896974334,-0.09380575,-1.6479522,0.22125001
351586916974334,0.37949345,-0.57122326,-0.24112003
351586936974334,0.36825353,-0.4732901,-1.5207142
351586956974334,0.35359094,-2.0939147,0.08324139
351586976974334,0.36845067,-2.8654003,0.23915012
351586996974334,0.4160211,-0.4709463,-1.8608344
351587016974334,-0.17337914,-1.2089294,-0.1093045
351587036974334,-0.6884974,0.0033805782,1.4689745
351587056974334,-1.3844157,0.49256307,1.0227982
351587076974334,-0.5190886,-0.5931564,-0.9276266
351587096974334,0.02451419,-0.11707617,-0.50401413
351587116974334,-0.5275877,-0.41987127,0.61242944
351587136974334,-1.067531,-0.9006282,0.46001095
351587156974334,0.07850647,-1.5943176,-0.5548369
351587176974334,2.1885045,-2.2660344,-1.8112288
351587196974334,3.0759645,-2.0327625,-2.801902
351587216974334,4.333228,-3.1474545,-2.7316272
351587236974334,1.7028428,-3.5171323,-1.4748635
351587256974334,-5.875154,0.26046404,-4.548175
351587276974334,0.7252901,-0.13733457,-5.9803977
351587296974334,2.4188128,-2.571352,-3.248757
351587316974334,-1.6099168,-1.9733843,0.80979425
351587336974334,-0.8601862,-0.90779364,1.9490626
351587356974334,0.92207164,-1.9847696,-1.3383846
351587376974334,1.0468775,-3.5905092,-4.331231
351587396974334,0.24615064,-5.5469365,-5.4386015
351587416974334,-1.4748821,-5.771085,-1.9573733
351587436974334,-1.7148345,-3.71058,2.702084
351587456974334,-1.1314995,-2.375323,2.4852061
351587476974334,-1.5893594,-2.7081501,1.5410473
351587496974334,-2.0932646,-2.8360374,2.6637187
351587516974334,-1.6467236,-1.3543671,5.063796
