UPTIMENANO,Gx,Gy,Gz
351586393827633,-0.11358996,-0.22869195,-0.1253911
351586403755570,-0.11358996,-0.14879712,-0.13125005
351586413683505,-0.14554788,-0.08594652,-0.095031045
351586423611442,-0.21905114,-0.06943492,-0.06893207
351586433539377,-0.29734808,-0.08541389,-0.07638892
351586443467314,-0.31119654,-0.14879712,-0.089172095
351586453395249,-0.2861628,-0.2686394,-0.0875742
351586463323186,-0.20040901,-0.3368163,-0.06254049
351586473264689,-0.08003413,-0.3400121,-0.033778347
351586483192754,0.029688114,-0.33788157,-0.018864641
351586493120817,0.10372399,-0.33362052,-0.03058255
351586503048882,0.076559745,-0.31338048,-0.0694647
351586512976945,0.018502839,-0.3021952,-0.118999496
351586522905138,0.009980721,-0.3021952,-0.16853431
351586532833201,-0.015052994,-0.32296786,-0.19569854
351586542761266,-0.070446745,-0.4209722,-0.17812169
351586552689329,-0.11625312,-0.5637176,-0.14190269
351586562617394,-0.18070161,-0.6990062,-0.13018478
351586572545798,-0.27817333,-0.8348274,-0.13764164
351586582473863,-0.28989124,-0.8428169,-0.12272792
351586592402054,-0.23289958,-0.80073893,-0.11154265
351586602330119,-0.16312476,-0.7037999,-0.10781422
351586612258182,-0.1109268,-0.55572814,-0.120064765
351586622186375,-0.070446745,-0.4310922,-0.14243533
351586632114438,-0.037423547,-0.38315532,-0.14350058
351586642042503,-0.0017371872,-0.38049215,-0.1253911
351586651970694,0.024361793,-0.38209003,-0.11260791
351586661898759,0.04513445,-0.4758333,-0.11207528
351586671827468,0.045667082,-0.6585261,-0.13923953
351586681755533,-0.02410774,-0.8630569,-0.19090486
351586691683596,-0.11145943,-1.1932889,-0.32779133
351586701611661,-0.1673858,-1.6263189,-0.51048416
351586711539852,-0.19188689,-1.975193,-0.5909116
351586721467917,-0.20893112,-2.2894459,-0.6441749
351586731395980,-0.23982379,-2.3991683,-0.6335222
351586741324045,-0.3042723,-2.3187408,-0.58238953
351586751252108,-0.41612506,-2.186648,-0.5163431
351586761180173,-0.5679253,-2.0630772,-0.45082936
351586771110619,-0.7154644,-1.966671,-0.41780618
351586781038684,-0.84702456,-1.8915699,-0.4103493
351586790966875,-0.9152015,-1.8409697,-0.38478297
351586800894940,-0.8693951,-1.7925003,-0.2777239
351586810823003,-0.7101381,-1.7024853,-0.09449842
351586820751196,-0.5125315,-1.588502,0.118021846
351586830679259,-0.3687208,-1.527782,0.26289782
351586840607452,-0.1391563,-1.0100634,0.34971687
351586850535515,0.33328846,0.057864185,0.37315267
351586860463708,0.5681793,0.2235128,0.2772789
351586870389102,0.48455602,0.071179986,0.11056499
351586880317167,0.27682945,0.08556106,-0.06254049
351586890245230,0.16391145,0.08183263,-0.16374062
351586900173423,0.13408403,-0.06677176,-0.18824169
351586910101486,0.061113417,-0.14293817,-0.18451327
351586920029551,-0.073642544,-0.0806202,-0.18025221
351586929957614,-0.20893112,0.050939966,-0.10994475
351586939885807,-0.31119654,0.18250012,-0.023125699
351586949813870,-0.3420892,0.16811906,-0.05827943
351586959741935,-0.23982379,0.05946208,-0.21007961
351586969666468,-0.087490976,-0.06197807,-0.38265243
351586979594533,-0.027836166,-0.16690663,-0.5158105
351586989522596,-0.11572049,-0.042270675,-0.47959152
351586999450661,-0.22437745,0.45094678,-0.34803134
351587009378724,-0.19614795,0.95588213,-0.332585
351587019306917,-0.052337248,1.2184697,-0.43431777
351587029234980,0.17722724,1.247232,-0.49557048
351587039163045,0.27363366,1.2493625,-0.33471555
351587049091108,0.381758,1.2445687,-0.12805425
351587059019173,0.5026655,1.1130086,0.05357334
351587068944542,0.43182543,1.0091453,0.070084944
351587078872607,0.2027936,0.7550798,0.023213305
351587088800670,-0.01931405,0.40886882,-0.022060435
351587098728735,-0.13968892,0.15693377,-0.05881206
351587108656798,-0.1556679,0.009394651,-0.08331314
351587118584991,-0.10400258,-0.17596136,-0.1158037
351587128513054,-0.039554074,-0.45186487,-0.13657637
351587138441119,0.0035891351,-0.7618568,-0.15788166
351587148369182,-0.015585625,-1.0100634,-0.2116775
351587158297247,-0.11891628,-1.2705206,-0.35175976
351587168218154,-0.3021418,-1.6039484,-0.5898464
351587178146091,-0.5982853,-1.9943678,-0.8412488
351587188074026,-1.0132058,-2.5749369,-1.0617586
351587198002091,-1.5447727,-3.4170284,-1.2359294
351587207930026,-2.1125586,-4.3693748,-1.37974
351587217857963,-2.6489193,-5.04422,-1.7280815
351587227786026,-3.2177706,-4.9579334,-2.277758
351587237713963,-3.1831493,-3.6966603,-2.7347562
351587247641898,-2.4246812,-1.568262,-2.606392
351587257569963,-1.3839178,1.0954317,-1.859109
351587267489791,-0.8997551,2.9324803,-1.4473844
351587277417728,-1.1325153,3.7591257,-1.4958539
351587287345535,-1.7567604,3.6302285,-1.7014499
351587297273472,-2.3868642,2.6650991,-1.9773535
351587307201279,-2.7671638,1.4160763,-2.2186356
351587317129216,-2.8209596,0.33323506,-2.3011937
351587327057151,-2.6228204,-0.490747,-2.236745
351587336984960,-2.3794074,-1.0404235,-2.1248925
351587346912895,-2.2515757,-1.2694553,-2.028486
351587356840832,-2.2584999,-1.2066047,-1.9411345
351587366764969,-2.346917,-0.94614756,-1.8628374
351587376692778,-2.4891295,-0.5440102,-1.8180964
351587386620713,-2.7788815,-0.045466468,-1.8308796
351587396548522,-3.2412064,0.5484185,-1.9560481
351587406476329,-3.7099228,1.1470971,-2.2505937
351587416404138,-3.9352262,1.4901122,-2.6713731
351587426332073,-3.8175144,1.4858512,-3.065521
351587436259882,-3.4681077,1.2988973,-3.3398266
351587446187689,-3.1783557,0.9649369,-3.4586034
351587456115626,-3.0915368,0.4759805,-3.440494
351587466046851,-3.1139073,0.06798419,-3.3973508
351587475974788,-3.1240273,-0.073163345,-3.3904266
351587485902723,-3.0382736,0.04934207,-3.4277108
351587495830532,-2.8417323,0.47544783,-3.540629
351587505758467,-2.534936,1.131118,-3.748888
351587515686404,-2.077405,1.4911774,-3.99816
351587525614211,-1.6033622,1.2983646,-4.149428
351587535542148,-1.2603471,0.705545,-4.1467648
351587545469955,-1.0531532,0.050939966,-3.4351678
351587555397892,-1.6742023,-1.912875,-1.0963796
351587565327009,-3.8521354,-4.0162396,-0.32193238
351587575254946,-3.481956,-1.4217882,-1.484136
351587585182753,-1.5889812,0.30234239,-2.1675029
351587595110690,-1.0206625,0.79396194,-2.3171725
351587605038625,-1.4451705,1.0368422,-2.2495284
351587614966434,-1.50376,0.35134453,-2.3960023
351587624894369,-1.1351786,-0.8177832,-2.7571268
351587634822306,-0.5024115,-1.574121,-3.0633905
351587644750113,0.08934292,-1.9240603,-3.415993
351587654678050,0.3849538,-2.5754695,-4.043967
351587664609081,-0.044880398,-3.4026473,-4.570207
351587674537018,-1.1367764,-4.197335,-5.036793
351587684464953,-2.4593022,-4.4087896,-5.633874
351587694392762,-3.3988655,-3.872429,-6.0530553
351587704320697,-3.7301626,-3.2401946,-6.1728973
351587714248634,-3.6987374,-2.965889,-6.1819525
351587724176441,-3.7722406,-3.3350031,-6.2772937
351587734104378,-4.0955486,-4.1131787,-6.4200387
351587744032313,-4.487566,-4.909464,-6.35346
351587753960122,-3.5900805,-6.6405187,-5.3776774
351587763889250,-2.579677,-6.661291,-4.4423757
351587773817187,-3.390876,-5.1081357,-4.448767
351587783745122,-3.3035243,-5.135833,-4.08924
351587793672931,-3.3871477,-4.9435525,-4.35023
351587803600866,-3.7264342,-4.3496675,-5.0437174
351587813528803,-3.7024658,-3.9342144,-5.5284123
351587823456610,-3.0398715,-3.3978536,-5.387265
351587833384547,-1.8776679,-2.7911856,-4.8722095
351587843312482,-0.65900534,-2.5381851,-4.0860443
351587853240291,-0.1588637,-2.599438,-3.0213125
351587863172736,-0.14661315,-3.1187544,-2.170699
351587873100673,-0.5775126,-3.1123629,-1.4921254
351587883028480,-0.81027293,-2.7155519,-0.7730719
351587892956417,-0.6792454,-2.2239323,-0.60955375
351587902884352,-0.5705884,-2.1919742,-1.077205
351587912812289,-0.79429394,-2.4886503,-1.2353967
351587922742806,-1.4643452,-2.5259347,-1.1294029
351587932670743,-2.1945841,-2.247368,-0.6947749
351587942598678,-2.3591673,-2.1653426,-0.16959956
351587952526615,-2.0172174,-2.1717343,0.08819444
351587962465143,-1.529859,-2.02313,-0.08064998
351587972393080,-1.0414352,-1.8771887,-0.29370287
351587982321143,-0.5503484,-1.7909023,-0.32832396
351587992249080,-0.20253953,-1.5975568,-0.14509849
351588002177143,0.04087339,-1.312066,0.13453344
351588012105080,0.2938737,-0.94827807,0.31616104
351588022033143,0.5857561,-0.5040628,0.32308525
351588031961080,0.81212485,-0.033215925,0.19738404
351588041889143,0.8344954,0.3327024,0.0029732792
351588051817080,0.7338279,0.57345223,-0.13817427
351588061751462,0.6667163,0.8147346,-0.16427325
