UPTIMENANO,Ax,Ay,Az
351753551990441,-1.1369525,1.1157836,8.055982
351753571846825,-0.75632524,0.55862767,8.94776
351753591703337,-0.9011154,0.2194167,8.825004
351753611554942,-1.4757353,0.073844805,9.45881
351753631411326,-1.4741168,-0.5520537,10.373342
351753651267710,-1.2443652,-0.7131733,10.536419
351753671124094,-1.3233554,-0.29215172,10.008099
351753690980478,-1.1223518,-0.09309206,9.45031
351753710838756,-0.72178215,-0.21704742,9.462087
351753730695268,-0.55013734,-0.41532886,9.844599
351753750551780,-0.5601746,-0.41272375,10.042406
351753770408292,-0.58466536,-0.3484171,10.143094
351753790264804,-0.4585886,-0.32001236,10.153642
351753810100470,-0.33277372,-0.18687575,9.973775
351753829956214,-0.31450695,-0.07733735,9.608338
351753849811958,-0.40098533,-0.18845071,9.539576
351753869667830,-0.37150154,-0.35419098,9.751897
351753889523574,-0.28317523,-0.35050344,9.870574
351753909382353,-0.4609027,-0.22064584,9.882911
351753929238097,-0.84213495,-0.30758062,10.168202
351753949093841,-0.9497222,-0.4195397,10.241497
351753968949585,-0.6727487,-0.29983696,9.966672
351753988805329,-0.5127902,-0.24824843,9.9826565
351754008669588,-0.47042695,-0.24222143,10.154533
351754028525588,-0.3887266,-0.04060564,9.785779
351754048381588,-0.7050503,0.07697453,9.800881
351754068237588,-1.2546921,0.04071571,10.200848
351754088093588,-1.4898348,-0.39794543,11.115958
351754107954738,-1.094073,-0.7031831,10.810403
351754127810866,0.26030394,-0.36256853,8.507017
351754147666866,-0.36902496,0.89927715,7.3684883
351754167522994,-0.9276183,-0.45354873,9.316519
351754187378994,-0.9610544,-0.89670676,10.852889
351754207248006,-1.397986,-2.6521537,9.045335
351754227104390,-0.19827522,-2.7260933,10.831787
351754246960646,0.5778548,-1.1724931,11.19486
351754266817030,0.3873338,0.32060158,9.168205
351754286673414,-1.3816373,3.6829824,7.60441
351754306534192,-2.4475515,3.3199394,8.442541
351754326390704,-1.0319743,-1.0541505,10.08283
351754346247216,-0.61387694,-1.4444994,11.142975
351754366103728,-0.1242061,-0.7998244,10.316366
351754385960240,-0.86126935,-0.5632196,10.074676
351754405823158,-1.0971742,-0.6120378,9.565948
351754425679798,0.4293079,-0.064294845,8.621
351754445536566,0.3607871,0.57440954,8.698679
351754465393206,-0.24260291,-1.0468168,10.324164
351754485249846,0.36713845,-0.7304742,10.017633
351754505103170,0.3275424,0.47445145,9.56069
351754524959810,-0.69566816,0.5419625,9.409629
351754544816578,-0.3084591,0.5305461,9.031972
351754564673218,1.4415987,-0.09047058,8.520987
351754584529858,0.6883031,-0.57389855,9.333056
351754604388284,-2.0871754,-0.88394654,11.463807
351754624245052,-1.713391,-1.1255413,11.2804575
351754644101692,-0.46834102,-1.1873369,10.2986765
351754663958460,-1.3102263,-1.1849564,11.081788
351754683815228,-0.59798664,-0.051176235,9.332884
351754703677652,0.32445452,0.59204155,8.595914
351754723534420,-1.2706428,0.46535963,9.734638
351754743391316,-1.7130715,0.3773213,9.42953
351754763248084,-0.8744522,0.40003562,8.912225
351754783104980,-0.59816873,0.5986801,8.892623
351754802957256,1.2159647,-0.4808076,6.8803754
351754822814024,-1.331099,-0.39005607,8.446106
351754842670792,-2.0304768,0.067682885,11.154748
351754862527560,-0.9526224,-1.8346891,10.160908
351754882380043,-1.9667519,-0.52339745,9.908408
351754902236684,-2.7725523,-1.1948438,11.356474
351754922093323,-1.4800093,-1.2716907,11.121972
351754941950091,0.647138,-1.8220699,10.195218
351754961806732,0.6720853,-1.9358699,11.366554
351754981667316,0.18588604,-0.55981576,8.1173525
351755001516337,-0.10254978,1.5305179,5.453888
351755021372850,3.6927636,-3.444781,4.3685308
351755041229489,5.2164288,-7.3433323,3.3857148
351755061086001,1.2905897,-4.2036886,11.563931
351755080942642,0.34381694,-0.10470218,12.771662
351755100791528,-1.9235516,1.5675466,4.897344
351755120647912,1.7167128,0.059297655,1.2791859
351755140504297,3.248882,-3.2563064,0.8967247
351755160360680,-0.11820332,-6.9926333,1.3084692
351755180217192,-4.7173967,-5.425992,4.2175384
351755200073577,-8.824761,-2.0383697,10.78378
351755219929777,-5.947592,0.22104004,20.64338
351755239786161,-1.9967636,-2.6565795,20.243963
351755259642418,-4.195577,-3.6702466,16.14263
351755279498801,-3.6174002,-1.5908382,19.93534
351755299354679,-0.22754753,1.0000437,19.539162
351755319210936,-1.6654112,2.111276,8.840217
351755339067319,-5.9518747,4.2261887,-5.39255
351755358923575,-4.13964,0.16429652,2.7950153
351755378779832,1.6609211,-3.06607,15.982226
351755398638135,4.095955,2.0634892,6.194088
351755418494391,2.430687,-6.8668685,4.697882
351755438350648,-2.1476984,-5.406449,2.0928304
351755458206903,-1.0999036,-4.4070477,5.105004
351755478063159,-3.0286052,-3.6918218,7.6471777
351755497919544,-1.6262522,-1.6751126,7.517038
351755517752599,-0.25950363,-3.3423302,6.632942
351755537608343,-4.1964703,-3.7153344,10.675104
351755557464216,-5.667764,-4.261468,11.679012
351755577320087,-1.9544009,3.8107908,11.836417
351755597180798,0.9659634,0.38224393,11.590883
351755617036671,-1.3823403,5.0795856,11.3125
351755636892542,-1.0499064,3.4301736,15.910932
351755656748286,0.1880184,3.54376,18.396427
351755676604159,0.837506,2.6494207,18.233244
351755696465101,3.3095815,1.2594595,16.739262
351755716320973,7.711176,5.2530303,17.592821
351755736176974,10.202633,1.5308057,14.093544
351755756032845,5.4839,-9.645354,7.8090477
351755775888845,1.417083,-6.8680787,7.891292
351755795744718,3.8159604,-3.3518882,7.543337
351755815605221,3.4887938,-2.9752235,5.8479524
351755835461221,2.3321154,-2.2283764,7.6842294
351755855317350,0.5178818,-2.2556067,8.628637
351755875173349,-0.28690457,-1.9802942,7.8163066
351755895037966,4.6708527,-2.9252234,8.111583
351755914894223,8.37963,-2.2377691,12.628147
351755934750478,4.8287964,5.3978167,12.086503
351755954606606,4.2041173,3.4434693,10.980525
351755974462863,3.1325095,2.067354,10.6070795
351755994322610,-2.3081038,2.1339283,8.554213
351756014178994,-3.2097268,-1.667126,11.005327
351756034035251,-1.4680325,-4.707044,17.438633
351756053891634,-9.094162,7.155253,15.256362
351756073747890,-10.049332,-2.241108,7.995278
351756093604275,-8.746682,-8.607023,4.6655126
351756113464978,-2.2850215,1.052358,7.6845284
351756133321362,-0.117130406,1.046633,5.676214
351756153177619,0.054812856,-0.025649786,6.37566
351756173034002,3.1560507,2.9348335,7.178848
351756192896700,2.5939567,1.8878407,6.6431565
351756212753213,1.5588427,0.73873746,4.975657
351756232609724,-1.1015049,1.289873,7.366784
351756252466364,-1.6579868,-0.26408312,10.286407
351756272322877,-2.09273,-0.18661524,14.185231
351756292179388,-2.4940023,-0.72427875,14.485365
351756312039916,-2.702402,0.27251,13.029194
351756331896557,-2.1651475,1.8612584,11.196972
351756351753324,-0.75328064,0.20404634,11.045939
351756371610092,-1.0066855,0.19593728,9.7024555
351756391466733,-1.0792776,0.9477776,9.817435
351756411327198,-0.31723303,0.13867183,10.180502
351756431183966,0.016044935,-1.4798716,7.426952
351756451040735,4.2498665,-0.60058546,1.9253067
351756470897630,2.1574087,4.9342237,8.145602
351756490754550,1.3236763,1.5287488,9.995508
351756510611447,0.64308953,-0.8434164,9.029405
351756530468214,-2.32196,-0.463735,8.887552
351756550325110,-3.476991,-2.2339551,6.1079597
351756570182007,-3.6474829,-4.14933,7.146795
351756590038774,-3.0842376,-3.667757,11.409724
351756609897998,-2.616148,-2.3635662,11.399615
351756629754895,-1.6077152,-2.0061843,11.385024
351756649611790,-0.8566541,-0.71356654,9.530352
351756669468686,-1.8011366,0.6354666,8.311818
351756689325583,-3.1278892,-1.6744599,9.756408
351756709186636,-1.6188698,-0.8965382,11.21287
351756729043532,-1.722115,-0.98287296,13.513809
