UPTIMENANO,Mx,My,Mz
351753532133929,-22.314075,24.815025,-29.067812
351753551990441,-22.314075,24.665028,-29.067812
351753571846825,-22.614079,24.215027,-28.917814
351753591703337,-24.114079,24.065025,-28.917814
351753611554942,-25.614079,24.065025,-28.917814
351753631411326,-25.464077,24.065025,-28.917814
351753651267710,-25.464077,24.065025,-28.917814
351753671124094,-25.464077,23.615025,-29.067812
351753690980478,-25.464077,23.465027,-29.067812
351753710838756,-25.464077,23.765026,-29.067812
351753730695268,-25.464077,23.915028,-29.217813
351753750551780,-25.464077,23.915028,-29.217813
351753770408292,-25.464077,23.915028,-29.217813
351753790264804,-25.464077,23.915028,-29.067812
351753810100470,-25.464077,23.915028,-29.067812
351753829956214,-25.164078,23.915028,-28.917814
351753849811958,-25.164078,23.915028,-28.467813
351753869667830,-25.164078,23.915028,-28.467813
351753889523574,-25.164078,23.915028,-28.167814
351753909382353,-25.164078,23.915028,-28.167814
351753929238097,-25.314075,23.915028,-27.867811
351753949093841,-25.314075,23.915028,-28.017813
351753968949585,-25.314075,23.915028,-28.017813
351753988805329,-25.464077,23.915028,-27.867811
351754008669588,-25.614079,23.765026,-27.567812
351754028525588,-27.264076,23.465027,-27.567812
351754048381588,-27.114079,23.165028,-27.567812
351754068237588,-27.414078,22.865025,-27.417814
351754088093588,-27.264076,23.015026,-27.417814
351754107954738,-27.414078,22.715027,-27.417814
351754127810866,-27.264076,22.565025,-26.367811
351754147666866,-27.264076,22.115025,-26.517813
351754167522994,-27.264076,22.115025,-26.517813
351754187378994,-27.264076,22.115025,-26.517813
351754207248006,-27.414078,21.815025,-26.517813
351754227104390,-27.414078,21.815025,-26.517813
351754246960646,-27.564075,21.815025,-26.517813
351754266817030,-28.464077,21.515026,-26.367811
351754286673414,-30.114079,20.915028,-26.217813
351754306534192,-31.014076,20.315025,-25.617811
351754326390704,-32.214077,20.315025,-23.967813
351754346247216,-31.764076,20.465027,-20.367811
351754366103728,-31.464077,19.715027,-21.117811
351754385960240,-31.464077,19.715027,-21.117811
351754405823158,-31.464077,19.715027,-21.117811
351754425679798,-31.464077,19.715027,-21.117811
351754445536566,-31.464077,19.715027,-20.817812
351754465393206,-31.464077,19.715027,-20.66781
351754485249846,-30.864079,19.715027,-20.66781
351754505103170,-30.864079,19.715027,-20.66781
351754524959810,-30.864079,19.865025,-20.66781
351754544816578,-30.864079,19.865025,-20.817812
351754564673218,-30.714077,19.865025,-20.817812
351754584529858,-30.564075,19.865025,-20.817812
351754604388284,-30.564075,19.865025,-20.817812
351754624245052,-30.564075,20.165028,-20.817812
351754644101692,-30.564075,20.165028,-20.817812
351754663958460,-30.564075,20.165028,-20.817812
351754683815228,-30.564075,19.865025,-20.817812
351754703677652,-30.564075,19.415028,-20.66781
351754723534420,-30.714077,19.265026,-20.66781
351754743391316,-30.714077,18.365025,-20.66781
351754763248084,-30.864079,17.315025,-20.817812
351754783104980,-31.764076,14.765026,-20.817812
351754802957256,-31.764076,15.365026,-20.66781
351754822814024,-31.914078,15.215025,-20.66781
351754842670792,-32.664078,15.215025,-20.66781
351754862527560,-33.714077,15.215025,-20.66781
351754882380043,-34.014076,15.215025,-20.66781
351754902236684,-33.11408,15.215025,-20.817812
351754922093323,-32.964077,15.215025,-20.817812
