UPTIMENANO,Ax,Ay,Az
351753551990441,-1.6669337,3.9685476,6.9934573
351753571846825,-1.1088941,4.2343946,7.8604546
351753591703337,-1.0514137,3.8703518,7.9155397
351753611554942,-1.4250367,3.7074904,8.710687
351753631411326,-1.0729688,3.5829494,9.802815
351753651267710,-0.86939216,3.5254688,9.994417
351753671124094,-1.1687696,3.4631984,9.414823
351753690980478,-1.096919,3.4440382,8.804092
351753710838756,-0.68737066,3.5877395,8.760982
351753730695268,-0.40715334,3.7362306,9.125025
351753750551780,-0.39278322,3.8272414,9.302257
351753770408292,-0.43589357,3.891907,9.381292
351753790264804,-0.34488282,3.9661524,9.357342
351753810100470,-0.3065625,4.038003,9.12263
351753829956214,-0.3281177,3.9661524,8.751402
351753849811958,-0.31374758,3.8152664,8.749006
351753869667830,-0.19160157,3.8008962,8.993299
351753889523574,-0.12454102,3.8847218,9.08431
351753909382353,-0.3424878,3.8655617,9.10347
351753929238097,-0.5939649,3.7027004,9.493857
351753949093841,-0.5963599,3.5805542,9.632769
351753968949585,-0.42152345,3.6955154,9.275911
351753988805329,-0.29937744,3.8440065,9.2256155
351754008669588,-0.23231691,3.9781277,9.354947
351754028525588,-0.25147706,4.0427933,8.916658
351754048381588,-0.5388794,3.9829175,8.966953
351754068237588,-0.9364527,3.8535867,9.481883
351754088093588,-0.80712163,3.8200562,10.521321
351754107954738,-0.30895755,3.7050953,10.233919
351754127810866,0.5029541,3.7194655,7.647298
351754147666866,-0.7831714,3.779341,6.351592
351754167522994,-0.34009278,3.535049,8.674761
351754187378994,-0.016765138,3.9757326,10.183623
351754207248006,0.8765772,1.6573536,9.342972
351754227104390,2.0381618,3.1135256,10.533297
351754246960646,1.7938697,4.792434,10.042317
351754266817030,0.65384036,4.8571,7.7646537
351754286673414,-2.8333082,5.5636306,5.858218
351754306534192,-3.1015503,5.2594633,7.1419487
351754326390704,1.2813355,4.0523734,9.261541
351754346247216,2.1770728,4.608018,10.032737
