p,time
1013.12335,69140925486839
1013.1353353137791,69141025486839
1013.1538052769974,69141125486839
1013.1711652509882,69141225486839
1013.1932931851067,69141325486839
1013.2117607931137,69141425486839
1013.2224320463755,69141525486839
1013.2378087308571,69141625486839
1013.2529699374988,69141725486839
1013.2683931629404,69141825486839
1013.2838126057557,69141925486839
1013.3025912855287,69142025486839
1013.322936941808,69142125486839
1013.3409610434657,69142225486839
1013.3463481611998,69142325486839
1013.3630788048893,69142425486839
1013.3754575915111,69142525486839
1013.3957034256431,69142625486839
1013.4152077791067,69142725486839
1013.4591848957472,69142825486839
1013.4788540376071,69142925486839
1013.4907999396581,69143025486839
1013.5082074813154,69143125486839
1013.5290082629408,69143225486839
1013.5518730554244,69143325486839
1013.5693693967002,69143425486839
1013.5897459349831,69143525486839
1013.6092731378297,69143625486839
1013.6338401231479,69143725486839
1013.6507249084015,69143825486839
1013.6646834714494,69143925486839
1013.6732872109249,69144025486839
1013.6859568280422,69144125486839
1013.704003453386,69144225486839
1013.7273606799906,69144325486839
1013.7479185056591,69144425486839
1013.768175078469,69144525486839
1013.7885806485252,69144625486839
1013.8024286936292,69144725486839
1013.8238535781372,69144825486839
1013.8407728999671,69144925486839
1013.8538055810998,69145025486839
1013.8671991208538,69145125486839
1013.880773073871,69145225486839
1013.8950324252995,69145325486839
1013.9115060633487,69145425486839
1013.9281195382748,69145525486839
1013.9487619677542,69145625486839
1013.9644848037402,69145725486839
1013.9818839096381,69145825486839
1013.9987403506476,69145925486839
1014.0109608114665,69146025486839
1014.033172450401,69146125486839
1014.0530326610404,69146225486839
1014.0661065048212,69146325486839
1014.0835770850224,69146425486839
1014.1048484507485,69146525486839
1014.1258635938317,69146625486839
1014.1407696394064,69146725486839
1014.1595296760001,69146825486839
1014.1784014174733,69146925486839
1014.1981161699283,69147025486839
1014.2197622554652,69147125486839
1014.2376647515973,69147225486839
1014.2501669331522,69147325486839
1014.2649676947141,69147425486839
1014.2787422143214,69147525486839
1014.2912407427463,69147625486839
1014.2995127072072,69147725486839
1014.3130903352888,69147825486839
1014.3333113604641,69147925486839
1014.3572403420605,69148025486839
1014.3810546906392,69148125486839
1014.4058734509406,69148225486839
1014.4306367322113,69148325486839
1014.4536822373174,69148425486839
1014.4785898140926,69148525486839
1014.4996643897184,69148625486839
1014.5214041356134,69148725486839
1014.5430154325517,69148825486839
1014.5632500801762,69148925486839
1014.5777413926942,69149025486839
1014.5938635943666,69149125486839
1014.6078028818566,69149225486839
1014.6194676471753,69149325486839
1014.6339734645192,69149425486839
1014.6521069012358,69149525486839
1014.6710597988823,69149625486839
1014.6925228120231,69149725486839
1014.7104614721144,69149825486839
1014.7280043874003,69149925486839
1014.7482895733832,69150025486839
1014.7676558752961,69150125486839
1014.7916901741963,69150225486839
1014.8144899061244,69150325486839
1014.8426935836284,69150425486839
1014.8685416688488,69150525486839
1014.882005130518,69150625486839
1014.8959336013878,69150725486839
1014.9152360128384,69150825486839
1014.934282462719,69150925486839
1014.948612480101,69151025486839
1014.9637886869151,69151125486839
1014.9821908354897,69151225486839
1015.0002090173018,69151325486839
1015.0154882626002,69151425486839
1015.0338864218439,69151525486839
1015.0521424877963,69151625486839
1015.066628701697,69151725486839
1015.0809578811238,69151825486839
1015.0959630972922,69151925486839
1015.1104312888544,69152025486839
1015.1263487692381,69152125486839
1015.144236969708,69152225486839
1015.1619999395044,69152325486839
1015.1825594478204,69152425486839
1015.2022696976268,69152525486839
1015.2190978404707,69152625486839
1015.2359617482597,69152725486839
1015.253002015524,69152825486839
1015.2692766964993,69152925486839
1015.2881710867323,69153025486839
1015.3048466555207,69153125486839
1015.317274640166,69153225486839
1015.3300717989702,69153325486839
1015.3472829008368,69153425486839
1015.3645947259566,69153525486839
1015.3835424192556,69153625486839
1015.4001069195926,69153725486839
1015.4157514131101,69153825486839
1015.4324310636496,69153925486839
1015.4446675462725,69154025486839
1015.4584663621181,69154125486839
1015.4853010158172,69154225486839
1015.5105110805398,69154325486839
1015.5258939238286,69154425486839
1015.5423979714823,69154525486839
1015.5552237041979,69154625486839
1015.565728381622,69154725486839
1015.5820758602134,69154825486839
1015.6019439375017,69154925486839
1015.6253377485573,69155025486839
1015.6445952578028,69155125486839
1015.6684297524806,69155225486839
1015.6929004427703,69155325486839
1015.7173847006342,69155425486839
1015.7363783197154,69155525486839
1015.7545021214245,69155625486839
1015.7748175174811,69155725486839
1015.7907734843737,69155825486839
1015.8088076165259,69155925486839
1015.8315429181994,69156025486839
1015.8543910760947,69156125486839
1015.8740314722115,69156225486839
1015.8961138070426,69156325486839
1015.9154654826962,69156425486839
1015.9324791498906,69156525486839
1015.9457255229566,69156625486839
1015.9610175497031,69156725486839
1015.9741777553572,69156825486839
1015.9872138967883,69156925486839
1016.0083245341573,69157025486839
1016.028804174035,69157125486839
1016.0384769813593,69157225486839
1016.049861042668,69157325486839
1016.0644041146163,69157425486839
1016.0792548023859,69157525486839
1016.099479211849,69157625486839
1016.1204315842995,69157725486839
1016.1434579243538,69157825486839
1016.1607905923247,69157925486839
1016.1801252902898,69158025486839
1016.2091604922047,69158125486839
1016.2360264031995,69158225486839
1016.2541752818533,69158325486839
1016.2667989829492,69158425486839
1016.2824791981327,69158525486839
1016.3009954937725,69158625486839
1016.3142370024242,69158725486839
1016.331109355063,69158825486839
1016.3514546184336,69158925486839
1016.3664120140136,69159025486839
1016.3826844394623,69159125486839
1016.3925792436675,69159225486839
1016.4092459477513,69159325486839
1016.4209362970406,69159425486839
1016.4352268815325,69159525486839
1016.4505972711493,69159625486839
1016.4730164551089,69159725486839
1016.4954601254141,69159825486839
1016.5133750724831,69159925486839
1016.529071393527,69160025486839
1016.5428870893372,69160125486839
1016.5636176584663,69160225486839
1016.5801891127222,69160325486839
1016.5892888929365,69160425486839
1016.6050426002013,69160525486839
1016.6159708339952,69160625486839
1016.6319318639477,69160725486839
1016.6491418169649,69160825486839
1016.6659259201577,69160925486839
1016.684502834213,69161025486839
1016.7000343004278,69161125486839
1016.7137514782856,69161225486839
1016.731893411851,69161325486839
1016.748993557522,69161425486839
1016.7661754724035,69161525486839
1016.7784157318079,69161625486839
1016.7983412756032,69161725486839
1016.815735410119,69161825486839
1016.8309297889041,69161925486839
1016.8632570463599,69162025486839
1016.8853390110745,69162125486839
1016.9038638049732,69162225486839
1016.9221997272632,69162325486839
1016.9362271763154,69162425486839
1016.9561293411256,69162525486839
1016.9750220068879,69162625486839
1016.9870532940531,69162725486839
1016.9972753229249,69162825486839
1017.0076123326094,69162925486839
1017.0174179491405,69163025486839
1017.0344431778808,69163125486839
1017.0434144661152,69163225486839
1017.051948330623,69163325486839
