UPTIMENANO,Ax,Ay,Az
54507680778076,0.014340494,0.07783997,9.558063
54507700633564,0.24633095,0.18623109,10.066148
54507720489053,0.1624355,0.28638673,10.111917
54507740343838,0.05223528,0.33073866,9.949928
54507760199198,-0.014773341,0.44801757,9.546383
54507780054559,-0.20185196,0.43555582,9.340976
54507799910046,0.007875964,0.052114695,10.007769
54507819765406,0.2847521,-0.15283363,10.184976
54507839620767,0.20081875,-0.0013425422,9.871274
54507859473842,-0.08752364,0.5398328,9.688764
54507879329202,-0.05945669,0.5267303,10.41881
54507899184563,0.56433064,0.320364,11.554065
54507919039922,0.2499917,0.65684456,10.65651
54507938899244,-0.20722856,0.6106138,9.0641
54507958754605,0.26666886,0.4202638,10.432586
54507978609964,1.7036018,0.39738494,12.069005
54507998465324,2.1417868,1.7464368,11.65288
54508018320685,1.7389917,4.058023,9.727366
54508038187320,0.54824644,3.2641718,7.7499976
54508058042808,-0.77955914,0.32034108,6.9415455
54508077898425,-4.4096155,-4.6433587,6.323301
54508097754040,-4.54629,-5.4079013,8.005802
54508117609528,1.095185,0.16081075,10.189843
54508137465145,1.6391436,1.168918,11.503706
54508157322552,0.006906382,0.50068617,9.939114
54508177178168,-0.23402965,-0.19619933,9.2579565
54508197033913,-0.06776599,-0.36636236,9.4701395
54508216889528,0.8798454,0.80978054,10.550185
54508236748887,0.46052775,1.2965235,10.082205
54508256604760,0.18463702,1.4299939,8.783146
54508276460503,-0.1933312,0.969951,8.378097
54508296316247,-0.7633184,0.42457896,8.640449
54508316172120,0.21798469,1.1348321,9.571595
54508336018207,0.8357607,1.6111027,9.680477
54508355873823,0.94184184,-0.026311284,9.803641
54508375729440,0.5083116,-0.83335364,10.3335495
54508395585055,-0.019676212,0.43122956,11.106168
54508415440671,0.052592747,0.5804757,10.839031
54508435296288,0.24878666,0.29639596,10.116261
54508455158626,-0.13493173,0.12014239,10.38451
54508475014498,-0.2648462,0.12284789,10.158079
54508494870243,-0.3956224,0.5999169,9.834063
54508514725986,0.107752346,0.7089469,10.02267
54508534590696,0.32869527,0.6194124,10.360657
54508554446569,0.2169454,1.0671045,9.872898
54508574302568,0.16765037,0.19617712,9.742145
54508594158568,0.3420717,-0.32458174,9.996453
54508614014569,0.90549546,-0.6269778,11.082997
54508633875109,1.5835181,-0.6369321,10.5735655
54508653731237,1.8961,-3.4048147,8.758617
54508673587366,1.3064623,-3.040682,8.126021
54508693443365,1.7454022,0.13051993,8.542857
54508713299493,2.2270339,-0.24038155,7.2180014
54508733155622,2.2824814,-1.2530717,7.7332335
54508753016357,2.784958,-1.9958353,8.573619
54508772872613,0.91448027,-1.8696516,5.7855315
54508792728742,1.2457292,0.46203324,6.1085806
54508812584997,1.2797991,3.308662,7.939955
54508832446123,-0.10284833,2.4675894,8.338019
54508852302508,-0.8788879,-0.30889016,7.8931026
54508872158763,-0.8849946,-1.3169261,5.653676
54508892015147,-0.19918978,0.6108636,7.5392094
54508911871404,0.8264478,3.2011127,11.337978
54508931727787,3.1524951,1.524573,14.42699
54508951574973,3.4725063,-2.558365,10.607291
54508971430974,0.29561695,0.38246083,11.620313
54508991287101,-2.681934,3.7321742,8.641761
54509011143229,-2.5802367,4.899662,5.2189546
54509030999358,-1.2593488,4.245311,5.8774295
54509050852803,-1.8314171,2.842217,4.5117044
54509070708931,-0.49048004,1.7142032,3.3509293
54509090564932,0.79488695,2.2190359,3.4514925
54509110421059,1.1888664,2.5251446,2.5602186
54509130276303,3.2826736,2.232961,1.4446461
54509150132432,5.7508173,0.25763083,3.1202958
54509169988559,5.1436825,-3.1936393,6.2978916
54509189844687,4.121806,-2.9502115,7.730124
54509209700688,6.388952,-3.618183,6.8616195
54509229556815,-7.306623,7.4843698,10.780249
54509249409152,-5.300573,11.330748,16.055119
54509269265153,-2.7202218,12.432959,19.74644
54509289121024,1.4338425,8.049704,21.367758
54509308981098,1.4100542,6.0142136,20.9107
54509328837099,3.3203275,3.6761703,21.615736
54509348687998,8.457284,-2.4979193,22.807838
54509368543870,9.130198,-5.6347737,23.655146
54509388399743,-2.1170492,-15.965761,22.635256
54509408255614,-2.835119,-10.854945,15.071985
54509428111486,0.4083179,-2.0903032,15.615272
54509447915282,-0.28987363,3.1512816,14.700964
54509467770130,-2.114915,-1.4531864,12.765031
54509487624978,2.5985527,-7.0986376,16.153677
54509507479698,5.013584,-2.8930943,17.145266
54509527334546,7.8616147,1.3170587,18.422274
54509547195433,-6.216385,-3.8973074,3.25003
54509567050281,-4.6005764,-0.08317368,5.4189167
54509586905257,0.18221256,3.5429263,6.245476
54509606760105,0.39301264,-0.34977594,5.685471
54509626615081,0.4253001,-1.8977728,4.1491337
54509646470057,2.5621843,-1.0244051,7.3605833
54509666338668,0.1239163,0.48734623,0.0701809
54509686193900,1.5679864,-4.2177505,5.349316
54509706049004,0.52282894,-1.9468017,3.8792622
54509725904236,-0.48583698,1.2262892,5.3430896
54509745759468,0.42799804,-0.63001966,9.708641
54509765624873,3.4304276,-4.26667,12.360248
54509785480233,1.3275679,1.2987484,8.228777
54509805335465,-0.13395758,0.32880646,8.8534155
54509825190825,-0.027517922,0.61271155,9.81855
54509845046185,-1.358553,0.64023465,4.0911593
54509864901947,-0.64756435,-1.9996569,5.8747406
54509884757179,-1.060855,-0.78737414,7.2407517
54509904612539,-2.11769,1.7756042,0.9192638
54509924467771,-1.943261,1.9694508,6.943261
54509944323131,-2.1907194,0.30806616,1.9886873
54509964180807,-2.3070076,5.769268,-0.73682356
54509984035911,-0.963042,7.70426,16.877115
54510003891143,-0.8432165,-8.160365,26.657326
54510023746375,2.5135322,-13.062852,34.512325
54510043601479,9.98264,-0.7247459,19.55125
54510063468115,-3.1775386,5.1673713,14.98593
54510083323603,-14.343046,6.6861978,19.343073
54510103178963,-7.6910934,4.5293727,12.24508
54510123034323,-3.7051008,0.13802621,8.402564
54510142889683,-4.1424584,0.059949137,4.8816953
54510162749816,-3.306428,1.2597592,4.1698217
54510182605432,0.25151744,-2.281535,5.1276603
54510202460920,7.5518913,-2.5766785,7.8119082
54510222316408,6.5477643,0.8450397,4.0270934
54510242171896,1.8430823,-0.7685235,4.2725987
54510262034052,1.5683699,-2.723122,6.967606
54510281889796,1.4220214,1.633199,4.9965196
54510301745412,3.1608706,5.981878,7.4547024
54510321601156,-5.001103,-2.2424593,13.859116
54510341456772,-0.6339478,-5.343863,9.466316
54510361321964,1.8882241,0.53540206,5.696857
54510381177964,0.70495456,3.9478693,4.4221363
54510401033964,-1.8091928,3.4658902,3.5286448
54510420889836,-5.2959013,4.818245,3.3984468
54510440745836,-8.338318,6.8354015,4.1693087
54510460613110,-10.736653,6.0574546,8.697899
54510480469366,-10.049401,6.5640683,14.226569
54510500325622,-12.26715,6.3566074,15.909536
54510520181878,-6.321308,-7.152848,24.854397
54510540038134,1.7504704,-12.303833,20.832964
54510559897244,2.878017,-3.454168,15.432149
54510579753628,11.07261,0.54756385,18.292875
54510599610012,10.6858835,-1.9809498,14.002672
54510619466396,2.6643703,-2.8619387,11.278332
54510639322780,-1.4846635,-1.4776037,11.471403
54510659183383,-2.899292,0.8361706,11.667639
54510679040023,-1.7815076,2.1046526,10.44508
54510698896535,0.5993827,0.6752911,4.445544
54510718753047,-2.929752,0.48451108,11.874736
54510738609687,-2.222396,-0.18009289,9.282993
54510758469916,-2.293431,0.36586317,7.7306376
54510778326684,-1.9163026,-0.18860118,10.061951
54510798183324,1.1690778,1.5107745,11.032348
54510818040092,2.5497065,0.95144355,9.998912
54510837896732,1.3258377,-1.2686716,8.670229
54510857755854,-0.5606549,-0.93586653,12.10647
54510877612750,1.4807125,2.2025597,9.353371
54510897469646,-0.40342382,0.7900833,8.614972
54510917326414,0.15639313,-0.18675655,11.074015
54510937183310,2.740915,-0.73757756,12.020543
54510957035739,3.1678994,-2.6986458,10.620579
54510976892635,-0.059258036,-2.5113652,9.981248
54510996749659,-3.6227708,0.82564515,11.54126
54511016606555,-1.128173,1.7256728,11.002469
54511036463451,0.034916695,0.8275018,10.533473
54511056293443,-0.7445007,0.029734802,10.971849
54511076149443,-0.7857401,0.024035992,11.225417
54511096005443,-1.0537953,0.52111816,11.269017
54511115861443,-1.5516908,0.6717058,11.516906
54511135717443,-1.8423243,0.43899405,11.056313
54511155569392,-0.8263044,-0.10112004,9.842389
54511175425264,-1.0160913,0.501616,10.269101
54511195281136,-1.1262128,0.58481234,10.149131
54511215137008,-1.1838554,-2.5354977,10.789995
54511234992880,-1.7554175,-4.885977,11.495808
54511254847503,-0.04741981,-1.3425684,10.9646635
54511274703375,1.2972894,1.0634828,10.400137
54511294559247,0.9855098,1.0469357,10.473294
54511314415119,-0.1787878,-0.16775124,10.283984
54511334273694,0.21025574,0.12678508,10.109006
54511354127023,9.094983E-4,-0.01561324,9.999986
54511373982767,-0.5537901,-0.8288672,9.5267935
54511393838639,-0.8422883,-0.9880544,8.791967
54511413694511,-1.8830931,-0.40300035,8.521884
54511433550383,-1.4892371,0.09056381,8.820792
54511453404410,0.1784882,0.0019434617,9.395431
54511473260154,2.8420272,0.48702776,9.954837
54511493115898,3.7550495,-0.13870464,10.840773
54511512971642,1.4089466,-2.451804,11.950477
54511532827514,0.5074575,-1.2161008,12.369662
54511552690205,0.01972389,0.3501919,11.126418
54511572546077,-0.78630215,0.09662928,9.979316
54511592401949,-1.0800555,-0.4668521,9.837988
54511612257821,-0.9460764,-0.6573122,10.023165
54511632113693,-0.13183515,-0.8338861,10.390031
54511651970112,1.1640357,-0.5245669,10.60072
54511671825984,1.8761597,0.064787194,10.418982
54511691681856,1.6852504,0.18726145,10.395587
54511711537856,0.99669844,0.03134251,10.612199
54511731393728,0.3934426,-0.08012782,10.611092
54511751249959,0.23476267,0.03755266,10.1672735
54511771105959,0.6291262,0.43576145,9.739712
54511790961831,0.7764278,0.8127065,9.642164
54511810817703,0.21341716,0.68177843,9.985362
54511830673575,-0.35150352,0.524847,10.377674
54511850522826,-0.7019656,0.39660704,10.276058
54511870378570,-0.8755478,0.15924019,10.275701
54511890234314,-0.94322026,-0.093946844,10.211764
54511910090058,-0.64386475,-0.8706511,10.448795
54511929945802,-0.45177993,-0.96540594,10.68656
54511949801009,-0.58229905,-0.29106855,10.700654
54511969656625,-0.7009509,0.23138717,10.395219
54511989512369,-0.43427238,0.37557083,10.103589
54512009368113,-0.115979254,0.30075964,9.974502
54512029223857,0.18474339,0.15775296,9.81066
54512049085775,0.43043554,-0.038203683,9.848591
54512068941519,0.50883955,-0.27423763,10.035735
54512088797391,0.7255729,-0.23584305,10.179814
54512108653263,0.96114314,-0.1573631,10.164225
54512128509135,0.7261579,-0.27629915,10.128563
54512148366962,0.08160222,-0.25728196,10.079218
54512168223309,-0.33966008,0.06813442,10.103656
54512188079182,-0.5004709,0.21673468,10.100237
54512207935055,-0.4645716,0.034187302,10.067493
54512227790928,-0.25239387,-0.06064471,10.005279
54512247655297,-0.014404547,0.057420477,9.875486
54512267511298,0.030017285,0.17556147,9.8238535
54512287367427,-0.050052024,0.19117218,9.829125
54512307223556,0.046727784,0.14930145,9.859467
54512327079557,0.23018438,0.013336006,9.823404
54512346932198,0.3212849,-0.15789849,9.769719
54512366788199,0.31918094,-0.10649713,9.844525
54512386644328,0.082667656,-0.054330967,9.988818
54512406500329,-0.105839975,-0.06495807,10.044951
54512426356330,-0.23365581,-0.09843361,10.038365
54512446212459,-0.19677553,-0.04083387,10.025358
54512466077412,-0.010911755,0.042526998,9.953064
54512485933669,0.03557194,0.003863969,9.92159
54512505789798,-0.0260028,0.002805957,9.886079
54512525646055,-0.04502103,0.09878108,9.848353
54512545502312,-0.046585947,0.091458075,9.841917
54512565363329,-0.05517532,0.042779386,9.841462
54512585219586,-0.08357262,0.06599235,9.810373
54512605075971,-0.13064714,0.06653898,9.833672
54512624932228,-0.1284718,0.03720026,9.905725
54512644788590,-0.017762467,0.030789256,9.926203
54512664641279,0.03733005,0.02169765,9.959686
54512684497536,-0.016600918,0.03505002,10.003053
54512704353921,-0.06089957,0.08949878,9.993762
54512724210178,-0.13176496,0.07545316,9.985087
54512744066435,-0.16278967,0.062361892,9.929108
54512763926324,-0.16733441,0.07512081,9.885401
54512783782709,-0.108229645,0.06718912,9.857779
54512803639094,-0.027450118,0.0812749,9.8515215
54512823495479,-0.004961962,0.06659551,9.850278
54512843351736,-0.023035273,0.050089,9.852064
54512863209187,-0.046768565,0.052123204,9.85552
54512883065700,-0.059060883,0.025786577,9.879558
54512902922085,-0.047522675,0.06690634,9.939577
54512922778470,-0.06794344,0.06725069,9.935241
54512942634855,-0.11710323,0.06269946,9.925636
54512962479286,-0.13216753,0.052128725,9.916373
54512982335415,-0.08354435,0.056601413,9.894117
54513002191544,-0.015555476,0.08000625,9.850964
54513022047673,-0.02179747,0.07014743,9.863696
54513041903802,-0.03780321,0.039305948,9.859902
54513061758651,-0.04857377,0.044509456,9.834324
54513081614780,-0.048262887,0.029470673,9.823732
54513101470909,-0.02364645,-0.004328123,9.911444
54513121327015,-0.05028234,-0.040363073,9.970497
54513141183144,-0.09287144,-0.030661248,9.976051
54513161037553,-0.115321405,-0.035918273,9.941154
54513180893810,-0.08777878,-0.036757484,9.964817
54513200749939,-0.04255087,-0.003570594,9.897357
54513220606068,-0.05449915,-0.0049313824,9.789533
54513240462197,-0.12435401,0.024504839,9.724021
54513260317698,-0.13684295,0.06473892,9.664355
54513280173827,-0.06642065,0.07852881,9.746498
54513300029956,0.03172853,0.03660277,9.857658
54513319886085,0.02701349,-0.05733783,9.898839
54513339742214,-0.044038594,-0.12471572,9.976722
54513359593179,-0.098549955,-0.12263291,10.064237
54513379449180,-0.040267456,-0.10358432,10.039983
54513399305181,-0.022419883,-0.102195226,9.995746
54513419161310,-0.026565198,-0.044700723,9.961645
54513439017311,-0.017910074,-0.007071079,9.844557
54513458874298,-0.029097624,-0.06603619,9.770892
54513478730299,-0.038870607,-0.04106511,9.742187
54513498586300,0.01089469,0.042446725,9.739343
54513518442301,0.08989007,0.046941068,9.80948
54513538298174,0.13350035,-0.0037736658,9.785284
54513558155247,0.014066068,-0.09559597,9.761056
54513578011248,-0.057033174,-0.04141286,9.869968
54513597867101,-0.06412676,0.0053620045,9.94145
54513617723102,-0.06859433,0.01564025,9.997675
54513637579103,-0.1259985,-0.030891957,10.020902
54513657429666,-0.119781695,-0.033053152,9.983532
54513677285539,-0.040593874,2.3025132E-4,9.920181
54513697141284,0.0052720555,0.06131322,9.843998
54513716997157,2.0119989E-4,0.10084015,9.82076
54513736853030,-0.041863464,0.06664393,9.772759
54513756711243,-0.071119554,0.04256215,9.800139
54513776567116,-0.0405517,0.049962185,9.8181505
54513796422989,-0.028665958,0.03897652,9.798352
54513816278862,-0.06540752,0.009520729,9.873764
