UPTIMENANO,P
54507676269922,1017.9669
54507775689946,1017.9711
54507874926821,1017.9753
54507974163695,1017.97906
54508073278469,1017.98804
54508172942694,1017.9899
54508271874317,1017.99664
54508370989092,1017.9972
54508470989092,1017.9959
54508569462840,1017.99426
54508669066015,1017.9981
54508768333414,1018.0003
54508867845013,1017.99927
54508967295563,1017.98914
54509066593487,1017.99133
54509166044037,1017.99817
54509265433536,1017.9998
54509364705009,1018.01105
54509464338709,1018.0199
54509562995608,1018.02014
54509662293532,1018.01685
54509766048111,1018.01764
54509860614655,1018.0162
54509959637854,1018.0183
54510058569478,1018.01874
54510157531627,1018.01746
54510256402201,1018.0185
54510355364350,1018.01184
54510454295974,1018.0089
54510553258123,1017.997
54510652281322,1017.989
54510751060321,1018.001
54510849778269,1017.9849
54510948893044,1017.9821
54511048374118,1017.97925
54511146786816,1017.97296
54511245657390,1017.97003
54511344652767,1017.96375
54511443889641,1017.95374
54511543218091,1017.9446
54511642485490,1017.9242
54511741630789,1017.9116
54511840806613,1017.8968
54511939768762,1017.88684
54512039249837,1017.8736
54512138486711,1017.83563
54512238090233,1017.8073
54512337601832,1017.7834
54512437266057,1017.7619
54512536869232,1017.74725
54512636380833,1017.7257
54512735953484,1017.7074
54512835465083,1017.691
54512935068258,1017.675
54513034518807,1017.6529
54513134091458,1017.62976
54513233633583,1017.61176
54513333084134,1017.59015
54513432534683,1017.57764
54513532076808,1017.55774
54513634396711,1017.5361
54513731130534,1017.5215
54513830642133,1017.50165
54513930184258,1017.49023
54514029665333,1017.46857
54514129146408,1017.45734
54514228749583,1017.4374
54514328261184,1017.4206
54514427925409,1017.40216
54514527406484,1017.39075
54514626918085,1017.3778
54514726460210,1017.3644
54514825971811,1017.346
54514925544460,1017.3278
54515025056061,1017.3093
54515124628710,1017.2927
54515224262394,1017.28143
54515323682419,1017.2667
54515423224544,1017.2468
54515522766669,1017.2316
54515622247744,1017.21515
54515721850919,1017.1998
54515821393044,1017.18146
54515921118319,1017.165
54516020935170,1017.1351
54516120507819,1017.11676
54516220110994,1017.0982
54516321789871,1017.07996
54516419653120,1017.0651
54516519317345,1017.04834
54516619622596,1017.03015
54516718676321,1017.0169
54516818310022,1017.0017
54516918767897,1016.9915
54517017668996,1016.9813
54517117546897,1016.97284
54517219744700,1016.965
54517316997449,1016.9535
54517416722724,1016.9276
54517516325899,1016.91266
54517615959600,1016.8907
54517715654349,1016.88055
54517815379624,1016.86365
54517915135425,1016.84863
54518014708074,1016.83685
54518114250199,1016.82544
54518214005984,1016.81024
54518313639683,1016.7779
54518413273384,1016.7682
54518512846033,1016.7478
54518613822834,1016.7205
54518712449209,1016.6916
54518812113434,1016.66797
54518912266059,1016.6442
54519011350308,1016.61475
54519111106109,1016.5931
54519210770334,1016.57623
54519310495609,1016.5643
54519410159834,1016.5456
54519509763009,1016.532
54519609427234,1016.52716
54519709121985,1016.49976
54519808694634,1016.4929
54519908358859,1016.4827
54520007992560,1016.47253
54520107626259,1016.45215
54520207382060,1016.4403
54520307046285,1016.42834
54520406771560,1016.41815
54520506374735,1016.39343
54520610342990,1016.3764
54520705764235,1016.36115
54520805520036,1016.356
54520912662893,1016.334
54521004970586,1016.3153
54521104634811,1016.295
54521206588401,1016.27625
54521304146400,1016.2524
54521403780099,1016.2367
54521504482176,1016.22473
54521603139075,1016.2045
54521702833824,1016.18585
54521802559099,1016.16376
54521902253850,1016.14996
54522001887549,1016.1313
54522101429674,1016.1139
54522201124425,1016.09686
54522300788650,1016.08154
54522400483401,1016.06964
54522500056052,1016.0578
54522599415027,1016.04364
54522699506602,1016.0249
54522799811853,1016.00793
54522899079254,1015.9926
54522998651903,1015.9859
54523098194028,1015.97046
54523197919303,1015.9535
54523297583528,1015.94
54523397247753,1015.90894
54523498346654,1015.8881
54523596576203,1015.86584
54523696301478,1015.8415
54523796698303,1015.83014
54523895782552,1015.80927
54523995477303,1015.7835
54524095233104,1015.7665
54524195019415,1015.7527
54524294805740,1015.739
54524394225765,1015.7216
54524494012090,1015.71014
54524593767889,1015.6931
54524693432114,1015.68134
54524793126865,1015.6656
54524892791090,1015.65027
54524992333215,1015.64014
54525092089016,1015.6261
54525191753241,1015.60895
54525291417466,1015.59656
54525391020641,1015.58124
54525490623816,1015.5677
54525590257517,1015.54865
54525689891216,1015.531
54525790318567,1015.51764
54525889372292,1015.50214
54525989036517,1015.4813
54526090623818,1015.466
