UPTIMENANO,Ax,Ay,Az
54507634693982,0.13036796,0.57863134,0.19421221
54507654693983,0.09980459,0.40194008,0.015474982
54507674693982,0.024693297,0.19123073,-0.20883022
54507694693982,0.15577002,0.19186291,0.10727997
54507714693983,0.1497664,0.29558647,0.29147568
54507734693982,0.067034535,0.34160876,0.18881391
54507754693982,0.0053093163,0.43140584,-0.15064803
54507774693983,-0.15435451,0.4883372,-0.4127073
54507794693982,-0.0761814,0.225028,0.023934802
54507814693982,0.16993022,-0.038010094,0.33440888
54507834693983,0.16285905,0.038222123,0.14360282
54507854693982,-0.054508746,0.4732671,-0.075966865
54507874693982,-0.12698117,0.62653315,0.4315068
54507894693983,0.32147512,0.54319155,1.4869173
54507914693982,0.29013118,0.64257956,1.0449306
54507934693982,-0.095813744,0.6531857,-0.41401586
54507954693983,0.18822402,0.59352887,0.3387734
54507974693982,1.4370602,0.540135,1.9320567
54507994693982,2.2325141,1.5751925,1.8460784
54508014693983,2.134532,3.7558098,0.16479728
54508034693982,1.0610904,3.532723,-1.8045217
54508054693982,-0.3528058,0.9546727,-2.765287
54508074693983,-3.8445783,-3.3382719,-3.1196902
54508094693982,-4.5715075,-4.965913,-1.8761225
54508114693982,0.13087998,-0.45631012,0.09784683
54508134693983,1.3136358,1.2338772,1.5248469
54508154693982,0.1690911,0.49500862,0.34792656
54508174693982,-0.20779255,-0.33089826,-0.48054418
54508194693983,-0.119467735,-0.8889381,-0.39741692
54508214693982,0.7272054,0.2209819,0.63924503
54508234693982,0.5098338,0.7969597,0.40388247
54508254693983,0.19618486,0.6647426,-0.8106606
54508274693982,-0.20034476,0.59448004,-1.3534524
54508294693982,-0.7964987,0.21552989,-1.1831868
54508314693982,-0.07140792,0.5855533,-0.24642083
54508334693983,0.44516766,1.1204504,-0.0488043
54508354693982,0.8118727,-0.069988795,0.003729575
54508374693982,0.29721695,-1.0031198,0.4838976
54508394693983,-0.28804836,0.15557621,1.2658976
54508414693982,-0.03403619,0.48519227,1.0464728
54508434693982,0.1605076,0.20476364,0.33771273
54508454693983,-0.17430069,0.021787796,0.5716814
54508474693982,-0.30726692,-0.035288583,0.35451683
54508494693982,-0.49630448,0.23705122,0.042737447
