UPTIMENANO,Mx,My,Mz
54507641067228,35.242233,3.8038635,-14.898788
54507660922589,35.39223,3.8038635,-14.898788
54507680778076,34.94223,3.9538612,-15.04879
54507700633564,34.64223,4.103863,-15.498791
54507720489053,34.64223,4.103863,-15.648788
54507740343838,34.64223,4.103863,-16.09879
54507760199198,34.64223,4.403862,-16.09879
54507780054559,34.64223,4.703861,-16.09879
54507799910046,34.64223,4.403862,-16.09879
54507819765406,34.94223,4.703861,-16.09879
54507839620767,34.94223,4.703861,-15.79879
54507859473842,34.94223,4.703861,-15.498791
54507879329202,34.94223,4.703861,-14.598789
54507899184563,34.94223,4.703861,-12.948788
54507919039922,34.94223,4.703861,-13.398788
54507938899244,34.94223,4.853863,-12.948788
54507958754605,35.242233,4.853863,-13.248791
54507978609964,35.39223,5.0038643,-13.248791
54507998465324,35.39223,5.0038643,-13.248791
54508018320685,35.39223,5.453861,-13.248791
54508038187320,35.39223,6.0538635,-13.248791
54508058042808,35.39223,7.103863,-13.248791
54508077898425,35.39223,8.153862,-13.248791
54508097754040,35.39223,8.603863,-13.248791
54508117609528,35.242233,9.803864,-12.948788
54508137465145,34.792233,9.803864,-12.948788
54508157322552,34.64223,10.253864,-12.648788
54508177178168,34.34223,9.803864,-12.79879
54508197033913,34.19223,9.803864,-13.248791
54508216889528,34.19223,9.803864,-13.398788
54508236748887,33.59223,9.803864,-13.54879
54508256604760,33.14223,9.803864,-13.998791
54508276460503,32.69223,9.803864,-15.198788
54508296316247,32.69223,9.653862,-17.74879
54508316172120,32.242233,9.053864,-20.448792
54508336018207,32.242233,8.453861,-20.448792
54508355873823,32.242233,8.453861,-20.74879
54508375729440,32.242233,8.453861,-20.74879
54508395585055,32.09223,8.453861,-21.04879
54508415440671,32.09223,8.453861,-21.198792
54508435296288,32.09223,8.453861,-21.34879
54508455158626,31.942232,8.453861,-21.34879
54508475014498,31.942232,8.453861,-21.34879
54508494870243,31.942232,8.453861,-21.34879
54508514725986,31.942232,8.303864,-21.34879
54508534590696,31.942232,8.153862,-21.34879
54508554446569,31.942232,8.003864,-21.948792
54508574302568,31.942232,8.003864,-22.398788
54508594158568,31.942232,7.403862,-22.698792
54508614014569,31.942232,7.403862,-22.398788
54508633875109,31.942232,6.5038643,-21.948792
54508653731237,31.942232,6.5038643,-21.79879
54508673587366,31.942232,6.353863,-21.79879
54508693443365,31.942232,5.903862,-21.198792
54508713299493,31.942232,5.0038643,-19.54879
54508733155622,31.942232,3.9538612,-16.09879
54508753016357,32.242233,2.7538624,-8.748791
54508772872613,32.242233,-0.096138,-5.598789
54508792728742,32.09223,-2.1961384,-1.0987892
54508812584997,31.942232,-4.4461384,1.0012112
54508832446123,31.042233,-5.4961376,2.951212
54508852302508,30.142231,-6.546139,2.8012104
54508872158763,27.892231,-6.9961376,2.8012104
54508892015147,23.992231,-6.6961384,2.951212
54508911871404,19.342232,-6.846138,2.951212
54508931727787,19.19223,-6.9961376,3.4012108
54508951574973,15.892231,-6.9961376,3.8512115
54508971430974,14.092231,-6.9961376,4.451212
54508991287101,12.892231,-7.146137,5.0512104
54509011143229,10.492231,-6.9961376,5.8012104
54509030999358,9.892231,-6.9961376,7.151211
54509050852803,8.992231,-6.9961376,6.701212
54509070708931,9.742231,-6.6961384,6.701212
54509090564932,7.94223,-5.646137,6.701212
54509110421059,7.642231,-4.896137,6.701212
54509130276303,6.2922306,-2.9461384,6.5512104
54509150132432,4.3422318,-0.54613686,6.1012115
54509169988559,2.8422298,0.35386276,3.5512104
54509189844687,0.2922306,-0.39613724,0.40121078
54509209700688,-1.357769,-0.6961384,-3.3487892
54509229556815,-1.8077698,-1.1461372,-5.7487907
54509249409152,-1.0577698,-1.2961369,-9.498791
54509269265153,-0.007768631,-2.1961384,-9.648788
54509289121024,0.74223137,-3.6961384,-13.398788
54509308981098,1.7922306,-6.546139,-13.248791
54509328837099,2.5422306,-8.796139,-13.248791
54509348687998,4.4922314,-8.196138,-13.248791
54509368543870,7.4922314,-7.896137,-13.398788
54509388399743,12.742231,-7.7461376,-13.398788
54509408255614,14.242231,-7.7461376,-13.398788
54509428111486,14.242231,-7.596138,-13.248791
54509447915282,14.392231,-7.296139,-12.648788
54509467770130,14.092231,-6.9961376,-11.898788
54509487624978,13.792232,-6.546139,-11.898788
54509507479698,13.642231,-6.846138,-10.998791
54509527334546,13.342231,-6.6961384,-10.398788
54509547195433,13.042232,-6.846138,-7.098789
54509567050281,12.142231,-6.9961376,-7.6987877
54509586905257,9.592232,-6.9961376,-7.9987907
54509606760105,5.392231,-6.9961376,-7.9987907
54509626615081,4.4922314,-6.9961376,-7.848789
54509646470057,4.19223,-6.9961376,-7.848789
54509666338668,2.8422298,-6.9961376,-7.848789
54509686193900,3.5922318,-6.9961376,-7.848789
54509706049004,3.2922306,-6.9961376,-7.848789
54509725904236,2.2422314,-6.396137,-7.848789
54509745759468,2.0922298,-5.9461384,-7.848789
54509765624873,1.7922306,-5.4961376,-7.848789
54509785480233,1.3422298,-3.6961384,-7.848789
54509805335465,1.0422306,-4.7461376,-7.848789
54509825190825,-0.007768631,-3.5461369,-7.848789
54509845046185,-0.75776863,-3.3961372,-7.6987877
54509864901947,-0.30776978,-3.3961372,-7.6987877
54509884757179,-1.2077694,-3.5461369,-7.3987885
54509904612539,-1.0577698,-3.5461369,-7.6987877
54509924467771,-1.0577698,-3.5461369,-7.3987885
54509944323131,-1.0577698,-3.5461369,-7.6987877
54509964180807,-0.90777016,-3.846138,-7.848789
54509984035911,-0.90777016,-3.846138,-7.848789
54510003891143,-0.30776978,-3.846138,-8.29879
54510023746375,-0.15777016,-3.846138,-8.898788
54510043601479,0.74223137,-3.9961376,-9.348789
54510063468115,1.4922314,-3.9961376,-9.498791
54510083323603,2.5422306,-5.346138,-9.04879
54510103178963,5.0922318,-6.546139,-9.04879
54510123034323,4.4922314,-7.146137,-9.04879
54510142889683,4.4922314,-6.9961376,-9.04879
54510162749816,4.3422318,-6.6961384,-8.898788
54510182605432,4.3422318,-6.6961384,-8.29879
54510202460920,4.3422318,-6.6961384,-7.3987885
54510222316408,4.19223,-6.6961384,-5.598789
54510242171896,4.19223,-6.6961384,-4.54879
54510262034052,3.5922318,-6.546139,-4.9987907
54510281889796,3.2922306,-6.546139,-5.1487885
54510301745412,3.2922306,-6.546139,-5.1487885
54510321601156,3.2922306,-6.546139,-5.1487885
54510341456772,3.5922318,-6.546139,-5.1487885
54510361321964,3.892231,-6.546139,-5.7487907
54510381177964,3.892231,-6.546139,-6.04879
54510401033964,4.0422306,-6.546139,-7.6987877
54510420889836,4.19223,-6.396137,-9.348789
54510440745836,5.69223,-6.396137,-10.698788
54510460613110,7.642231,-5.646137,-10.54879
54510480469366,7.642231,-4.896137,-10.54879
54510500325622,7.4922314,-3.6961384,-10.998791
54510520181878,7.3422318,-3.2461376,-11.598789
54510540038134,7.3422318,-2.1961384,-11.748791
54510559897244,7.19223,0.053861618,-12.348789
54510579753628,6.44223,1.1038628,-12.348789
54510599610012,5.2422314,0.5038624,-12.348789
54510619466396,5.2422314,0.053861618,-12.948788
54510639322780,5.0922318,-0.096138,-13.848789
54510659183383,3.892231,-0.096138,-13.398788
54510679040023,4.0422306,-0.096138,-13.398788
54510698896535,4.0422306,-0.096138,-13.398788
54510718753047,4.0422306,-1.2961369,-13.398788
54510738609687,4.0422306,-0.6961384,-13.398788
54510758469916,4.0422306,-0.9961376,-13.248791
54510778326684,4.0422306,-1.2961369,-12.348789
54510798183324,4.0422306,-0.9961376,-11.748791
54510818040092,4.0422306,-0.9961376,-10.698788
54510837896732,4.0422306,-0.9961376,-10.698788
54510857755854,4.0422306,-0.9961376,-11.29879
54510877612750,4.0422306,-0.9961376,-11.29879
54510897469646,3.892231,-0.9961376,-11.29879
54510917326414,3.5922318,-0.39613724,-11.29879
54510937183310,3.892231,-0.39613724,-11.598789
54510957035739,3.892231,-0.24613762,-11.898788
54510976892635,3.892231,-0.096138,-11.898788
54510996749659,3.892231,0.35386276,-11.898788
54511016606555,3.892231,0.053861618,-12.348789
54511036463451,3.892231,0.053861618,-12.648788
54511056293443,3.892231,0.053861618,-12.648788
54511076149443,4.0422306,0.053861618,-12.648788
54511096005443,4.0422306,0.35386276,-12.648788
54511115861443,4.19223,0.35386276,-12.348789
54511135717443,4.3422318,0.5038624,-12.348789
54511155569392,4.4922314,0.5038624,-12.198788
54511175425264,4.642231,0.5038624,-11.598789
54511195281136,4.642231,0.5038624,-11.148788
54511215137008,4.642231,0.5038624,-9.498791
54511234992880,4.19223,0.5038624,-9.348789
54511254847503,4.19223,0.35386276,-10.54879
54511274703375,4.19223,0.053861618,-10.698788
54511294559247,4.19223,0.053861618,-10.54879
54511314417822,4.19223,0.053861618,-10.54879
54511334273694,4.19223,0.053861618,-10.54879
54511354127023,4.19223,0.053861618,-10.54879
54511373982767,4.19223,0.053861618,-10.54879
54511393838639,4.3422318,0.053861618,-10.54879
