UPTIMENANO,Ax,Ay,Az
54507680778076,-0.51732427,4.047583,8.643626
54507700633564,-0.4239185,4.0763235,9.19927
54507720489053,-0.3544629,4.1960745,9.19927
54507740343838,-0.35925296,4.1936793,9.022039
54507760199198,-0.24908204,4.1098537,8.624466
54507780054559,-0.30177248,4.181704,8.361013
54507799910046,-0.69695073,4.140989,9.08431
54507819765406,-0.87178713,3.8703518,9.386082
54507839620767,-0.728086,3.8607717,9.057964
54507859473842,-0.34009278,4.129014,8.775352
54507879329202,-0.44547364,4.358936,9.467513
54507899184563,-0.55803955,4.2080493,10.765614
54507919039922,-0.3784131,4.0906935,9.857901
54507938899244,-0.39996827,3.8535867,8.2197075
54507958754605,-0.5939649,3.911067,9.666299
54507978609964,-0.55324954,3.2524366,11.740386
54507998465324,0.7927515,3.0967603,11.541599
54508018320685,3.1278956,3.410508,9.627979
54508038187320,2.1028273,3.671565,7.288045
54508058042808,-1.1136842,3.6092947,5.8845634
54508077898425,-6.7779055,4.663103,3.647615
54508097754040,-8.279583,4.7397437,4.7948294
54508117609528,-1.8824854,3.3937428,9.486672
54508137465145,-1.089734,3.9445972,10.938055
54508157322552,-2.0190015,4.038003,8.868757
54508177178168,-2.4572902,3.67875,8.138277
54508197033913,-2.5914114,3.5494192,8.396939
54508216889528,-0.859812,3.9877076,9.802815
54508236748887,-0.1341211,4.4571314,9.14658
54508256604760,0.06706055,4.184099,7.8556643
54508276460503,0.20357667,4.361331,7.2185893
54508296316247,-0.21315674,4.8091993,7.2281694
54508316172120,0.8262818,4.754114,8.346643
54508336018207,1.829795,4.5960426,8.51669
54508355873823,0.974773,3.7937112,9.036409
54508375729440,0.09101075,4.0787187,9.544153
54508395585055,1.1855347,5.295388,9.699829
54508415440671,1.6429834,5.012776,9.486672
54508435296288,1.4058765,4.4259963,8.995694
54508455158626,1.2046949,4.766089,9.148975
54508475014498,1.2310401,4.7708793,8.8879175
54508494870243,1.5543678,4.905,8.411309
54508514725986,2.0549269,4.6271777,8.679551
54508534590696,2.5578809,4.5888577,8.957374
54508554446569,2.8141482,4.608018,8.337064
54508574302568,2.2249732,4.3301954,8.442444
54508594158568,2.1004322,4.1793094,8.847202
54508614014569,2.327959,4.112249,10.085427
54508633875109,2.2848487,3.3362625,9.917776
54508653731237,-0.7065308,1.3962965,9.457932
54508673587366,-0.7376661,1.710044,8.57417
54508693443365,1.6884888,2.5171657,8.176597
54508713299493,1.0059083,1.465752,7.3455253
54508733155622,0.13172609,1.3004956,8.054451
54508753016357,-1.5304176,1.1735597,9.029224
54508772872613,-2.315984,1.5615528,5.47741
54508792728742,-0.021555176,1.9926564,5.9252787
54508812584997,1.1711646,3.0057497,8.076006
54508832446123,-0.37362307,4.140989,7.6377177
54508852302508,-2.7231374,4.512217,5.949229
54508872158763,-3.278782,3.3793726,3.5087037
54508892015147,-2.6584718,3.527864,6.143225
54508911871404,-2.318379,4.1936793,10.7943535
54508931727787,-7.082073,2.8213332,12.739109
54508951574973,-8.8879175,1.1639795,7.1251836
54508971430974,-6.0282645,3.9014869,9.148975
54508991287101,-2.1483326,3.6979103,8.804092
54509011143229,0.011975098,1.7699195,7.4006104
54509030999358,-1.3939015,1.0154883,7.1539235
54509050852803,-1.7842896,1.21188,5.2091675
54509070708931,-1.9854712,0.10777588,3.2332766
54509090564932,-2.3806496,-1.219065,3.2117214
54509110421059,-1.4801221,-1.9974464,2.8572583
54509130276303,-1.092129,-3.8511915,1.3507911
54509150132432,-4.0811133,-5.118157,-0.15328126
54509169988559,-7.101233,-5.087022,0.122146
54509189844687,-7.7502837,-4.888235,1.219065
54509209700688,-7.086863,-7.1203933,0.26105714
54509229556815,-10.626702,-10.394385,-2.1555176
54509249409152,-16.367563,-11.098521,-4.8139896
54509269265153,-20.805536,-9.75731,-4.88105
54509289121024,-20.76961,-9.484278,-1.4513819
54509308981098,-19.006876,-10.684182,0.05748047
54509328837099,-20.343296,-8.612491,1.9375709
54509348687998,-23.07362,-7.2185893,3.6691701
54509368543870,-24.266338,-7.549102,5.369634
54509388399743,-18.472786,-7.0150127,19.526594
54509408255614,-13.637241,-5.5540504,11.670931
54509428111486,-11.654165,-10.375225,2.215393
54509447915282,-7.585027,-12.866045,-1.7507594
54509467770130,-8.222102,-9.889036,2.0333717
54509487624978,-16.226257,-7.321575,1.089734
54509507479698,-15.493382,-8.504715,-3.8847218
54509527334546,-15.052698,-9.604029,-9.17053
54509547195433,-2.5459058,-3.422483,6.7970657
54509567050281,-3.168611,-5.47262,3.2476466
54509586905257,-3.0871804,-5.7959476,-2.9099488
54509606760105,-4.998406,-2.6608667,-0.732876
54509626615081,-4.495452,-0.6514453,0.60354495
54509646470057,-7.6377177,-0.96758795,-1.587898
54509666338668,0.050295413,-0.26345217,-0.43110353
54509686193900,-6.452183,1.9016455,1.9016455
54509706049004,-4.2296047,0.4023633,1.0298585
54509725904236,-4.7780643,-2.7015822,-0.39996827
54509745759468,-9.565708,-1.6357985,0.81191164
54509765624873,-13.019327,2.8093581,2.3135889
54509785480233,-8.298743,-1.0538087,-1.0873389
54509805335465,-8.756192,-1.2502003,0.5245093
54509825190825,-9.79084,-0.9053174,0.3161426
54509845046185,-4.0595584,-1.5567628,0.29937744
54509864901947,-5.6785917,0.37601808,2.5578809
54509884757179,-7.1371584,-0.244292,1.7818946
54509904612539,-1.1543995,-2.6129665,-0.5676197
54509924467771,-7.1395535,-2.2106032,-0.06227051
54509944323131,-1.9184108,-2.0812721,0.9148975
54509964180807,0.36883304,-4.4619217,-4.3709106
54509984035911,-16.95674,-6.0258694,-4.6128078
54510003891143,-25.303383,-3.5206788,11.191927
54510023746375,-32.12919,-4.9624805,17.63932
54510043601479,-21.856949,-1.0250684,1.9112257
54510063468115,-10.186019,-12.554693,-0.035925295
54510083323603,-5.7073317,-24.120243,3.1973512
54510103178963,-3.4799635,-14.62878,1.8705103
54510123034323,-4.0906935,-7.3790555,3.6284547
54510142889683,-1.1448194,-5.1780324,3.5877395
54510162749816,-0.6490503,-5.010381,2.0932472
54510182605432,-4.5960426,-1.8633252,2.6393116
54510202460920,-11.076965,-0.3065625,-1.3795313
54510222316408,-6.478528,-0.72569096,-4.160149
54510242171896,-4.373306,-1.7627344,0.098195806
54510262034052,-7.101233,-2.2297633,1.7387843
54510281889796,-3.6763551,-3.896697,-0.977168
54510301745412,-4.636758,-7.654483,-4.6104126
54510321601156,-9.077125,-9.148975,7.4844365
54510341456772,-9.374106,-2.9003687,4.720584
54510361321964,-4.790039,-3.3985329,-1.346001
54510381177964,-1.5615528,-5.118157,-2.6464968
54510401033964,0.11256592,-5.233118,-0.58198977
54510420889836,2.804568,-7.4030056,0.37601808
54510440745836,5.2929935,-10.277029,-0.016765138
54510460613110,4.3373804,-14.250367,2.3950195
54510480469366,2.203418,-18.274,2.7710378
54510500325622,4.82357,-20.08703,4.152964
54510520181878,-7.5155716,-23.10715,10.882969
54510540038134,-12.133169,-18.482367,9.982442
54510559897244,-5.599556,-14.966477,1.7363893
54510579753628,-9.929751,-18.19736,-5.271438
54510599610012,-10.346485,-14.212047,-2.2704787
54510619466396,-3.3578174,-11.191927,2.440525
54510639322780,1.0394385,-11.270963,2.804568
54510659183383,3.1278956,-11.5823145,1.1424243
54510679040023,2.304009,-10.535691,-0.62749517
54510698896535,-0.39278322,-4.5002418,-0.4143384
54510718753047,2.9051588,-11.8002615,1.463357
54510738609687,2.0022364,-9.19448,1.6118482
54510758469916,2.339934,-7.6592727,1.0083033
54510778326684,1.9016455,-9.946517,1.5495777
54510798183324,-0.122146,-11.151212,-0.9987232
54510818040092,-1.4274317,-10.193204,-1.2022998
54510837896732,-0.9484278,-8.760982,0.9412427
54510857755854,1.336421,-12.044554,0.9484278
54510877612750,0.26584718,-9.266331,-2.931504
54510897469646,1.6262183,-8.440049,-1.0609937
54510917326414,1.3076807,-10.97877,-0.6706055
54510937183310,-0.7927515,-12.255316,-1.3148658
54510957035739,-1.5519727,-11.297308,0.2778223
54510976892635,1.7459693,-10.099798,0.9388477
54510996749659,6.358777,-10.202784,-1.5735279
54511016606555,3.9757326,-9.987232,-3.1231055
54511036463451,2.4836354,-9.968072,-2.4716604
54511056293443,3.1063404,-10.432706,-1.5639478
54511076149443,3.1973512,-10.691368,-1.4489869
54511096005443,3.5637891,-10.617122,-1.7172291
54511115861443,4.0930886,-10.772799,-1.6405884
54511135717443,4.164939,-10.34888,-1.1759547
54511155569392,2.7734327,-9.445957,-0.8047266
54511175425264,3.2236965,-9.726174,-1.3220508
54511195281136,3.3650026,-9.570498,-1.3028907
54511215137008,2.44771,-10.768008,1.5208374
54511234992880,1.9806812,-11.862533,3.803291
54511254847503,1.8944606,-10.882969,0.023950197
54511274703375,1.4705421,-10.116563,-2.543511
54511294559247,1.8130299,-10.152488,-2.323169
54511314415119,2.4692652,-9.963282,-0.67539555
54511334273694,2.1698878,-9.817185,-1.0801538
54511354127023,2.2728736,-9.697434,-0.8909473
54511373982767,2.3950195,-9.273516,0.13891114
54511393838639,2.435735,-8.533455,0.48139894
54511413694511,3.5087037,-7.9921803,0.38080812
54511433550383,3.3865578,-8.277188,-0.22752686
54511453404410,1.961521,-9.153765,-0.8167017
54511473260154,-0.11256592,-10.090218,-2.3638844
54511493115898,-0.92926764,-11.215877,-2.2321582
54511512971642,0.5388794,-12.245735,0.7496411
54511532827514,1.8489552,-12.300821,-0.12693603
54511552690205,2.574646,-10.756033,-1.2645704
54511572546077,2.919529,-9.551338,-0.68018556
54511592401949,2.936294,-9.462723,-0.07424561
54511612257821,2.699187,-9.721385,0.0023950196
54511632113693,1.9327809,-10.241104,-0.22273682
54511651970112,0.8933423,-10.581197,-1.1160791
54511671825984,0.41194338,-10.394385,-1.9663111
54511691681856,0.60833496,-10.322535,-2.0046315
54511711537856,1.1879297,-10.471025,-1.5998731
54511731393728,1.6381935,-10.41594,-1.2573853
54511751249959,1.6932789,-9.946517,-1.2765454
54511771105959,1.3915064,-9.498648,-1.8130299
54511790961831,1.3268409,-9.352551,-2.2369483
54511810817703,1.7842896,-9.659114,-1.9327809
54511830673575,2.2632935,-10.025552,-1.5687379
54511850522826,2.440525,-9.929751,-1.3004956
54511870378570,2.4333398,-9.965676,-1.0705738
54511890234314,2.3255641,-9.948912,-0.8885523
54511910090058,1.710044,-10.35367,-0.4766089
54511929945802,1.5256275,-10.614727,-0.58198977
54511949801009,1.9639161,-10.47821,-1.1304493
54511969656625,2.2824538,-10.061478,-1.4705421
54511989512369,2.0860622,-9.764495,-1.6477735
54512009368113,1.7603394,-9.678274,-1.6813037
54512029223857,1.4130616,-9.568104,-1.6621436
54512049085775,1.1232642,-9.659114,-1.6190332
54512068941519,1.0059083,-9.891431,-1.4825171
54512088797391,0.87178713,-10.035132,-1.6573536
54512108653263,0.7592212,-10.008787,-1.8729054
54512128509135,0.8861573,-9.989627,-1.6166383
54512148366962,1.4034815,-9.908196,-1.2334352
54512168223309,1.9184108,-9.85311,-1.1999048
54512188079182,2.1339624,-9.814791,-1.1951149
54512207935055,1.9806812,-9.821976,-1.0849439
54512227790928,1.7531544,-9.78605,-1.1543995
54512247655297,1.6381935,-9.639954,-1.3843213
54512267511298,1.6765138,-9.565708,-1.4920973
54512287367427,1.7459693,-9.565708,-1.4489869
54512307223556,1.6525636,-9.606423,-1.4897022
54512327079557,1.4226416,-9.604029,-1.5136524
54512346932198,1.2334352,-9.589659,-1.4465919
