UPTIMENANO,Gx,Gy,Gz
54507641067228,-0.070184804,0.17529908,-0.117066085
54507650994909,-0.053673208,0.21258333,-0.1325124
54507660922590,-0.0765764,0.19074541,-0.13038188
54507670850396,-0.1229154,0.13215587,-0.11972924
54507680778077,-0.15061228,0.06451157,-0.09522816
54507690705886,-0.13676384,0.012846248,-0.069129184
54507700633564,-0.103208005,0.011780985,-0.048889156
54507710561373,-0.07551113,0.036282066,-0.032377556
54507720489054,-0.05633637,0.045869447,-0.032377556
54507730416158,-0.039292138,0.031488378,-0.03770388
54507740343839,-0.029172126,0.0368147,-0.041964937
54507750271520,-0.038226873,0.07303369,-0.045160733
54507760199198,-0.07604376,0.14493904,-0.055813376
54507770126879,-0.1442207,0.21311596,-0.0776513
54507780054560,-0.22145236,0.2418781,-0.10428291
54507789982366,-0.2645956,0.20246331,-0.12452293
54507799910047,-0.2486166,0.124166384,-0.12452293
54507809837728,-0.19854918,0.0799579,-0.1074787
54507819765406,-0.1527428,0.086349495,-0.08084709
54507829693087,-0.1442207,0.11777479,-0.055280745
54507839620768,-0.16126491,0.1625159,-0.038236514
54507849546162,-0.2054734,0.26105288,-0.056346007
54507859473843,-0.27737877,0.35905722,-0.110141866
54507869401524,-0.33330515,0.3425456,-0.16340508
54507879329202,-0.31679353,0.19340856,-0.21400514
54507889256883,-0.2038755,0.022966262,-0.2683336
54507899184564,-0.05633637,-0.07024438,-0.3471632
54507909112242,0.07149536,-0.10646337,-0.44463488
54507919039923,0.11091015,-0.08036439,-0.5346497
54507928967604,0.054451134,0.094338976,-0.5639445
54507938899244,-0.052607946,0.28182554,-0.5639445
54507948826925,-0.16552597,0.33775192,-0.52666026
54507958754606,-0.1346333,0.2978045,-0.45848334
54507968682284,0.09439855,0.35532877,-0.5021592
54507978609965,0.35059464,0.37929723,-0.51494235
54507988537646,0.5098517,0.3010003,-0.5319866
54507998465324,0.6371508,0.2663792,-0.7274626
54508008393005,0.8107889,0.30472872,-1.0864568
54508018320686,0.94181645,0.4815626,-1.4411898
54508028259512,0.9519364,0.57637113,-1.779944
54508038187321,0.917848,0.5151184,-2.0515864
54508048115130,0.8619216,0.37716672,-2.215637
54508058042808,0.7292962,0.2136486,-2.2582476
54508067970617,0.4773611,0.10712215,-2.146395
54508077898426,0.07469116,0.3372193,-1.717626
54508087826232,-0.42598316,0.7287039,-0.9309281
54508097754041,-0.84569734,0.61259013,-0.35675058
54508107681722,-0.9815185,0.19074541,-0.26726836
54508117609528,-0.7365077,-0.09048441,-0.34663057
54508127537337,-0.24488817,-0.43349954,-0.35888112
54508137465146,0.200925,-0.7291105,-0.3998938
54508147394744,0.5130475,-0.9927634,-0.5026918
54508157322553,0.7191762,-1.2803848,-0.5607487
54508167250362,0.783092,-1.627661,-0.499496
54508177178168,0.76391727,-1.8625518,-0.29656315
54508187106105,0.72982883,-1.8119518,-0.0036154164
54508197033914,0.68455505,-1.8556277,0.2445912
54508206961720,0.67390245,-1.8902488,0.40384823
54508216889529,0.7575257,-1.4854482,0.44805673
54508226817466,0.84754056,-1.891314,0.4459262
54508236748887,0.901869,-2.2375247,0.3915977
54508246676824,0.85446477,-2.2566996,0.31969234
54508256604761,0.7292962,-2.2045016,0.3367366
54508266532567,0.56737596,-1.9973078,0.37615138
54508276460504,0.350062,-1.6990337,0.40384823
54508286388441,0.10398593,-1.452425,0.44326302
54508296316247,-0.112262756,-1.2676016,0.5093094
54508306244184,-0.21772394,-1.1956964,0.5220926
54508316172121,-0.21133235,-1.2063489,0.46936202
54508326090399,-0.19109233,-1.0854415,0.3899998
54508336018208,-0.17937441,-0.79515684,0.3436608
54508345946017,-0.19215758,-0.5464176,0.3947935
54508355873823,-0.25021452,-0.37331212,0.62542325
54508365801632,-0.32531565,-0.2689162,0.9268931
54508375729441,-0.35194728,-0.34774575,1.0179732
54508385657247,-0.30081457,-0.48942593,0.8837499
54508395585056,-0.17351545,-0.42337954,0.6392717
54508405512865,-0.045683727,-0.2241751,0.36336818
54508415440671,0.015036348,-0.059591733,0.19132799
54508425368480,-0.0030731475,-0.027101168,0.14498898
54508435296289,-0.0052036764,-0.23376247,0.14392371
54508445230818,0.03953743,-0.4888933,0.14605425
54508455158627,0.094931185,-0.6785104,0.14232582
54508465086564,0.15724915,-0.84948534,0.19399114
