UPTIMENANO,Ax,Ay,Az
54507634693982,0.57903075,0.12633456,0.19568172
54507654693983,0.4121696,0.029293977,0.031848274
54507674693982,0.20399708,-0.055493623,-0.18998595
54507694693982,0.22092716,-0.033344977,0.15054558
54507714693983,0.3053939,0.078830995,0.30867404
54507734693982,0.33199623,0.12230967,0.17793164
54507754693982,0.42194182,0.06763312,-0.16194092
54507774693983,0.44620067,0.11383555,-0.4696512
54507794693982,0.18898597,0.14428036,-0.02194414
54507814693982,-0.0136075625,-0.024128146,0.37600932
54507834693983,0.072970115,-0.07104615,0.19553408
54507854693982,0.44065076,0.16208135,-0.1108172
54507874693982,0.52330637,0.4564458,0.33566928
54507894693983,0.4563452,0.4477329,1.4834456
54507914693982,0.5866152,0.3345858,1.0643774
54507934693982,0.6460558,0.117632836,-0.4195421
54507954693983,0.57904494,0.14000098,0.38416022
54507974693982,0.6666233,-0.3568269,2.3490462
54507994693982,1.8661331,-0.6688673,2.6350563
54508014693983,4.1469803,-0.54217935,1.0945737
54508034693982,3.9389796,-0.38693932,-1.094103
54508054693982,1.3358678,-0.47493035,-2.5831347
54508074693983,-3.743884,0.37763453,-4.636598
54508094693982,-5.705909,0.68896544,-4.0058384
54508114693982,-0.37648088,-0.27846158,0.12507498
54508134693983,1.2315769,0.10697771,2.0112243
54508154693982,0.42360133,0.22982994,0.40301174
54508174693982,-0.29201165,-0.17796896,-0.516382
54508194693983,-0.77208173,-0.4611349,-0.39200512
54508214693982,0.39859602,-0.21590577,0.88362944
54508234693982,0.90672934,0.1019523,0.47502008
54508254693983,0.7410757,-0.25592288,-0.72308517
54508274693982,0.48754314,-0.23693796,-1.3897986
54508294693982,-0.1945417,0.15002637,-1.4214218
54508314693982,0.47277477,0.16580525,-0.39709887
54508334693983,1.1950879,0.048794605,-0.15921311
54508354693982,0.30854058,-0.67740905,0.3316165
54508374693982,-0.70621157,-0.3918145,0.82249033
54508394693983,0.13708794,0.8577946,0.9772755
54508414693982,0.5311604,0.6679962,0.7767397
54508434693982,0.29468617,0.0912045,0.29424915
54508454693983,0.010603779,0.40479124,0.44012126
54508474693982,-0.12027483,0.3989219,0.218485
54508494693982,-0.0029419665,0.5091407,-0.21237934
54508514693983,0.2856932,0.21608408,0.10116145
54508534693982,0.56635207,0.15088594,0.4393122
54508554693982,0.6169614,0.12692164,-0.107080646
54508574693982,0.013180032,-0.1763777,0.023868077
54508594693982,0.103825845,-0.32253298,0.40066704
54508614693982,0.5946563,-0.39527735,1.5303074
54508634693982,0.729126,-1.2484344,1.3065777
54508654693982,-1.6643809,-3.0765195,0.74828345
54508674693982,-0.99361783,-2.805737,-0.120750576
54508694693982,1.7940733,-2.1842418,-0.51654434
54508714693982,1.6311389,-3.2338676,-1.1908077
54508734693982,1.170693,-3.4197161,-0.39173314
54508754693982,0.17003684,-3.5289826,0.32524395
54508774693982,0.334346,-3.1384413,-2.7128031
54508794693982,3.2697394,-2.5669663,-1.8859638
54508814693982,4.732823,-1.4066069,0.17183365
54508834693982,3.3847277,-0.26197526,-0.31340566
54508854693982,1.4224926,-0.018877514,-2.0331266
54508874693982,1.3020712,-0.8881884,-3.7398627
54508894693982,2.257147,-0.3850542,-0.74154735
54508914693982,2.24682,0.41969004,3.5955415
54508934693982,-1.6290268,-0.57069933,4.5835714
54508954693982,-2.0460482,-1.2508463,0.5720534
54508974693982,1.6670382,1.3430016,2.7690537
54508994693982,5.777125,1.0717657,2.7471974
54509014693982,7.778912,-0.35118964,2.0714614
54509034693982,6.7846055,-0.58026266,1.7497493
54509054693982,6.4957395,-0.29084897,-0.20334102
54509074693982,6.2528777,-1.0685006,-1.8856237
54509094693982,6.1199045,-1.8760486,-2.0402546
54509114693982,6.9088483,-2.4779797,-2.6806593
54509134693982,6.628913,-3.8204768,-4.057986
54509154693982,3.787143,-4.355601,-4.8113146
54509174693982,1.5332278,-3.824518,-3.7963703
54509194693982,1.3462532,-3.6449907,-2.6407137
54509214693982,0.9583425,-5.52936,-3.5870526
54509234693982,-3.3086922,-7.4823923,-5.858998
54509254693982,-8.987148,-6.950495,-7.7468014
54509274693982,-12.556134,-5.162498,-6.7447414
54509294698056,-12.391071,-4.6258583,-3.6785731
54509314698056,-11.925753,-4.2628284,-1.9510118
54509334698056,-14.11132,-1.8131042,0.03407044
54509354698056,-16.735863,-0.4852068,2.0388477
54509374698056,-15.955993,-0.24254157,8.103638
54509394698056,-10.468109,0.778527,16.281082
54509414698056,-6.6191354,0.33369178,8.567047
54509434698056,-3.913041,-3.7735634,1.297127
54509454698056,-1.26256,-4.5865383,0.3503361
54509474698056,-4.336855,-1.8990699,2.8206713
54509494698056,-9.084094,-0.85894495,0.51348966
54509514698056,-8.197457,-2.3054833,-4.500032
54509534698056,-2.9004056,-1.1567696,-1.9085553
54509554698056,5.0710244,1.5294627,6.7667317
54509574698056,5.012474,-0.2523939,1.9648628
54509594698056,4.622297,0.31879202,-1.1897725
54509614698056,3.9817944,2.4722023,0.3939363
54509634698056,3.253231,3.036491,0.028732225
54509654698056,4.722983,2.7802052,-1.0142198
54509674698056,6.5974927,3.804094,0.51103497
54509694698056,3.8846056,4.09365,1.2775933
54509714698056,5.025432,1.4267887,-0.2154407
54509734698056,2.669201,-0.28237125,-0.77868176
54509754698056,-1.4801452,1.937461,0.6073471
54509774698056,-1.1526291,2.133869,-0.08139044
54509794698056,1.2453012,-0.58790374,-1.1590236
54509814698056,0.53125906,-0.9552737,-0.34565124
54509834698056,2.7242599,-1.491957,-0.4830564
54509854698056,4.9062963,-1.1733966,0.5354303
54509874698056,3.3277023,-0.53816915,1.0763296
54509894698056,5.5685134,-1.954166,-0.6615677
54509914698056,5.5298605,-2.5549788,-1.5696287
54509934698056,5.278419,-1.793265,-0.7490793
54509954698056,8.961969,-2.2626553,-2.9581032
54509974698056,0.6442705,-3.008767,-5.7677007
54509994698056,-12.500606,-1.1247061,1.9679272
54510014698056,-20.661428,0.2909441,12.420376
54510034698056,-18.508766,2.4678938,6.673954
