UPTIMENANO,Ax,Ay,Az
68649993695593,0.060545348,-0.33414698,9.469558
68650013549802,0.055846673,0.13274917,10.121191
68650033403881,0.36263478,0.19182813,10.563406
68650053258089,0.34380963,0.109734036,10.453816
68650073112298,-0.17123103,-0.046473637,10.001931
68650092969663,-0.009887956,-0.50302875,9.516508
68650112823871,0.03487982,-0.70194346,9.091673
68650132678080,-0.088872,-0.13160546,9.81856
68650152532287,0.63028777,0.69165796,10.822388
68650172389996,0.25921822,0.7864373,10.458028
68650192244205,-0.16691643,0.5195873,9.628381
68650212098540,0.2856485,0.19470748,9.594976
68650231952876,0.5208143,0.29303446,9.797762
68650251807213,-0.13969277,0.33693194,9.124899
68650271664083,-0.9772361,1.4307828,8.443652
68650291518419,-1.5410719,1.6823246,8.751891
68650311372756,-1.0395683,0.39316392,9.308585
68650331227091,-0.1044282,-0.2929657,9.662456
68650351081427,-0.20349154,-0.7937066,9.054967
68650370935764,0.52249265,-1.9173027,9.774856
68650390788332,1.2294776,-0.6223902,11.276583
68650410642668,0.021021124,0.8116766,10.602491
68650430497005,-0.8651388,0.026511962,8.857241
68650450351340,-0.3856687,-0.02379786,9.114464
68650470205742,0.24353743,0.5301032,10.227463
68650490060207,0.3990852,0.81694794,10.332264
68650509914542,0.18870072,0.9896291,10.22987
68650529768878,0.2523438,1.6756423,10.605627
68650549623343,0.54397917,3.0863411,11.358447
68650569473485,1.1045797,-1.2539266,9.523557
68650589327821,-0.6194889,-0.98236823,7.621417
68650609182158,-0.112988584,0.2259365,10.815423
68650629036493,-1.4403243,-0.7516985,10.20768
68650648890829,-1.7689457,-1.3997662,8.054972
68650668745166,1.1579956,-1.9759085,10.622381
68650688597965,2.3684773,-0.5638528,12.229034
68650708452301,1.2849548,0.28313762,11.202631
68650728306638,0.9891879,-0.36906812,9.972431
68650748160973,0.7781596,-1.1467196,9.24547
68650768017692,0.77654076,-0.9673788,8.751112
68650787872157,1.527596,-0.19169079,9.149719
