UPTIMENANO,P
68649981920406,1017.1236
68650081126756,1017.1252
68650180363630,1017.1314
68650279631029,1017.1405
68650378898428,1017.14233
68650477982678,1017.14386
68650577799527,1017.1492
68650676639576,1017.15247
68650775968026,1017.14734
68650875327000,1017.14404
68650974380724,1017.1405
68651073648123,1017.1399
68651172854472,1017.14496
68651272091347,1017.14386
68651371419796,1017.1492
68651470575844,1017.14233
68651569721143,1017.14386
68651668530667,1017.1558
68651767492816,1017.16614
68651866577065,1017.1767
68651965539214,1017.17804
68652064867663,1017.1818
68652163799287,1017.17633
68652268194892,1017.175
68652362273036,1017.17163
68652461601485,1017.16473
68652561052035,1017.1614
68652660044709,1017.1568
68652759342633,1017.1516
68652858457407,1017.1399
68652957663756,1017.13464
68653056839580,1017.1295
68653155984880,1017.1253
68653255374379,1017.11
68653354336528,1017.1072
68653453520623,1017.1003
68653552849072,1017.09375
68653651200721,1017.0784
68653751200721,1017.0652
68653850193395,1017.04834
68653948758718,1017.04156
68654047934542,1017.0285
68654147232467,1017.02014
68654245614640,1017.00836
68654345767265,1016.99866
68654444668364,1016.985
68654544729415,1016.96796
68654643935763,1016.9549
68654743233688,1016.9248
68654843264213,1016.90466
68654942623187,1016.8843
68655042684237,1016.86615
68655142011663,1016.8441
68655241370638,1016.8292
68655340729613,1016.81415
68655440241214,1016.7937
68655539752813,1016.7755
68655639203364,1016.7541
68655742408493,1016.7337
68655838073940,1016.7224
68655937677115,1016.7058
68656041218020,1016.6943
68656136639265,1016.6776
68656235998240,1016.6555
68656335479315,1016.6409
68656434960390,1016.6239
68656534410941,1016.60895
68656633922540,1016.59216
68656733281515,1016.5735
68656832640490,1016.5503
68656932060515,1016.5406
68657031511064,1016.5254
68657131022665,1016.50836
68657230503740,1016.4883
68657330015341,1016.4679
68657429557466,1016.45764
68657529069067,1016.4376
68657628489092,1016.41907
68657727817541,1016.4043
68657827207042,1016.38745
68657926321817,1016.3743
68658025924992,1016.35565
68658125924971,1016.34436
68658225375522,1016.3276
68658324765021,1016.30914
68658424246096,1016.2888
68658523849271,1016.2667
68658623482972,1016.2316
68658722780897,1016.2102
68658822445122,1016.18585
68658922292497,1016.1644
68659021712522,1016.1474
68659121285173,1016.1374
68659220796772,1016.11707
68659320369423,1016.0967
68659420064174,1016.08044
68659519453673,1016.0586
68659619026324,1016.04675
68659718782123,1016.0371
68659822048302,1016.0167
68659918110573,1015.9998
68660017652698,1015.98834
68660117225349,1015.9748
68660216736948,1015.9544
68660316370649,1015.93756
68660415851724,1015.92566
68660515424375,1015.90356
