UPTIMENANO,Ax,Ay,Az
68649959391153,0.28011104,-0.0850697,-0.0042366423
68649979391153,0.24574019,-0.36847326,-0.22865854
68649999391154,0.08794143,-0.23559648,-0.1511766
68650019391153,0.20175205,0.079898976,0.44459406
68650039391153,0.46849248,0.09550361,0.7157871
68650059391154,0.37137258,0.0014712339,0.5027269
68650079391153,0.121048845,-0.24779756,0.041318666
68650099391153,0.17300822,-0.6155813,-0.43980008
68650119391154,0.2083576,-0.62870616,-0.48393205
68650139391153,0.46468717,-0.0679605,0.34344524
68650159391153,0.94337577,0.33360243,0.8597576
68650179391154,0.6861521,0.30731913,0.3551771
68650199391153,0.59372705,0.063079394,-0.19676737
68650219391153,0.80220187,-0.03338438,-0.18363397
68650239391154,0.8141284,-0.006568054,-0.28679666
68650259391153,0.10289545,0.4420645,-0.9339932
68650279391153,-0.84457827,1.3560996,-1.1474792
68650299391154,-0.9936964,0.9642362,-0.76429975
68650319391153,-0.4010773,-0.04908732,-0.3297266
68650339391153,-0.14419223,-0.4759554,-0.3921588
68650359391154,-0.023688383,-1.1990892,-0.4413406
68650379391153,0.69567585,-1.4503416,0.6051467
68650399391153,0.72001684,-0.21323879,1.1669136
68650419391154,-0.273889,0.31047842,0.036073375
68650439391153,-0.6021411,-0.13545346,-0.83092576
68650459391153,-0.15494098,0.10725679,-0.18677732
68650479391154,0.12580943,0.55367094,0.47982484
68650499391153,0.09287403,0.8371349,0.48648247
68650519391153,0.11249832,1.3005004,0.60343224
68650539391154,0.3072739,2.36677,1.1649812
68650559391153,0.7575762,1.0886328,0.6381658
68650579391153,0.22957398,-0.9366988,-1.2104834
68650599391153,-0.45399338,-0.10036325,-0.5666188
68650619391154,-1.0142441,0.17516862,0.67559457
68650639391153,-1.9011973,-0.63257694,-0.74072933
68650659391153,-0.6739665,-1.1870959,-0.33463746
68650679391154,1.0025043,-0.50980264,1.830904
68650699391153,1.1218303,0.49672884,1.9510151
68650719391153,0.7973682,0.3428102,0.7383849
68650739391154,0.7174906,-0.4877495,-0.21209078
68650759391153,0.7643561,-0.9668823,-0.83082426
68650779391153,1.2954899,-0.6035555,-0.8760162
68650799391154,1.5433445,-0.5493364,-0.5731336
68650819391153,1.6635342,-0.11229974,-0.52831167
68650839391153,1.454228,0.1586842,-0.75277615
68650859391154,0.36734766,0.17439222,-1.5476356
68650879391153,-0.25434518,0.6664608,-1.4749238
68650899391153,-0.14260998,1.2856898,-1.0964109
68650919391154,0.25610712,1.8228031,-1.1046207
68650939391153,-0.06050166,2.9083457,-1.4185783
68650959391153,-1.7857234,3.6363544,-1.6707875
68650979391154,-2.302607,1.8206059,-3.4254344
68650999391153,-1.0861939,1.2906013,-4.733518
68651019391153,-0.31464857,1.4049213,-3.5691004
68651039391154,-0.5761686,0.19246161,-2.409956
68651059391153,0.22892118,-0.25180715,0.10066321
68651079391153,0.9993987,1.18564,2.0618534
68651099391154,0.749152,2.6557713,1.3622422
68651119391153,1.1370243,3.2127,-0.25947866
68651139391153,1.51337,2.2223458,-0.7113902
68651159391154,0.19376706,1.025304,-0.6550565
68651179391153,-0.39502475,-0.40137637,-3.0701716
68651199391153,-0.113442615,-0.53598183,-4.3230267
68651219391154,0.7274485,0.62429035,1.0932764
68651239391153,0.8466323,0.21096383,4.2552767
68651259391153,-0.29470733,-2.5595932,3.2036805
68651279391154,0.17087875,-3.223786,1.7703955
68651299391153,0.044670545,-3.28987,0.71772724
68651319391153,-0.50305253,-1.2937192,-1.8451273
68651339391154,1.9145715,2.9267702,-1.7392783
68651359391153,3.9625876,4.146844,0.37296626
68651379391153,0.011880457,1.7683738,-1.9341446
68651399391154,-6.248226,-0.13002598,-8.15602
68651419401902,-3.1508088,4.8019075,-12.900998
68651439401902,1.4768822,4.9308643,-8.139169
68651459401903,1.0505621,2.6510105,-3.7040923
68651479401902,1.2829486,2.0160341,-0.9021441
68651499401902,3.0132008,3.9303577,-1.546922
68651519401903,4.411533,4.6231174,-2.1211493
68651539401902,5.91312,1.6067913,0.46301633
68651559401902,4.3562036,-0.70242846,4.746798
68651579401903,3.9490662,-1.2733632,6.2777524
68651599401902,1.2689779,-5.959976,9.692346
68651619401902,-1.491375,-8.702913,9.333976
68651639401902,0.32145086,-6.573867,9.060983
68651659401902,1.4699916,-7.9638653,9.034044
68651679401902,-0.7181086,-8.613259,8.646757
68651699401902,-6.6071477,-7.687861,8.189604
68651719401902,-9.025308,-6.267461,4.4464645
68651739401902,0.570743,-8.279064,2.195895
68651759401902,-13.843169,2.0197153,5.276625
68651779401902,-6.315825,5.2438154,6.1692405
68651799401902,-0.67950743,2.1745126,2.8222423
68651819401902,-0.055688165,-1.985175,2.1131577
68651839401902,0.9925252,-1.9960804,2.007845
68651859401902,0.9944373,-2.7439861,4.6811013
68651879401902,1.5238333,-0.906972,1.9484953
68651899401902,-2.457896,0.32436156,-4.340775
68651919401902,-2.9875073,-0.2710757,-3.3365378
68651939401902,-1.2466271,0.07823128,3.7496672
68651959401902,-1.6881546,1.2411654,2.0421991
68651979401902,-1.3022792,3.3229754,-0.71659064
68651999401902,-1.6430968,0.65943277,0.906436
68652019401902,3.105754,-5.7338758,-0.61501807
68652039401902,-0.9154974,-5.355869,-3.6180706
68652059401902,-1.1542473,-2.6299088,-6.823731
68652079401902,-0.7422766,-1.1491848,-9.004424
68652099401902,-2.1246295,-1.1290531,-9.572684
