UPTIMENANO,Mx,My,Mz
68649973841513,19.642231,-31.446138,11.051212
68649993695593,19.342232,-31.446138,11.051212
68650013549802,19.19223,-31.446138,11.051212
68650033403881,19.342232,-31.446138,10.751211
68650053258089,19.342232,-31.446138,10.751211
68650073112298,19.342232,-31.446138,10.751211
68650092969663,19.342232,-31.446138,10.601212
68650112823871,19.792233,-31.446138,10.451212
68650132678080,20.242231,-31.446138,10.151211
68650152532287,20.242231,-31.446138,8.501211
68650172389996,22.042233,-31.446138,8.201212
68650192244205,25.342232,-31.446138,7.901211
68650212098540,25.792233,-31.296139,7.3012104
68650231952876,27.142231,-30.846138,5.651211
68650251807213,26.842232,-30.846138,5.8012104
68650271664083,26.392231,-30.846138,4.901211
68650291518419,26.392231,-30.846138,4.901211
68650311372756,26.692232,-30.546139,4.001211
68650331227091,26.842232,-30.39614,3.4012108
68650351081427,27.292233,-29.64614,2.201212
68650370935764,27.442232,-29.64614,2.201212
68650390788332,27.892231,-29.64614,2.0512104
68650410642668,28.942232,-29.64614,1.7512112
68650430497005,29.542233,-29.64614,1.7512112
68650450351340,29.992231,-29.49614,1.1512108
68650470205742,29.242231,-29.49614,0.7012119
68650490060207,29.242231,-29.346138,0.10121155
68650509914542,29.242231,-29.346138,0.10121155
68650529768878,29.542233,-29.346138,0.10121155
68650549623343,29.842232,-29.196138,0.10121155
68650569473485,29.842232,-29.196138,0.10121155
68650589327821,29.842232,-29.196138,-0.34878922
68650609182158,29.992231,-29.196138,-0.34878922
68650629036493,30.592232,-29.196138,-0.34878922
68650648890829,32.09223,-29.196138,-0.048789978
68650668745166,32.84223,-29.046139,0.40121078
68650688597965,32.542233,-28.74614,0.5512104
68650708452301,32.542233,-28.446138,1.1512108
68650728306638,32.39223,-28.14614,3.4012108
68650748160973,32.39223,-26.49614,4.001211
68650768017692,32.39223,-25.14614,4.001211
68650787872157,32.39223,-24.39614,4.451212
68650807726492,32.39223,-25.296139,3.8512115
68650827580828,32.39223,-25.446138,3.2512112
68650847435165,32.39223,-25.446138,2.6512108
68650867278242,32.542233,-25.446138,2.3512115
68650887132450,32.542233,-25.446138,2.0512104
68650906986531,32.542233,-25.596138,0.40121078
68650926840610,32.69223,-25.596138,-3.1987877
68650946694690,33.292233,-25.596138,-9.648788
68650966548899,33.89223,-25.596138,-12.648788
68650986396828,35.84223,-25.446138,-15.79879
68651006250908,35.39223,-25.14614,-18.948792
68651026104861,35.242233,-24.24614,-20.448792
68651045958812,35.39223,-21.39614,-20.59879
68651065811569,35.84223,-18.096138,-19.99879
68651085665522,35.992233,-15.246139,-19.698792
68651105519473,36.742233,-13.596138,-19.54879
68651125373425,37.64223,-11.646137,-19.398788
68651145227378,38.542233,-8.946138,-19.09879
68651165081329,40.64223,-5.9461384,-18.34879
68651184928186,43.19223,-3.6961384,-16.24879
68651204781883,43.94223,-1.2961369,-12.648788
68651224635706,43.642235,1.403862,-11.148788
68651244489402,43.642235,3.0538635,-10.398788
68651264343227,43.94223,7.403862,-7.9987907
68651284202816,43.94223,8.453861,-8.748791
68651304056640,43.94223,11.003864,-8.898788
68651323910465,43.94223,12.503864,-9.04879
68651343764288,43.492233,12.503864,-9.04879
68651363614156,42.89223,12.953861,-9.948788
68651383467853,41.84223,14.903862,-11.748791
68651403321676,37.94223,18.203861,-15.79879
68651423186121,28.792233,21.653862,-23.898788
68651443039818,28.042233,24.953865,-23.29879
68651462893513,26.092232,29.003864,-21.948792
68651482749720,22.042233,32.153862,-21.04879
68651502603545,17.992231,38.45386,-19.99879
68651522457240,11.092232,39.95386,-18.79879
68651542310936,6.5922318,42.803867,-15.498791
68651562164633,2.5422306,43.253864,-7.3987885
68651582018219,-1.0577698,42.053867,6.1012115
68651601871915,-3.4577694,41.603863,9.401211
68651621725612,-6.607769,41.003864,14.651211
68651641579435,-9.607769,40.70386,17.801212
68651661433131,-12.157768,39.95386,19.15121
68651681287676,-15.457771,38.003864,19.751213
68651701141372,-15.007771,34.253864,19.751213
68651720995196,-16.207771,28.553864,20.801212
68651740848892,-15.907768,28.103863,21.251213
68651760702716,-15.457771,24.953865,21.701212
68651780559234,-15.30777,22.403862,23.051212
68651800413058,-14.55777,22.853863,22.90121
68651820266882,-13.357769,23.453865,22.90121
68651840120706,-12.157768,23.603863,22.90121
68651859974530,-11.55777,23.603863,22.90121
68651879831767,-10.957771,23.603863,22.90121
68651899685719,-11.107769,23.603863,22.90121
68651919539671,-11.107769,23.603863,20.801212
68651939393623,-11.107769,23.603863,18.851212
68651959247447,-11.107769,23.603863,18.851212
68651979103118,-11.107769,23.753864,17.801212
68651998957070,-11.107769,23.753864,16.751213
68652018811022,-11.107769,24.203865,15.551212
68652038664974,-11.257771,24.353863,14.351212
68652058518926,-11.257771,24.653862,13.451212
68652078381271,-11.257771,25.853863,12.851212
68652098235479,-11.107769,27.203865,12.701212
68652118089687,-11.107769,30.353863,11.201212
68652137943767,-10.957771,30.203865,10.751211
68652157797975,-10.207771,31.103863,9.101212
68652177656096,-8.707771,32.153862,9.401211
68652197510304,-6.607769,33.353863,9.551212
68652217364512,-6.9077682,34.403862,9.101212
68652237218720,-7.357769,34.703865,9.101212
68652257072928,-7.6577682,35.603863,8.801212
68652276931293,-7.80777,35.903866,7.451212
68652296785629,-8.407768,36.95386,6.1012115
68652316639965,-9.607769,37.253864,4.3012104
68652336494301,-12.30777,36.653866,-0.048789978
68652356348509,-18.75777,36.353863,-4.54879
68652376202845,-21.457771,35.753864,-4.3987885
68652396065818,-21.30777,35.603863,-3.79879
68652415920410,-22.50777,34.703865,-3.1987877
68652435775002,-23.25777,32.453865,-2.29879
68652455629594,-24.00777,28.703865,-1.54879
68652475484058,-24.607769,24.503864,-0.64878845
68652495338735,-25.05777,22.853863,-0.64878845
68652515193327,-25.657772,23.453865,-0.64878845
68652535047919,-25.657772,23.303864,-1.0987892
68652554902383,-25.207771,23.753864,-1.0987892
68652574756975,-25.207771,24.203865,-1.2487907
68652594608757,-25.207771,24.203865,-1.2487907
68652614463349,-25.207771,24.353863,-1.2487907
68652634317813,-25.207771,24.353863,-1.54879
68652654172277,-25.357769,24.203865,-3.4987907
68652674026869,-25.657772,24.203865,-4.848789
68652693883403,-26.55777,23.753864,-7.3987885
68652713737995,-27.907772,23.153862,-11.898788
68652733592587,-29.25777,20.453865,-13.998791
68652753447051,-30.157772,14.003864,-14.598789
68652773301643,-30.75777,5.3038635,-15.498791
68652793154171,-31.357769,4.853863,-14.598789
68652813008635,-31.357769,3.0538635,-14.598789
68652832863227,-31.207771,1.1038628,-14.898788
68652852717691,-31.207771,0.5038624,-14.898788
68652872572155,-31.357769,0.95386314,-14.898788
68652892430666,-31.207771,1.7038631,-14.898788
68652912285258,-31.207771,1.7038631,-14.898788
68652932139978,-30.907772,1.7038631,-14.598789
68652951994570,-30.607769,1.7038631,-14.448788
68652971849290,-30.00777,1.403862,-14.898788
68652991699188,-28.657772,0.35386276,-15.198788
68653011553780,-25.357769,-1.596138,-15.79879
68653031408244,-21.907772,-3.846138,-16.54879
68653051262836,-21.75777,-7.896137,-16.698792
68653071117428,-22.207771,-11.046139,-17.148788
68653090962169,-21.607769,-11.496138,-17.74879
68653110816505,-20.707771,-11.046139,-19.398788
68653130670969,-20.25777,-11.496138,-21.04879
68653150525305,-19.357769,-11.196138,-21.34879
68653170379769,-26.191227,-14.136005,-18.80149
68653190222889,-26.191227,-14.136005,-18.501492
68653210077097,-26.49123,-14.136005,-18.201492
68653229931177,-26.191227,-14.136005,-18.201492
68653249785385,-26.191227,-14.136005,-18.201492
68653269639465,-26.191227,-14.136005,-17.901493
68653289495611,-26.191227,-14.136005,-17.001492
68653309349819,-26.191227,-14.136005,-15.201492
68653329203899,-26.49123,-14.136005,-14.301491
68653349058107,-26.49123,-14.286005,-12.35149
68653368912187,-26.49123,-14.286005,-12.951492
68653388760024,-26.49123,-14.286005,-12.951492
68653408613976,-26.49123,-14.286005,-12.651489
68653428468056,-26.191227,-14.286005,-13.10149
68653448322008,-25.891228,-14.286005,-13.10149
68653468184231,-25.591228,-14.286005,-13.10149
68653488036104,-24.54123,-14.286005,-13.10149
68653507889928,-23.49123,-14.286005,-13.10149
68653527743880,-23.641228,-14.286005,-12.951492
68653547597704,-23.341228,-14.436005,-12.951492
68653567451656,-22.891228,-14.586004,-12.951492
68653587305492,-23.191227,-15.486004,-12.951492
68653607159316,-22.591228,-15.786005,-12.951492
68653627013140,-22.441227,-17.436005,-12.651489
68653646866964,-22.29123,-17.286005,-12.951492
68653666720788,-21.54123,-17.286005,-12.651489
68653686579762,-20.641228,-17.286005,-12.651489
68653706433714,-19.74123,-17.286005,-12.501492
68653726287666,-19.29123,-17.286005,-12.501492
68653746141490,-17.341228,-17.286005,-12.501492
68653765995442,-17.79123,-17.286005,-12.35149
68653785858305,-17.341228,-17.286005,-12.35149
68653805712385,-17.49123,-17.286005,-12.35149
68653825566593,-17.341228,-17.286005,-12.35149
68653845420673,-17.04123,-17.286005,-12.35149
68653865274753,-16.891228,-17.436005,-12.35149
68653885124829,-16.891228,-18.186005,-12.501492
68653904978909,-16.441227,-17.886005,-12.501492
68653924832861,-15.99123,-17.886005,-12.501492
68653944686941,-15.391228,-17.886005,-12.951492
68653964540893,-15.24123,-17.886005,-12.951492
68653984397637,-15.0912285,-17.886005,-12.951492
68654004251717,-14.041229,-17.886005,-12.951492
68654024105925,-13.891228,-17.886005,-13.10149
68654043960005,-12.99123,-17.586006,-13.10149
68654063814085,-13.5912285,-17.586006,-13.551491
68654083666957,-13.5912285,-17.736004,-13.701492
68654103521037,-13.5912285,-17.736004,-13.701492
68654123375117,-13.5912285,-17.736004,-13.701492
68654143229197,-13.5912285,-17.586006,-13.701492
68654163083277,-13.5912285,-17.586006,-14.151493
68654182941910,-13.74123,-17.586006,-14.301491
68654202796118,-13.74123,-17.586006,-14.301491
68654222650199,-13.74123,-17.586006,-14.301491
68654242504408,-13.74123,-17.436005,-14.751492
68654262358614,-14.041229,-17.436005,-15.35149
68654282222038,-14.49123,-17.136005,-15.501492
68654302076374,-14.941227,-16.536005,-15.951492
68654321930838,-15.391228,-16.236004,-16.251492
68654341785174,-16.29123,-14.736004,-17.451492
68654361639638,-17.49123,-14.436005,-17.451492
