UPTIMENANO,Ax,Ay,Az
68649993695593,-0.91010743,5.000801,7.9969707
68650013549802,-0.7185059,4.993616,8.775352
68650033403881,-0.9436377,5.017566,9.256751
68650053258089,-0.9053174,5.015171,9.134604
68650073112298,-0.51013917,5.1397123,8.566985
68650092969663,-0.6730005,5.1947975,7.9610453
68650112823871,-0.69216067,5.142107,7.4988065
68650132678080,-0.32093263,5.151687,8.353828
68650152532287,-0.23471193,4.7636943,9.759705
68650172389996,0.34967285,4.653523,9.395662
68650192244205,0.5508545,4.6199927,8.447234
68650212098540,0.613125,4.636758,8.384964
68650231952876,0.79754156,4.605623,8.631651
68650251807213,1.2525953,4.5720925,7.805369
68650271664083,3.04886,4.0116577,6.9934573
68650291518419,3.9182522,4.3134303,6.9168167
68650311372756,2.7854078,5.213958,7.2760696
68650331227091,2.1339624,5.384004,7.7407036
68650351081427,1.7603394,5.4510646,7.060518
68650370935764,0.6562354,6.2031007,7.783814
68650390788332,1.3651612,5.721702,9.718989
68650410642668,3.0991554,5.015171,8.849598
68650430497005,2.6656568,5.101392,6.7874856
68650450351340,2.5387208,4.9529004,7.2281694
68650470205742,2.9410841,4.7636943,8.57896
68650490060207,3.0943654,4.5457473,8.794512
68650509914542,3.290757,4.3206153,8.727451
68650529768878,3.8056862,3.9637575,9.22801
68650549623343,4.8906302,3.2596216,10.212363
68650569473485,0.732876,4.720584,8.406519
68650589327821,1.4130616,4.7253737,5.9252787
68650609182158,2.7901978,5.2283278,9.050779
68650629036493,2.565066,6.437813,7.668853
68650648890829,1.4370118,6.023474,5.623506
68650668745166,-0.27303225,5.8342676,9.163345
68650688597965,0.043110352,5.0343313,11.407478
68650708452301,0.32572266,4.5625124,10.310559
68650728306638,-0.11256592,4.5074267,8.957374
68650748160973,-0.98195803,4.6846585,8.0305
68650768017692,-1.0346485,4.397256,7.5970025
68650787872157,-0.8646021,3.6739602,8.475974
68650807726492,-0.75203615,4.129014,8.471185
68650827580828,0.44547364,3.1901662,8.897498
68650847435165,0.8646021,3.5901344,8.236472
68650867278242,1.8633252,3.8152664,6.574329
68650887132450,2.7734327,3.8535867,7.311995
68650906986531,3.3386574,3.3171022,7.4030056
68650926840610,4.014053,2.42376,7.676038
68650946694690,6.0522146,2.1076174,6.2342362
68650966548899,7.0413575,3.3697927,4.4331813
68650986396828,3.903882,3.2045362,3.276387
68651006250908,3.5637891,1.3100758,3.3769777
68651026104861,4.4834766,1.7028589,5.376819
68651045958812,2.806963,2.4908204,6.6509695
68651065811569,3.297942,1.7268091,10.408755
68651085665522,4.7325587,0.59156984,11.491304
68651105519473,5.3480787,0.47181886,9.726174
68651125373425,5.1828227,-0.46942386,8.229287
68651145227378,3.786526,-0.57959473,8.624466
68651165081329,2.579436,1.2334352,8.737032
68651184928186,-0.033530276,0.97237796,5.831873
68651204781883,0.38320315,0.48618898,5.319339
68651224635706,2.069297,-0.95561284,12.775035
68651244489402,0.87178713,-1.092129,14.422809
68651264343227,-2.7231374,-0.6394702,12.727135
68651284202816,-2.1722827,-1.6765138,11.383529
68651304056640,-1.8944606,-1.6813037,10.516531
68651323910465,0.3544629,-0.16765137,7.4652762
68651343764288,6.2677665,-2.3064039,6.8952613
68651363614156,8.382568,-3.8440065,8.076006
68651383467853,3.4871485,0.76161623,5.9252787
68651403321676,-2.064507,6.452183,2.943479
68651423175372,0.73527104,5.5612354,-4.536167
68651443029069,5.5875807,1.1136842,-0.8669971
68651462893513,6.3707523,-0.99393314,3.1901662
68651482749720,8.502319,-1.3292359,4.3230104
68651502603545,8.837623,0.5388794,0.2203418
68651522457240,9.939331,0.88376224,-2.3327491
68651542310936,12.046948,-0.5508545,-2.2489235
68651562164633,15.26346,0.22992188,-1.3388159
68651582018219,16.678917,0.4526587,-2.0261867
68651601871915,20.752846,-2.3495142,-1.829795
68651621725612,20.772005,-3.6811452,-0.5724097
68651641579435,19.809208,1.2286451,-1.6070582
68651661433131,20.223545,1.4825171,-3.537444
68651681287676,20.21157,1.1328443,-2.1770728
68651701141372,20.585194,0.07903565,2.4525
68651720995196,17.435743,-0.86939216,3.288362
68651740848892,12.530743,1.0178833,-7.577842
68651760702716,18.37459,3.06802,10.734478
68651780559234,14.209652,9.604029,5.022356
68651800413058,10.015972,7.6377177,-0.69216067
68651820266882,10.775193,4.3493557,-3.3482375
68651840120706,10.408755,4.8594947,-3.542234
68651859974530,13.119918,5.6690116,-4.071533
68651879831767,9.836346,5.927674,-2.818938
68651899685719,5.49178,1.5232325,1.695674
68651919539671,6.782696,1.3483961,1.7771046
68651939393623,12.466077,5.46304,0.32332766
68651959247447,10.734478,5.3073635,1.3723463
68651979103118,7.30481,5.927674,2.5842261
68651998957070,9.987232,4.1888895,1.4178516
68652018811022,9.606423,0.0023950196,-6.1073003
68652038664974,7.6089773,-2.8452833,-2.1028273
68652058518926,3.8703518,-1.7531544,-0.3424878
68652078381271,1.2382251,-0.977168,0.06706055
68652098235479,0.7927515,-1.5950831,1.5280225
68652118089687,3.2811768,-0.6442603,2.926714
68652137943767,4.785249,0.28979737,1.7004639
68652157797975,7.846084,-0.8334668,-1.1136842
68652177656096,10.049502,-6.672525,-0.91250247
68652197510304,9.611214,-1.9327809,1.7747096
68652217364512,14.348562,-0.6442603,2.1627028
68652237218720,10.540482,-1.3076807,-0.63707525
68652257072928,10.049502,0.81191164,-0.49337405
68652276931293,10.28661,1.089734,0.4526587
68652296785629,17.260906,1.8657203,-0.3879932
68652316639965,22.757477,4.3565407,-3.159031
68652336494301,21.900059,8.784932,-0.6011499
68652356348509,15.285015,11.601475,5.621111
68652376202845,11.745176,7.182664,7.680828
68652396065818,10.835069,3.6092947,1.1807446
68652415920410,5.1947975,5.5229154,0.9580079
68652435775002,1.1496094,6.8665214,2.936294
68652455629594,1.1639795,9.287886,2.8285182
68652475484058,-0.93405765,4.6199927,-3.796106
68652495338735,-3.302732,7.4509063,0.732876
68652515193327,4.409231,-1.7124391,0.5005591
68652535047919,5.848638,-2.196233,7.1371584
68652554902383,11.369158,-5.3025737,-3.5254688
68652574756975,5.225933,-0.5364844,-5.597161
68652594608757,6.1144853,2.9841945,-0.5987549
68652614463349,6.9886675,7.9706254,-0.52690434
68652634317813,6.7898808,10.109378,-0.40715334
68652654172277,5.4223247,10.063872,-0.3879932
68652674026869,2.6177564,11.5895,0.15328126
68652693883403,2.9961696,9.908196,-1.3172607
68652713737995,0.57959473,11.000325,0.100590825
68652733592587,1.8274,11.364368,3.3697927
68652753447051,-2.1459377,19.363733,0.21076173
68652773301643,-2.1746778,30.582006,-2.2896388
68652793154171,6.2989016,8.998089,0.69695073
68652813008635,10.502161,11.656561,0.1939966
68652832863227,8.816068,15.986756,-0.4406836
68652852717691,4.7804594,13.689932,-0.09340577
68652872572155,1.7483643,12.509188,-1.089734
68652892430666,4.0859036,10.5764065,-4.9002104
68652912285258,8.57417,8.365804,2.1267774
68652932139978,6.7395854,8.691526,4.670288
68652951994570,6.6821046,7.4269557,-0.25866213
68652971849290,6.1695704,5.0654664,-0.13891114
68652991699188,-8.801697,1.8776954,2.5578809
68653011553780,-35.029556,5.977969,-0.5029541
68653031408244,-1.9974464,2.9578493,-11.975099
68653051262836,2.2680836,4.0930886,-10.090218
68653071117428,-2.6417067,11.062595,-3.8008962
68653090962169,-4.1960745,13.95099,-2.0405567
68653110816505,-4.2248144,11.769127,-2.1483326
68653130670969,-2.9985645,12.76785,0.3161426
68653150525305,-0.8286768,13.711488,8.916658
68653170379769,1.1687696,11.249407,2.811753
68653190222889,-0.69695073,10.085427,-3.6140847
68653210077097,-2.8285182,10.255474,-4.184099
68653229931177,-1.707649,9.692644,-2.4189699
68653249785385,-2.323169,9.898616,-1.1807446
68653269639465,-1.9639161,10.011182,-0.84065187
68653289495611,-1.3220508,10.538086,-0.9412427
68653309349819,-2.198628,10.715318,-0.119750984
68653329203899,-2.3902297,10.250684,0.23471193
68653349058107,-1.9567311,10.121353,-0.9029224
68653368912187,-1.7292042,9.85311,-2.1435425
68653388760024,-1.7914747,10.135723,-1.8633252
68653408613976,-1.6405884,10.3393,-0.7185059
68653428468056,-1.5807129,10.32014,-0.45984375
68653448322008,-1.6190332,10.099798,-0.7951465
68653468184231,-1.6741188,9.948912,-1.0274634
68653488036104,-1.7914747,10.162068,-1.1112891
68653507889928,-1.7675245,10.535691,-1.1951149
68653527743880,-1.4513819,10.109378,-1.0106983
68653547597704,-1.3891114,10.365645,-1.0609937
68653567451656,-1.1807446,9.79084,-0.63707525
68653587305492,-1.4394068,10.075848,-0.56522465
68653607159316,-1.6046631,10.5692215,-1.092129
68653627013140,-1.5998731,10.214759,-1.2166699
68653646866964,-1.8274,10.111773,-1.089734
68653666720788,-1.9591261,10.195599,-0.97956306
68653686579762,-1.9375709,10.243499,-1.0322535
68653706433714,-1.9040406,10.097403,-1.1400293
68653726287666,-1.7315992,10.008787,-1.2549903
68653746141490,-1.5663428,10.171648,-1.1328443
68653765995442,-1.5136524,10.298584,-0.9053174
68653785858305,-1.5543678,10.485396,-0.8909473
68653805712385,-1.3795313,10.33451,-0.9053174
68653825566593,-1.477727,10.296189,-1.0538087
68653845420673,-1.6693287,10.408755,-1.092129
68653865274753,-1.7339942,10.126143,-1.0083033
68653885124829,-1.7004639,9.980047,-1.0035132
68653904978909,-1.4513819,10.080638,-1.0657837
68653924832861,-1.336421,10.186019,-1.1879297
68653944686941,-1.4801221,10.169253,-1.2909156
68653964540893,-1.6405884,9.963282,-1.223855
68653984397637,-1.705254,9.869876,-1.1472144
68654004251717,-1.6741188,10.0063925,-1.0609937
68654024105925,-1.6022681,10.068663,-1.099314
68654043960005,-1.6884888,10.1189575,-1.1951149
68654063814085,-1.5376027,9.83874,-1.0825489
68654083666957,-1.4106666,9.831555,-1.2597803
68654103521037,-1.4897022,10.159674,-1.1927198
68654123375117,-1.6429834,10.130933,-1.0705738
68654143229197,-1.7938697,9.992022,-1.0801538
68654163083277,-1.695674,9.963282,-1.1400293
68654182941910,-1.5471827,9.965676,-1.2478052
68654202796118,-1.5495777,9.917776,-1.214275
68654222650198,-1.6453785,9.8866415,-1.1256592
68654242504407,-1.7387843,9.881851,-1.0609937
68654262358614,-1.7292042,9.903406,-1.1088941
68654282222038,-1.6286134,9.924961,-1.1256592
68654302076374,-1.5519727,9.927357,-1.0873389
68654321930838,-1.5328126,9.901011,-1.0657837
68654341785174,-1.5519727,9.905801,-1.0466236
68654361639638,-1.6214283,9.857901,-1.0154883
68654381493942,-1.6453785,9.802815,-1.0442286
68654401348406,-1.6262183,9.788445,-1.0873389
68654421202742,-1.5926881,9.802815,-1.096919
68654441057207,-1.5735279,9.766891,-1.101709
68654460911672,-1.5567628,9.74294,-1.1112891
68654480778387,-1.5711329,9.79084,-1.0633887
68654500633108,-1.5926881,9.798025,-0.9915381
68654520487829,-1.587898,9.764495,-0.96758795
68654540342678,-1.5423926,9.759705,-1.0274634
68654560197393,-1.465752,9.74294,-1.0849439
68654580052113,-1.4849122,9.702225,-1.0370435
68654599904468,-1.5471827,9.702225,-1.0011182
68654619759188,-1.5807129,9.697434,-1.0226734
68654639613908,-1.5974782,9.69504,-1.0250684
68654659468628,-1.5783179,9.649534,-1.0442286
68654679323476,-1.575923,9.606423,-1.0873389
68654699180518,-1.5304176,9.649534,-1.1184741
