UPTIMENANO,Gx,Gy,Gz
68649963914345,0.06303019,-0.08071481,-0.10758207
68649973841514,0.028409095,-0.10628116,-0.078287296
68649983768555,-0.036039405,-0.15901175,-0.06390623
68649993695593,-0.09942263,-0.2096118,-0.054851484
68650003622634,-0.12019529,-0.26713607,-0.062308338
68650013549803,-0.087704726,-0.33957407,-0.09000521
68650023476841,-0.026452024,-0.43225208,-0.113973655
68650033403882,0.050779648,-0.5334522,-0.12675683
68650043331051,0.12960921,-0.61334705,-0.12995264
68650053258089,0.19459035,-0.68791556,-0.13208316
68650063185130,0.24039672,-0.7401135,-0.14966002
68650073112299,0.26063675,-0.7624841,-0.17522638
68650083042495,0.23134197,-0.7832567,-0.21410853
68650092969664,0.17541559,-0.83438945,-0.22795697
68650102896705,0.12055448,-0.9398506,-0.22263063
68650112823871,-0.0035488373,-1.0170822,-0.22582643
68650122750912,-0.10528159,-1.0570296,-0.2812202
68650132678081,-0.14469638,-1.2674193,-0.33501604
68650142605247,-0.13777216,-1.5816724,-0.340875
68650152532288,-0.05894259,-1.8154979,-0.32915708
68650162459457,0.014028027,-2.0610414,-0.3062539
68650172389996,0.059301764,-2.1446648,-0.25938228
68650182317165,0.24519041,-1.7920622,-0.26790437
68650192244206,0.3309442,-1.7366683,-0.30518863
68650202171372,0.25051674,-1.9699613,-0.3360813
68650212098541,0.20151457,-2.0637045,-0.33714658
68650222025710,0.20417772,-2.0626392,-0.34726658
68650231952876,0.23240724,-1.9976581,-0.3195697
68650241880045,0.23773356,-1.922557,-0.25884962
68650251807214,0.19565561,-1.9151002,-0.21996748
68650261736915,0.09498813,-1.9454602,-0.24074014
68650271664084,-0.031245712,-1.9060454,-0.39094242
68650281591253,-0.14949007,-1.7739526,-0.61784375
68650291518419,-0.22512385,-1.582205,-0.74887127
68650301445588,-0.23790702,-1.3467816,-0.8010692
68650311372757,-0.21127541,-1.0511707,-0.78881866
68650321299923,-0.15268587,-0.6767303,-0.7339575
68650331227092,-0.070660494,-0.2575487,-0.6934775
68650341154261,-0.064801544,0.08866224,-0.5821574
68650351081427,-0.18198064,0.17548129,-0.4250309
68650361008596,-0.39929458,0.01675689,-0.31690654
68650370935765,-0.5702695,-0.37419516,-0.14007264
68650380861164,-0.51700634,-0.5600838,0.07351289
68650390788333,-0.35082504,-0.55688804,0.041022316
68650400715502,-0.19050275,-0.63784814,-0.13155054
68650410642668,-0.0972921,-0.6415766,-0.16297583
68650420569837,-0.14150059,-0.55901855,-0.12942
68650430497006,-0.29543132,-0.53718066,-0.13581158
68650440424172,-0.4440357,-0.51108164,-0.08201572
68650450351341,-0.52819157,-0.25967923,0.06339287
68650460278510,-0.5351158,0.12488123,0.12624347
68650470205742,-0.5042231,0.3704247,0.11239504
68650480132911,-0.46640626,0.42901424,0.05646865
68650490060208,-0.40834934,0.39652368,0.0021401655
68650499987374,-0.3401724,0.28893197,-0.0319483
68650509914543,-0.30075762,0.13446862,-0.05644938
68650519841712,-0.2576144,0.07215064,-0.06976518
68650529768878,-0.16919747,0.098249614,-0.1310179
68650539696047,-0.046159416,0.18560131,-0.2780244
68650549623344,0.11789131,0.2713551,-0.53049207
68650559546317,0.37035897,0.32195517,-0.7233049
68650569473486,0.49925599,0.3113025,-0.4793594
68650579400655,0.3506516,0.4961259,-0.3211676
68650589327821,0.11363026,0.74326724,-0.45645618
68650599254990,-0.029115185,0.80824834,-0.62423533
68650609182159,0.08060706,0.83434737,-0.61997426
68650619109325,0.2664957,1.026095,-0.58535314
68650629036494,0.14878398,1.4282323,-0.5976037
68650638963663,-0.065866806,1.74142,-0.53049207
68650648890829,-0.32153028,1.9406246,-0.53635097
68650658817998,-0.64537066,1.9251782,-0.5693742
68650668745167,-0.759354,1.7707149,-0.51238257
68650678670797,-0.5676064,1.6918852,-0.46391305
68650688597966,-0.429122,1.8079991,-0.5581889
68650698525135,-0.20168804,1.6093273,-0.5555258
68650708452301,0.14771871,0.973897,-0.41278034
68650718379470,0.32881367,0.3768163,-0.33235288
68650728306639,0.3410642,0.13872966,-0.32809183
68650738233805,0.308041,0.08440118,-0.2865465
68650748160974,0.271822,-0.010407354,-0.21623905
68650758088143,0.21429774,-0.25648344,-0.15019266
68650768017692,0.1077713,-0.5872481,-0.13847475
68650777944989,0.029474359,-0.95369905,-0.15551898
68650787872158,0.05344281,-1.2567667,-0.14007264
68650797799324,0.059301764,-1.5209523,-0.12675683
68650807726493,-0.20594908,-2.3262923,0.118786626
68650817653662,-0.4871789,-3.0671837,0.27271733
68650827580828,-0.45149255,-3.0517373,0.117721364
68650837507997,-0.23630913,-2.6613178,-0.08201572
68650847435166,-0.086639464,-2.1654372,-0.15818214
68650857351202,-0.17878485,-1.7750179,-0.16617163
68650867278243,-0.4040883,-1.5603671,-0.2151738
68650877205284,-0.53085476,-1.4815376,-0.25405595
68650887132450,-0.6224675,-1.4756786,-0.2434033
68650897059491,-0.79557294,-1.5928577,-0.23168539
68650906986532,-0.9937121,-2.0466604,-0.25725174
68650916913570,-1.2445818,-2.658122,-0.2881444
68650926840611,-1.4842664,-3.2972808,-0.36803925
68650936767652,-1.7218204,-3.686635,-0.54274255
68650946694690,-2.02116,-3.6797106,-0.73449016
68650956621859,-2.2054505,-3.5486832,-0.92410725
68650966548900,-2.2944002,-3.50554,-1.1488781
68650976469916,-2.5303562,-3.2264407,-1.2681876
68650986396829,-2.814782,-2.4376123,-0.9928168
68650996323870,-2.9410157,-1.5044407,-0.63808376
68651006250908,-3.0379548,-0.41414258,-0.49107727
68651016177821,-3.0033336,0.43221003,-0.6471385
68651026104862,-2.7924113,0.87376213,-0.9033346
68651036031772,-2.5905437,1.6641884,-0.99548
68651045958813,-2.3902738,2.846632,-0.93902093
68651055885854,-2.1218274,3.6679509,-0.8617893
68651065811569,-1.8203573,3.046369,-0.9315641
68651075738610,-1.5897275,2.4727242,-1.1739118
68651085665523,-1.3612283,2.2048101,-1.3715184
68651095592561,-1.2349945,1.7435507,-1.5797775
68651105519474,-1.2483103,1.1006635,-1.8530178
68651115446515,-1.392121,0.5504544,-2.1166708
68651125373425,-1.5955865,0.15683916,-2.3712692
68651135300466,-1.7271466,-0.005081031,-2.6301284
68651145227379,-1.7244835,0.23886453,-2.8074949
68651155154417,-1.6200876,0.87376213,-2.8511708
68651165081330,-1.4400579,1.7211801,-2.791516
68651175008371,-1.2738767,2.4226568,-2.7398505
68651184928186,-1.285062,2.7406383,-2.678598
68651194855099,-2.489876,1.4101229,-2.0676687
68651204781884,-2.7380826,1.6977443,-2.3552902
68651214708794,-2.6800258,1.4383523,-2.4026945
68651224635707,-2.259779,1.5555314,-2.4538271
68651234562620,-1.6179571,1.6870916,-2.670076
68651244489402,-1.3031714,1.1794931,-2.7222738
68651254416315,-1.2653545,0.38480577,-2.6173453
68651264343228,-1.1439143,-0.17179492,-2.3771281
68651274275904,-0.99903846,-0.8817937,-1.9084116
68651284202817,-1.0203437,-1.6402619,-1.5973544
68651294129730,-0.96761316,-2.0285509,-1.6713903
68651304056640,-0.6464359,-2.1824815,-1.4455543
68651313983553,-0.6357833,-2.4029913,-1.037558
68651323910466,-0.83232456,-2.4690378,-0.9528694
68651333837376,-0.9010341,-2.4557219,-1.0652548
68651343764289,-1.0166153,-2.9558635,-1.3960195
68651353691202,-1.2839967,-3.9556143,-2.0969636
68651363614156,-1.4874622,-5.4688225,-2.7675476
68651373541069,-1.7298099,-6.7631187,-3.4184241
68651383467854,-2.3838823,-7.2749786,-4.370238
68651393394764,-2.950603,-7.3953533,-4.4618506
68651403321677,-3.4986815,-7.0656543,-3.9883406
68651413248462,-4.4078846,-5.374014,-3.3198872
68651423186121,-5.544522,-2.5313556,-2.7078927
68651433112906,-6.2257586,-0.17286019,-2.698838
68651443039819,-6.4574533,0.96004856,-3.2059038
68651452966729,-6.2848806,0.5280838,-3.6932623
68651462893514,-5.4017763,-1.011756,-4.070366
68651472820427,-4.7652807,-1.9257528,-4.7984743
68651482749720,-4.1586127,-3.0298994,-5.4386983
68651492676633,-3.8986883,-3.7862372,-5.7513533
68651502603546,-4.152754,-4.1558843,-5.828585
68651512530328,-4.622535,-4.4392447,-5.7636037
68651522457241,-5.0816646,-4.7982388,-5.6368375
68651532384026,-5.44705,-4.9995737,-5.5020814
68651542310936,-5.6968546,-5.038456,-5.357738
68651552237721,-5.790598,-5.089056,-5.311399
68651562164634,-5.7634335,-5.344187,-5.3758473
68651572091307,-5.702181,-5.4347343,-5.359336
68651582018220,-5.6212206,-5.123677,-5.1947527
68651591945005,-5.499248,-4.36148,-5.0770407
68651601871915,-4.989519,-2.7119179,-5.04242
68651611798828,-4.0515537,-0.9036316,-4.9619923
68651621725613,-2.8488703,0.100380145,-4.647207
68651631652523,-1.6765466,0.31609622,-4.2344165
68651641579436,-0.78065926,0.10996753,-3.8317468
68651651506347,-0.1862417,-0.21706866,-3.521222
68651661433132,0.23879883,-0.51427746,-3.2762113
68651671360764,0.6601109,-0.6458376,-3.027472
68651681287677,1.19008,-0.5414417,-2.8266697
68651691214588,1.8553377,-0.24849397,-2.7526338
68651701141373,2.6084795,-0.31027928,-2.720676
68651711068284,3.1544275,-2.3481302,-2.7020338
68651720995197,2.0955546,-6.1308846,-2.3073533
68651730922108,-1.7985194,-6.0174336,-0.48202252
68651740848893,-4.685386,-4.725268,1.0146741
68651750775804,-4.137307,-4.2208652,0.9986951
68651760702717,-2.531954,-3.4948874,0.7451621
68651770632322,-1.1226091,-2.2884753,0.61306936
68651780559235,-0.09516158,-1.066617,0.5853725
68651790486146,0.62389195,-0.2160034,0.66420203
68651800413059,0.96371126,0.037529547,0.86979806
68651810339970,0.96850497,0.8796211,0.92625713
68651820266883,0.9658418,2.0940225,0.8117412
68651830193794,0.9940713,2.8833835,0.7393032
68651840120707,0.7394731,3.005889,0.5661977
68651850047618,0.33041155,1.9677888,0.13796137
68651859974531,-0.26507127,0.49825644,-0.14007264
68651869904727,-0.5995643,-0.18670863,-0.21251063
68651879831768,-0.47333047,0.69106925,-0.05165569
68651889758679,-0.15268587,0.51370275,0.28337
68651899685720,0.34905368,0.30224776,0.48257443
68651909612631,0.7645068,0.9888107,0.6189283
68651919539672,1.1794274,1.7163863,0.7478253
68651929466583,1.689689,2.4711263,0.964074
68651939393624,2.201016,1.7611275,1.133451
68651949320535,1.2273643,0.42422056,0.49802077
68651959247448,0.7346794,-0.11000958,0.2061383
68651969176078,1.4388193,-0.029582113,0.72385687
68651979103119,1.9421568,0.6404692,1.4077567
68651989030030,2.1871674,0.6793514,1.7161506
68651998957071,3.1570907,0.5323449,1.9579657
68652008883982,3.8330011,0.30224776,1.761957
68652018811023,2.436972,0.69586295,1.3757987
68652028738062,1.397274,-0.16220754,1.3779292
68652038664975,0.8838164,-1.1566318,1.1568868
68652048592014,0.41989377,-1.0426486,0.7361074
68652058518927,0.29046416,-0.84344417,0.5459577
68652068454231,0.21376511,-0.7022966,0.54755557
68652078381272,0.118423946,-0.53664804,0.52678293
68652088308439,0.11203236,-0.26820135,0.70628
68652098235480,0.19565561,0.1525781,1.0040214
68652108162519,0.3921969,0.7011893,1.304426
68652118089688,0.6739594,1.1773626,1.5920473
68652128016727,0.8380101,1.5528682,1.8093613
68652137943768,0.9019259,1.6844285,2.2242818
68652147870935,0.8875449,1.5294324,2.490065
68652157797976,0.71337414,1.4426134,2.3531787
68652167728928,0.49179912,1.3525985,1.8322645
68652177656097,0.31496522,1.6215779,1.2096175
68652187583136,0.4300138,1.9534078,1.1041563
68652197510305,0.869968,2.3624692,1.4242682
68652207437344,1.3866214,2.3523493,1.1387774
68652217364513,1.2545285,1.438885,-0.8122545
68652227291552,1.0483999,2.5462275,-2.8602254
68652237218721,1.7876934,3.0868492,-2.6258674
68652247145888,2.3448267,2.910015,-2.1070836
68652257072929,2.6793196,2.4737895,-1.7193272
68652267004125,2.7022228,2.3709915,-1.2000108
68652276931294,2.6143384,2.7054844,-0.91931355
68652286858461,2.6276543,3.1353185,-1.2101308
68652296785630,2.5014205,3.0932407,-1.7459588
68652306712797,2.054542,3.0170743,-2.4325218
68652316639966,1.4425477,2.760878,-3.5153632
68652326567133,0.94560176,1.902275,-4.5358863
68652336494302,0.35171685,0.63727343,-4.9268384
68652346421341,-0.22033016,-0.6144123,-4.778234
68652356348510,-0.52606106,-2.0807488,-4.293539
68652366275677,-0.29276815,-4.3263264,-3.4365337
68652376202846,0.24359252,-5.918364,-2.5816588
68652386138522,0.30750838,-5.6179595,-2.4559577
68652396065819,-0.3300524,-4.9116893,-2.9081624
68652405993114,-1.1987755,-4.6171436,-3.4605021
68652415920411,-1.4986475,-3.2568007,-3.7193613
68652425847706,-0.99531007,-1.7590389,-3.3710198
68652435775003,-0.5404421,-0.19416547,-2.2535574
68652445702298,-0.29756182,0.40930685,-1.5600702
68652455629595,0.20737351,-0.20694865,-1.7960262
68652465556890,0.21909143,1.5976094,-2.0351782
68652475484059,-0.8855878,4.0775447,-0.9597936
68652485411439,-1.4688201,3.4682138,0.06339287
68652495338736,-0.6123475,2.031172,0.7430316
68652505266031,-0.09782474,1.6631231,1.2458365
68652515193328,0.45451486,1.0964024,1.0556867
68652525120623,1.2795622,-0.619206,1.3928429
68652535047920,2.8156736,-1.716961,1.9377257
68652544975215,3.450571,-2.756659,1.4370514
68652554902384,2.7879765,-2.2213638,0.69402945
68652564829679,1.514453,-0.49457005,0.43996385
68652574756976,0.40125164,-0.119596966,0.0026727978
68652584681589,0.10510814,-0.48178688,-0.8213092
68652594608758,0.35331476,-0.5361154,-1.6474218
68652604536053,0.59885824,-0.36460778,-2.1230626
68652614463350,0.7437342,0.272953,-2.5156124
68652624390517,0.9258944,1.0878804,-2.811756
68652634317814,1.1474695,1.6913526,-2.8266697
68652644245109,1.3706424,2.0988164,-2.7590253
