UPTIMENANO,Ax,Ay,Az
68649959391153,-0.28368706,-0.07121806,0.012908354
68649979391153,-0.3796209,0.04178568,-0.3202927
68649999391154,-0.18246895,0.055927847,-0.22286974
68650019391153,-0.16241588,0.07201225,0.46172172
68650039391153,-0.38815022,0.07977719,0.76415473
68650059391154,-0.3421904,0.084854245,0.5161004
68650079391153,-0.23127182,0.14792837,-0.048930854
68650099391153,-0.4708653,0.14141227,-0.60048693
68650119391154,-0.5075065,0.112064965,-0.63462824
68650139391153,-0.42220742,0.009968633,0.40018612
68650159391153,-0.4447466,-0.27870733,1.2103528
68650179391154,-0.30199823,-0.38532346,0.67210364
68650199391153,-0.42337203,-0.45462975,0.096312486
68650219391153,-0.6203213,-0.4973053,0.21506447
68650239391154,-0.6270933,-0.5758434,0.14233336
68650259391153,0.053960636,-0.8454753,-0.60050946
68650279391153,1.2507303,-1.0831524,-1.0637113
68650299391154,1.1653559,-0.53948045,-0.92317086
68650319391153,0.15014388,0.06698133,-0.4949369
68650339391153,-0.34859714,0.17727086,-0.49816516
68650359391154,-0.9683288,0.5505706,-0.6263936
68650379391153,-1.366497,0.8644497,0.5822979
68650399391153,-0.30010432,0.32768545,1.3145882
68650419391154,0.40914777,-0.022190224,-0.06941932
68650439391153,0.036640298,0.010348696,-1.0343643
68650459391153,0.12550668,-0.06866069,-0.22345082
68650479391154,0.46963432,-0.188941,0.54438615
68650499391153,0.7020808,-0.35056433,0.5746938
68650519391153,1.0752784,-0.5965448,0.7456532
68650539391154,1.9122275,-1.1156803,1.466916
68650559391153,0.5330001,-0.8277025,1.0941293
68650579391153,-1.1337689,-0.17127135,-1.0395254
68650599391153,0.08527542,0.05620739,-0.72581565
68650619391154,0.8625578,0.8742728,0.0862762
68650639391153,0.48065108,1.210205,-1.693447
68650659391153,-0.56872654,0.93893474,-0.8777025
68650679391154,-0.86456484,0.52173257,1.8966936
68650699391153,-0.22598444,-0.062435813,2.292757
68650719391153,-0.19404839,-0.35261875,1.0660828
68650739391154,-0.82782745,-0.33403277,-0.028262973
68650759391153,-1.2509496,-0.45848355,-0.6590053
68650779391153,-1.2969556,-1.00839,-0.33321634
68650799391154,-1.3798422,-1.0514897,0.050686926
68650819391153,-1.0961969,-1.330281,0.2962675
68650839391153,-0.8165909,-1.4234304,0.11686257
68650859391154,-0.34850827,-1.1039613,-1.1046921
68650879391153,0.37445793,-0.9185745,-1.3039418
68650899391153,0.83445585,-1.1201622,-0.96144277
68650919391154,1.0812818,-1.7008469,-0.7391465
68650939391153,2.078603,-1.9880033,-1.4838308
68650959391153,2.9405901,-1.0058935,-3.08942
68650979391154,0.8335967,-0.34743214,-4.4197974
68650999391153,-0.7165188,-1.2363217,-4.8176517
68651019391153,-0.15273704,-1.1942443,-3.6553707
68651039391154,-0.64348143,-0.1686518,-2.394658
68651059391153,-0.24657297,-0.11205065,0.22932783
68651079391153,1.4117869,-0.911078,1.9576963
