UPTIMENANO,Mx,My,Mz
68672965079385,10.408772,-3.7860050000000003,13.748510000000001
68672984933594,10.258773,-4.236004,13.748510000000001
68673004787803,10.408772,-4.3860035,13.89851
68673024641999,10.858772,-4.536005,14.348510999999998
68673044496208,11.008773,-4.8360043,14.348510999999998
68673064350545,11.008773,-5.5860043,14.198509
68673084190522,11.158772,-5.4360045999999995,14.198509
68673104044475,11.908772,-5.4360045999999995,14.198509
68673123898428,12.508773,-5.736004,14.198509
68673143752509,12.958772999999999,-5.736004,14.198509
68673163600044,12.508773,-6.036005,14.198509
68673183453869,12.658773,-6.036005,14.198509
68673203307694,13.108772,-6.486004,14.198509
68673223161519,13.108772,-6.6360035,14.198509
68673243015344,13.408773000000002,-7.086004300000001,13.89851
68673262869713,13.708773,-6.6360035,13.89851
68673282723538,14.608772,-7.536005,13.89851
68673302577235,15.058773,-7.536005,13.598510999999998
68673322431045,15.058773,-7.6860046,12.698509
68673342284870,15.058773,-7.986003999999999,12.998510000000001
68673362138567,15.658773000000002,-8.436005,12.998510000000001
68673381989040,15.658773000000002,-7.986003999999999,12.698509
68673401842865,15.808773,-7.986003999999999,12.698509
68673421696562,18.358772000000002,-8.436005,12.698509
68673441550259,17.458773,-7.986003999999999,12.998510000000001
68673461397148,17.008774,-7.986003999999999,12.54851
68673481250589,17.308773000000002,-7.986003999999999,12.54851
68673501104030,17.308773000000002,-7.986003999999999,12.248510000000001
68673520957599,17.458773,-7.986003999999999,12.098511
68673540811040,17.758774,-7.986003999999999,11.948509
68673560664481,17.908773,-7.986003999999999,11.64851
68673580519358,17.908773,-7.986003999999999,11.64851
68673600372799,18.658773,-7.986003999999999,11.498510000000001
68673620226226,18.958773,-7.986003999999999,11.348511
68673640079795,19.108772000000002,-7.986003999999999,11.498510000000001
68673659933236,20.158773,-7.836004300000001,11.04851
68673679791577,20.758774,-7.836004300000001,10.89851
68673699645146,20.158773,-7.6860046,10.748510000000001
68673719498715,20.158773,-6.6360035,10.29851
68673739352284,20.158773,-6.036005,9.998510000000001
68673759216197,20.008774,-5.8860035,9.698509
68673779070022,20.008774,-5.286005,9.098509
68673798923719,19.858772000000002,-4.536005,9.248510000000001
68673818777544,20.008774,-3.6360035,9.098509
68673838631241,20.008774,-3.6360035,8.198509
68673858485066,20.008774,-3.7860050000000003,8.04851
68673878342829,20.158773,-3.4860038999999996,8.04851
68673898196654,20.158773,-3.1860046000000004,8.04851
68673918050594,20.308773000000002,-2.5860043,8.04851
68673937904419,20.458773,-2.286005,8.04851
68673957758244,20.458773,-2.1360035,7.748510400000001
68673977611801,20.458773,-1.3860035,7.748510400000001
68673997465626,20.458773,-1.2360038999999998,7.748510400000001
68674017319451,20.458773,0.8639946,7.748510400000001
68674037173404,20.458773,0.56399536,7.748510400000001
68674057025163,20.458773,0.7139969,7.748510400000001
68674076878988,20.458773,0.7139969,7.448509
68674096732813,20.158773,1.1639977,7.148510000000001
68674116586638,19.558773000000002,1.7639961,7.148510000000001
68674136440463,19.708773,1.9139977,7.148510000000001
68674156294288,19.558773000000002,1.9139977,7.148510000000001
68674176154233,19.558773000000002,1.9139977,7.148510000000001
68674196008186,19.408773,2.0639953999999996,6.998510400000001
68674215862252,19.108772000000002,2.213997,6.098509
68674235716205,18.958773,2.3639946,6.098509
68674255570286,18.808773000000002,2.6639977000000004,6.098509
68674275433671,18.658773,2.6639977000000004,6.098509
68674295287880,17.908773,2.963997,6.098509
68674315142089,18.058773000000002,3.8639946000000003,6.098509
68674334996298,18.358772000000002,4.3139954000000005,6.098509
68674354850507,18.058773000000002,3.4139977,6.098509
68674374704588,17.908773,4.013996,6.098509
68674394561855,17.908773,4.013996,6.098509
68674414416192,17.908773,4.013996,6.098509
68674434270401,17.908773,4.013996,6.098509
68674454124738,17.908773,4.013996,6.098509
68674473987573,17.908773,4.1639976999999995,6.098509
68674493842038,17.908773,4.1639976999999995,6.098509
68674513696617,17.758774,4.6139946,6.5485096
68674533551082,17.608772000000002,4.9139976999999995,6.5485096
68674553405675,17.458773,5.513996,6.39851
68674573254606,16.258774,7.763996000000001,6.39851
68674593109071,16.408773,7.763996000000001,6.39851
68674612963536,16.258774,7.6139946,6.39851
68674632818129,15.958773,7.6139946,6.39851
68674652672594,15.958773,7.6139946,6.39851
68674672527059,15.808773,7.6139946,5.948509
68674692373234,15.358772,7.6139946,5.948509
68674712227443,15.208773,7.6139946,5.948509
68674732081780,15.058773,7.763996000000001,5.948509
68674751935989,13.708773,8.513996,5.948509
68674771790874,13.258773000000001,9.263996,5.948509
68674791645083,12.508773,10.613995,5.948509
68674811499279,11.608772,10.463997,5.948509
68674831353616,11.908772,10.463997,5.948509
68674851207825,11.608772,10.463997,5.948509
68674871063230,11.008773,10.613995,5.948509
68674890917567,11.008773,10.613995,5.948509
68674910771776,10.258773,10.613995,5.948509
68674930626113,9.808773,10.613995,5.948509
68674950480450,9.358772,10.763996,5.948509
68674970334787,8.758773,10.763996,5.948509
68674990179640,7.7087727,10.913998,5.948509
68675010033721,6.808772,10.913998,5.948509
68675029887802,5.758773000000001,10.763996,5.948509
68675049741883,3.8087730000000004,11.063995,5.948509
68675069585480,2.9087715,11.363995,5.948509
68675089439433,2.008772,11.363995,5.948509
68675109293244,1.7087727,11.063995,5.948509
68675129147069,0.5087719,10.913998,5.948509
68675149001022,0.6587715000000001,10.913998,5.948509
68675168854847,0.5087719,10.763996,5.7985096
68675188706640,0.20877266,10.463997,5.498510400000001
68675208560465,0.20877266,9.713997,5.348509
68675228414290,-0.091228485,8.213997,4.89851
