UPTIMENANO,Ax,Ay,Az
68972746204687,0.24411425,-1.0646312,8.972604
68972766061455,-0.13778001,-0.0456767,10.158349
68972785918352,-0.22280455,0.019476606,10.687528
68972805780684,0.16321056,-0.22770707,11.218426
68972825637708,0.34297368,0.105111726,11.028562
68972845494733,-0.4044063,0.3402014,9.178145
68972865351756,-0.718288,-0.78914666,9.196623
68972885208780,0.61469257,-0.2219887,10.644106
68972905065805,1.4756042,0.07499356,9.026493
68972924910211,-0.34760827,-0.61877024,9.468877
68972944766851,-0.52232146,1.446111,9.797673
68972964623492,-1.4573954,2.3443677,10.786183
68972984480259,-1.4907739,1.4991566,9.545349
68973004329664,-1.1045566,0.20234743,8.701973
68973024186049,-0.07243251,-0.7995081,9.79007
68973044042560,0.8738953,-1.6536641,9.96182
68973063899072,0.046306882,-1.7178768,9.2562275
68973083755585,-0.75284517,-0.69973695,9.624559
68973103604550,-0.10947996,-0.26538277,9.625277
68973123460934,0.97377473,-0.42569256,10.607342
68973143317319,0.6445475,0.5106684,10.945259
68973163173574,-0.44817582,0.4542089,9.705098
68973183029958,-1.2350937,1.0032456,9.259138
68973202886343,-0.78072965,0.9101129,9.808006
68973222744567,-0.113648064,0.033245243,9.748094
68973242600951,-0.8028849,-0.34374362,8.849036
68973262457208,-0.7303402,0.5025887,8.928177
68973282313591,-1.0199126,0.42700127,8.662464
68973302169000,-1.4644098,0.29447615,8.289683
68973322025257,-0.3885661,0.18612441,9.075277
68973341881512,0.78730136,-0.33614394,10.74965
68973361737768,0.59896153,0.015540512,10.996629
68973381594025,0.9506522,0.19870785,10.296995
68973401450280,0.916802,-0.21314166,10.296579
68973421300898,0.38753173,-0.67140806,9.862795
68973441157155,0.30946532,-0.122745916,10.291186
68973461013410,-0.22992545,0.41334176,9.669437
68973480869666,-0.71273535,0.37147546,9.257015
68973500725795,0.07591719,-0.32243234,9.674366
68973520584855,0.8140715,-0.080598995,10.546369
68973540441111,0.006315576,0.2335121,10.342529
68973560297368,-1.7733395,0.4514042,9.278692
68973580153623,-1.1850412,-0.40730113,9.068485
68973600008669,0.21997939,-0.52496016,10.14019
68973619864926,0.009041667,0.14068721,9.788847
68973639721181,-0.9143065,0.48062187,9.068559
68973659577437,-0.50762725,0.75178206,9.88534
68973679433694,-0.284988,0.8899458,10.250427
68973699289949,0.07947319,0.35193855,10.3891
68973719140068,0.8212141,-0.6388327,10.827352
68973738996197,1.0596851,-0.1398576,10.440707
68973758852324,0.5220689,0.17705086,10.534782
68973778708324,0.56808764,-0.25161228,10.670005
68973798564453,0.88932824,-0.7858193,10.421342
68973818425649,0.30494267,-1.0529824,9.260748
68973838281777,0.7972234,-0.744366,8.875226
68973858138034,1.2173218,0.0044603436,10.643066
68973877994161,0.57623297,0.8046938,10.926736
68973897856348,-0.097515516,1.2932165,10.645893
68973917712733,-0.53388685,1.7666173,10.290301
68973937568988,-0.1354214,0.07144547,9.834629
68973957425372,0.032454073,0.31653857,9.936513
68973977281629,-0.23553847,0.35935342,10.359807
68973997137884,-0.21376808,-0.98263836,8.49151
68974016993599,-2.0822234,1.1975356,5.092107
68974036849856,-2.31651,0.8052466,5.0370493
68974056706111,-1.2932175,0.05534287,6.010466
68974076562367,-0.8930805,0.7991891,6.2727165
68974096418752,-0.090139516,1.8632063,5.9438014
68974116273873,0.3673415,2.2143884,5.7286487
68974136130129,-1.5893528,0.002365425,4.396073
68974155986386,1.3973169,2.5791078,6.336532
68974175842641,1.9482565,2.4453993,6.571102
68974195696616,2.2344742,2.0712845,7.962843
68974215552745,4.1125264,1.8691294,9.594062
68974235408872,4.347673,1.2217574,12.144699
68974255265128,2.4774876,0.89250124,11.504055
68974275121257,2.6331282,0.1378119,12.472016
68974294977384,1.7080106,-1.507064,12.158851
68974314836584,-9.120811,-18.428154,8.032625
68974334692969,-0.5924258,-4.817779,3.2024877
68974354549224,9.857538,10.709859,12.342061
68974374405480,7.469325,8.451754,3.686805
68974394261737,3.4369633,5.080109,-0.29631197
68974414120503,0.6906765,3.8291564,4.6222034
68974433976887,0.8075755,2.6847472,4.528303
68974453833272,1.4849201,2.4482386,5.5450497
68974473689655,0.51574457,3.2325876,7.262033
68974493546039,3.1278064,5.424341,9.058359
68974513402424,6.1073456,7.7970243,10.332872
68974533262519,3.745523,5.6786475,10.930567
68974553119031,5.2913513,5.612983,13.692414
68974572975544,7.92696,5.583176,17.8303
68974592831927,6.812669,-0.15666902,18.421675
68974612684410,7.07545,-1.9729012,17.246462
68974632540794,4.0442495,-4.716943,19.39459
68974652396901,0.616372,-4.1672707,20.5818
68974672253285,-2.0686288,-4.118749,20.70673
68974692109669,-3.4888651,-5.430268,16.159872
68974711964011,-1.8709835,-4.3389473,13.7469225
68974731820267,-2.3019485,-0.16155642,11.820182
68974751676523,-2.829465,1.273567,11.880491
68974771532907,-4.6879215,-0.8332157,12.361305
68974791389163,-3.879561,-5.2095566,12.105945
68974811238678,-3.2683415,-4.042591,8.900585
68974831094806,-3.8673198,-0.56226885,6.316598
68974850951062,-6.5462165,-2.3325424,7.9615726
68974870807190,-5.760287,-1.7231114,6.6127357
68974890663446,-5.992382,-0.20040649,4.926655
68974910518285,-4.184337,-1.2495412,6.3067565
68974930374541,-4.392364,-1.0027027,2.95938
68974950230797,-5.3787756,0.2476132,4.3878665
68974970086925,-4.047455,-1.9226999,7.7004333
68974989943181,-0.48978344,-2.4110904,9.195227
68975009791314,-0.15336981,-1.2837878,7.6431193
68975029647314,2.3761435,-0.34239057,7.758013
68975049503314,1.7750998,-4.193529,8.85531
68975069359186,4.23135,-1.2300751,13.375347
68975089215186,5.2179,5.7600913,18.811298
68975109062720,2.7351174,8.322141,20.53695
68975128918464,4.579331,2.3395302,9.990628
68975148774336,9.433336,2.7138085,14.381332
68975168630080,3.5013204,-1.6214714,10.493158
68975188485952,-1.9927689,4.7982917,7.9197283
68975208339093,-2.0973287,3.4648266,6.0847893
68975228194837,-4.140211,-2.0303285,3.9389045
68975248050581,-3.69576,-5.0750594,4.4277053
68975267906197,-3.420165,-5.0190325,5.7233615
68975287761941,-1.2082714,-5.3264723,4.817563
