UPTIMENANO,Ax,Ay,Az
68972694563258,-0.34021997,0.23467524,0.80121475
68972714563258,0.04103344,-0.42151523,-0.1672425
68972734563258,0.24890704,-1.115003,-1.0276687
68972754563258,0.02956579,-0.6041176,-0.33149636
68972774563259,-0.2595492,-0.053037122,0.57636535
68972794563258,-0.18346168,-0.07689646,1.1099371
68972814563258,0.10058061,0.019269792,1.3303679
68972834563259,-0.11835367,0.34451687,0.3858391
68972854563258,-0.6518579,-0.038085412,-0.62830055
68972874563258,-0.21776307,-0.40713435,0.0635242
68972894563259,0.91473377,-0.028915584,0.08603681
68972914563258,0.64720327,-0.42318618,-0.57367814
68972934563258,-0.22303617,0.03716845,-0.16952328
68972954563259,-0.5779791,1.3772267,0.59021336
68972974563258,-1.1189561,1.5424055,0.46755585
68972994563258,-1.1111926,0.821933,-0.6492866
68973014563259,-0.44478652,-0.35131127,-0.53821445
68973034563258,0.4698266,-1.3108494,0.06645169
68973054563258,0.35420683,-1.7226757,-0.24304362
68973074563259,-0.33003664,-1.2243454,-0.35736373
68973094563258,-0.34829247,-0.5453957,-0.18274805
68973114563258,0.53163046,-0.5983221,0.32300878
68973134563259,0.99365234,-0.44997326,0.9638208
68973154563258,0.32627591,-0.00421181,0.43307447
68973174563258,-0.6671645,0.54468703,-0.3190897
68973194563259,-0.72333413,0.7267264,-0.18741478
68973214563258,-0.20198359,0.20739292,-0.014869622
68973234563258,-0.38545248,-0.37306696,-0.597183
68973254563259,-0.5262175,-0.1930256,-0.89366555
68973274563258,-0.71514654,0.12770663,-1.015684
68973294563258,-1.1915376,0.1544843,-1.3575925
68973314563259,-0.7579933,0.0076627554,-1.0205961
68973334563258,0.25272173,-0.2435585,0.33024204
68973354563258,0.5155027,-0.15308802,1.1097614
68973374563259,0.694478,0.068076156,0.74818987
68973394563258,0.8926806,-0.16368115,0.4926478
68973414563258,0.6090093,-0.6253798,0.18861389
68973434563259,0.39595708,-0.480405,0.33330044
68973454563258,-0.036870778,0.17557068,0.063002996
68973474563258,-0.58384216,0.43025896,-0.42861342
68973494563259,-0.26577097,-0.013124663,-0.26342732
68973514563258,0.47590774,-0.07269648,0.48097774
68973534563258,0.19753836,0.18267857,0.5966578
68973554563259,-1.2089527,0.41353,-0.21529399
