UPTIMENANO,Mx,My,Mz
68972706491023,43.283176,-20.547535,11.967915
68972726347920,43.283176,-20.397537,11.967915
68972746204687,43.283176,-20.097536,11.967915
68972766061455,43.283176,-20.097536,11.967915
68972785918352,43.283176,-20.097536,11.967915
68972805780684,43.283176,-20.097536,11.967915
68972825637708,43.283176,-20.097536,11.967915
68972845494733,43.283176,-20.097536,12.417915
68972865351756,43.283176,-19.947536,12.567915
68972885208780,43.283176,-19.647537,13.767916
68972905065805,43.283176,-19.347536,13.767916
68972924910211,43.433174,-18.897537,13.167915
68972944766851,44.183174,-18.897537,12.417915
68972964623492,44.783176,-17.697536,12.417915
68972984480259,44.783176,-17.847536,12.417915
68973004329664,45.833176,-17.697536,12.267916
68973024186049,47.333176,-16.947536,11.217915
68973044042560,48.083176,-16.197536,8.067915
68973063899072,48.083176,-14.847536,4.017914
68973083755585,48.533176,-13.797535,3.567913
68973103604550,48.533176,-13.047535,3.4179153
68973123460934,48.683174,-12.897535,2.817913
68973143317319,48.683174,-12.297535,1.317913
68973163173574,48.683174,-12.447536,-1.3820839
68973183029958,48.683174,-11.997536,-0.93208694
68973202886343,48.533176,-12.447536,-0.7820854
68973222744567,48.383175,-12.597536,-0.7820854
68973242600951,48.083176,-12.597536,-1.0820847
68973262457208,48.083176,-12.597536,-1.5320854
68973282313591,47.933174,-12.597536,-2.132084
68973302169000,47.333176,-12.597536,-3.0320854
68973322025257,47.333176,-12.597536,-3.7820854
68973341881512,47.333176,-12.597536,-4.8320847
68973361737768,47.333176,-12.447536,-4.8320847
68973381594025,47.333176,-12.447536,-5.882084
68973401450280,47.333176,-11.697536,-6.632084
68973421300898,47.483177,-11.697536,-6.932087
68973441157155,47.483177,-11.697536,-6.632084
68973461013410,47.783176,-11.997536,-6.632084
68973480869666,48.683174,-11.997536,-6.632084
68973500725795,48.083176,-11.997536,-6.632084
68973520584855,47.933174,-12.297535,-6.632084
68973540441111,47.933174,-12.297535,-6.482086
68973560297368,47.933174,-12.297535,-6.3320847
68973580153623,47.933174,-12.297535,-6.3320847
68973600008669,47.933174,-12.747536,-6.0320854
68973619864926,47.783176,-12.747536,-4.8320847
68973639721181,47.783176,-12.897535,-5.882084
68973659577437,47.783176,-12.897535,-5.882084
68973679433694,47.783176,-12.897535,-5.882084
68973699289949,47.783176,-12.897535,-5.882084
68973719140068,47.783176,-12.897535,-5.882084
68973738996197,47.783176,-12.897535,-5.882084
68973758852324,47.783176,-12.747536,-5.882084
68973778708324,47.783176,-12.447536,-5.882084
68973798564453,47.783176,-12.297535,-5.882084
68973818425649,47.783176,-11.697536,-5.5820847
68973838281777,47.783176,-11.397535,-5.5820847
68973858138034,47.783176,-10.497536,-5.5820847
68973877994161,47.483177,-10.647535,-6.0320854
68973897856348,47.333176,-10.797535,-6.3320847
68973917712733,48.083176,-10.197536,-6.482086
68973937568988,47.633175,-10.047535,-6.632084
68973957425372,47.483177,-9.747536,-6.632084
68973977281629,47.333176,-9.297535,-8.732086
68973997137884,47.033176,-8.997536,-11.732086
68974016993599,46.883175,-8.247536,-11.432087
68974036849856,46.583176,-6.8975353,-11.432087
68974056706111,46.733177,-4.6475353,-11.432087
68974076562367,46.733177,-1.797535,-11.432087
68974096418752,46.733177,-1.797535,-10.982086
68974116273873,46.733177,-0.29753494,-9.932087
68974136130129,46.733177,1.5024643,-8.132084
68974155986386,47.033176,2.4024658,-4.8320847
68974175842641,47.033176,4.952465,-3.7820854
68974195696616,46.883175,6.6024666,-1.5320854
68974215552745,46.883175,9.752464,0.8679161
68974235408872,46.883175,12.752464,2.9679146
68974255265128,46.733177,13.802464,3.4179153
68974275121257,46.583176,15.602467,5.067915
68974294977384,45.383175,18.452465,6.7179146
68974314836584,42.983177,19.502464,7.4679146
68974334692969,40.883175,20.102467,7.4679146
68974354549224,40.283176,20.102467,7.4679146
68974374405480,40.283176,20.852467,6.2679157
68974394261737,39.233177,24.002464,6.2679157
68974414120503,37.283176,27.152466,6.4179153
68974433976887,33.683174,29.852467,7.0179157
68974453833272,30.533175,33.00247,7.4679146
68974473689655,26.333176,34.50247,8.517916
68974493546039,21.083176,35.852467,10.917915
68974513402424,15.083175,37.352467,13.017916
68974533262519,1.2831745,37.202465,20.667915
68974553119031,-4.7168255,36.452465,22.017916
68974572975544,-11.916828,36.00247,22.317917
68974592831927,-17.466827,35.552464,22.617916
68974612684410,-23.016827,35.102467,21.417915
68974632540794,-29.616829,33.00247,22.617916
68974652396901,-31.716827,27.902466,24.717915
68974672253285,-33.216827,19.502464,27.117916
68974692109669,-31.716827,16.652466,30.717916
68974711964011,-30.516827,13.802464,32.067917
68974731820267,-29.916828,11.852467,33.867916
68974751676523,-29.166828,11.852467,35.217915
68974771532907,-28.266827,12.002464,33.717915
68974791389163,-26.616829,12.152466,33.567917
68974811238678,-22.266827,12.302464,33.267918
68974831094806,-14.766827,12.452465,33.267918
68974850951062,-15.216827,13.352467,32.967915
68974870807190,-14.016827,15.302464,32.367916
68974890663446,-13.716827,17.852467,31.917915
68974910518285,-12.816826,18.002464,29.967916
68974930374541,-12.666828,19.652466,29.967916
68974950230797,-12.666828,22.202465,29.067917
68974970086925,-12.966827,25.352467,28.167915
68974989943181,-12.666828,27.752464,26.967915
68975009791314,-12.066826,28.952465,24.567917
68975029647314,-12.666828,31.65247,22.467915
68975049503314,-12.666828,34.202465,19.167915
68975069359186,-12.666828,35.40247,16.317915
68975089215186,-12.816826,36.452465,11.967915
68975109062720,-13.266827,36.302464,9.717915
68975128918464,-13.266827,36.452465,8.967915
68975148774336,-14.016827,36.302464,10.317915
68975168630080,-15.216827,36.302464,10.917915
68975188485952,-15.816826,36.15247,11.367914
68975208339093,-17.016827,35.40247,11.817915
68975228194837,-16.866825,33.90247,12.567915
68975248050581,-16.866825,31.502468,14.217915
