UPTIMENANO,Gx,Gy,Gz
68972706491023,0.16156715,0.2777467,-0.33128762
68972716419472,0.13546817,0.38746893,-0.304656
68972726347921,0.006571175,0.32195517,-0.17788953
68972736276239,-0.15375113,0.124348596,-0.04952516
68972746204688,-0.2474944,-0.029582113,0.02184756
68972756133137,-0.2586797,-0.045028448,0.040489685
68972766061455,-0.24483123,0.056171674,0.011194914
68972775989904,-0.25015756,0.19678658,-0.06976518
68972785918353,-0.2576144,0.33846676,-0.165639
68972795852108,-0.23790702,0.4199595,-0.25086015
68972805780685,-0.16600168,0.38640368,-0.31104758
68972815709134,-0.039235197,0.2894646,-0.3557887
68972825637708,0.086466014,0.21649398,-0.40958455
68972835566157,0.12055448,0.20637396,-0.4916099
68972845494734,0.028409095,0.26656142,-0.61145216
68972855423180,-0.11380371,0.3970563,-0.6801617
68972865351757,-0.17345852,0.3475215,-0.61038685
68972875280334,-0.108477384,0.0071695102,-0.44846672
68972885208780,0.049714383,-0.3896415,-0.29613388
68972895137357,0.1375987,-0.8940442,-0.20079271
68972905065806,0.12002184,-1.5294744,-0.054318853
68972914981891,0.16423032,-1.8016495,0.118786626
68972924910212,0.24092935,-1.6461209,0.18163723
68972934838533,0.27555045,-1.582205,0.16672352
68972944766851,0.27128938,-1.5795418,0.024510719
68972954695172,0.34798843,-1.283931,-0.18587902
68972964623493,0.50404966,-0.83651996,-0.39200768
68972974551811,0.5530518,-0.5941723,-0.6135827
68972984480260,0.45717803,-0.6490334,-0.8367556
68972994408581,0.3325421,-0.7827241,-0.9970779
68973004329664,0.26010412,-0.86155367,-1.072179
68973014257857,0.26383254,-0.985657,-1.0743096
68973024186050,0.3128347,-1.1944487,-1.0295684
68973034114368,0.39858848,-1.417089,-0.9235746
68973044042561,0.42948115,-1.489527,-0.77710074
68973053970882,0.35970634,-1.3089647,-0.6045279
68973063899072,0.23134197,-0.98352647,-0.45272776
68973073827265,0.079541795,-0.6005639,-0.3840182
68973083755586,1.7958821E-4,-0.562747,-0.35525605
68973093676358,7.1222044E-4,-0.93772006,-0.33341813
68973103604551,0.049714383,-1.256234,-0.3195697
68973113532744,0.20417772,-1.6700894,-0.2812202
68973123460934,0.4204264,-2.0589108,-0.1672369
68973133389127,0.60791296,-1.9662329,0.019184398
68973143317320,0.76823527,-1.237592,0.1731151
68973153245510,0.72988576,-1.0197453,0.26153207
68973163173575,0.62602246,-0.7699409,0.28390262
68973173101768,0.4816791,-0.5824544,0.18696354
68973183029958,0.3410642,-0.52120167,0.07191499
68973192958151,0.27768096,-0.5536922,-0.057514645
68973202886344,0.2814094,-0.7166777,-0.1773569
68973212816375,0.33520526,-0.9531664,-0.17043269
68973222744568,0.41137168,-1.2397225,-0.09266837
68973232672761,0.42894852,-1.4644933,-0.013306169
68973242600951,0.35597792,-1.4863312,0.04262021
68973252529016,0.28407255,-1.433068,0.004803327
68973262457209,0.251582,-1.4021753,-0.05165569
68973272385399,0.18926403,-1.3206826,-0.061775703
68973282313592,0.092324965,-1.1481098,-0.07455888
68973292241785,-0.08823736,-0.8572926,-0.110245235
68973302169000,-0.31886712,-0.51907116,-0.17469373
