UPTIMENANO,Ax,Ay,Az
68972694563258,0.24868378,0.5293182,0.68610907
68972714563258,-0.35974082,0.054048803,-0.2738505
68972734563258,-0.92095023,-0.22997108,-1.2084094
68972754563258,-0.4853068,0.06183875,-0.4861844
68972774563259,-0.016960103,0.47489133,0.4201979
68972794563258,-0.1656965,0.63748217,0.9152556
68972814563258,-0.2749189,0.44845927,1.2262424
68972834563259,0.28223467,0.1285832,0.43055922
68972854563258,0.39294973,0.30637828,-0.756871
68972874563258,-0.26325417,0.35555616,-0.14660001
68972894563259,-0.46611792,-0.7273975,0.31401187
68972914563258,-0.55947834,-0.62502265,-0.4726479
68972934563258,0.14823648,0.106217295,-0.21589023
68972954563259,1.4109699,0.2548709,0.72344273
68972974563258,1.8152448,0.59098125,0.45311525
68972994563258,1.2451711,0.40282145,-0.7868797
68973014563259,-0.09974372,0.2578053,-0.73110676
68973034563258,-1.3927402,-0.003282092,-0.061178572
68973054563258,-1.730047,-0.041480463,-0.39668658
68973074563259,-1.0543964,0.39502585,-0.68400097
68973094563258,-0.4208198,0.33642933,-0.4023517
68973114563258,-0.7102101,-0.19786674,0.44878194
68973134563259,-0.6830345,-0.34160623,1.2391692
68973154563258,-0.06726359,-0.08162667,0.5318269
68973174563258,0.66034555,0.3050541,-0.56079984
68973194563259,0.85515535,0.37912163,-0.4598305
68973214563258,0.24466187,0.12056549,-0.09815716
68973234563258,-0.342265,0.10851579,-0.7179549
68973254563259,-0.16655006,0.038338024,-1.0409579
68973274563258,0.14345028,0.055871017,-1.2392166
68973294563258,0.16807488,0.28056106,-1.7831771
68973314563259,-0.0040541575,0.12082201,-1.2655491
68973334563258,-0.2331069,0.0030145089,0.421783
68973354563258,-0.06899232,0.124979705,1.2248956
68973374563259,0.06441303,-0.24779432,0.99054074
68973394563258,-0.21118577,-0.49526638,0.8811832
68973414563258,-0.6629346,-0.29981816,0.51787466
68973434563259,-0.46709347,-0.07856062,0.52374804
68973454563258,0.18721001,0.024773117,0.022194695
68973474563258,0.4364662,0.20899455,-0.68958133
68973494563259,-0.016283002,0.10568029,-0.35884112
68973514563258,-0.069638334,-0.16906342,0.65550035
68973534563258,0.23850244,0.0745452,0.6049404
68973554563259,0.5578044,0.846932,-0.8065269
68973574563258,0.01822749,0.8620181,-1.2514651
68973594563258,-0.45630002,0.29949126,-0.040843524
68973614563259,-0.19532758,0.025871636,0.10749668
68973634563258,0.23182328,0.22075535,-0.79461664
68973654563258,0.7093011,0.350624,-0.47819802
68973674563259,1.0096654,0.40248802,-0.011777332
68973694563258,0.6630412,0.27053642,0.35784343
68973714563258,-0.2458433,0.03926367,1.0693719
68973734563259,-0.1683224,-0.3672831,1.0367006
68973754563258,0.1424354,-0.20863861,0.8782865
68973774563258,-0.076338984,-0.060702,0.97903913
68973794563259,-0.57826847,-0.24968624,0.96083575
68973814563258,-0.98466766,-0.28938726,-0.07215275
68973834563258,-1.000271,-0.79439294,-0.44169232
68973854563259,-0.42023426,-0.64179134,0.94366056
68973874563258,0.43851718,-0.2102411,1.2244287
68973894563258,1.1274049,0.126492,0.7280264
68973914563259,1.6324579,0.2526191,0.19112603
68973934563258,0.53280455,0.02106367,-7.545209E-4
68973954563258,0.4754066,-0.13227023,0.107798256
68973974563259,0.23369743,0.26146704,0.39210537
68973994563258,-1.2320181,-0.13406402,-0.8887133
68974014563258,0.35066888,-0.47374603,-4.740607
68974034563259,0.41707677,-0.31166103,-5.352454
68974054563258,-0.26034686,-0.43786672,-4.165506
68974074563258,0.5247308,-0.63421994,-3.780833
68974094563258,1.8808606,-1.3315711,-3.9330719
68974114563259,2.3854513,-1.5912509,-4.0328593
68974134563258,0.12970784,-0.39389938,-5.599082
68974154563258,2.8600848,-1.6721351,-3.315748
68974174563259,3.0675046,-1.8969648,-2.7631953
68974194563258,2.683773,-1.7620339,-1.3926857
68974214563258,2.8482523,-2.4406638,0.56817514
68974234563259,2.3831701,-2.0915291,2.9854803
68974254563258,1.5202867,-1.4614419,2.0340822
68974274563258,0.7987439,-1.2334876,2.8976545
68974294563259,-1.0070877,-1.1895467,2.3122153
68974314563258,-20.038284,2.019844,-4.354408
68974334563258,-4.6201887,0.15144242,-7.2080317
68974354563258,12.490941,-3.123939,3.816785
68974374563258,10.213049,-0.55162364,-5.6127543
68974394563258,4.8609695,2.7901397,-9.081841
68974414563258,1.217492,4.367261,-3.775206
68974434563258,-1.0759608,4.205547,-3.1340876
68974454563258,-2.0961936,3.4550686,-1.2693577
68974474563258,-1.0325719,3.4551377,0.3001329
68974494563258,2.6212213,3.1042433,-0.3039302
68974514563258,5.436009,2.5272758,-0.8840092
68974534563258,3.632606,2.521732,-0.2953084
68974554563258,6.095092,2.851082,0.69467384
68974574563258,10.674628,1.17365,0.24405296
68974594563258,10.472553,0.6451747,-2.0032685
68974614563258,10.032129,0.6793352,-3.2411206
68974634562981,12.101864,-0.48520634,-1.310564
68974654562981,12.147206,0.8319564,1.7566897
68974674562981,11.564658,1.0558982,3.2819023
68974694562981,8.869002,-1.3523302,1.862065
68974714562981,5.668303,-0.6055164,0.69450694
68974734562981,2.4217262,-0.0022438273,2.6727197
68974754562981,2.3823519,0.30348134,3.2716916
68974774562981,4.4830103,-1.1494308,2.1481757
68974794562981,5.0948415,-2.8001943,-0.79406834
68974814562981,1.6268344,-3.808494,0.23678572
68974834562981,-0.41354874,-4.413699,2.5124207
68974854562981,1.6865178,-5.6577477,1.6744889
68974874562981,-0.26890805,-5.5740147,2.1224005
68974894562981,-1.8219856,-5.560501,3.0130262
68974914562981,-2.256645,-4.574214,1.5394951
68974934562981,-4.626621,-5.4258122,2.3095682
68974954562981,-3.142172,-4.5722466,2.7309732
68974974562981,-0.7743303,-3.273037,-0.02575756
68974994562981,-0.6347521,-1.3046105,-1.9115183
68975014562981,-1.9398456,-0.5370176,-1.8355544
68975034562981,-1.5033802,0.14005962,-3.425671
68975054562981,1.0727073,-1.5195012,-4.64315
