UPTIMENANO,Ax,Ay,Az
69184834518063,0.38090733,-0.75903976,8.9879675
69184854374320,0.24060066,-0.6906487,9.095547
69184874230575,0.25995475,-0.033046182,10.289002
69184894086831,0.48878157,0.20959039,11.335601
69184913943088,0.81576204,0.41740474,11.588613
69184933796552,0.3882442,0.003212558,10.394662
69184953652680,-0.5378431,-0.19370303,9.102168
69184973508809,-0.30409962,-0.7762007,8.563937
69184993364936,0.2532825,-0.44800565,9.3349285
69185013219047,0.2502998,0.031476714,9.701067
69185033075176,-0.42875835,1.0114028,10.649377
69185052931303,-0.29155868,0.7432133,10.507952
69185072787431,-0.23554982,-0.14896053,9.198516
69185092643432,-0.60344017,-0.15174255,8.711473
69185112499559,0.15821747,-0.45468447,9.161126
69185132349427,0.68742,-1.5324392,9.250046
69185152205428,-0.008336271,-0.31316355,9.318655
69185172061427,0.24671417,-0.09392996,9.924916
69185191917427,1.0005594,0.021221492,10.559308
69185211773428,0.090238914,1.1962299,11.538772
69185231627123,-0.83457613,0.966795,10.38009
69185251482995,-0.2767405,-0.30888027,8.79871
69185271338996,-0.16277133,-0.3254297,8.980381
69185291194867,-0.30064633,0.32152817,9.82033
69185311051678,-0.25215754,-0.03852531,10.075977
69185330907679,0.42702022,-0.6819884,9.72828
69185350763678,0.12969579,0.12591626,9.964008
69185370619550,-0.22960466,0.3091109,10.291954
69185390475551,0.3123985,-0.31230944,9.965897
69185410331550,1.0696858,-0.68139756,10.175212
69185430183704,1.1543007,-0.34608623,10.5446615
69185450039449,0.2680545,-0.11524539,10.162549
69185469895320,-0.2417088,-0.08613757,9.873374
69185489751064,0.25351432,-0.14100718,9.95072
69185509606937,-0.059313685,-0.15992951,9.918318
69185529471213,0.06867184,-0.48129058,9.523165
69185549327213,0.8698652,-0.83502996,9.884102
69185569183214,0.2560221,0.23474874,10.557998
69185589039213,-0.5196482,0.07608959,9.332593
69185608895213,-0.8138728,-0.2861667,8.802154
69185628751214,-1.4511527,0.0620028,9.113961
69185648609243,-0.04505871,0.3655285,9.522262
69185668465371,1.8481324,0.17667036,10.636845
69185688321372,2.1099582,0.07579226,10.794495
69185708177499,1.8511075,0.550283,11.451566
69185728036144,1.4116876,1.3517448,11.942413
69185747892273,0.31054232,2.4222488,11.540111
69185767748400,0.20570089,1.3718144,10.201097
69185787604528,0.3935632,2.1710443,9.668811
69185807460657,-0.11406544,2.7453535,10.004574
69185827306178,-0.023411298,1.5988184,8.831237
69185847162178,0.054177586,0.6408265,7.273347
69185867018051,-1.5071554,-0.35196814,4.9694996
69185886873922,-1.4832562,0.8767931,4.269253
69185906729922,0.2732628,2.654561,6.445467
69185926585795,0.6759606,2.5991287,5.9372067
69185946439484,1.1737605,0.022652758,5.6208196
69185966295228,-1.3010037,-3.888059,10.955721
69185986151101,-2.1841311,-5.070113,16.882065
69186006006972,-1.971509,0.16498993,10.174325
69186025867836,1.7786925,3.4928768,8.320459
69186045723709,4.871977,4.2087746,11.279347
