UPTIMENANO,Mx,My,Mz
69184814665775,43.059578,-33.39644,4.93277
69184834518063,43.059578,-33.39644,4.93277
69184854374320,43.059578,-32.34644,4.93277
69184874230575,43.059578,-32.19644,4.78277
69184894086831,43.059578,-31.596441,4.78277
69184913943088,42.909576,-30.99644,4.78277
69184933796552,42.909576,-30.99644,4.78277
69184953652680,42.909576,-30.54644,4.93277
69184973508809,42.909576,-30.54644,4.93277
69184993364936,42.909576,-30.39644,4.93277
69185013219047,42.909576,-30.39644,4.78277
69185033075176,42.909576,-30.39644,4.3327694
69185052931303,42.909576,-30.39644,3.2827682
69185072787431,42.909576,-30.39644,0.5827713
69185092643432,43.059578,-30.39644,-1.3672295
69185112499559,43.209576,-30.24644,-1.8172302
69185132349427,43.209576,-29.946442,-3.017231
69185152205428,43.209576,-29.946442,-3.4672318
69185172061427,43.209576,-29.946442,-4.517231
69185191917427,43.359573,-29.946442,-3.9172287
69185211773428,43.209576,-29.946442,-4.06723
69185231627123,43.209576,-29.946442,-5.7172318
69185251482995,43.059578,-29.946442,-5.7172318
69185271338996,42.909576,-29.946442,-6.1672287
69185291194867,42.909576,-29.946442,-6.6172295
69185311051678,42.909576,-29.946442,-6.9172287
69185330907679,42.609573,-29.946442,-7.3672295
69185350763678,41.259575,-29.79644,-8.117229
69185370619550,41.409576,-29.34644,-8.417229
69185390475551,41.559578,-29.04644,-8.117229
69185410331550,41.559578,-27.54644,-8.56723
69185430183704,41.559578,-27.99644,-8.417229
69185450039449,41.859573,-27.696442,-8.417229
69185469895320,41.859573,-27.696442,-8.417229
69185489751064,41.559578,-27.84644,-8.417229
69185509606937,41.859573,-27.84644,-8.417229
69185529471213,41.859573,-27.84644,-8.417229
69185549327213,42.009575,-27.84644,-8.417229
69185569183214,42.009575,-27.99644,-8.417229
69185589039213,42.009575,-28.29644,-8.117229
69185608895213,42.009575,-28.89644,-8.117229
69185628751214,42.009575,-29.64644,-7.9672318
69185648609243,42.009575,-29.64644,-7.9672318
69185668465371,42.009575,-29.34644,-7.81723
69185688321372,42.009575,-29.34644,-6.9172287
69185708177499,42.009575,-29.34644,-6.767231
69185728036144,42.009575,-29.34644,-7.9672318
69185747892273,42.009575,-29.04644,-8.56723
69185767748400,42.009575,-27.99644,-9.167229
69185787604528,41.859573,-24.99644,-10.06723
69185807460657,41.409576,-24.39644,-11.417229
69185827306178,40.959576,-22.44644,-14.267231
69185847162178,40.209576,-22.59644,-19.81723
69185867018051,38.559574,-21.84644,-25.967232
69185886873922,36.759575,-20.64644,-29.56723
69185906729922,34.959576,-19.59644,-29.56723
69185926585795,33.159576,-17.79644,-30.917229
69185946439484,33.309574,-15.246441,-31.81723
69185966295228,31.659576,-11.94644,-32.117233
69185986151101,30.909575,-9.096439,-32.867233
69186006006972,30.609575,-4.446438,-33.017235
69186025867836,30.309574,-2.496441,-32.867233
69186045723709,30.009575,-0.5464401,-33.017235
69186065579580,29.859575,2.3035622,-33.16723
69186085435452,30.009575,5.303562,-33.017235
69186105291325,29.409575,7.70356,-32.867233
69186125147324,29.409575,11.45356,-32.56723
69186145000731,29.409575,13.553562,-31.81723
69186164856476,29.109575,16.40356,-30.31723
69186184712347,28.809574,17.303562,-29.267235
69186204568219,27.609575,19.853561,-27.31723
69186224424092,26.709576,19.853561,-24.31723
