UPTIMENANO,Ax,Ay,Az
69184834518063,-0.4263135,3.7146754,8.217313
69184854374320,-0.28261232,3.8200562,8.281978
69184874230575,0.09340577,3.8631666,9.539363
69184894086831,0.13651612,3.9014869,10.655442
69184913943088,0.117355965,3.642825,11.038646
69184933796552,0.1460962,3.7290456,9.70941
69184953652680,0.6011499,4.138594,8.104747
69184973508809,-0.035925295,4.0667434,7.582632
69184993364936,0.32332766,4.0978785,8.396939
69185013219047,0.974773,4.1146436,8.734636
69185033075176,2.2656887,4.4906616,9.4507475
69185052931303,2.4668703,4.6726832,9.11784
69185072787431,1.6765138,4.622388,7.7790236
69185092643432,1.7794995,4.646338,7.1778736
69185112499559,1.5280225,4.7469287,7.699988
69185132349427,0.48139894,5.0606766,7.9083548
69185152205428,1.8633252,4.9576907,7.673643
69185172061427,2.2728736,5.079837,8.222102
69185191917427,2.320774,4.84752,9.144185
69185211773428,3.9781277,5.4175344,9.455538
69185231627123,4.133804,5.5803957,7.8197393
69185251482995,2.565066,5.087022,6.71803
69185271338996,2.562671,5.1157618,6.9311867
69185291194867,3.7098854,5.518125,7.2401443
69185311051678,3.544629,5.8438478,7.407796
69185330907679,2.6225464,5.52052,7.6113725
69185350763678,3.5733693,5.489385,7.510782
69185370619550,3.9589674,5.8175025,7.5203614
69185390475551,3.1159205,5.5803957,7.6592727
69185410331550,2.6201515,5.3935843,8.3179035
69185430183704,2.9841945,5.372029,8.653206
69185450039449,3.3338673,5.6498513,7.767049
69185469895320,3.3937428,5.8510327,7.197034
69185489751064,3.271597,5.604346,7.549102
69185509606937,3.3410523,5.8055277,7.316785
69185529471213,2.8668385,5.6666164,7.1132083
69185549327213,2.3327491,5.503755,7.9634404
69185569183214,3.7027004,5.815108,8.004155
69185589039213,3.3458424,5.704937,6.605464
69185608895213,3.0991554,5.7935524,5.9204884
69185628751214,3.7170706,6.2342362,5.7001467
69185648609243,3.7314405,5.398374,6.9096317
69185668465371,3.1494508,4.727769,9.182506
69185688321372,3.0249097,4.6918435,9.477093
69185708177499,3.4895437,4.8594947,9.953702
69185728036144,4.6104126,5.039121,9.989627
69185747892273,5.8103175,5.0271463,8.950189
69185767748400,4.82357,5.0367265,7.573052
69185787604528,5.973179,4.6966333,6.373147
69185807460657,6.74198,4.9385304,6.1480155
69185827306178,5.5780005,4.88584,5.0558863
69185847162178,4.3493557,4.505032,3.755391
69185867018051,2.3806496,4.358936,1.5567628
69185886873922,2.7973828,3.5949244,0.6682105
69185906729922,5.7145166,3.4655933,1.9998415
69185926585795,5.4750147,2.8644435,2.069297
69185946439484,3.417693,2.8596535,3.6212697
69185966295228,3.2165112,7.9826,7.9227247
69185986151101,5.647456,12.228971,11.577525
69186006006972,5.8175025,6.6413894,5.4295096
69186025867836,8.250843,1.2549903,3.8655617
69186045723709,11.304493,-0.54366946,6.3707523
69186065579580,9.474698,0.58198977,8.636441
69186085435452,7.3455253,0.19160157,10.688972
69186105291325,6.0617948,0.79754156,10.044712
69186125147324,6.588699,0.6466553,9.261541
69186145000731,7.31918,0.33769777,9.843531
69186164856476,6.246211,0.76401126,11.014695
69186184712347,4.703819,0.9915381,8.396939
69186204568219,1.1663746,0.08861572,5.43909
69186224424092,2.9458742,-1.2094849,4.167334
69186244289295,9.750125,-1.3100758,1.6860938
69186264145423,12.746294,-0.8765772,1.4322218
69186284001424,6.943162,-2.936294,3.8440065
69186303857551,1.7004639,-3.532654,5.144502
69186323715068,1.8705103,-5.5540504,3.2739918
69186343571197,-9.3381815,-6.816226,15.893351
69186363427324,-16.312479,-4.888235,22.877228
69186383283452,1.1783496,-9.062755,8.064031
69186403139581,-0.3305127,-4.4188113,10.459051
69186422995580,-3.5087037,-5.237908,10.138118
69186442853049,1.8896705,-7.3575,10.083033
69186462709178,3.8344264,-5.767207,8.337064
69186482565305,5.8342676,-1.2813355,5.5492606
69186502421561,5.4223247,0.8214917,3.1255007
69186522277690,-8.145462,-6.133645,8.190968
69186542137517,-12.2433405,-10.514136,15.002403
69186561993773,-2.339934,-6.7395854,13.50312
69186581850029,2.6536818,-5.484595,10.815908
69186601706285,0.5556446,-6.4282327,7.9394903
69186621562541,-2.4884255,-3.0728102,6.4138627
69186641409141,13.596526,-7.038963,5.8103175
69186661265141,2.6417067,-7.6089773,9.050779
69186681121141,-5.3049684,-6.8186207,11.464959
69186700977141,1.8633252,-7.082073,8.155042
69186720833141,3.4871485,-1.3579761,8.552615
69186740689269,3.6045046,4.514612,9.189691
69186760547396,1.5735279,2.8740237,7.8844047
69186780403396,1.2909156,1.84177,4.9313455
69186800259396,3.887117,3.427273,1.1711646
69186820115396,3.9374123,3.3745828,3.2692018
69186839971396,1.6573536,2.2417383,3.781736
69186859784559,3.1422658,-0.92926764,2.6584718
69186879639791,4.497847,-1.6166383,6.6605496
69186899495023,4.8427296,0.15328126,4.4499464
69186919350127,5.110972,2.1171973,3.417693
69186939205359,5.8917484,3.523074,8.380174
69186959059536,8.210127,1.7938697,4.040398
69186978914640,11.972703,-1.3699512,2.0357666
69186998769744,12.969031,-0.9029224,5.846243
69187018624848,12.521163,-1.4274317,7.790999
69187038479952,12.923526,-3.9445972,14.010865
