UPTIMENANO,Gx,Gy,Gz
69184804737583,0.01509329,0.2841383,-0.16617163
69184814665776,-0.028582552,0.44872165,-0.17203058
69184824593969,-0.087704726,0.535008,-0.12515894
69184834518063,-0.18357854,0.53820384,-0.047927264
69184844446256,-0.30129024,0.4167637,-0.004784053
69184854374321,-0.3513577,0.22075503,-0.0026535245
69184864302511,-0.30448604,0.021017948,-0.01809986
69184874230576,-0.19103539,-0.18511073,-0.03674199
69184884158769,-0.024321495,-0.3795215,-0.061775703
69184894086831,0.17435032,-0.55475754,-0.08840731
69184904015024,0.42948115,-0.7262651,-0.12036525
69184913943089,0.6941994,-0.83651996,-0.13900737
69184923868488,0.8768922,-0.913219,-0.13421369
69184933796553,0.9674397,-1.0080274,-0.12356104
69184943724618,0.9610481,-1.1662192,-0.14113791
69184953652680,0.88221854,-1.3494447,-0.20611905
69184963580745,0.7559847,-1.3712827,-0.23221803
69184973508810,0.61643505,-1.3584995,-0.21197799
69184983436872,0.5621066,-1.3883269,-0.13687685
69184993364937,0.5615739,-1.3893921,-0.047394633
69185003293002,0.55145395,-1.4266764,0.011194914
69185013219047,0.55145395,-1.444786,0.045816008
69185023147112,0.58927083,-1.3254763,0.03516336
69185033075177,0.6611762,-1.2141562,-0.04153568
69185043003239,0.7522563,-1.220015,-0.14966002
69185052931304,0.82789004,-1.2296025,-0.2519254
69185062859369,0.81936795,-1.2557014,-0.33554867
69185072787431,0.7591805,-1.2242762,-0.34140763
69185082715368,0.6750246,-1.0543665,-0.27855703
69185092643433,0.555715,-0.8008336,-0.20824957
69185102571495,0.4135022,-0.6458376,-0.15978004
69185112499560,0.32348734,-0.6889808,-0.14539897
69185122427625,0.2814094,-0.7225367,-0.12515894
69185132349427,0.25531042,-0.6639471,-0.0026535245
69185142277364,0.20950405,-0.60482496,0.10334029
69185152205429,0.14399028,-0.5584859,0.13423295
69185162133363,0.096586026,-0.43970892,0.1448856
69185172061428,0.068356514,-0.40721834,0.15340771
69185181989365,0.08380285,-0.5877807,0.16352773
69185191917427,0.19139455,-0.8642168,0.14967929
69185201845364,0.35651055,-1.3110952,0.00799912
69185211773429,0.50671285,-1.7851379,-0.21623905
69185221699187,0.5754224,-1.9140348,-0.38508347
69185231627124,0.57808554,-1.6684915,-0.4500646
