UPTIMENANO,Ax,Ay,Az
69286680258414,0.39776483,-0.68409324,0.29745588
69286700258414,0.24305227,-0.48793492,-0.019029558
69286720258415,-0.14369412,-0.028042842,-0.19339924
69286740258414,0.1368655,-0.04521196,0.2720107
69286760258414,0.45218885,-0.6814684,0.60497886
69286780258415,0.50424415,-0.81579196,0.45636302
69286800258414,0.39632174,-0.312341,0.15990824
69286820258414,0.18630922,-0.16539505,0.7031441
69286840258415,0.45028946,-0.2600584,0.33222774
69286860258414,0.75305843,0.05201265,-0.8844114
69286880258414,0.1028265,1.2030193,0.047682457
69286900258415,-0.11326969,1.813608,1.8979079
69286920258414,0.42178595,1.185114,1.1653737
69286940258414,0.38658178,0.09837248,-0.08587435
69286960258415,-0.2894458,-0.9653513,-0.91807956
69286980258414,-1.0519289,-2.6924732,-2.5529077
69287000258414,-0.37551516,-3.1930466,-2.2654212
69287020258415,0.54785347,-1.3836935,1.0235503
69287040258414,0.69515085,-0.32881737,2.2184103
69287060258414,0.17281538,1.3720835,1.3233407
69287080258415,0.17615098,1.7446871,0.30462828
69287100258426,0.31956893,-0.89870703,-0.50622874
69287120258426,0.61949456,-1.5320759,-0.18908823
69287140258427,0.13209836,0.26310945,-0.5325084
69287160258426,-1.755579,1.1951038,-1.2470556
69287180258426,-1.8517963,0.3755179,-0.7160646
69287200258427,-1.1022809,0.046001613,-0.23353359
69287220258426,-1.2160374,1.0106711,-0.40742624
69287240258426,-0.76651907,1.4135783,-0.69685054
69287260258427,0.1105919,0.6147911,-0.5187601
69287280258426,0.58518803,-0.4602604,0.23848587
69287300258426,0.8696554,-1.2108823,0.9394384
69287320258427,1.1682554,-1.0150626,1.4612715
69287340258426,0.56265694,0.05394051,1.3570721
69287360258426,-0.21901315,0.6912844,0.74083674
69287380258427,0.05156336,-0.017633382,0.9126558
69287400258426,0.4813322,-0.5179472,0.89392936
69287420258426,0.40257332,0.14704773,0.14912201
69287440258426,0.13168803,0.6679722,-0.553462
69287460258427,0.17703608,0.31665167,-0.65922695
69287480258426,0.39281827,-0.13026546,-0.5782799
69287500258426,0.20728794,-0.27048492,-0.6680859
69287520258427,-0.49354744,-0.025187446,-1.5756007
69287540258426,-1.5004097,0.7527273,-4.262287
69287560258426,-1.690919,2.223723,-5.329407
69287580258427,-1.4842005,2.5223,-3.986917
69287600258426,-0.9107118,1.9307004,-2.7617035
69287620258426,0.109213494,0.31771442,-3.2555475
69287640258427,0.37473246,-0.8211427,-3.4896603
69287660258426,0.67505264,-0.8367804,-2.9830081
69287680258426,1.3932291,-0.36459437,-2.3025296
69287700258427,1.2942946,0.531655,-1.3613325
69287720258426,1.3683454,1.0288233,0.46278554
69287740258426,1.693054,1.1547871,2.6967676
69287760258427,1.1980584,1.9335597,3.7938693
69287780258426,0.61252564,2.3579543,3.299112
69287800258426,0.9087108,1.5202789,1.5700289
69287820258427,1.0980067,0.5230481,0.5704099
69287840258426,0.9928567,-0.014645147,1.4354547
69287860258426,0.7826683,-0.29438186,3.0835977
69287880258427,0.08355385,0.11763483,4.3813334
69287900258426,-0.67619383,0.4093886,5.463612
69287920258426,-0.2728263,-0.75507796,3.502314
