UPTIMENANO,Ax,Ay,Az
69286680258414,-0.79891443,-0.036071096,0.27407107
69286700258414,-0.5409944,-0.062371667,-0.030851116
69286720258415,0.03654167,0.07695264,-0.22711374
69286740258414,-0.105195194,-0.022733016,0.28841516
69286760258414,-0.8149748,0.011740976,0.6087297
69286780258415,-0.9548232,-0.035855398,0.46375984
69286800258414,-0.43500045,-0.19795288,0.22756916
69286820258414,-0.20636284,0.1130315,0.7078958
69286840258415,-0.39358842,-0.20732194,0.4276354
69286860258414,-0.24672595,-0.96723676,-0.5962931
69286880258414,1.1038527,-0.485163,0.07892081
69286900258415,1.9558259,0.07551779,1.7530265
69286920258414,1.1688212,-0.39457768,1.1910752
69286940258414,-0.029228754,-0.40381914,0.050722603
69286960258415,-1.0133483,0.28140837,-0.86745954
69286980258414,-2.8087223,1.00732,-2.4432955
69287000258414,-3.436635,0.7815709,-1.7456743
69287020258415,-1.1761488,0.25822866,1.3462535
69287040258414,0.15094112,0.07519515,2.34185
69287060258414,1.6615691,-0.29985702,0.9016549
69287080258415,1.6329976,-0.6998546,-0.106216475
69287100258426,-1.0730001,-0.09192768,-0.0792871
69287120258426,-1.5843389,0.008740248,0.5065354
69287140258427,-0.018518317,-0.36418417,-0.4871024
69287160258426,1.0211263,0.7152437,-2.1239603
69287180258426,0.5927103,1.2361685,-1.4844166
69287200258427,0.27237025,0.8649833,-0.670295
69287220258426,1.0747973,0.52503306,-1.1114628
69287240258426,1.2108486,-0.092828356,-1.2635603
69287260258427,0.3205171,-0.48864254,-0.56374466
69287280258426,-0.4901214,-0.26217315,0.54973304
69287300258426,-1.0114895,-0.035480976,1.442467
69287320258427,-0.7445399,-0.23375653,1.9802791
69287340258426,0.3410437,-0.14548181,1.4225543
69287360258426,0.92968786,0.14515555,0.43507513
69287380258427,0.27229106,0.22313236,0.8437889
69287400258426,-0.29091647,0.036470145,1.1014068
69287420258426,0.09412255,-0.36094928,0.25842255
69287440258426,0.41137356,-0.52136606,-0.5734091
69287460258427,0.043599814,-0.48381966,-0.57463706
69287480258426,-0.36759254,-0.51471734,-0.32499954
69287500258426,-0.43852076,-0.3693539,-0.48347318
69287520258427,-0.24910976,-0.1705942,-1.6234479
69287540258426,0.34741756,-0.5561397,-4.533754
69287560258426,1.7207646,-0.8821519,-5.698027
69287580258427,2.1628091,-0.6497199,-4.4000545
69287600258426,1.7136877,-0.412483,-3.0128288
69287620258426,0.10531626,-0.9023141,-3.1442325
69287640258427,-1.0685463,-1.0696743,-3.272069
69287660258426,-0.96039134,-1.1382173,-2.7993467
69287680258426,-0.34163383,-1.497383,-2.2398193
69287700258427,0.5265436,-1.3818299,-1.2745117
69287720258426,0.95818233,-1.4081312,0.49403414
69287740258426,1.0061632,-1.9743398,2.5616672
69287760258427,1.6412283,-1.5892944,3.7878697
69287780258426,2.0680199,-0.98515946,3.4017684
69287800258426,1.4710552,-1.0385603,1.536028
69287820258427,0.6116601,-1.1260014,0.40318462
69287840258426,0.07167587,-1.3098598,1.1513643
69287860258426,-0.21510573,-1.8077137,2.6255865
69287880258427,-0.04995584,-1.5052807,4.11686
69287900258426,-0.013199339,-1.1316937,5.4032393
69287920258426,-0.5271705,-1.2214406,3.3378072
69287940258427,-0.49415776,0.054097295,-4.3913627
69287960258426,-3.236424,0.6297024,-4.2434354
69287980258426,-8.593353,2.5001545,-5.623866
69288000258427,-0.80107015,3.71075,-7.209141
69288020258426,6.658207,2.2237132,-6.0860953
69288040258426,5.728028,2.2210166,-5.7597733
69288060258427,5.2439814,1.5465679,-2.7840493
69288080258426,1.4730403,1.784859,1.7364726
69288100258426,-3.4349332,4.0800796,-0.3568301
69288120258427,-2.4259124,4.271963,-4.1072793
69288140258426,1.9088777,2.1501133,-4.8807635
69288160258426,3.7022634,-0.03935227,-3.8359866
69288180258427,3.9352856,-1.3248196,-2.0154579
69288200258426,4.96318,-1.8665593,-0.72936004
69288220258426,5.2706723,-2.1133816,-2.4897482
69288240258426,3.6908052,-2.940056,-1.9437344
69288260258426,1.4561571,-1.202736,-1.6772381
69288280258426,5.177229,0.14489019,0.049297057
69288300258426,6.487934,0.5084626,0.31884393
69288320258426,6.548596,0.48709008,-2.2401168
69288340258426,9.450457,1.7859871,-3.6134477
69288360258426,10.5352545,-0.20227973,-0.51920897
69288380258426,8.265485,-2.7938662,-0.13646983
69288400258426,5.913851,-2.856847,-1.0784539
69288420258426,6.534728,-2.8568473,0.9694822
69288440258426,6.660879,-3.2104285,2.4501712
69288460258426,4.1664,-3.1425095,1.3761836
69288480258426,-0.37712762,-2.7884328,4.3251567
69288500258426,-2.0774443,-3.8702166,5.5007267
69288520258426,-2.5497391,-2.6683087,1.4210938
69288540258426,-5.4067607,-2.0658352,0.96809304
69288560258426,-7.6866984,-1.0870152,0.2482668
69288580258426,-5.604269,-2.2359014,-0.85668314
69288600258426,-3.5498712,-6.1294303,-1.9963673
69288620258426,1.3146365,-5.4028955,-3.3140402
69288640258426,0.2843909,-5.5481625,-2.6977668
69288660258426,2.9303508,-3.3897767,-3.5944083
69288680258426,-0.32652682,-1.7021793,-1.0637032
69288700258426,-0.1265597,0.83566236,0.9267777
69288720258426,2.4112437,1.7858578,-1.0433995
69288740258426,4.4435253,2.1919212,-5.4434714
69288760258426,7.313664,4.093802,-6.2771454
69288780258426,4.9095783,-0.25110826,-2.6702425
69288800258426,-1.7878579,7.3623357,-1.7480848
69288820258426,-6.429651,6.137443,1.3295635
69288840258426,-3.6212916,-1.1576614,0.07252539
69288860258426,-1.5696087,-3.0934665,-0.4806659
69288880258426,-1.7589868,-2.8301697,-0.3409628
69288900258426,-1.9613541,-2.7391703,-0.80341005
69288920258426,0.046436694,-2.8715162,-2.2627275
69288940258426,0.38380527,-2.7917898,-2.8078792
69288960258426,-1.3358452,1.1296154,-1.8247176
69288980258426,0.5310958,4.1830215,-0.8395557
69289000258426,1.8751013,2.4278295,-0.017895583
69289020258426,2.5051396,2.1182253,0.6104669
69289040258426,1.2797158,1.3615826,0.56430054
69289060258426,-0.3872282,0.32363644,0.12687458
69289080258426,0.60616034,0.27223814,0.5177269
69289100258426,2.510007,0.3048091,0.62820095
69289120257496,0.9511945,-0.67352915,-0.17172216
69289140257496,-1.2489263,-1.0168732,-0.6594675
69289160257496,1.9519368,-1.95844,-0.02586713
69289180257496,2.285314,-2.6796427,0.4143282
69289200257496,0.67946637,2.2695618,-2.1358552
69289220257496,-1.0495143,12.699528,-2.5201323
69289240257496,1.4779162,5.036935,1.9168466
69289260257496,4.196994,0.7871667,-0.33333087
69289280257496,2.9861126,-1.1179583,-0.08617202
69289300257496,-0.4019576,-3.132801,-0.8231386
69289320257496,-2.3909903,-2.2898476,-2.2696128
69289340257496,0.023847926,-0.2842016,-1.2411658
69289360257496,1.322318,0.99282956,0.4190212
69289380257496,1.4353833,0.5443171,2.537783
69289400257496,1.7135401,0.15215787,1.2969685
