UPTIMENANO,P
69381138046423,1017.25214
69381237222247,1017.2509
69381336306496,1017.2568
69381435512845,1017.2541
69381534841294,1017.2582
69381633650818,1017.2642
69381732948743,1017.25854
69381832124567,1017.25574
69381931330916,1017.25903
69382030720415,1017.2557
69382130018340,1017.2567
69382229011014,1017.2607
69382328278413,1017.2559
69382427454237,1017.25616
69382527026887,1017.2553
69382626569011,1017.25195
69382725805438,1017.2545
69382824859162,1017.25146
69382924096037,1017.2557
69383023119236,1017.2645
69383122569785,1017.27124
69383221592984,1017.28046
69383320280408,1017.2917
69383419456232,1017.2975
69383518479431,1017.29224
69383617533155,1017.28925
69383716617404,1017.2864
69383815854278,1017.2902
69383914908002,1017.2768
69384014053302,1017.27026
69384112893350,1017.2584
69384216129004,1017.252
69384311550249,1017.23175
69384410726073,1017.2339
69384509810322,1017.2378
69384609871372,1017.22974
69384708620746,1017.22504
69384807552370,1017.2167
69384906453469,1017.2015
69385006239794,1017.1935
69385104621967,1017.1836
69385203828316,1017.1631
69385303126241,1017.1431
69385402515740,1017.12964
69385501416839,1017.113
69385600592663,1017.0861
69385700134788,1017.0659
69385800104263,1017.0353
69385899249562,1017.0098
69385998544958,1016.9934
69386097934459,1016.9748
69386197293434,1016.95825
69386296682933,1016.93445
69386396164008,1016.92316
69386495645083,1016.90485
69386595034584,1016.89014
69386694485133,1016.8803
69386793935684,1016.8598
69386893386233,1016.8463
69386992836782,1016.83093
69387092348383,1016.8128
69387191737882,1016.7978
69387291218957,1016.7808
69387390730556,1016.7621
69387490150581,1016.74896
69387589601130,1016.7269
69387688899055,1016.69824
69387788410656,1016.6848
69387887800155,1016.666
69387989265358,1016.6477
69388086914931,1016.63074
69388185754980,1016.61584
69388285724455,1016.5954
69388385602356,1016.57825
69388485022381,1016.5596
69388584472930,1016.54614
69388683892955,1016.5224
69388783343506,1016.5121
69388882855105,1016.50226
69388982305642,1016.4887
69389081695141,1016.4785
69389180993066,1016.4615
69389280504665,1016.44604
