UPTIMENANO,Ax,Ay,Az
69381069818939,-1.0753639,4.806804,7.807764
69381089675580,-1.1975098,4.7133985,7.893985
69381109532219,-1.5184424,4.864285,9.050779
69381129388859,-1.7771046,4.6990285,9.72857
69381149245500,-1.6166383,4.478687,9.048384
69381169096952,-1.3196558,4.600833,8.111932
69381188953464,-1.096919,4.766089,7.695198
69381208810105,-1.4058765,4.7253737,8.011341
69381228666616,-1.6525636,4.5577226,8.411309
69381248518814,-1.7004639,4.4667115,8.744217
69381268375199,-1.6118482,4.394861,8.911868
69381288231582,-1.4178516,4.4619217,8.53106
69381308087966,-1.2454102,4.5457473,8.044871
69381327944351,-1.2310401,4.7014236,8.095166
69381347800734,-1.2502003,4.8139896,8.032896
69381367654491,-0.74006104,4.399651,9.618399
69381387510748,-1.0035132,4.3301954,10.7799835
69381407367131,-1.954336,4.3541455,9.718989
69381427223387,-2.6153615,4.0906935,9.17053
69381447079644,-2.074087,3.661985,8.787327
69381466934631,-1.3699512,4.4403663,9.764495
69381486790887,-0.28740236,5.3289185,8.976534
69381506647144,0.613125,4.392466,8.143066
69381526503527,-0.55324954,3.1973512,9.453142
69381546360280,0.80712163,2.7063723,9.517808
69381566216409,3.06802,3.791316,9.2184305
69381586072664,1.6621436,4.478687,9.115445
69381605928920,-4.87147,6.543194,6.69408
69381625785177,-3.302732,5.9324636,6.4066777
69381645641432,2.5818312,4.5529323,6.957532
69381665497617,2.4980054,4.960086,8.267608
69381685353874,1.9447559,4.988826,9.302257
69381705210001,2.201023,4.727769,9.80521
69381725066257,2.0285816,4.167334,8.461604
69381744922386,1.9255958,4.2272096,7.781419
69381764781786,2.3064039,4.2176294,8.411309
69381784638042,2.5938063,4.24158,8.614885
69381804494299,2.083667,4.0835085,7.7718387
69381824350554,0.9532178,4.5481424,8.672366
69381844210449,0.65384036,3.908672,8.54064
69381864066706,2.0285816,3.899092,9.15616
69381883922961,2.3423293,4.3373804,9.484278
69381903779345,2.0118165,4.3445654,9.457932
69381923635602,1.101709,4.718189,8.847202
69381943491857,1.6525636,4.754114,8.720266
69381963351648,2.3519094,4.5313773,8.988508
69381983208033,2.335144,4.471502,7.544312
69382003064416,1.8130299,4.5888577,7.062913
69382022920800,1.6286134,4.6846585,7.561077
69382042777057,2.2585034,4.7014236,7.3694754
69382062641831,2.315984,4.4116263,8.210127
69382082498343,2.088457,4.129014,9.908196
69382102354984,2.0046315,3.9924977,9.78605
69382122211495,2.4716604,4.030818,8.701106
69382142068135,2.1722827,4.138594,8.696317
69382161924648,1.9902613,4.1242237,9.268726
69382181736775,2.4213648,3.67875,9.929751
69382201592519,2.1674929,3.5134938,9.788445
69382221448264,2.2632935,3.8368216,9.048384
69382241304007,2.5195606,3.9398074,8.198153
69382261171741,2.7207422,3.9565725,7.9538603
69382281027742,2.0501368,3.6332448,8.083191
69382300883613,1.9184108,2.931504,7.4269557
69382320739613,2.2656887,3.8296363,6.1767554
69382340595614,1.7339942,3.6116896,5.836663
69382360461389,0.4263135,3.3721876,7.862849
69382380317645,-1.3915064,3.4727786,10.3872
69382400173774,0.17483643,3.1231055,8.899893
69382420030029,1.7723145,2.8380983,7.431746
69382439886157,1.5495777,2.3854396,8.080796
69382459742286,1.7507594,2.2489235,9.09868
69382479607556,1.6669337,2.3782544,9.599238
69382499463940,0.6945557,1.9734962,9.484278
69382519320325,0.10777588,1.9375709,9.177715
69382539176580,0.3065625,2.1483326,8.995694
69382559048531,0.7065308,1.9375709,8.643626
69382578905172,1.343606,1.3675562,8.54064
69382598761811,2.0261867,1.5232325,9.364527
69382618618451,1.7172291,1.3100758,10.157278
69382638475220,1.1615845,1.1112891,10.063872
69382658336205,0.80233157,0.89573735,9.6758795
69382678192973,1.0226734,0.6227051,9.187295
69382698049614,1.7531544,0.7161109,8.837623
69382717905934,1.2717555,0.53169435,9.062755
69382737762702,0.081430666,-0.6777906,9.311836
69382757619471,0.18920656,-1.1999048,9.901011
69382777481498,0.9987232,-1.094524,10.607542
69382797338394,0.24668702,-1.5950831,9.16095
69382817195163,-1.453777,-2.3878345,1.7483643
69382837052058,-0.7424561,-2.802173,6.200706
69382856907002,-2.936294,-2.9865894,10.140513
69382876763771,4.624783,-3.5757644,9.941727
69382896620666,6.222261,-4.2128396,6.8737063
69382916477434,7.3958206,-2.574646,2.931504
69382936334203,9.637559,-4.8355446,3.1901662
69382956191098,6.502478,-6.7563505,7.807764
69382976039680,5.829478,-5.230723,7.3311553
69382995896321,5.7959476,-3.4416432,7.790999
69383015753088,8.248447,-1.4082716,6.4426026
69383035609728,12.846886,-2.1195924,2.5195606
69383055466368,12.401412,-1.6836988,0.85741705
69383075314304,12.056529,-1.0154883,0.4143384
69383095170816,13.35942,-2.064507,1.590293
69383115027328,16.03226,-2.0118165,0.90052736
69383134883840,13.196558,-0.15567628,-1.4513819
69383154740352,12.216995,0.8047266,-0.122146
69383174595169,10.152488,1.3819263,0.79993653
69383194451681,8.468789,3.1135256,0.19160157
69383214308193,10.44468,4.926555,-0.07664063
69383234164577,13.026512,6.5360084,-2.8452833
69383254021089,12.681629,6.3994923,-1.710044
69383273878314,12.022999,5.6282964,0.91250247
69383293734826,13.598922,6.6102543,3.0009596
69383313591338,15.098204,7.082073,3.5134938
69383333447850,14.377303,5.944439,1.092129
69383353304490,14.63357,4.91937,0.09580079
69383373162623,11.098521,5.479805,1.9974464
69383393019135,9.520203,6.2581863,4.176914
69383412875775,9.968072,4.993616,2.1124072
69383432732415,11.711646,2.8500733,-0.5292993
69383452588927,9.513018,2.9865894,0.9148975
69383472443257,8.413704,1.9279908,0.41912845
69383492299897,9.251961,0.09101075,-2.1411476
69383512156537,8.440049,-0.9580079,-0.43349856
69383532013049,6.1144853,-0.41194338,1.465752
69383551869689,5.1684523,1.8776954,2.1171973
69383571728438,4.4259963,1.8537452,3.4943337
69383591585206,6.9311867,-0.74006104,3.0057497
69383611441846,10.159674,-5.3480787,0.016765138
69383631298614,10.150093,-5.508545,-1.1855347
69383651155254,14.300662,0.1341211,-3.6883302
69383671012594,12.652888,-0.74006104,-2.806963
69383690869362,11.512859,-0.97237796,0.7951465
69383710726130,10.98835,0.7113208,1.8561403
