UPTIMENANO,Mx,My,Mz
351460223667669,-7.5324574,-13.811785,-16.224987
351460243529453,-7.5324574,-13.811785,-16.224987
351460263384430,-7.5324574,-14.261784,-16.224987
351460283239533,-7.5324574,-14.261784,-16.224987
351460303094509,-7.682457,-14.261784,-16.674988
351460322949614,-7.682457,-14.261784,-16.974987
351460342804589,-7.682457,-14.261784,-16.974987
351460362665138,-8.282457,-14.261784,-17.274986
351460382520243,-8.882458,-14.261784,-17.274986
351460402375474,-9.632458,-14.261784,-17.274986
351460422230578,-9.932459,-14.261784,-17.274986
351460442085811,-9.782457,-14.261784,-16.974987
351460461944582,-9.482458,-14.261784,-16.974987
351460481799942,-9.482458,-14.261784,-16.224987
351460501655303,-9.482458,-14.261784,-16.224987
351460521510662,-9.482458,-14.261784,-16.224987
351460541363656,-9.482458,-14.261784,-16.224987
351460561219017,-9.3324585,-14.261784,-16.374989
351460581074376,-9.182457,-14.261784,-16.374989
351460600929736,-9.182457,-14.261784,-16.224987
351460620785097,-9.182457,-14.261784,-16.224987
351460640640456,-9.182457,-14.261784,-16.074986
351460660488398,-9.3324585,-14.261784,-16.074986
351460680343503,-9.482458,-14.561785,-16.074986
351460700198606,-9.482458,-14.711784,-16.074986
351460720053710,-9.482458,-14.711784,-16.074986
351460739908815,-9.482458,-15.311785,-16.074986
351460759758822,-9.482458,-15.611784,-16.224987
351460779613798,-9.632458,-15.611784,-16.224987
351460799468903,-9.632458,-15.911785,-16.224987
351460819323878,-9.932459,-16.211784,-16.074986
351460839178165,-10.232458,-15.911785,-16.074986
351460859033142,-10.232458,-15.911785,-15.774986
351460878888117,-10.382458,-15.911785,-15.624989
351460898743093,-10.232458,-15.911785,-15.474987
351460918598070,-10.232458,-15.911785,-14.724987
351460938453045,-10.532457,-15.911785,-14.724987
351460958301700,-10.382458,-15.911785,-14.724987
351460978156549,-10.532457,-15.461784,-14.724987
351460998011268,-10.532457,-15.761784,-15.024986
351461017866116,-10.682459,-15.911785,-14.724987
351461037720837,-10.682459,-15.911785,-14.5749855
351461057567388,-10.682459,-15.911785,-14.5749855
351461077422108,-10.682459,-15.911785,-14.5749855
351461097276701,-10.682459,-15.911785,-14.5749855
351461117131292,-10.682459,-15.911785,-14.5749855
351461136989604,-10.682459,-15.911785,-14.724987
351461156844197,-10.682459,-15.761784,-14.724987
351461176706596,-10.682459,-15.761784,-14.724987
351461196561444,-10.682459,-15.761784,-14.724987
351461216416165,-10.982458,-15.611784,-14.724987
351461236271012,-11.732458,-15.611784,-15.024986
351461256120801,-12.032457,-15.611784,-14.724987
351461275975522,-12.182459,-15.611784,-14.724987
351461295830241,-12.482458,-15.611784,-14.724987
351461315684961,-13.8324585,-15.461784,-14.724987
351461335539682,-13.8324585,-15.461784,-14.724987
351461355395710,-13.8324585,-15.461784,-14.724987
351461375250430,-13.8324585,-15.461784,-14.724987
351461395105151,-13.982458,-15.461784,-14.724987
351461414959742,-13.982458,-15.611784,-14.724987
351461434814462,-13.982458,-15.761784,-14.724987
351461454669183,-13.982458,-15.761784,-14.5749855
351461474513345,-13.982458,-15.911785,-14.424988
351461494367681,-13.982458,-16.211784,-13.974987
351461514222146,-13.982458,-16.361784,-13.374985
351461534076609,-14.132458,-16.811785,-10.674988
351461553935872,-14.282457,-18.911785,-10.524986
351461573790465,-14.732458,-19.061785,-9.924988
351461593645056,-15.182459,-19.961784,-10.8249855
351461613499520,-15.3324585,-20.561785,-11.724987
351461633354113,-16.532457,-22.811785,-12.174988
351461653214414,-16.982458,-22.211784,-12.3249855
351461673069134,-16.982458,-22.361784,-13.8249855
351461692923727,-16.382458,-22.511784,-16.374989
351461712778318,-16.232458,-22.361784,-21.324986
351461732632910,-15.932459,-22.061785,-29.574986
351461752487503,-15.782457,-21.311785,-34.22499
351461772343197,-15.182459,-19.961784,-35.72499
351461792197789,-15.182459,-17.561785,-35.874985
351461812052510,-16.532457,-12.311785,-35.274986
351461831907101,-18.48246,-5.861782,-34.674988
351461851764808,-19.382458,1.0382156,-34.22499
351461871619529,-20.28246,3.7382164,-34.07499
351461891474248,-23.582458,8.088215,-32.424988
351461911328968,-29.432457,10.638218,-30.024986
351461931183561,-40.382458,11.238216,-23.424988
351461951038280,-43.53246,10.188217,-10.674988
351461970902521,-46.23246,8.688217,-1.8249855
351461990757370,-44.73246,7.188217,5.6750145
351462010612345,-43.382458,0.8882179,12.125015
351462030467321,-40.68246,-6.0117836,14.525015
351462050322170,-37.98246,-9.761784,14.975014
351462070186361,-36.78246,-13.811785,14.525015
