UPTIMENANO,Gx,Gy,Gz
351460213740373,0.2342189,-0.15944977,-0.09822684
351460223667670,0.29334107,-0.075293876,-0.1866438
351460233595095,0.23794731,-0.12589394,-0.24150492
351460243529453,0.061646048,-0.32989207,-0.2628102
351460253457006,-0.15353736,-0.5919471,-0.27719125
351460263384431,-0.25846595,-0.85719794,-0.29157233
351460273311981,-0.18336478,-1.119253,-0.30808392
351460283239534,0.023296528,-1.3301754,-0.32193238
351460293167087,0.24540417,-1.4404303,-0.28997445
351460303094509,0.33115795,-1.6449611,-0.11633634
351460313022062,0.3684422,-1.7791845,0.06955231
351460322949615,0.46218547,-1.6167315,0.17501348
351460332877037,0.45472863,-1.4766493,0.22348301
351460342804590,0.26511154,-1.5703926,0.24105988
351460352732143,0.13035561,-1.3695902,0.18726403
351460362665138,0.19906516,-0.9056675,0.11003236
351460372592691,0.2512631,-0.54933655,-0.002353043
351460382520244,0.19427148,-0.31124994,-0.052420475
351460392447922,0.072831325,-0.011378006,-0.0066141007
351460402375475,-0.066718325,0.25440547,0.04611649
351460412303028,-0.15620053,0.3689214,0.048779648
351460422230578,-0.13169944,0.37424773,0.01043013
351460432158259,0.0019912384,0.2879613,-0.07052997
351460442085812,0.16178091,0.11645373,-0.17652379
351460452016902,0.26404628,-0.10618655,-0.2628102
351460461944583,0.3087874,-0.36185002,-0.28358284
351460471872264,0.29547158,-0.6047303,-0.25002703
351460481799942,0.27682945,-0.7954126,-0.20581856
351460491727623,0.30292845,-0.9104612,-0.17971958
351460501655304,0.33062533,-0.9125917,-0.18611117
351460511582982,0.30825475,-0.8348274,-0.19516592
351460521510663,0.21397887,-0.73842096,-0.17226273
351460531438344,0.051526036,-0.5956755,-0.095031045
351460541363656,-0.101339415,-0.3139131,0.031202788
351460551291337,-0.14022157,-0.028422236,0.13506606
351460561219018,-0.06618569,0.12071478,0.13400081
351460571146696,0.08987556,0.29328763,0.025876466
351460581074377,0.2443389,-0.0294875,-0.09343315
351460591002058,0.35619166,-0.43055958,-0.13923953
351460600929736,0.34766954,-0.5003344,-0.11154265
351460610857417,0.22835994,-0.577566,-0.08437841
351460620785098,0.17403145,-0.6531998,-0.06360575
351460630712776,0.22090308,-0.6990062,-0.048692048
351460640640457,0.33968005,-0.7986084,-0.038572036
351460650568138,0.47709918,-0.9349623,-0.055616267
351460660488398,0.5948109,-1.0489457,-0.10728159
351460670415951,0.67310786,-1.104872,-0.15415323
351460680343504,0.6715099,-1.0420214,-0.20901436
351460690271054,0.60013723,-0.8273705,-0.28518075
351460700198607,0.48508865,-0.58449024,-0.32033446
351460710126160,0.35139796,-0.4310922,-0.3155408
351460720053710,0.2592526,-0.37303528,-0.27506074
351460729981263,0.23901258,-0.37516582,-0.23351544
351460739908816,0.26990524,-0.3453384,-0.23884176
351460749831270,0.2826884,-0.22975722,-0.26174492
351460759758823,0.2656442,-0.10991497,-0.26387545
351460769686376,0.24007785,-0.004986419,-0.25269017
351460779613798,0.18894516,0.13562849,-0.25322282
351460789541351,0.107452415,0.26079705,-0.25109228
351460799468904,-0.0033350838,0.2943529,-0.22659121
351460809396326,-0.09814362,0.23789388,-0.23617859
351460819323879,-0.08109939,0.05200523,-0.36986926
351460829251432,0.062178683,-0.038009617,-0.5056905
351460839178165,0.061113417,0.15799904,-0.48172203
351460849105718,-0.06831622,0.31565818,-0.4114146
351460859033143,-0.13116682,0.31991923,-0.40395772
351460868960693,-0.0779036,0.19262013,-0.40715352
351460878888118,0.029688114,0.05892945,-0.36667347
351460888815671,0.08082081,-0.037476983,-0.28837654
351460898743093,0.05046077,-0.12056761,-0.19942698
351460908670646,-0.053402513,-0.11257813,-0.16906694
351460918598071,-0.19135426,-0.03907488,-0.1999596
351460928525621,-0.24088906,-0.030552765,-0.25375545
351460938453046,-0.18016899,-0.015639063,-0.26760387
351460948380599,-0.124242604,0.043483116,-0.14083743
351460958301700,-0.11785102,0.08662632,-0.04922468
351460968229125,-0.12370997,0.09088738,-0.03484361
351460978156550,-0.19135426,0.13190006,-0.014603584
351460988083844,-0.28882596,0.11698636,-0.033245713
351460998011269,-0.35806817,0.14148743,-0.029517286
351461007938694,-0.4230493,0.28902656,0.06795441
351461017866116,-0.530641,0.44562045,0.17235032
351461027793413,-0.6680601,0.58037645,0.30497575
351461037720838,-0.79429394,0.6826418,0.39232746
351461047640092,-0.7644665,0.52817845,0.2692894
351461057567389,-0.5460873,0.04295048,0.10310814
351461067494814,-0.25100908,-0.48808384,-0.028984653
351461077422108,-0.013987728,-0.7655852,-0.14243533
351461087349405,0.08082081,-0.7235073,-0.14776164
351461097276702,0.09147345,-0.5498692,-0.09769421
351461107203996,0.07389659,-0.39061216,-0.0060814684
351461117131293,0.0041217674,-0.2872815,0.041855432
351461127058590,-0.11998154,-0.12163288,-0.024190964
351461136989604,-0.26485753,0.20700121,-0.13178268
351461146916901,-0.41079876,0.6123344,-0.20635119
351461156844198,-0.51679254,0.9148695,-0.25109228
351461166779172,-0.56632733,0.8722589,-0.31181237
351461176706597,-0.5189231,0.3982162,-0.40449035
351461186634022,-0.2840323,-0.34587106,-0.51953894
351461196561444,0.07975554,-1.0702509,-0.64097905
351461206488741,0.43022755,-1.5426956,-0.76508236
351461216416166,0.66032463,-1.7211275,-0.9355247
351461226343588,0.8158533,-1.847894,-1.2290051
351461236271013,0.9846977,-1.9858457,-1.2183524
351461246198438,0.72796893,-1.3802428,-0.9941142
351461256120801,-0.3937545,0.14787903,-0.7933119
351461266048098,-1.3476988,-0.11151287,-0.3176713
351461275975523,-1.5016295,-1.2390953,0.22401565
351461285902817,-1.566078,-1.1304383,0.34279266
351461295830242,-1.6470381,-0.84228426,0.042920694
351461305757539,-1.6704739,-0.6718419,-0.5269958
351461315684961,-1.8904511,-0.52377015,-1.1517735
351461325612258,-1.9021689,-1.6998222,-1.2385925
351461335539683,-1.0350437,-1.6561464,-0.8993057
351461345468286,0.1122461,-0.52643335,-0.72460234
351461355395711,1.3436918,-0.2926078,-0.75123394
351461365323008,2.5085585,-0.7261704,-1.0143543
351461375250430,3.4566438,-1.3978198,-1.4516454
351461385177727,4.108586,-1.9719973,-1.9294165
351461395105152,4.3317585,-2.1078184,-2.3070526
351461405032446,3.4209576,-0.7032672,-2.5270298
351461414959743,1.4571426,0.7092734,-2.1685681
351461424887168,0.2129136,-0.20738667,-1.1831987
