UPTIMENANO,Ax,Ay,Az
351544985029012,-0.3813912,1.0122656,9.276861
351545004885013,-1.5007707,0.81693274,11.747239
351545024740884,-1.8315438,0.7233183,12.660819
351545044589856,-0.49319986,-0.32489258,9.686477
351545064445601,0.564164,-0.97120774,7.764827
351545084301472,-0.09651718,-0.07773421,8.734746
351545104157344,-0.74957323,0.6231404,9.966097
351545124013089,-1.0996603,0.34493107,9.5262985
351545143862779,-1.4203049,0.28355014,8.577043
351545163718523,-1.1837138,-0.45922223,10.461473
351545183574140,-1.5332012,-1.0655541,11.095348
351545203429755,-1.065381,-0.75574446,10.639134
351545223285499,-0.74559563,-0.42683032,10.137977
351545243141116,-0.6311078,0.10138987,9.924351
351545262991209,-1.0092875,0.27373642,9.8394375
351545282846697,-1.0379201,0.27269387,9.652326
351545302702314,-0.32489157,0.0635515,9.550504
351545322557801,0.3216448,0.055519983,9.279188
351545342411893,-0.1532967,1.1130468,9.780704
351545362267382,-1.1296939,1.069888,10.649116
351545382122869,-1.2924992,-0.60192937,10.1261635
351545401978357,-0.7607579,-1.1864653,9.813624
351545421833846,-0.3233646,-0.5084774,9.444504
351545441689333,-0.43876117,0.19914535,9.2116995
351545461544510,-0.5237987,-0.33055145,9.474466
351545481399871,-0.90710235,-0.7722916,9.747805
351545501255358,-0.9297413,-0.68309593,9.723666
351545521110718,-0.8012696,-1.1280137,9.874156
351545540966207,-0.46624655,-0.5251785,9.446271
351545560823754,-0.05280198,-0.099117056,8.380612
351545580679242,0.14904869,0.014446353,8.667463
351545600534603,0.08807369,0.27313116,9.584561
351545620390090,-1.1411422,-0.009974469,10.17941
351545640248473,-0.43943685,0.73870844,9.880225
351545660103962,-0.28584585,0.5454114,9.323695
351545679959321,-0.6689179,-0.10762403,9.517429
351545699814809,0.3980598,0.031474642,8.8436985
351545719670298,-0.14801653,0.3164382,9.079838
351545739525657,-1.1284354,0.53831464,10.399079
351545759380522,-0.939929,0.811661,10.692061
351545779235883,-0.9677805,0.7189781,10.476173
351545799091370,-0.6999678,0.33398077,10.166801
351545818946730,-1.0894196,1.137601,10.1984825
351545838802219,-1.4196185,1.5536426,10.876766
351545858658293,-0.71045774,0.63756067,10.881852
351545878513653,-0.34415188,-0.01802792,10.575778
351545898369014,-0.26971188,0.6198588,10.1847105
351545918224501,-0.15054922,0.58332074,9.653681
351545938086524,-0.13893184,0.06858727,9.309278
351545957942141,0.00912187,-0.85352325,8.519594
351545977797756,-0.3686152,-0.037107993,8.9153385
351545997653244,-0.77404755,0.5341512,9.394535
351546017508861,-1.0256281,-0.021058239,9.4755125
351546037364476,-1.1073722,0.6252931,9.974383
351546057222334,-1.2461374,1.0642864,10.307244
351546077078079,-0.1909412,-0.18715537,9.398767
351546096933694,0.2054443,-0.29485986,9.171676
351546116789438,-0.31149533,0.22685015,9.604329
351546136645055,-1.0024686,0.67988145,9.960145
351546156509459,-1.7471577,1.304488,11.009488
351546176365331,-1.4063687,0.62801087,10.8863325
351546196221204,-1.1036971,0.20758596,10.323506
351546216077075,-0.55191755,-0.58560246,11.265468
351546235930332,-1.0808505,-0.94666564,11.537917
351546255786205,-1.0347233,0.3135265,10.99273
351546275642076,-0.7126967,0.622213,9.742803
351546295497948,-0.5801521,1.0138497,8.850962
351546315353949,0.46596557,1.3625258,8.0298815
351546335209820,0.70685786,0.092469834,3.9406145
351546355062516,-0.5011297,-2.383844,3.5066187
351546374918389,-0.55250436,-4.4174986,4.246429
351546394774260,-1.6883283,-5.090046,7.990733
351546414630004,-3.9346902,0.0697859,10.1039095
351546434485877,-1.069545,2.667294,8.719087
351546454344966,1.4231428,-0.7100627,8.502113
351546474200838,0.8687321,0.23603463,9.334061
351546494056711,-1.9492456,0.51763326,12.117078
351546513912710,-3.8026123,0.040195435,12.284499
351546533768582,-5.7723837,-2.006364,9.491335
351546553624583,-6.5694876,-3.4292388,5.8717875
351546573477266,-5.902531,-3.4307537,3.7140675
351546593333138,-5.31216,-1.0094138,4.8515825
351546613189011,-4.6795816,1.4328843,7.684076
351546633044882,-3.5806568,1.3644652,9.040656
351546652901979,-4.0999227,1.0507919,8.509068
351546672757852,-5.9223275,2.5818634,9.705565
351546692613723,-3.1103742,3.854376,16.481312
351546712469595,1.9966246,3.7621365,18.717583
351546732325468,3.2297635,2.7550569,14.96355
351546752182008,7.110432,7.066206,0.7265748
351546772037880,-3.7891889,0.62980896,6.6052885
351546791893625,-1.0766677,-1.4732177,10.248377
351546811749496,-1.5170753,-5.891814,6.759862
351546831605368,-3.8882573,-6.8961616,3.529908
351546851461241,-7.660508,-1.425367,5.2957964
351546871315399,-0.5562005,-5.743232,11.265436
351546891171271,-2.4796412,-2.4904954,11.268401
351546911027016,-1.4899509,-3.412886,9.138127
351546930882759,0.5542413,-2.5760624,8.099559
351546950741766,2.9697685,-2.2952433,5.847977
351546970597639,2.6005845,-4.343834,5.9019976
351546990455540,1.1330763,-1.5429143,10.232635
351547010311412,1.3295065,-2.7582188,14.047264
351547030167285,0.47025755,-7.5408897,12.489025
351547050022570,-0.15679407,-5.582466,15.343936
351547069878314,-0.51037234,-1.3953737,18.248068
351547089734187,-2.1628249,-1.2915709,19.930399
351547109590058,-5.996608,-0.8002797,18.997793
351547129445930,-5.7889934,0.3290686,16.433813
351547149301675,-4.981991,1.643024,13.706465
351547169160679,-4.445818,7.5999913,10.922431
351547189016551,-0.921237,6.7505846,8.296831
351547208872552,-1.9540929,5.210859,7.2108355
351547228728423,-4.3527455,4.3060718,7.592327
351547248587007,-6.43221,0.8467416,7.574175
351547268443008,-5.176273,3.051692,3.1336188
351547288299007,-1.9641049,2.6301472,2.2493918
351547308155007,-0.04344177,1.8017318,4.5599413
351547328011008,0.38803127,2.292573,6.0682774
351547347867007,0.15029156,3.513766,7.094318
351547367713785,-1.2221305,1.8234701,9.220609
351547387569658,-0.024760177,-2.1859336,9.937596
351547407425401,0.758608,-2.657723,10.901024
351547427281273,4.880083,-4.1463385,14.620303
351547447137018,1.6447275,-6.2757044,17.173862
351547466999362,1.6893836,-2.350092,11.173035
351547486855362,4.478098,-0.0062368116,13.433992
351547506711235,4.77822,2.3180432,16.577345
351547526567234,4.7440825,1.6088932,15.715748
351547546420880,4.829463,0.75936276,13.601949
351547566276753,4.339908,0.03065658,10.065207
351547586132624,5.484005,-2.7529929,9.411646
351547605988624,4.0956254,-0.60562223,7.352282
351547625844497,0.87872297,1.7909421,5.4874816
351547645700368,-3.685058,-1.2432704,8.179367
351547665560403,-5.134708,-1.8643075,8.385532
351547685416404,-4.0069857,0.3381111,9.04159
351547705272403,1.3735933,1.6546817,11.169799
351547725128403,3.1087303,-0.7735541,7.343208
351547744984276,-2.7403998,-1.67083,3.6699321
351547764838550,-1.6154437,-0.74827486,-1.4076275
351547784694550,-1.9571855,-4.549094,3.465828
351547804550551,-4.459323,-1.2072531,7.350233
351547824406550,3.517418,1.523789,7.3588724
351547844262495,3.1132355,-0.7414554,5.7397823
351547864118496,2.0964751,-1.3247589,9.599226
351547883974495,1.5664854,0.044977758,16.03798
351547903830495,1.2663271,-0.9956096,18.872637
351547923686368,-0.0030644226,-0.9562173,16.632826
351547943542367,0.33937877,-0.24046412,11.637529
351547963397136,0.7797829,-0.00897038,9.588619
351547983253009,0.71162355,0.04293082,8.790903
351548003108880,0.7229345,-0.20227554,8.476222
351548022964880,0.6022171,-0.11577538,8.505822
351548042820753,0.8317348,0.14925912,9.0851965
351548062677796,0.8045478,-0.18548717,10.548681
351548082533668,1.029336,-0.37813032,11.719179
351548102389669,1.4084135,-0.23071063,12.673747
351548122245540,1.2948986,-0.19757184,11.734573
351548142099201,0.86024415,-0.09322011,9.929253
351548161955074,0.69825256,0.19779068,10.10938
351548181810945,0.34683466,-0.40607268,10.986195
351548201666817,0.53553134,-0.6601568,10.810587
351548221522562,1.120065,-0.08674944,9.649886
351548241378433,0.2846227,0.29894593,9.041919
351548261231977,-0.8775177,0.68187255,6.770073
351548281087850,0.31738773,-1.4400303,6.8211465
351548300943593,-0.0024680723,-1.5382805,7.737008
351548320799465,-0.13206661,-0.30164176,6.5603743
351548340655338,0.2711454,0.784948,7.6731715
351548360516682,1.0646412,-2.837039E-4,9.024075
351548380372554,2.254687,-0.22064976,10.021456
351548400228555,2.9470613,0.2958473,10.307522
351548420084554,2.166577,0.6464067,11.537747
351548439940426,1.9733043,0.9681395,12.131378
351548459796427,2.2337372,1.4432276,10.931521
351548479654931,2.1706903,1.4354792,9.497727
351548499510931,2.4587789,1.4980328,9.845675
351548519366804,2.5877745,0.22039945,17.050411
351548539222803,0.16982442,-1.7321882,17.757925
351548559083064,-2.05253,-4.4732804,8.467148
351548578939193,-0.5461935,-2.6199417,12.120997
351548598795320,-0.25178277,-1.2601528,13.235799
351548618651320,0.24493243,-0.3570662,12.39746
351548638507449,-0.27592683,-0.65672904,11.723291
