UPTIMENANO,P
351545014753658,1017.9971
351545113990532,1017.9942
351545213074781,1017.99615
351545312250605,1017.99304
351545411426429,1017.9974
351545510846454,1017.9924
351545610144378,1017.9967
351545709503352,1017.9992
351545808648652,1018.0048
351545907946576,1017.99677
351546007213975,1017.9972
351546106542424,1017.99786
351546205748774,1017.9949
351546305168798,1017.99384
351546404497247,1017.9943
351546503795172,1018.00006
351546603154146,1018.0038
351546702543645,1018.0095
351546801902620,1018.01855
351546901108969,1018.0202
351547000742669,1018.01886
351547100134198,1018.0332
351547199523697,1018.0336
351547299340547,1018.03766
351547398089021,1018.04504
351547497417470,1018.04156
351547597203795,1018.04724
351547695860694,1018.04944
351547795219668,1018.04266
351547897142745,1018.04254
351547993815517,1018.04974
351548093143966,1018.04645
351548194975468,1018.0572
351548291800865,1018.05383
351548390976689,1018.05597
351548492502940,1018.0565
351548589603063,1018.03613
351548688992562,1018.04675
351548790854589,1018.0385
351548887618936,1018.036
351548986947385,1018.03265
351549088231815,1018.03326
351549186461363,1018.02686
351549286186638,1018.0208
351549386217163,1018.0149
351549485576138,1018.0012
351549585301413,1017.9963
351549684813014,1017.98663
351549784568815,1017.98035
351549883408860,1017.9772
351549983439385,1017.9745
351550082523634,1017.9644
351550181821559,1017.95325
351550281791034,1017.9485
351550380539507,1017.9404
351550480753183,1017.9338
351550580478457,1017.92413
351550680142682,1017.9093
351550779349031,1017.89594
351550878769056,1017.8882
351550978036455,1017.8713
351551077515973,1017.85443
351551176966523,1017.83966
351551276661274,1017.82825
351551376997049,1017.8113
351551476356024,1017.78925
351551576172875,1017.77747
351551675837100,1017.76086
351551775196075,1017.70917
351551874097170,1017.68536
351551973425619,1017.6688
351552072937219,1017.6449
351552172570919,1017.62317
351552272326718,1017.6083
351552371960419,1017.58795
351552471594120,1017.5678
351552573456147,1017.55457
351552671075196,1017.545
351552770769947,1017.5281
351552872265668,1017.5165
351552968846865,1017.4995
351553068175314,1017.48083
351553169420713,1017.4571
351553267436586,1017.4424
351553367100811,1017.424
351553467436586,1017.4124
351553566490311,1017.39374
351553666307162,1017.3787
351553766215587,1017.3584
351553864658809,1017.3436
351553964292508,1017.32684
351554063987258,1017.31036
351554163254657,1017.28613
351554262949408,1017.26575
351554362583109,1017.25256
351554462308384,1017.23944
351554562003135,1017.2241
351554661728410,1017.2127
351554760629509,1017.19745
351554860049529,1017.18445
351554959469553,1017.16077
351555058736953,1017.1437
351555158123129,1017.1306
351555257878929,1017.1071
351555357512628,1017.0849
351555457207379,1017.0696
351555556841080,1017.05804
351555656566355,1017.0229
351555756444254,1017.0116
351555854887476,1016.9968
351555954429600,1016.9834
351556053544375,1016.96686
351556153178074,1016.9516
351556252598099,1016.9238
351556351926548,1016.9052
351556451499197,1016.88995
351556550797122,1016.8734
351556650644497,1016.85693
351556750095046,1016.8505
351556849301395,1016.8285
351556949270870,1016.8081
351557048324594,1016.7873
351557147896584,1016.7793
351557248568135,1016.76215
351557347255558,1016.7456
351557447041883,1016.7302
351557546767158,1016.7153
351557646431383,1016.7033
351557746126134,1016.6829
351557845515631,1016.666
351557944294630,1016.65076
351558043714655,1016.63007
351558143195729,1016.6184
351558243134680,1016.6031
351558342798905,1016.5952
351558442371554,1016.5782
351558542035779,1016.5698
351558641730530,1016.5512
351558741364229,1016.5342
351558840082176,1016.516
351558939196950,1016.49164
351559038616975,1016.4769
351559138188121,1016.46387
351559237882872,1016.44006
351559337577623,1016.41785
351559437272372,1016.40094
351559536967123,1016.38226
351559636570298,1016.35223
351559736234523,1016.33014
351559834525117,1016.31366
351559934097767,1016.2933
351560034036717,1016.27625
351560133792517,1016.2628
351560233426216,1016.23914
351560333120967,1016.2221
351560432785192,1016.20386
351560532479941,1016.18726
351560632144166,1016.1755
351560734158819,1016.1516
351560830251613,1016.1295
351560929793738,1016.11316
351561032724141,1016.0928
351561128420111,1016.07574
351561227809611,1016.0593
351561330160038,1016.04285
351561426405459,1016.03485
351561525703384,1016.00714
351561628053811,1015.98334
351561724329757,1015.9613
351561823624994,1015.9499
351561925944896,1015.9312
351562022373467,1015.9091
351562121610342,1015.89215
351562223747094,1015.8735
351562320358815,1015.8531
351562419778840,1015.8361
351562521305091,1015.81573
351562618374688,1015.8061
351562717581038,1015.79425
351562819473589,1015.779
351562916268461,1015.76544
351563015627436,1015.7433
351563119748315,1015.7213
351563214772735,1015.70996
351563314040134,1015.69836
351563416146361,1015.6779
351563512788608,1015.6609
351563612117057,1015.6385
351563713460158,1015.60803
351563810867985,1015.5858
351563910043809,1015.56036
351564011966886,1015.5469
351564108944908,1015.5281
351564208212307,1015.51624
351564309128058,1015.50433
351564407021831,1015.49414
351564506380805,1015.475
351564606960781,1015.46136
351564705190329,1015.44995
351564804579829,1015.4308
351564904793504,1015.41144
351565003145152,1015.39453
351565102534651,1015.3792
351565202778852,1015.3566
351565301277701,1015.3452
351565400941926,1015.326
351565500575627,1015.3124
351565600331426,1015.30444
351565700026177,1015.29083
351565799476724,1015.2772
351565898225198,1015.2598
351565997462072,1015.2461
351566097309447,1015.2287
351566196027396,1015.2152
351566295722146,1015.2051
351566395294795,1015.18567
351566494959020,1015.17206
351566594653771,1015.1518
351566694348520,1015.13983
351566793005418,1015.1279
351566892333867,1015.10754
351566991570742,1015.0888
351567090899191,1015.0735
351567190136065,1015.05835
351567289708715,1015.04297
351567389403464,1015.0294
351567489128739,1015.01746
351567588762440,1015.00006
351567688518239,1014.98645
351567787449862,1014.947
351567886653391,1014.9261
351567985981840,1014.9091
351568085401864,1014.8871
351568185005039,1014.8736
351568284730314,1014.86334
351568384394539,1014.8444
351568484119814,1014.8259
351568583845089,1014.80707
351568685066090,1014.7935
351568782318836,1014.77985
351568881677811,1014.76575
351568982807237,1014.7557
351569080609435,1014.7387
351569179846309,1014.71436
351569280701010,1014.69745
351569379113709,1014.68726
351569478747410,1014.6702
351569579083185,1014.65497
351569678259010,1014.6413
351569776915906,1014.63116
351569877830636,1014.61926
351569975510733,1014.6007
351570074778133,1014.5837
351570176273859,1014.5666
351570273557132,1014.55597
351570373282406,1014.5356
351570473312931,1014.5169
351570572397180,1014.49774
351570671725630,1014.4824
351570772305605,1014.46936
351570870809879,1014.4485
351570970107803,1014.4314
351571069680453,1014.41614
351571168886802,1014.3923
351571268337351,1014.3647
351571368001576,1014.33966
351571467696327,1014.3227
351571567452126,1014.295
351571667177401,1014.27966
351571766261649,1014.23694
351571865892930,1014.2217
351571965435054,1014.203
351572064855079,1014.1843
351572164091953,1014.1653
351572263237252,1014.1501
351572362565702,1014.12805
351572462046776,1014.1128
351572561008925,1014.1008
351572660703675,1014.0835
351572759848974,1014.07324
351572859146898,1014.06006
351572958444822,1014.0427
351573058047997,1014.0257
351573157529071,1014.00653
351573257223822,1013.9912
351573356918573,1013.97253
351573456613324,1013.96063
351573556308073,1013.95044
351573656002824,1013.9351
351573755636525,1013.92847
351573854291611,1013.9183
351573953620061,1013.9114
351574052734835,1013.90247
351574151971709,1013.8956
351574251910659,1013.8991
351574351971710,1013.90247
351574451269635,1013.8991
351574553253762,1013.8906
351574650750711,1013.8871
351574750323360,1013.8804
351574852124334,1013.87866
351574949010781,1013.8735
351575048675006,1013.87177
351575150628608,1013.8713
351575247209804,1013.8675
351575346660354,1013.87305
351575447454004,1013.8701
351575546110903,1013.87683
351575645775128,1013.84546
351575745286727,1013.8503
351575844401501,1013.852
351575943631993,1013.85547
351576044364593,1013.852
351576143204642,1013.8658
351576243052017,1013.8622
351576342655192,1013.86566
351576442349941,1013.8701
351576542075216,1013.8614
351576641708917,1013.86847
351576741434192,1013.86
351576840091089,1013.85297
351576939724789,1013.85126
351577038809038,1013.8445
351577138259587,1013.843
351577237710137,1013.8346
351577337404886,1013.81903
351577437130161,1013.8171
351577536794386,1013.8205
351577636458611,1013.8171
351577736153362,1013.8115
351577834871309,1013.8115
351577933985049,1013.80865
351578033405073,1013.80707
351578132580898,1013.80536
351578231939872,1013.8036
351578331024121,1013.8014
351578430169420,1013.7907
351578529650495,1013.7924
351578628948419,1013.79395
351578728246343,1013.7906
351578827544268,1013.7939
351578926628517,1013.79724
351579025712766,1013.8008
351579124858065,1013.8024
351579224308614,1013.8059
351579323637064,1013.8037
351579423026563,1013.80035
351579522355012,1013.79315
351579621500311,1013.7961
351579720950861,1013.7961
351579820462460,1013.7977
351579919920260,1013.7976
351580019279234,1013.79584
351580118607684,1013.79535
351580217691933,1013.79706
351580317111957,1013.7984
351580416470931,1013.7984
351580515890956,1013.79834
