UPTIMENANO,Ax,Ay,Az
351544956983782,-0.35763314,0.5725086,-1.3201976
351544976983782,-0.2251055,0.9582262,-1.0243964
351544996983783,-0.86883265,0.77102566,0.983763
351545016983782,-1.5469508,0.7560183,2.5169523
351545036983782,-1.0340217,0.2618535,1.003824
351545056983783,0.058826044,-0.49073026,-1.3011853
351545076983782,0.093294345,-0.25294298,-1.4152973
351545096983782,-0.49669197,0.463062,-0.28841633
351545116983783,-0.91007817,0.58572906,-0.12582524
351545136983782,-1.2285122,0.4044492,-0.89418465
351545156983782,-1.1195018,-0.01477396,0.04590907
351545176983783,-1.219342,-0.6238467,1.1186298
351545196983782,-1.1248866,-0.82363117,0.995082
351545216983782,-0.87127906,-0.45606452,0.49724513
351545236983783,-0.6750003,0.14292042,0.18255483
351545256983782,-0.9139337,0.4862747,0.04752877
351545276983782,-1.0495584,0.57819253,-0.13794672
351545296983783,-0.6419116,0.56502265,-0.24954402
351545316983782,0.024769252,0.39957404,-0.46237317
351545336983782,-0.038804337,1.0880505,-0.20654276
351545356983783,-0.8907835,1.5599474,0.54875636
351545376983782,-1.2996491,0.28814766,0.42861888
351545396983782,-0.98483986,-0.5668355,0.12224163
351545416983783,-0.5721217,0.02248336,-0.25565434
351545436983782,-0.5077319,0.4704844,-0.5514748
351545456983782,-0.58076406,0.03498324,-0.40122965
351545476983783,-0.9308361,-0.35938275,-0.11271785
351545496983782,-0.9691806,-0.5625435,-0.07346986
351545516983782,-0.8427435,-0.97725534,0.031839162
351545536983783,-0.5853266,-0.65080166,-0.2779234
351545556983782,-0.17822361,-0.28342155,-1.22394
351545576983782,0.09420011,-0.16203304,-1.1985058
351545596983783,0.13114198,-0.13200992,-0.384684
351545616983782,-0.893395,-0.1374806,0.27311715
351545636983782,-0.56059754,0.479586,0.13215289
351545656983783,-0.36233926,0.34972444,-0.3862589
351545676983782,-0.6722709,-0.19409288,-0.322443
351545696983782,0.19109243,-0.17388578,-0.8725931
351545716983783,-0.11444605,-0.086803354,-0.7553327
351545736983782,-0.98509616,0.2004565,0.43488777
351545756983782,-0.9214555,0.57235706,0.86573035
351545776983782,-0.9063116,0.46514213,0.71622133
351545796983783,-0.71450484,0.20248458,0.39937323
351545816983782,-1.0655606,0.9416399,0.39738905
351545836983782,-1.4283447,1.3180106,1.029726
351545856983783,-0.8697927,0.5261133,1.0786024
351545876983782,-0.43616942,-0.048259694,0.7906218
351545896983782,-0.36694703,0.49491245,0.4031186
