UPTIMENANO,Ax,Ay,Az
351544985029012,-1.5974782,3.7482057,8.404124
351545004885013,-1.4585669,3.903882,11.115286
351545024740884,-1.4992822,3.8128712,12.140354
351545044589856,-0.3544629,3.8080812,8.919053
351545064445601,0.28979737,4.014053,6.734795
351545084301472,-0.3520679,3.8440065,7.8365045
351545104157344,-0.9388477,3.755391,9.235196
351545124013089,-0.5987549,3.2859669,8.995694
351545143862779,-0.31853762,2.548301,8.310719
351545163718523,0.39757326,3.652405,9.877061
351545183574140,1.0346485,3.7098854,10.571617
351545203429755,0.9196875,3.7314405,10.0063925
351545223285499,0.49576905,3.7050953,9.462723
351545243141116,-0.043110352,3.6164796,9.263936
351545262991209,0.086220704,3.2572267,9.342972
351545282846697,0.2802173,3.2189064,9.158555
351545302702314,0.28979737,3.8440065,8.744217
351545322557801,0.4766089,4.4834766,8.116721
351545342411893,-0.17004639,4.2056546,8.899893
351545362267382,0.2203418,3.781736,10.073453
351545382122869,2.2417383,3.9637575,9.15616
351545401978357,2.8261232,4.512217,8.363408
351545421833846,1.9902613,4.5313773,8.066426
351545441689333,1.9136207,4.4188113,7.8676395
351545461544510,2.694397,4.742139,7.7718387
351545481399871,3.3051271,4.6846585,7.9730206
351545501255358,3.4584084,4.7876444,7.810159
351545521110718,3.8847218,5.101392,7.6353226
351545540966207,3.1087356,5.000801,7.4197707
351545560823754,2.2656887,4.6822634,6.5719337
351545580679242,2.0525317,4.9864306,6.7874856
351545600534603,2.076482,5.3959794,7.6496925
351545620390090,2.7087672,4.703819,8.686736
351545640248473,1.5950831,4.7780643,8.5430355
351545660103962,1.5687379,4.6583133,7.9466753
351545679959321,2.1315675,4.6583133,8.049661
351545699814809,1.1879297,5.0367265,7.182664
351545719670298,1.2789404,4.643943,7.704778
351545739525657,1.4825171,4.390071,9.393267
351545759380522,0.96758795,4.4355764,9.759705
351545779235883,1.0370435,4.3421707,9.553733
351545799091370,1.0657837,4.4427614,9.115445
351545818946730,0.4622388,3.7529957,9.601634
351545838802219,0.33769777,3.66438,10.4494705
351545858658293,0.6514453,4.5529323,9.908196
351545878513653,0.7951465,4.9576907,9.314231
351545898369014,0.19160157,4.5457473,9.137
351545918224501,0.050295413,4.406836,8.610096
351545938086524,0.4742139,4.519402,8.126302
351545957942141,1.1424243,4.634363,7.1084185
351545977797756,0.80712163,4.26553,7.795789
351545997653244,0.81909674,4.0427933,8.49274
351546017508861,1.4250367,4.143384,8.464
351546037364476,0.9867481,4.026028,9.16095
351546057222334,0.6490503,3.8152664,9.692644
351546077078079,0.9915381,4.703819,8.080796
351546096933694,0.8981324,4.9481106,7.678433
351546116789438,0.8669971,4.605623,8.392149
351546136645055,0.8909473,4.0811133,9.12263
351546156509459,0.79993653,3.5781593,10.607542
351546176365331,1.2382251,3.8679566,10.217154
351546196221204,1.3531861,4.023633,9.477093
351546216077075,1.5639478,4.984036,10.013577
351546235930332,2.0118165,4.8523097,10.37283
351546255786205,0.9412427,3.999683,10.253079
351546275642076,0.2802173,3.5685792,9.110655
351546295497948,-0.15328126,3.2021413,8.3322735
351546315353949,-1.0753639,3.408113,7.33355
351546335209820,-0.22992188,2.5315359,3.0943654
351546355062516,2.5387208,2.2321582,2.6081765
351546374918389,4.4619217,3.2141163,2.7590625
351546394774260,5.721702,4.8451247,6.0330544
351546414630004,2.6033864,2.4022048,10.248289
351546434485877,-1.1735597,2.7662477,8.674761
351546454344966,0.4406836,5.1780324,6.9144216
351546474200838,0.366438,4.263135,8.344249
351546494056711,2.672842,3.4679885,11.476934
351546513912710,5.1732426,2.0309765,11.596685
351546533768582,7.5155716,0.5987549,8.401729
351546553624583,8.279583,-0.07664063,4.5649076
351546573477266,7.206614,-1.1112891,2.6896071
351546593333138,5.1780324,-2.1076174,4.639153
351546613189011,3.537444,-2.3926246,8.047266
351546633044882,2.7614577,-1.9064356,9.22801
351546652901979,3.1350808,-2.7470875,8.54064
351546672757852,3.408113,-4.9720607,9.980047
351546692613723,1.3962965,-5.5468655,16.231049
351546712469595,-2.4069948,-3.7386258,18.673967
351546732325468,-3.0871804,-1.83219,15.13413
351546752182008,-9.798025,-2.0453467,0.91250247
351546772037880,3.1374757,-4.174519,5.5780005
351546791893625,2.7375073,-1.6836988,9.901011
351546811749496,5.961204,2.2537134,6.488108
351546831605368,7.7790236,2.9458742,2.43813
351546851461241,8.2197075,-3.915857,2.4213648
351546871315399,8.51669,-6.236631,6.983877
351546891171271,7.558682,-5.999524,6.7970657
351546911027016,7.3814507,-4.3445654,4.9002104
351546930882759,7.824529,-1.7579445,2.8692336
351546950741766,6.6461797,1.5567628,1.3004956
351546970597639,7.6425076,1.3388159,-0.51492923
351546990455540,10.28661,0.8167017,1.3747413
351547010311412,14.08032,2.7638526,0.8981324
351547030167285,13.462405,3.9517825,-4.026028
351547050022570,15.232325,5.6809864,-1.5256275
351547069878314,17.466879,5.113367,1.9902613
351547089734187,19.588865,4.133804,1.6597486
351547109590058,19.742147,2.6704469,0.7951465
351547129445930,17.256117,1.9902613,1.3986914
351547149301675,14.441968,1.0394385,2.3950195
351547169160679,12.482842,-1.6884888,6.1767554
351547189016551,8.928633,0.0047900393,5.961204
351547208872552,8.109536,-0.6706055,4.0930886
351547228728423,9.192085,-2.7758276,1.7124391
351547248587007,8.986114,-3.7290456,-2.191443
351547268443008,4.7397437,-4.82357,0.4406836
351547288299007,2.682422,-2.4453151,1.6310084
351547308155007,4.5792775,-0.07903565,1.7507594
351547328011008,6.0210795,0.33769777,2.4213648
351547347867007,6.959927,-0.34488282,3.7601807
351547367713785,9.18011,-0.50534916,2.304009
351547387569658,9.915381,2.0525317,-1.0035132
351547407425401,10.758429,3.2620168,-0.2945874
351547427281273,13.460011,8.5502205,-0.6945557
351547447137018,17.196241,6.11688,-1.9758912
