UPTIMENANO,Ax,Ay,Az
351544956983782,-0.44225055,-0.983835,-1.0173849
351544976983782,-0.84004956,-0.7850209,-0.8344557
351544996983783,-0.73665977,-0.45070928,1.2535284
351545016983782,-0.7327364,-0.3997549,2.933081
351545036983782,-0.17254554,-0.49924943,1.3661658
351545056983783,0.5437443,-0.4623705,-1.1949542
351545076983782,0.29793188,-0.5225055,-1.3091886
351545096983782,-0.38117012,-0.6314268,-0.017971413
351545116983783,-0.44942182,-0.940625,0.31685612
351545136983782,-0.19911902,-1.5410234,-0.24080099
351545156983782,0.25835982,-0.96603054,0.50561374
351545176983783,0.8694757,-0.47686088,1.4642158
351545196983782,1.0294493,-0.42082876,1.3027136
351545216983782,0.67664814,-0.43861052,0.7510943
351545236983783,0.04445001,-0.54481506,0.4588884
351545256983782,-0.22487861,-0.88686246,0.48672515
351545276983782,-0.25822562,-1.0983245,0.42651054
351545296983783,-0.37090093,-0.79513955,0.15413865
351545316983782,-0.42916483,-0.27837384,-0.33524236
351545336983782,-1.0280324,-0.39355797,0.12759583
351545356983783,-1.0887843,-0.85743076,1.2678427
351545376983782,0.25837243,-0.94176555,1.0010756
351545396983782,0.9106499,-0.61754584,0.3090458
351545416983783,0.14377168,-0.6090151,0.040226784
351545436983782,-0.3313719,-0.8195131,-0.043156665
351545456983782,0.111379884,-0.69564044,-0.056346845
351545476983783,0.6753323,-0.7280121,0.14913735
351545496983782,0.87467414,-0.69576377,0.10964512
351545516983782,1.2117466,-0.44309366,-0.039952625
351545536983783,0.74002963,-0.482189,-0.25147793
351545556983782,0.021931196,-0.7671573,-1.0104995
351545576983782,-0.15961786,-0.5399201,-1.0745013
351545596983783,-0.028095284,-0.071556665,-0.42035335
351545616983782,0.6170038,-0.4976912,0.5130869
351545636983782,-0.08849295,-0.5274401,0.52508354
351545656983783,-0.17452988,-0.60932827,-0.032422647
351545676983782,0.4664993,-0.6070144,-0.08661195
351545696983782,-0.07188207,-0.24295093,-0.87405914
351545716983783,0.040407404,-0.44443524,-0.626103
351545736983782,0.4027763,-0.60199964,0.82163984
351545756983782,0.0850855,-0.5009277,1.2915084
351545776983782,0.13651672,-0.52918345,1.1189544
351545796983783,0.23322429,-0.43070352,0.6863797
351545816983782,-0.22778971,-1.0100795,1.0525562
351545836983782,-0.3151068,-1.1411169,1.8537034
351545856983783,0.068835855,-0.35301152,1.4378325
351545876983782,0.30445328,0.08096032,0.8475903
351545896983782,-0.20932248,-0.28782636,0.644541
351545916983783,-0.425369,-0.48642164,0.16324103
351545936983782,-0.18133822,-0.4600666,-0.27524456
351545956983782,0.32754174,-0.41513515,-1.2160088
351545976983783,-0.04612063,-0.7786593,-0.588352
351545996983782,-0.031032493,-0.9802346,0.09415642
351546016983782,0.61653745,-0.85085833,0.06080382
351546036983783,0.23417102,-0.93374556,0.7232398
351546056983782,-0.17820175,-1.167319,1.2822155
351546076983782,0.08112707,-0.33835396,-0.27596933
351546096983782,0.01815869,-0.047498923,-0.7131386
351546116983782,0.047987718,-0.26418325,-0.076206915
351546136983782,0.056871776,-0.61499023,0.5744814
351546156983782,0.0110777775,-0.9376427,1.933551
351546176983782,0.5750645,-0.5555598,1.4696878
351546196983782,0.84190625,-0.3283839,0.74337316
351546216983782,1.179295,0.59563506,1.266368
351546236983782,1.5842654,0.37118337,1.6282954
351546256983782,0.53100884,-0.604394,1.5196245
351546276983782,-0.13285603,-1.1901705,0.47828752
351546296983782,-0.62169224,-1.7864692,-0.1668667
351546316983782,-1.4254376,-1.9645101,-1.2543987
351546336983782,-0.44982815,-2.9769075,-5.067149
351546356983782,2.2248268,-3.1253567,-5.5129676
351546376983782,3.9458992,-1.8264288,-5.183223
351546396983782,4.431713,-0.24001248,-1.9898394
351546416983782,1.068124,-1.9451154,1.3605282
351546436983782,-2.206044,-1.0014825,-0.38238645
351546456983782,-1.0596147,1.2631432,-1.8151906
351546476983782,-1.0395302,0.68857586,-0.22706589
351546496983782,1.0757253,0.17626522,2.3940022
351546516983782,3.4749281,-1.0082132,1.9381917
351546536983782,5.611571,-2.185882,-1.4337629
351546556983782,6.192064,-2.7861705,-5.0321784
