UPTIMENANO,Mx,My,Mz
351635428090354,-0.7334709,9.880432,-5.178459
351635447946867,-0.5834694,10.180431,-5.0284615
351635467803506,-0.28347015,10.030432,-5.0284615
351635487659756,0.16653061,10.030432,-5.0284615
351635507516397,0.16653061,10.330433,-5.0284615
351635527373036,0.16653061,10.630432,-5.0284615
351635547229548,0.16653061,10.630432,-5.0284615
351635567086189,0.16653061,10.630432,-5.0284615
351635586939987,0.16653061,11.380432,-5.0284615
351635606796627,0.16653061,11.830433,-5.0284615
351635626653140,0.16653061,11.2304325,-5.0284615
351635646509779,0.16653061,11.680431,-5.0284615
351635666366291,0.16653061,11.680431,-4.728462
351635686222804,0.16653061,11.680431,-4.728462
351635706040092,0.16653061,11.680431,-4.728462
351635725895836,0.16653061,11.680431,-4.5784607
351635745751581,0.016529083,11.080433,-4.428459
351635765607324,-0.28347015,10.180431,-4.428459
351635785473607,-1.7834702,10.030432,-4.428459
351635805329480,-1.6334705,10.030432,-4.428459
351635825185479,-1.7834702,10.030432,-4.428459
351635845041351,-2.233471,9.880432,-4.428459
351635864897352,-2.3834705,9.880432,-4.428459
351635884761293,-2.233471,9.880432,-4.428459
351635904617293,-2.3834705,9.880432,-4.428459
351635924473166,-2.3834705,9.880432,-4.428459
351635944329165,-2.3834705,9.880432,-4.428459
351635964185165,-2.3834705,9.880432,-4.428459
351635984041166,-2.3834705,9.880432,-4.428459
351636003917182,-2.3834705,9.880432,-4.428459
351636023773566,-2.3834705,9.880432,-4.428459
351636043629823,-2.3834705,9.880432,-4.428459
351636063486206,-2.3834705,10.030432,-4.428459
351636083353138,-2.3834705,10.030432,-4.428459
351636103209651,-2.233471,10.030432,-4.428459
351636123066290,-2.233471,10.330433,-4.5784607
351636142922930,-2.233471,10.4804325,-4.728462
351636162779571,-2.0834694,10.930431,-4.728462
351636182646251,-1.9334698,10.4804325,-5.178459
351636202503147,-2.6834698,10.4804325,-6.678459
351636222359916,-2.8334694,10.4804325,-5.3284607
351636242216811,-2.8334694,10.4804325,-5.0284615
351636262073579,-2.8334694,10.4804325,-4.728462
351636281930348,-2.8334694,10.330433,-4.728462
351636301790303,-2.8334694,10.330433,-4.728462
351636321647327,-2.8334694,10.030432,-4.12846
351636341504224,-3.1334705,9.580433,-3.5284615
351636361361247,-4.18347,9.130432,-0.8284607
351636381222745,-4.18347,8.380432,-1.1284599
351636401079770,-4.483469,7.1804314,-1.1284599
351636420936921,-4.483469,5.080431,-1.1284599
351636440794073,-4.483469,3.580431,-1.1284599
351636460651226,-4.483469,0.43043137,-1.1284599
351636480508249,-4.03347,-1.5195684,-1.8784599
351636500367961,-2.3834705,-1.6695681,-4.12846
351636520225114,1.3665295,0.13043118,-10.578461
351636540082265,3.766531,2.2304325,-15.828461
351636559939417,5.266531,7.330431,-20.178463
351636579796570,3.766531,11.530432,-22.278461
351636599656007,3.016529,14.2304325,-25.728458
351636619513159,2.7165298,15.7304325,-26.478458
351636639370440,2.5665302,18.280432,-26.178463
351636659227591,1.9665298,22.630434,-26.328465
351636679097153,0.31653023,23.080431,-26.178463
351636698954562,-4.03347,24.280432,-25.728458
351636718812097,-8.983469,24.280432,-25.428463
351636738669633,-10.483469,24.280432,-25.12846
351636758527170,-12.133471,23.980433,-24.228458
351636778384705,-16.93347,23.980433,-21.228458
351636798242119,-18.583471,23.980433,-17.028461
351636818099656,-21.733473,23.680433,-6.978462
351636837957191,-22.783472,23.380434,-2.9284592
351636857814855,-25.18347,20.080431,3.6715393
351636877672392,-24.583471,15.580433,8.62154
351636897530237,-23.833471,13.180431,11.471539
351636917387773,-23.38347,10.330433,15.52154
351636937245438,-22.63347,7.9304314,14.47154
351636957102973,-21.583471,7.9304314,14.47154
351636976964739,-19.63347,8.080431,14.921541
351636996822532,-15.883471,7.9304314,15.071541
351637016680195,-11.533472,7.9304314,15.52154
351637036537987,-11.083471,7.9304314,16.27154
351637056395780,-11.083471,8.080431,16.27154
351637076253571,-10.483469,8.530432,16.12154
351637096105414,-10.783472,10.4804325,16.12154
351637115963207,-10.783472,11.080433,16.27154
351637135820870,-10.633471,11.830433,16.57154
351637155678534,-10.633471,13.330433,16.57154
351637175536327,-10.633471,14.680431,16.57154
351637195395813,-10.633471,14.380432,16.57154
351637215253605,-10.633471,14.680431,16.27154
351637235111398,-10.633471,14.9804325,16.12154
351637254969189,-10.633471,14.9804325,15.97154
351637274804442,-10.633471,14.9804325,15.071541
351637294661339,-10.633471,14.830433,14.47154
351637314518362,-10.633471,14.830433,12.37154
351637334375386,-10.633471,14.680431,12.671539
351637354232411,-10.633471,14.530432,12.821541
351637374089306,-10.633471,14.380432,12.821541
351637393948902,-10.633471,12.880432,12.821541
351637413805927,-10.633471,11.530432,13.12154
351637433662950,-10.483469,11.380432,13.12154
351637453519974,-10.033472,9.130432,14.47154
351637473376999,-9.43347,8.830431,14.921541
351637493235643,-9.283472,8.830431,14.921541
351637513092667,-9.283472,8.530432,15.37154
351637532949692,-9.43347,8.080431,14.77154
351637552806715,-9.43347,8.2304325,15.071541
351637572663739,-9.283472,8.2304325,16.12154
351637592520764,-8.68347,8.080431,18.22154
351637612374069,-8.233469,8.080431,18.97154
351637632231093,-7.93347,8.080431,19.57154
351637652088118,-7.483469,8.080431,20.921541
351637671945141,-6.733469,8.080431,21.521542
351637691809217,-6.43347,8.530432,22.421541
351637711666370,-6.283472,8.830431,23.171541
351637731523521,-5.68347,9.280432,22.87154
351637751380801,-6.1334705,10.180431,23.32154
351637771237954,-5.983469,10.630432,23.32154
351637791097049,-5.983469,10.330433,23.47154
351637810954329,-5.983469,11.2304325,24.82154
351637830811482,-5.983469,11.380432,24.82154
351637850668761,-5.68347,11.2304325,24.82154
351637870526041,-5.68347,11.2304325,24.97154
351637890383322,-5.68347,11.2304325,24.97154
351637910239754,-5.68347,11.2304325,24.97154
351637930097034,-5.68347,10.930431,25.12154
351637949954187,-4.6334705,10.630432,25.12154
351637969811338,-5.233469,10.930431,25.421541
351637989660483,-4.6334705,10.930431,25.72154
351638009517508,-4.483469,10.630432,26.021542
351638029374531,-4.93347,10.630432,26.021542
351638049231555,-4.93347,10.4804325,26.32154
351638069088580,-4.93347,10.4804325,28.57154
351638088943748,-4.93347,10.4804325,27.671541
351638108800772,-5.0834713,10.4804325,27.37154
351638128657669,-5.533472,10.4804325,27.37154
351638148514692,-7.3334713,10.330433,27.37154
351638168371588,-7.6334705,10.180431,27.37154
351638188228613,-8.983469,9.880432,27.37154
351638208092915,-9.43347,9.580433,27.37154
351638227949939,-10.333471,9.580433,27.37154
351638247806964,-8.983469,8.530432,27.22154
351638267664115,-9.283472,8.530432,27.07154
351638287523498,-8.833471,7.9304314,27.07154
351638307380651,-8.68347,7.330431,27.07154
351638327237930,-8.68347,7.4804325,26.62154
351638347095082,-8.68347,7.4804325,25.72154
351638366952363,-8.68347,7.4804325,24.97154
351638386809514,-8.68347,7.4804325,24.82154
351638406648368,-8.833471,7.4804325,24.82154
351638426505265,-8.833471,7.330431,25.421541
351638446362160,-8.833471,7.330431,25.421541
351638466218928,-9.283472,7.330431,25.57154
351638486075825,-9.283472,7.4804325,25.57154
351638505934104,-11.533472,7.7804317,25.57154
351638525791000,-13.93347,7.9304314,25.72154
351638545647769,-13.783472,7.9304314,25.421541
351638565504664,-13.633471,7.9304314,25.421541
351638585359969,-13.633471,7.7804317,25.421541
351638605216866,-13.633471,7.330431,25.12154
351638625073633,-13.633471,7.0304317,25.12154
351638644930529,-13.633471,6.2804317,24.82154
351638664787298,-13.033472,4.630432,24.07154
351638684644193,-13.033472,2.830431,22.12154
351638704498011,-12.883471,-0.6195688,20.921541
351638724354652,-13.633471,-0.31956863,18.97154
351638744211419,-13.333471,-0.76956844,17.32154
351638764068059,-13.18347,-0.76956844,15.671541
351638783924828,-13.333471,-0.76956844,15.97154
351638803789068,-13.333471,-0.76956844,16.57154
351638823645836,-13.333471,-0.76956844,16.57154
351638843502733,-13.333471,-0.76956844,16.57154
351638863359628,-13.633471,-0.91956806,16.57154
351638883216335,-13.633471,-0.91956806,16.57154
351638903073232,-13.633471,-0.91956806,16.57154
351638922929999,-14.083471,-0.91956806,16.57154
351638942789281,-14.083471,-0.91956806,16.57154
351638962646178,-14.083471,-0.91956806,16.57154
351638982502945,-14.083471,-0.91956806,16.57154
351639002355288,-14.233469,-1.2195683,16.57154
351639022212057,-14.383471,-1.2195683,16.57154
351639042068824,-14.233469,-1.2195683,15.97154
351639061925592,-14.233469,-1.2195683,15.52154
351639081782361,-14.233469,-1.3695688,15.37154
