UPTIMENANO,Ax,Ay,Az
351635416974388,-0.19836232,-0.29655313,0.7142565
351635436974389,-0.11058992,-0.14784393,-0.5360462
351635456974388,-0.30381963,-0.07027181,-0.6363269
351635476974388,-0.3365291,0.041936766,-0.1307561
351635496974389,-0.20080143,0.23601788,0.5289398
351635516974388,6.311589E-4,-0.07760391,1.2839655
351635536974388,0.009541899,-0.45527068,0.69369304
351635556974389,0.019479604,-0.24936798,-0.61822915
351635576974388,0.14586163,-0.01200954,-0.7577453
351635596974388,0.84527624,-0.10877039,-0.13533369
351635616974389,1.6500428,0.046891082,0.3291231
351635636974388,1.273936,0.061514355,-0.28567898
351635656974388,0.8281698,-0.5709803,-0.101015806
351635676974389,0.6578121,-0.69259435,1.0564
351635696974388,0.88517284,-0.6664709,0.86291325
351635716974388,0.40100116,-0.548709,0.24517272
351635736974389,-1.2782062,0.22262883,0.10855529
351635756974388,-2.0917773,1.032736,-0.7432104
351635776974388,-0.23309037,0.5802919,-1.260754
351635796974389,0.7395249,-0.031143911,0.5519191
351635816974388,0.2077207,-0.23387933,2.0584495
351635836974388,0.08358851,-0.71119934,1.9084445
351635856974389,-0.015728418,-0.78425956,1.1143404
351635876974388,-0.06621361,0.025042562,-0.26421818
351635896974388,0.7637321,0.669936,-0.78883296
351635916974389,1.4513475,0.30274722,-0.24862754
351635936974388,0.1892517,-0.01346338,-0.08374759
351635956974388,-0.5393378,-0.39019966,0.46045694
351635976974389,0.5644029,-0.5959685,1.8016009
351635996974388,0.71643,0.073051244,0.15895642
351636016974388,-0.6858452,0.4273519,-1.6502413
351636036974389,-1.0839536,0.24833626,-1.1641551
351636056974388,-0.027756594,-0.1676655,0.07203418
351636076974388,0.08842951,-0.4396712,1.1362363
351636096974389,-0.7453482,-0.38393253,1.9351312
351636116974388,-0.7547214,-0.34871143,2.8162074
351636136974388,-0.3752723,-0.17731406,3.521199
351636156974389,-0.3097639,-0.66637117,2.9775217
351636176974388,-0.5246545,-0.9103003,2.3392417
351636196974388,0.02293775,-0.9369846,2.2519941
351636216974389,2.1283772,0.38676313,1.786539
351636236974388,2.1397314,0.15213864,0.24633858
