UPTIMENANO,Ax,Ay,Az
351714554666340,-0.6046012,0.48960528,8.5806675
351714574522725,-0.4758632,0.33340904,9.625281
351714594384953,0.024013417,-0.394092,10.045832
351714614241593,-0.17233607,-0.28728917,10.201867
351714634098106,0.1992487,-0.36942694,10.071
351714653954617,0.21368086,-0.0060370266,9.71029
351714673811129,-0.11237597,0.3342151,9.452643
351714693667642,-0.44172087,0.1848818,10.130783
351714713526864,-0.51290584,-0.39855707,10.6523695
351714733383376,-0.33623388,-0.24084307,10.144729
351714753239889,0.041597594,0.3055679,9.367026
351714773096400,-0.11058822,0.30858877,9.618317
351714792953637,-0.2423661,0.13611053,10.386287
351714812810278,-0.42778465,0.41096973,10.320049
351714832666789,-0.034296993,0.21370637,9.9787
351714852523429,0.4664637,0.57301694,9.775216
351714872379942,0.32513016,-0.3380091,8.414123
351714892228291,0.43835333,-1.4868141,8.8309965
351714912084675,1.4404023,-1.0552343,10.627017
351714931941060,2.663468,-0.46340632,10.914735
351714951797443,2.266357,-0.6387513,9.760265
351714971653699,-0.26665074,-0.62880796,9.466533
351714991510084,-2.3071032,0.6197961,9.624652
351715011354002,-3.9185498,3.9176028,6.5402846
351715031210130,-0.84961146,1.4304023,7.76743
351715051066259,0.41740677,-1.1573375,11.022339
351715070922386,-1.0685505,-1.3633344,11.664222
351715090781598,-1.6152958,-1.6120148,10.899982
351715110637727,0.24167728,-0.7468953,9.900439
351715130493982,1.8285775,0.35200402,7.8478374
351715150350238,0.32174712,1.5348034,8.3542185
351715170206495,-0.0405571,0.60095686,9.221388
351715190062750,-0.508945,-0.31234643,9.721567
351715209918116,-0.18643072,-0.43038416,9.713992
351715229774373,1.069396,0.33653253,9.910139
351715249630500,-1.0360546,0.5780738,9.251679
351715269486756,-2.2534664,-0.7902036,10.338328
351715289343013,-0.34058255,-0.8795339,10.062399
351715309196847,0.85931927,-0.0832505,9.252704
351715329052975,-1.0886151,-0.3765119,9.965923
351715348909232,-1.9719372,-1.1313671,10.942719
351715368765359,-0.28360802,-0.46800363,10.229161
351715388618445,-0.41513574,-0.16951284,10.019077
351715408474446,-0.5784407,-0.44324258,10.329243
351715428330445,-0.4594367,-0.9064485,10.670179
351715448186573,-0.21048881,-0.87369615,10.303802
351715468042574,0.38535288,-0.25198606,9.606824
351715487898573,0.48155758,-0.27563575,9.429519
351715507750475,1.2908151,-0.40252298,10.793413
351715527606348,3.6015217,0.61023694,11.890013
351715547462347,3.495941,0.49064037,12.9832115
351715567318347,0.1526818,1.6334362,8.70578
351715587174220,0.16681078,1.0627435,6.8079634
351715607032882,-1.1175044,-0.78023934,6.790307
351715626888882,0.69737846,0.75334126,4.8109016
351715646744883,2.3725224,-0.23892464,4.3625665
351715666600882,5.647645,-0.17666325,4.214241
351715686464714,2.4531689,-2.3008003,8.8414345
351715706320843,-3.2348742,-3.453792,13.643195
351715726176970,-1.7564201,0.35589996,8.844813
351715746032970,3.2159963,0.7996159,2.5035648
351715765889099,5.5902224,-0.9083781,0.9252281
351715785745226,5.7688284,-4.4843545,1.4766353
351715805601374,3.854456,-7.537458,3.3431518
351715825457503,1.2185686,-8.523734,8.931993
351715845313630,0.3562727,-6.982381,14.946421
351715865169758,-0.19335352,-5.4605956,18.164019
351715885025887,-0.052116066,-6.095203,17.283813
351715904878661,3.4881568,-5.6661015,15.04565
351715924734661,3.4599826,-5.381518,14.808443
351715944590662,1.8247503,-3.4801722,15.737024
351715964446661,-21.348455,-2.4738305,2.7871246
351715984309570,-9.584625,-4.259781,-4.646617
351716004165699,6.605708,-0.86750495,12.2285185
351716024021954,0.09105409,1.4830581,13.509173
351716043878082,6.5044603,7.149268,6.3037124
351716063734339,10.486003,6.0975943,4.638306
351716083590466,4.651805,-4.373745,7.4396973
351716103447546,-1.2886598,0.050600994,9.201759
351716123303675,2.77695,1.6763226,7.7649035
351716143159930,3.1560996,3.0288503,9.062583
351716163016058,2.3301396,1.559813,12.439129
351716182872187,6.1524224,-0.65974665,12.849764
351716202742967,3.4010851,-1.5550247,14.820514
351716222599479,3.5171819,-3.1254163,14.310939
351716242455992,4.0359917,-2.6379933,14.099697
351716262312503,3.714082,-3.2737868,15.845626
351716282169015,2.6831958,-3.4308836,16.279541
351716302025528,1.4803388,-3.7254975,15.127847
351716321890341,0.9358355,-6.623583,14.506547
351716341747109,1.5582924,-8.1454935,12.5768795
351716361603878,-4.429693,-7.132898,9.805225
351716381460645,-4.5904417,-4.9373593,8.676425
351716401321296,-1.736965,-5.697185,6.9117727
351716421178193,-0.6892391,-7.367059,5.854197
351716441034960,-1.7895792,-5.293699,6.470779
351716460891856,-1.1127554,-3.1413584,8.514304
351716480748753,-0.8558662,-2.6938925,6.9391766
351716500606026,-2.7126474,-3.5973043,4.417722
351716520462922,-3.1506984,-4.319123,8.845703
351716540319819,1.4980662,-2.698815,11.708434
351716560176714,2.6085556,-0.33856276,9.664264
351716580033610,1.667845,3.0537374,12.397858
351716599890507,-0.14847326,2.4574606,14.776336
351716619744147,2.3144853,-1.4533964,3.984409
351716639600915,0.037036315,0.80034804,11.253273
351716659457684,3.746674,3.760239,15.294892
351716679314451,0.48156708,6.64129,7.282974
351716699174014,2.16346,2.6066277,11.366694
351716719030911,5.8232546,1.2654357,13.303075
351716738887806,2.0452065,-1.630759,8.587611
351716758744574,-1.7981896,1.6434834,11.02355
351716778601471,0.63441426,-0.5426923,10.7495
351716798458429,-0.7307084,-8.532429,8.895481
351716818315325,0.630509,-3.3634794,3.6146333
351716838172222,0.24968845,4.446865,4.3292365
351716858029117,-1.8305,-0.3267983,6.254655
351716877886013,0.48759186,-3.8096852,9.141022
351716897742910,-1.0082629,-0.0445167,9.146674
351716917590150,-2.8999321,0.81883335,7.9434466
351716937446790,-0.7796357,0.86112237,8.380592
351716957303559,1.9210337,1.8845474,11.664855
351716977160198,3.5499196,2.2469208,13.766658
351716997006767,2.4532838,2.3356645,11.347884
351717016863280,1.3835701,3.682642,9.41644
351717036719791,0.87318057,2.3499029,9.068092
351717056576303,0.62624735,1.620183,11.242187
351717076432816,0.9073001,0.9135012,11.54541
351717096285476,0.55279297,-0.5229572,9.349797
351717116141860,0.13731222,-0.33989224,9.034193
351717135998117,1.5500498,0.1870607,8.506024
351717155854500,2.5367305,1.2976876,9.10203
351717175710884,1.0630629,1.4018495,11.300202
351717195567269,0.69710875,1.2752948,11.587501
351717215419902,1.5847077,0.77941686,9.635614
351717235276158,1.5631175,1.0296147,7.6949143
351717255132415,1.235335,3.3451478,8.893045
351717274988670,1.0227919,0.5082642,9.434067
351717294842774,1.4565612,1.6679082,8.36377
351717314699031,1.7388626,3.026586,8.487737
351717334555286,0.85113096,4.754336,8.989023
351717354411542,1.3427268,-2.289457,16.090803
351717374267799,0.3943604,-3.1155198,17.320602
351717394124054,-1.2713501,-2.281752,8.400256
351717413979036,-0.7106586,-1.9017024,11.495584
351717433835165,-0.21360485,-1.476756,13.168147
351717453691420,-0.36423036,-3.630071,11.349365
351717473547548,-1.2357872,-3.4723563,14.893397
351717493403805,-1.0387844,-0.10881841,12.974633
351717513253355,1.2339776,2.495026,10.200582
351717533109355,-1.4282159,2.9771774,9.713804
351717552965356,-1.9444375,-1.0069327,6.261784
351717572821355,4.604695,-3.2509773,5.6673408
351717592675837,3.1236794,-0.48890206,11.447972
351717612531710,-4.237627,-0.15083152,11.591756
351717632387581,-2.1030512,-1.7116652,8.468274
351717652243581,-0.062058568,-1.7979562,7.510043
351717672099454,-0.48092914,-0.5732998,5.9450293
351717691955325,-0.39110616,-1.2812063,5.6118875
351717711815031,2.7021513,-2.0881596,9.283322
351717731671032,11.313342,0.22843263,15.065874
351717751526903,5.6548758,0.8041071,14.832657
351717771382903,-0.31560534,0.53809786,10.677565
351717791238776,-1.544884,1.9761075,9.125556
