UPTIMENANO,P
351714568737464,1018.0774
351714668951139,1018.083
351714767485937,1018.0787
351714867028062,1018.08093
351714966295461,1018.0723
351715065746011,1018.0693
351715165013410,1018.0716
351715264555535,1018.072
351715363639784,1018.0763
351715462907183,1018.0746
351715562662983,1018.07153
351715661289356,1018.0773
351715760312555,1018.0759
351715860526230,1018.07996
351715958633679,1018.0833
351716057840028,1018.0805
351716157687403,1018.0899
351716256435876,1018.0952
351716355733801,1018.10443
351716456102960,1018.11365
351716554607234,1018.1174
351716654057783,1018.11584
351716754332508,1018.11975
351716852531531,1018.1164
351716951737881,1018.1134
351717051127380,1018.1156
351717150638980,1018.11444
351717250089529,1018.11835
351717349509553,1018.1184
351717449051678,1018.11084
351717548471702,1018.0972
351717647800152,1018.08887
351717747281226,1018.08545
351717846701251,1018.0928
351717946243375,1018.0916
351718045510774,1018.0916
351718144808699,1018.09375
351718244167673,1018.0904
351718343526647,1018.0904
351718442766018,1018.091
351718543071268,1018.0865
351718642704968,1018.0801
351718742369192,1018.0737
351718841728167,1018.0731
351718941422916,1018.0614
351719040537690,1018.0533
351719140110340,1018.0469
351719239591415,1018.0334
351719339072489,1018.0238
351719438828289,1018.0084
351719537943063,1017.9953
351719637607288,1017.9789
351719737302037,1017.9602
351719836508386,1017.947
351719935958936,1017.9267
351720035501060,1017.9119
351720134890560,1017.90076
351720237235600,1017.88727
351720334152573,1017.8721
351720433847324,1017.8539
351720535648301,1017.8425
351720633267348,1017.83105
351720732992623,1017.81287
351720834396772,1017.7931
351720931130594,1017.7659
351721030550619,1017.74927
351721132473695,1017.73065
351721229451717,1017.7142
351721328963317,1017.69464
351721430581144,1017.6674
351721527955991,1017.6472
351721627376015,1017.6234
351721728352816,1017.60516
351721826460264,1017.5885
351721925788714,1017.5682
351722026093964,1017.55133
351722124445612,1017.53827
351722224170887,1017.5215
351722323804587,1017.5064
351722423102511,1017.49146
351722523682488,1017.47516
351722623102511,1017.4617
351722722461485,1017.4414
351722821817286,1017.4295
351722921389935,1017.4005
351723021084685,1017.3839
351723120718385,1017.36725
351723220901535,1017.3525
351723320382609,1017.3316
351723420107884,1017.3026
351723519802635,1017.28394
351723619497384,1017.2708
351723720809961,1017.2573
351723818276382,1017.2317
351723917604832,1017.2131
351724018429007,1017.19604
351724116383830,1017.1773
351724216261730,1017.162
351724316896041,1017.15356
351724415552940,1017.14215
351724515278215,1017.12177
351724614911916,1017.1031
351724714667717,1017.08984
351724813294087,1017.0798
351724913538288,1017.06116
351725013019362,1017.03546
351725112683587,1017.01855
351725212042561,1016.9999
351725311828886,1016.98505
351725411493111,1016.96075
351725511187862,1016.94086
351725610943663,1016.9242
351725710638414,1016.90894
351725809203733,1016.8902
351725908654283,1016.8734
351726008135357,1016.85675
351726107433281,1016.842
351726206731206,1016.82324
351726306456480,1016.80115
351726406029131,1016.7881
351726505693356,1016.7712
351726605388105,1016.7524
351726704991280,1016.72217
351726803676349,1016.7085
351726902974273,1016.6899
351727003279523,1016.68036
351727102852173,1016.6666
351727202760598,1016.65857
351727302394297,1016.64545
351727402089048,1016.6302
351727504286851,1016.61334
351727601539600,1016.5946
351727701356449,1016.57623
351727802974273,1016.5558
351727899280744,1016.5427
351727999647045,1016.524
351728101692222,1016.5144
351728198914444,1016.494
351728298273418,1016.48773
351728399067069,1016.4654
351728498426043,1016.44324
351728597907118,1016.42285
351728697542355,1016.40247
351728796657129,1016.38715
351728895894003,1016.3699
351728995314027,1016.35284
351729095222452,1016.33606
351729194642477,1016.32825
351729294154076,1016.31854
351729393818301,1016.2981
351729493513050,1016.2778
351729593177275,1016.2612
351729692902550,1016.2442
351729791803649,1016.2267
351729891040523,1016.217
351729991009998,1016.2017
351730091071048,1016.1864
351730190643698,1016.1638
351730290216347,1016.15405
351730389941622,1016.14264
351730489514271,1016.11084
351730589300596,1016.0989
351730690552123,1016.08545
351730787893254,1016.06165
351730887282753,1016.04297
