UPTIMENANO,Ax,Ay,Az
351714554666340,-1.7339942,3.278782,7.776629
351714574522725,-1.6741188,3.5829494,8.794512
351714594384953,-0.98195803,3.3602126,9.424402
351714614241593,-1.1304493,3.391348,9.560919
351714634098106,-0.7448511,3.4248781,9.4507475
351714653954617,-0.78556645,3.558999,9.002879
351714673811129,-1.1999048,3.6332448,8.650811
351714693667642,-1.5184424,3.6236646,9.350157
351714713526864,-1.4298267,3.3386574,10.035132
351714733383376,-1.214275,3.3745828,9.498648
351714753239889,-0.9627979,3.6931202,8.5598
351714773096400,-0.97237796,3.8679566,8.758587
351714792953637,-1.0538087,4.0427933,9.513018
351714812810278,-1.3028907,4.2056546,9.352551
351714832666789,-0.74006104,4.0787187,9.079519
351714852523429,-0.28740236,4.478687,8.715476
351714872379942,-0.098195806,3.1039455,7.8341093
351714892228291,0.51013917,2.2824538,8.655601
351714912084675,1.585503,3.6188745,10.025552
351714931941060,2.6464968,4.512217,9.953702
351714951797443,2.5530908,3.8224514,8.926238
351714971653699,0.05748047,3.3099172,8.8951025
351714991510084,-2.196233,4.1146436,8.751402
351715011354002,-4.2990603,5.7312818,4.7062135
351715031210130,-0.7113208,4.648733,6.4018874
351715051066259,1.1639795,4.016448,10.27224
351715070922386,-0.35685793,3.8320315,11.146421
351715090781598,-0.9987232,2.9171338,10.700948
351715110637727,0.5963599,3.6164796,9.230406
351715130493982,1.8609302,4.009263,6.7467704
351715150350238,0.3424878,5.0894165,6.799461
351715170206495,0.20597169,4.5888577,8.018526
351715190062750,0.29698244,4.119434,8.820857
351715209918116,0.69216067,4.0523734,8.813672
351715229774373,1.8034497,4.9696655,8.456815
351715249630500,-0.47900394,4.5960426,8.102351
351715269486756,-1.4274317,3.6883302,9.845925
351715289343013,0.44786867,3.7506008,9.374106
351715309196847,1.3867164,4.1170387,8.214917
351715329052975,-0.43110353,3.8320315,9.261541
351715348909232,-1.099314,3.4560134,10.571617
351715368765359,0.21315674,3.7937112,9.513018
351715388618445,-0.019160157,3.8823268,9.24717
351715408474446,-0.11256592,3.7362306,9.656719
351715428330445,0.18441652,3.4248781,10.154883
351715448186573,0.47181886,3.307522,9.788445
351715468042574,0.90771246,3.67875,8.840017
351715487898573,1.3004956,3.6092947,8.631651
351715507750475,2.4740553,4.1625443,9.740545
351715527606348,4.754114,5.6809864,9.992022
351715547462347,5.407954,6.104905,10.700948
351715567318347,1.6405884,5.4486694,6.7898808
351715587174220,1.343606,4.0691385,5.398374
351715607032882,0.39517823,3.0105398,6.224656
351715626888882,1.5735279,3.2692018,3.3218923
351715646744883,3.2404616,2.198628,3.06323
351715666600882,6.2270513,2.7782228,1.7866846
351715686464714,5.0271463,2.7470875,7.527547
351715706320843,1.2022998,3.3937428,13.98452
351715726176970,1.5376027,3.2260914,8.286768
351715746032970,3.5542092,2.090852,0.49576905
351715765889099,5.508545,0.366438,-1.5663428
351715785745226,7.168294,-2.0357666,-0.20118165
351715805601374,7.3072047,-4.5792775,2.912344
351715825457503,6.976692,-4.617598,9.16095
351715845313630,6.8042507,-4.670288,14.288687
351715865169758,6.4258375,-4.984036,17.136366
351715885025887,6.466553,-5.575606,16.216679
351715904878661,7.33355,-6.8042507,13.060042
351715924734661,6.8761015,-7.470066,12.535533
351715944590662,5.513335,-5.7935524,14.111456
351715964446661,-18.803299,-0.16525635,10.772799
351715984309570,-11.407478,-1.2046949,-0.14130616
351716004165699,10.614727,-4.756509,7.656878
351716024021954,7.5227566,-2.1363575,11.115286
351716043878082,10.94045,3.396138,1.3891114
351716063734339,12.5738535,2.0525317,-2.5171657
351716083590466,8.425679,-4.9529004,0.7711963
351716103447546,5.5947657,-3.1159205,6.7324004
351716123303675,7.3934255,0.14370118,4.016448
351716143159930,9.093889,2.335144,3.6212697
351716163016058,11.977493,1.1064991,4.232
351716182872187,14.192886,1.346001,0.39278322
351716202742967,15.21556,1.0705738,0.9867481
351716222599479,15.009588,1.0777588,-0.70174074
351716242455992,14.770086,1.7459693,-0.9196875
351716262312503,16.221468,3.0009596,-1.8585353
351716282169015,16.523241,2.9794044,-1.4489869
351716302025528,15.517332,1.9567311,-0.55324954
351716321890341,15.895745,-0.21076173,-1.5711329
351716341747109,14.688656,-2.3614893,-2.3710694
351716361603878,12.020603,-2.8740237,3.7266505
351716381460645,10.133328,-1.101709,4.102669
351716401321296,8.56938,-2.8596535,1.2789404
351716421178193,8.066426,-4.873865,0.44547364
351716441034960,7.7167535,-3.4057178,1.3962965
351716460891856,9.045989,-1.1951149,0.5843848
351716480748753,7.398216,-1.1064991,0.42870852
351716500606026,5.0199614,-2.8476784,2.550696
351716520462922,9.429193,-2.931504,3.0536501
351716540319819,12.013418,-0.53169435,-1.4178516
351716560176714,9.841136,1.1400293,-1.4729371
351716580033610,11.994258,4.6607084,0.47900394
351716599890507,14.171331,4.1314087,2.550696
351716619744147,4.5002418,-0.34488282,-1.7244141
351716639600915,10.540482,2.955454,2.7279274
351716659457684,14.362933,7.438931,0.69216067
351716679314451,4.7325587,7.94907,3.4344583
351716699174014,9.987232,5.879773,2.5219557
351716719030911,13.057647,6.4593678,-0.50774413
351716738887806,8.842413,1.3507911,0.7592212
351716758744574,9.060359,3.2548318,5.8965383
351716778601471,10.130933,2.1531227,2.9961696
351716798458429,10.705738,-6.0450296,1.1448194
351716818315325,4.4403663,-2.2129982,-0.4023633
351716838172222,2.8572583,4.8834453,2.562671
351716858029117,5.5540504,-0.031135255,3.4248781
351716877886013,9.429193,-2.9003687,0.99393314
351716897742910,8.5598,0.26584718,3.3673975
351716917590150,6.8593364,-0.0047900393,5.012776
351716937446790,7.668853,1.1903248,3.3697927
351716957303559,11.306888,3.290757,2.1531227
351716977160198,13.357024,5.0846267,1.705254
351716997006767,10.042317,5.6738014,2.684817
351717016863280,7.549102,6.0402393,3.2668068
351717036719791,7.189849,5.0415163,3.3769777
351717056576303,8.947793,5.5420756,4.3158255
351717076432816,9.604029,5.137317,4.040398
351717096285476,7.92991,3.8727467,3.180586
351717116141860,7.2425394,4.191284,3.4248781
351717135998117,6.8808913,4.8379397,2.0094216
351717155854500,6.3012967,7.103628,0.8933423
351717175710884,7.089258,8.562195,2.687212
351717195567269,7.31439,8.55501,3.1135256
351717215419902,5.7624173,7.8412943,1.1280543
351717235276158,4.0020776,6.823411,0.37362307
351717255132415,2.8428884,9.093889,1.0106983
351717274988670,4.2248144,8.480764,0.73048097
351717294842774,2.090852,8.394544,-0.12693603
351717314699031,0.92208254,9.125025,-0.3305127
351717334555286,-1.6741188,10.063872,0.21555176
351717354411542,6.440208,14.964083,-0.74724615
351717374267799,7.6353226,15.85982,0.1820215
351717394124054,4.174519,7.656878,1.1543995
351717413979036,4.3709106,10.803933,0.66342044
351717433835165,4.272715,12.542718,0.22513184
351717453691420,6.2845316,10.123748,0.364043
351717473547548,7.2688847,13.428875,1.4920973
351717493403805,3.5206788,12.437337,1.5328126
351717513253355,0.6011499,10.552457,-0.28979737
351717533109355,0.11256592,9.968072,2.4261549
351717552965356,2.8788135,5.4510646,2.4501052
351717572821355,4.6511283,5.046306,-4.0978785
351717592675837,3.3841627,11.167976,-2.208208
351717612531710,2.912344,10.837463,5.1397123
351717632387581,3.755391,7.692803,2.4045997
351717652243581,3.515889,6.871311,0.24668702
351717672099454,1.9687061,5.621111,0.6562354
351717691955325,2.2489235,5.3121533,0.10538086
351717711815031,3.2021413,8.626861,-3.6284547
351717731671032,1.4897022,13.778548,-12.765454
351717751526903,-0.6777906,13.452826,-8.4376545
351717771382903,-1.0106983,10.471025,-1.9327809
351717791238776,-2.3566992,9.158555,-0.366438
351717811100810,-6.1743608,10.466236,-0.4382886
351717830956810,-10.487791,11.929593,-2.5099807
351717850812939,-4.29427,10.106983,-1.8489552
351717870669066,-1.8202149,9.057964,-1.1687696
351717890532150,-2.076482,10.190808,-2.0190015
351717910388407,-0.7113208,10.435101,-1.9591261
351717930244662,-0.25866213,10.35367,-1.6429834
351717950100918,-0.37362307,10.31535,-1.3891114
351717969957175,-0.98195803,10.205178,-1.5447876
351717989813430,-1.3555812,10.073453,-1.8848804
351718009673636,-1.334026,9.910591,-2.0453467
351718029529893,-0.9364527,10.130933,-2.0357666
351718049386276,-0.8765772,10.41594,-2.0166066
351718069242532,-0.7592212,10.135723,-1.8944606
351718089098789,-0.8885523,9.82437,-1.7914747
351718108962285,-0.96040285,9.608819,-1.3843213
351718128818797,-1.7244141,10.609937,-1.9303858
351718148675310,-1.8800904,10.667418,-1.947151
351718168531693,-1.6741188,10.123748,-1.7315992
351718188388205,-1.4944923,9.939331,-2.059717
351718208244718,-1.6573536,9.958491,-2.047742
351718228107318,-1.8034497,10.133328,-2.1579127
351718247963958,-1.5016773,10.056687,-2.3135889
351718267820599,-1.2693604,10.015972,-2.2848487
351718287677238,-1.2861255,10.039923,-2.0022364
351718307538413,-1.4489869,10.126143,-1.84177
351718327395182,-1.698069,10.135723,-1.8082398
351718347251949,-1.8537452,10.190808,-1.8585353
